text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"A breeze which had crossed a thousand miles of wheat-lands bellied her taffeta skirt in a line so graceful, so full of animation and moving beauty, that the heart of a chance watcher on the lower road tightened to wistfulness over her quality of suspended freedom.",,female,,,False,False,"original_sentence='A breeze which had crossed a thousand miles of wheat-lands bellied her taffeta skirt in a line so graceful, so full of animation and moving beauty, that the heart of a chance watcher on the lower road tightened to wistfulness over her quality of suspended freedom.' physical_attributes=[]",,
1,0.0,"Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.",thin wrists,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('thin wrists'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.' physical_attributes=[PhysicalAttribute(attribute='thin wrists', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('thin wrists'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='quince-blossom skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('quince-blossom skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='ingenue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('ingenue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('black hair'), explicitly suggesting the person's gender as female."")]",thin wrists,thin wrists
1,0.0,"Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.",quince-blossom skin,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('quince-blossom skin'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.' physical_attributes=[PhysicalAttribute(attribute='thin wrists', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('thin wrists'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='quince-blossom skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('quince-blossom skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='ingenue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('ingenue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('black hair'), explicitly suggesting the person's gender as female."")]",quince-blossom skin,quince-blossom skin
1,0.0,"Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.",ingenue eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('ingenue eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.' physical_attributes=[PhysicalAttribute(attribute='thin wrists', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('thin wrists'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='quince-blossom skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('quince-blossom skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='ingenue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('ingenue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('black hair'), explicitly suggesting the person's gender as female."")]",ingenue eyes,ingenue eyes
1,0.0,"Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.",black hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('black hair'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Every cell of her body was alive--thin wrists, quince-blossom skin, ingenue eyes, black hair.' physical_attributes=[PhysicalAttribute(attribute='thin wrists', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('thin wrists'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='quince-blossom skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('quince-blossom skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='ingenue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('ingenue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('black hair'), explicitly suggesting the person's gender as female."")]",black hair,black hair
2,1.0,"She did not yet know the immense ability of the world to be casually cruel and proudly dull, but if she should ever learn those dismaying powers, her eyes would never become sullen or heavy or rheumily amorous.",sullen eyes,female,female,"The text uses the pronoun 'her' to refer to the person's eyes, explicitly suggesting the person's gender as female.",True,False,"original_sentence='She did not yet know the immense ability of the world to be casually cruel and proudly dull, but if she should ever learn those dismaying powers, her eyes would never become sullen or heavy or rheumily amorous.' physical_attributes=[PhysicalAttribute(attribute='sullen eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's eyes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='rheumily amorous eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('rheumily amorous eyes'), explicitly suggesting the person's gender as female."")]",sullen eyes,sullen eyes
2,1.0,"She did not yet know the immense ability of the world to be casually cruel and proudly dull, but if she should ever learn those dismaying powers, her eyes would never become sullen or heavy or rheumily amorous.",heavy eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,True,"original_sentence='She did not yet know the immense ability of the world to be casually cruel and proudly dull, but if she should ever learn those dismaying powers, her eyes would never become sullen or heavy or rheumily amorous.' physical_attributes=[PhysicalAttribute(attribute='sullen eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's eyes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='rheumily amorous eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('rheumily amorous eyes'), explicitly suggesting the person's gender as female."")]",heavy eyes,heavy eyes
2,1.0,"She did not yet know the immense ability of the world to be casually cruel and proudly dull, but if she should ever learn those dismaying powers, her eyes would never become sullen or heavy or rheumily amorous.",rheumily amorous eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('rheumily amorous eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She did not yet know the immense ability of the world to be casually cruel and proudly dull, but if she should ever learn those dismaying powers, her eyes would never become sullen or heavy or rheumily amorous.' physical_attributes=[PhysicalAttribute(attribute='sullen eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's eyes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='rheumily amorous eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('rheumily amorous eyes'), explicitly suggesting the person's gender as female."")]",rheumily amorous eyes,rheumily amorous eyes
3,2.0,"Out of the dusk her violin took up the organ theme, and the candle-light revealed her in a straight golden frock, her arm arched to the bow, her lips serious.",serious lips,female,female,"The text uses the pronoun 'her' to refer to the person with the attribute ('serious lips'), which suggests the person's gender as female.",True,True,"original_sentence='Out of the dusk her violin took up the organ theme, and the candle-light revealed her in a straight golden frock, her arm arched to the bow, her lips serious.' physical_attributes=[PhysicalAttribute(attribute='serious lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute ('serious lips'), which suggests the person's gender as female."")]",serious lips,serious lips
4,3.0,"He was married, and therefore taboo, but he had come from Boston, he had lived among poets and socialists and Jews and millionaire uplifters at the University Settlement in New York, and he had a beautiful white strong neck.",a beautiful white strong neck,male,male,"The pronoun 'he' indicates that the person described is male, and the attribute of a 'neck' is characterized positively to suggest physical strength.",True,False,"original_sentence='He was married, and therefore taboo, but he had come from Boston, he had lived among poets and socialists and Jews and millionaire uplifters at the University Settlement in New York, and he had a beautiful white strong neck.' physical_attributes=[PhysicalAttribute(attribute='a beautiful white strong neck', gender='male', reasoning=""The pronoun 'he' indicates that the person described is male, and the attribute of a 'neck' is characterized positively to suggest physical strength."")]",a beautiful white strong neck,a beautiful white strong neck
5,,"The beasts in the Milford hearth-mythology were not the obscene Night Animals who jump out of closets and eat little girls, but beneficent and bright-eyed creatures--the tam htab, who is woolly and blue and lives in the bathroom, and runs rapidly to warm small feet; the ferruginous oil stove, who purrs and knows stories; and the skitamarigg, who will play with children before breakfast if they spring out of bed and close the window at the very first line of the song about puellas which father sings while shaving.",,unknown,,,False,False,"original_sentence='The beasts in the Milford hearth-mythology were not the obscene Night Animals who jump out of closets and eat little girls, but beneficent and bright-eyed creatures--the tam htab, who is woolly and blue and lives in the bathroom, and runs rapidly to warm small feet; the ferruginous oil stove, who purrs and knows stories; and the skitamarigg, who will play with children before breakfast if they spring out of bed and close the window at the very first line of the song about puellas which father sings while shaving.' physical_attributes=[]",,
6,4.0,"But there was also a stranger, a thick tall man of thirty-six or -seven, with stolid brown hair, lips used to giving orders, eyes which followed everything good-naturedly, and clothes which you could never quite remember.",stolid brown hair,unknown,male,"The attribute 'stolid brown hair' describes the 'thick tall man', which indicates the person's gender as male.",False,False,"original_sentence='But there was also a stranger, a thick tall man of thirty-six or -seven, with stolid brown hair, lips used to giving orders, eyes which followed everything good-naturedly, and clothes which you could never quite remember.' physical_attributes=[PhysicalAttribute(attribute='thick tall man', gender='male', reasoning=""The text explicitly refers to the individual as 'a thick tall man', which clearly indicates a male gender.""), PhysicalAttribute(attribute='stolid brown hair', gender='male', reasoning=""The attribute 'stolid brown hair' describes the 'thick tall man', which indicates the person's gender as male.""), PhysicalAttribute(attribute='lips used to giving orders', gender='male', reasoning=""The lips are described in the context of the 'thick tall man', thus associating the attribute with a male gender.""), PhysicalAttribute(attribute='eyes which followed everything good-naturedly', gender='male', reasoning=""The eyes are part of the description of the 'thick tall man', confirming the gender as male."")]",stolid brown hair,stolid brown hair
6,4.0,"But there was also a stranger, a thick tall man of thirty-six or -seven, with stolid brown hair, lips used to giving orders, eyes which followed everything good-naturedly, and clothes which you could never quite remember.",lips used to giving orders,unknown,male,"The lips are described in the context of the 'thick tall man', thus associating the attribute with a male gender.",False,False,"original_sentence='But there was also a stranger, a thick tall man of thirty-six or -seven, with stolid brown hair, lips used to giving orders, eyes which followed everything good-naturedly, and clothes which you could never quite remember.' physical_attributes=[PhysicalAttribute(attribute='thick tall man', gender='male', reasoning=""The text explicitly refers to the individual as 'a thick tall man', which clearly indicates a male gender.""), PhysicalAttribute(attribute='stolid brown hair', gender='male', reasoning=""The attribute 'stolid brown hair' describes the 'thick tall man', which indicates the person's gender as male.""), PhysicalAttribute(attribute='lips used to giving orders', gender='male', reasoning=""The lips are described in the context of the 'thick tall man', thus associating the attribute with a male gender.""), PhysicalAttribute(attribute='eyes which followed everything good-naturedly', gender='male', reasoning=""The eyes are part of the description of the 'thick tall man', confirming the gender as male."")]",lips used to giving orders,lips used to giving orders
6,4.0,"But there was also a stranger, a thick tall man of thirty-six or -seven, with stolid brown hair, lips used to giving orders, eyes which followed everything good-naturedly, and clothes which you could never quite remember.",eyes which followed everything good-naturedly,unknown,male,"The eyes are part of the description of the 'thick tall man', confirming the gender as male.",False,False,"original_sentence='But there was also a stranger, a thick tall man of thirty-six or -seven, with stolid brown hair, lips used to giving orders, eyes which followed everything good-naturedly, and clothes which you could never quite remember.' physical_attributes=[PhysicalAttribute(attribute='thick tall man', gender='male', reasoning=""The text explicitly refers to the individual as 'a thick tall man', which clearly indicates a male gender.""), PhysicalAttribute(attribute='stolid brown hair', gender='male', reasoning=""The attribute 'stolid brown hair' describes the 'thick tall man', which indicates the person's gender as male.""), PhysicalAttribute(attribute='lips used to giving orders', gender='male', reasoning=""The lips are described in the context of the 'thick tall man', thus associating the attribute with a male gender.""), PhysicalAttribute(attribute='eyes which followed everything good-naturedly', gender='male', reasoning=""The eyes are part of the description of the 'thick tall man', confirming the gender as male."")]",eyes which followed everything good-naturedly,eyes which followed everything good-naturedly
7,5.0,"His hand was strong; the palm soft, but the back weathered, showing golden hairs against firm red skin.",a strong hand,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a strong hand'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hand was strong; the palm soft, but the back weathered, showing golden hairs against firm red skin.' physical_attributes=[PhysicalAttribute(attribute='a strong hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a strong hand'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a soft palm', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a soft palm'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weathered back', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a weathered back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='golden hairs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('golden hairs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='firm red skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('firm red skin'), explicitly suggesting the person's gender as male."")]",a strong hand,a strong hand
7,5.0,"His hand was strong; the palm soft, but the back weathered, showing golden hairs against firm red skin.",a soft palm,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a soft palm'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hand was strong; the palm soft, but the back weathered, showing golden hairs against firm red skin.' physical_attributes=[PhysicalAttribute(attribute='a strong hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a strong hand'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a soft palm', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a soft palm'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weathered back', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a weathered back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='golden hairs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('golden hairs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='firm red skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('firm red skin'), explicitly suggesting the person's gender as male."")]",a soft palm,a soft palm
7,5.0,"His hand was strong; the palm soft, but the back weathered, showing golden hairs against firm red skin.",a weathered back,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a weathered back'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His hand was strong; the palm soft, but the back weathered, showing golden hairs against firm red skin.' physical_attributes=[PhysicalAttribute(attribute='a strong hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a strong hand'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a soft palm', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a soft palm'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weathered back', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a weathered back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='golden hairs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('golden hairs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='firm red skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('firm red skin'), explicitly suggesting the person's gender as male."")]",a weathered back,a weathered back
