text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The child, who was diminutive for his years, had an aged expression of countenance, a pale complexion, and sharp little features.",an aged expression of countenance,male,unknown,"The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.",False,False,"original_sentence='The child, who was diminutive for his years, had an aged expression of countenance, a pale complexion, and sharp little features.' physical_attributes=[PhysicalAttribute(attribute='an aged expression of countenance', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.""), PhysicalAttribute(attribute='a pale complexion', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.""), PhysicalAttribute(attribute='sharp little features', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender."")]",an aged expression of countenance,an aged expression of countenance
0,0.0,"The child, who was diminutive for his years, had an aged expression of countenance, a pale complexion, and sharp little features.",a pale complexion,male,unknown,"The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.",False,True,"original_sentence='The child, who was diminutive for his years, had an aged expression of countenance, a pale complexion, and sharp little features.' physical_attributes=[PhysicalAttribute(attribute='an aged expression of countenance', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.""), PhysicalAttribute(attribute='a pale complexion', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.""), PhysicalAttribute(attribute='sharp little features', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender."")]",a pale complexion,a pale complexion
0,0.0,"The child, who was diminutive for his years, had an aged expression of countenance, a pale complexion, and sharp little features.",sharp little features,male,unknown,"The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.",False,False,"original_sentence='The child, who was diminutive for his years, had an aged expression of countenance, a pale complexion, and sharp little features.' physical_attributes=[PhysicalAttribute(attribute='an aged expression of countenance', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.""), PhysicalAttribute(attribute='a pale complexion', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender.""), PhysicalAttribute(attribute='sharp little features', gender='unknown', reasoning=""The term 'child' does not specify gender, and the phrase does not contain any pronouns indicating gender."")]",sharp little features,sharp little features
1,,"He carried in his hand a long alpenstock, the sharp point of which he thrust into everything that he approached--the flowerbeds, the garden benches, the trains of the ladies’ dresses.",,male,,,False,False,"original_sentence='He carried in his hand a long alpenstock, the sharp point of which he thrust into everything that he approached--the flowerbeds, the garden benches, the trains of the ladies’ dresses.' physical_attributes=[]",,
2,1.0,"In front of Winterbourne he paused, looking at him with a pair of bright, penetrating little eyes.",a pair of bright little eyes,male,unknown,"The sentence does not provide any gender-specific pronouns or names associated with the attributes being described, making the person's gender unknown.",False,False,"original_sentence='In front of Winterbourne he paused, looking at him with a pair of bright, penetrating little eyes.' physical_attributes=[PhysicalAttribute(attribute='a pair of bright little eyes', gender='unknown', reasoning=""The sentence does not provide any gender-specific pronouns or names associated with the attributes being described, making the person's gender unknown.""), PhysicalAttribute(attribute='a pair of penetrating little eyes', gender='unknown', reasoning=""The sentence does not provide any gender-specific pronouns or names associated with the attributes being described, making the person's gender unknown."")]",a pair of bright little eyes,a pair of bright little eyes
2,1.0,"In front of Winterbourne he paused, looking at him with a pair of bright, penetrating little eyes.",a pair of penetrating little eyes,male,unknown,"The sentence does not provide any gender-specific pronouns or names associated with the attributes being described, making the person's gender unknown.",False,False,"original_sentence='In front of Winterbourne he paused, looking at him with a pair of bright, penetrating little eyes.' physical_attributes=[PhysicalAttribute(attribute='a pair of bright little eyes', gender='unknown', reasoning=""The sentence does not provide any gender-specific pronouns or names associated with the attributes being described, making the person's gender unknown.""), PhysicalAttribute(attribute='a pair of penetrating little eyes', gender='unknown', reasoning=""The sentence does not provide any gender-specific pronouns or names associated with the attributes being described, making the person's gender unknown."")]",a pair of penetrating little eyes,a pair of penetrating little eyes
4,3.0,"They were wonderfully pretty eyes; and, indeed, Winterbourne had not seen for a long time anything prettier than his fair countrywoman’s various features--her complexion, her nose, her ears, her teeth.",wonderfully pretty eyes,evidence for both,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('wonderfully pretty eyes'), explicitly suggesting the person's gender as female.",False,False,"original_sentence='They were wonderfully pretty eyes; and, indeed, Winterbourne had not seen for a long time anything prettier than his fair countrywoman’s various features--her complexion, her nose, her ears, her teeth.' physical_attributes=[PhysicalAttribute(attribute='wonderfully pretty eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wonderfully pretty eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The reference to 'his fair countrywoman's' suggests that the person is female, indicating the attributes being described likely belong to a woman.""), PhysicalAttribute(attribute='her nose', gender='female', reasoning=""The use of 'her' to describe the person's nose explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='her ears', gender='female', reasoning=""The use of 'her' to describe the person's ears explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='her teeth', gender='female', reasoning=""The use of 'her' to describe the person's teeth explicitly suggests the person's gender as female."")]",wonderfully pretty eyes,wonderfully pretty eyes
4,3.0,"They were wonderfully pretty eyes; and, indeed, Winterbourne had not seen for a long time anything prettier than his fair countrywoman’s various features--her complexion, her nose, her ears, her teeth.",fair complexion,evidence for both,female,"The reference to 'his fair countrywoman's' suggests that the person is female, indicating the attributes being described likely belong to a woman.",False,True,"original_sentence='They were wonderfully pretty eyes; and, indeed, Winterbourne had not seen for a long time anything prettier than his fair countrywoman’s various features--her complexion, her nose, her ears, her teeth.' physical_attributes=[PhysicalAttribute(attribute='wonderfully pretty eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wonderfully pretty eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The reference to 'his fair countrywoman's' suggests that the person is female, indicating the attributes being described likely belong to a woman.""), PhysicalAttribute(attribute='her nose', gender='female', reasoning=""The use of 'her' to describe the person's nose explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='her ears', gender='female', reasoning=""The use of 'her' to describe the person's ears explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='her teeth', gender='female', reasoning=""The use of 'her' to describe the person's teeth explicitly suggests the person's gender as female."")]",fair complexion,fair complexion
5,4.0,"She sat there with her extremely pretty hands, ornamented with very brilliant rings, folded in her lap, and with her pretty eyes now resting upon those of Winterbourne, now wandering over the garden, the people who passed by, and the beautiful view.",extremely pretty hands,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('extremely pretty hands'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She sat there with her extremely pretty hands, ornamented with very brilliant rings, folded in her lap, and with her pretty eyes now resting upon those of Winterbourne, now wandering over the garden, the people who passed by, and the beautiful view.' physical_attributes=[PhysicalAttribute(attribute='extremely pretty hands', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('extremely pretty hands'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='pretty eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty eyes'), explicitly suggesting the person's gender as female."")]",extremely pretty hands,extremely pretty hands
5,4.0,"She sat there with her extremely pretty hands, ornamented with very brilliant rings, folded in her lap, and with her pretty eyes now resting upon those of Winterbourne, now wandering over the garden, the people who passed by, and the beautiful view.",pretty eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She sat there with her extremely pretty hands, ornamented with very brilliant rings, folded in her lap, and with her pretty eyes now resting upon those of Winterbourne, now wandering over the garden, the people who passed by, and the beautiful view.' physical_attributes=[PhysicalAttribute(attribute='extremely pretty hands', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('extremely pretty hands'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='pretty eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty eyes'), explicitly suggesting the person's gender as female."")]",pretty eyes,pretty eyes
