text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",a tall stature,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,True,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",a tall stature,a tall stature
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",exceedingly lank physique,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",exceedingly lank physique,exceedingly lank physique
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",narrow shoulders,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,True,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",narrow shoulders,narrow shoulders
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",long arms,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",long arms,long arms
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",long legs,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",long legs,long legs
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",hands that dangled a mile out of sleeves,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",hands that dangled a mile out of sleeves,hands that dangled a mile out of sleeves
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",feet that might have served for shovels,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",feet that might have served for shovels,feet that might have served for shovels
0,0.0,"He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.",a loosely hung frame,male,male,"The text starts with 'He', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, but exceedingly lank, with narrow shoulders, long arms and legs, hands that dangled a mile out of his sleeves, feet that might have served for shovels, and his whole frame most loosely hung together.' physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='exceedingly lank physique', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long legs', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hands that dangled a mile out of sleeves', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='feet that might have served for shovels', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a loosely hung frame', gender='male', reasoning=""The text starts with 'He', explicitly suggesting the person's gender as male."")]",a loosely hung frame,a loosely hung frame
1,1.0,"His head was small, and flat at top, with huge ears, large green glassy eyes, and a long snipe nose, so that it looked like a weather-cock perched upon his spindle neck to tell which way the wind blew.",a small head,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a small head'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His head was small, and flat at top, with huge ears, large green glassy eyes, and a long snipe nose, so that it looked like a weather-cock perched upon his spindle neck to tell which way the wind blew.' physical_attributes=[PhysicalAttribute(attribute='a small head', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a small head'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a flat head at top', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose head is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='huge ears', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'huge ears', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large green glassy eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose eyes are being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long snipe nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long snipe nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a spindle neck', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose neck is being described, explicitly suggesting the person's gender as male."")]",a small head,a small head
1,1.0,"His head was small, and flat at top, with huge ears, large green glassy eyes, and a long snipe nose, so that it looked like a weather-cock perched upon his spindle neck to tell which way the wind blew.",a flat head at top,male,male,"The text uses the pronoun 'his' to describe the person whose head is being described, explicitly suggesting the person's gender as male.",True,False,"original_sentence='His head was small, and flat at top, with huge ears, large green glassy eyes, and a long snipe nose, so that it looked like a weather-cock perched upon his spindle neck to tell which way the wind blew.' physical_attributes=[PhysicalAttribute(attribute='a small head', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a small head'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a flat head at top', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose head is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='huge ears', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'huge ears', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large green glassy eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose eyes are being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long snipe nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long snipe nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a spindle neck', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose neck is being described, explicitly suggesting the person's gender as male."")]",a flat head at top,a flat head at top
