text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Rachel Lynde lived just where the Avonlea main road dipped down into a little hollow, fringed with alders and ladies’ eardrops and traversed by a brook that had its source away back in the woods of the old Cuthbert place; it was reputed to be an intricate, headlong brook in its earlier course through those woods, with dark secrets of pool and cascade; but by the time it reached Lynde’s Hollow it was a quiet, well-conducted little stream, for not even a brook could run past Mrs. Rachel Lynde’s door without due regard for decency and decorum; it probably was conscious that Mrs. Rachel was sitting at her window, keeping a sharp eye on everything that passed, from brooks and children up, and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof.",,female,,,False,False,"original_sentence='Rachel Lynde lived just where the Avonlea main road dipped down into a little hollow, fringed with alders and ladies’ eardrops and traversed by a brook that had its source away back in the woods of the old Cuthbert place; it was reputed to be an intricate, headlong brook in its earlier course through those woods, with dark secrets of pool and cascade; but by the time it reached Lynde’s Hollow it was a quiet, well-conducted little stream, for not even a brook could run past Mrs. Rachel Lynde’s door without due regard for decency and decorum; it probably was conscious that Mrs. Rachel was sitting at her window, keeping a sharp eye on everything that passed, from brooks and children up, and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof.' physical_attributes=[]",,
1,,"Yet with all this Mrs. Rachel found abundant time to sit for hours at her kitchen window, knitting “cotton warp” quilts--she had knitted sixteen of them, as Avonlea housekeepers were wont to tell in awed voices--and keeping a sharp eye on the main road that crossed the hollow and wound up the steep red hill beyond.",,female,,,False,False,"original_sentence='Yet with all this Mrs. Rachel found abundant time to sit for hours at her kitchen window, knitting “cotton warp” quilts--she had knitted sixteen of them, as Avonlea housekeepers were wont to tell in awed voices--and keeping a sharp eye on the main road that crossed the hollow and wound up the steep red hill beyond.' physical_attributes=[]",,
2,0.0,"Marilla was a tall, thin woman, with angles and without curves; her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it.",dark hair,female,female,"The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.",True,True,"original_sentence='Marilla was a tall, thin woman, with angles and without curves; her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it.' physical_attributes=[PhysicalAttribute(attribute='a tall woman', gender='female', reasoning=""The attribute is used to describe 'a tall woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a thin woman', gender='female', reasoning=""The attribute is used to describe 'a tall woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark hair', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.""), PhysicalAttribute(attribute='gray streaks in dark hair', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.""), PhysicalAttribute(attribute='a hard little knot behind', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'."")]",dark hair,dark hair
2,0.0,"Marilla was a tall, thin woman, with angles and without curves; her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it.",gray streaks in dark hair,female,female,"The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.",True,False,"original_sentence='Marilla was a tall, thin woman, with angles and without curves; her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it.' physical_attributes=[PhysicalAttribute(attribute='a tall woman', gender='female', reasoning=""The attribute is used to describe 'a tall woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a thin woman', gender='female', reasoning=""The attribute is used to describe 'a tall woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark hair', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.""), PhysicalAttribute(attribute='gray streaks in dark hair', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.""), PhysicalAttribute(attribute='a hard little knot behind', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'."")]",gray streaks in dark hair,gray streaks in dark hair
2,0.0,"Marilla was a tall, thin woman, with angles and without curves; her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it.",a hard little knot behind,female,female,"The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.",True,False,"original_sentence='Marilla was a tall, thin woman, with angles and without curves; her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it.' physical_attributes=[PhysicalAttribute(attribute='a tall woman', gender='female', reasoning=""The attribute is used to describe 'a tall woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a thin woman', gender='female', reasoning=""The attribute is used to describe 'a tall woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark hair', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.""), PhysicalAttribute(attribute='gray streaks in dark hair', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'.""), PhysicalAttribute(attribute='a hard little knot behind', gender='female', reasoning=""The use of the pronoun 'her' indicates that the description refers to a female, specifically 'Marilla'."")]",a hard little knot behind,a hard little knot behind
3,,"And as for the risk, there’s risks in pretty near everything a body does in this world.",,unknown,,,False,False,"original_sentence='And as for the risk, there’s risks in pretty near everything a body does in this world.' physical_attributes=[]",,
4,1.0,"He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.",an ungainly figure,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('an ungainly figure'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.' physical_attributes=[PhysicalAttribute(attribute='an ungainly figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('an ungainly figure'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long iron-gray hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('long iron-gray hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a full soft brown beard', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a full soft brown beard'), explicitly suggesting the person's gender as male."")]",an ungainly figure,an ungainly figure
4,1.0,"He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.",long iron-gray hair,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('long iron-gray hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.' physical_attributes=[PhysicalAttribute(attribute='an ungainly figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('an ungainly figure'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long iron-gray hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('long iron-gray hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a full soft brown beard', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a full soft brown beard'), explicitly suggesting the person's gender as male."")]",long iron-gray hair,long iron-gray hair
4,1.0,"He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.",a full soft brown beard,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a full soft brown beard'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.' physical_attributes=[PhysicalAttribute(attribute='an ungainly figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('an ungainly figure'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='long iron-gray hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('long iron-gray hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a full soft brown beard', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a full soft brown beard'), explicitly suggesting the person's gender as male."")]",a full soft brown beard,a full soft brown beard
5,2.0,"She wore a faded brown sailor hat and beneath the hat, extending down her back, were two braids of very thick, decidedly red hair.",very thick red hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('very thick red hair'), explicitly indicating the person's gender as female.",True,False,"original_sentence='She wore a faded brown sailor hat and beneath the hat, extending down her back, were two braids of very thick, decidedly red hair.' physical_attributes=[PhysicalAttribute(attribute='very thick red hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('very thick red hair'), explicitly indicating the person's gender as female."")]",very thick red hair,very thick red hair
