text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The window contained photographs of more or less undressed dancing girls; nondescript packages in wrappers like patent medicines; closed yellow paper envelopes, very flimsy, and marked two-and-six in heavy black figures; a few numbers of ancient French comic publications hung across a string as if to dry; a dingy blue china bowl, a casket of black wood, bottles of marking ink, and rubber stamps; a few books, with titles hinting at impropriety; a few apparently old copies of obscure newspapers, badly printed, with titles like _The Torch_, _The Gong_—rousing titles.",,unknown,,,False,False,"original_sentence='The window contained photographs of more or less undressed dancing girls; nondescript packages in wrappers like patent medicines; closed yellow paper envelopes, very flimsy, and marked two-and-six in heavy black figures; a few numbers of ancient French comic publications hung across a string as if to dry; a dingy blue china bowl, a casket of black wood, bottles of marking ink, and rubber stamps; a few books, with titles hinting at impropriety; a few apparently old copies of obscure newspapers, badly printed, with titles like _The Torch_, _The Gong_—rousing titles.' physical_attributes=[]",,
1,0.0,"His eyes were naturally heavy; he had an air of having wallowed, fully dressed, all day on an unmade bed.",naturally heavy eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('naturally heavy eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His eyes were naturally heavy; he had an air of having wallowed, fully dressed, all day on an unmade bed.' physical_attributes=[PhysicalAttribute(attribute='naturally heavy eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('naturally heavy eyes'), explicitly suggesting the person's gender as male."")]",naturally heavy eyes,naturally heavy eyes
2,1.0,"Winnie Verloc was a young woman with a full bust, in a tight bodice, and with broad hips.",a full bust,unknown,female,"The text describes 'Winnie Verloc' as a 'young woman', explicitly suggesting the person's gender as female.",False,True,"original_sentence='Winnie Verloc was a young woman with a full bust, in a tight bodice, and with broad hips.' physical_attributes=[PhysicalAttribute(attribute='a full bust', gender='female', reasoning=""The text describes 'Winnie Verloc' as a 'young woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='broad hips', gender='female', reasoning=""The text describes 'Winnie Verloc' as a 'young woman', explicitly suggesting the person's gender as female."")]",a full bust,a full bust
2,1.0,"Winnie Verloc was a young woman with a full bust, in a tight bodice, and with broad hips.",broad hips,unknown,female,"The text describes 'Winnie Verloc' as a 'young woman', explicitly suggesting the person's gender as female.",False,True,"original_sentence='Winnie Verloc was a young woman with a full bust, in a tight bodice, and with broad hips.' physical_attributes=[PhysicalAttribute(attribute='a full bust', gender='female', reasoning=""The text describes 'Winnie Verloc' as a 'young woman', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='broad hips', gender='female', reasoning=""The text describes 'Winnie Verloc' as a 'young woman', explicitly suggesting the person's gender as female."")]",broad hips,broad hips
3,2.0,"Winnie’s mother was a stout, wheezy woman, with a large brown face.",a large brown face,unknown,female,"The text refers to 'Winnie’s mother' as a 'woman', which strongly indicates that the gender is female.",False,False,"original_sentence='Winnie’s mother was a stout, wheezy woman, with a large brown face.' physical_attributes=[PhysicalAttribute(attribute='a stout woman', gender='female', reasoning=""The text refers to 'Winnie’s mother' as a 'woman', which strongly indicates that the gender is female.""), PhysicalAttribute(attribute='a wheezy woman', gender='female', reasoning=""The text refers to 'Winnie’s mother' as a 'woman', which strongly indicates that the gender is female.""), PhysicalAttribute(attribute='a large brown face', gender='female', reasoning=""The text refers to 'Winnie’s mother' as a 'woman', which strongly indicates that the gender is female."")]",a large brown face,a large brown face
4,,"She considered herself to be of French descent, which might have been true; and after a good many years of married life with a licensed victualler of the more common sort, she provided for the years of widowhood by letting furnished apartments for gentlemen near Vauxhall Bridge Road in a square once of some splendour and still included in the district of Belgravia.",,female,,,False,False,"original_sentence='She considered herself to be of French descent, which might have been true; and after a good many years of married life with a licensed victualler of the more common sort, she provided for the years of widowhood by letting furnished apartments for gentlemen near Vauxhall Bridge Road in a square once of some splendour and still included in the district of Belgravia.' physical_attributes=[]",,
5,3.0,They were apparent in the extremely neat and artistic arrangement of her glossy dark hair.,glossy dark hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('glossy dark hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='They were apparent in the extremely neat and artistic arrangement of her glossy dark hair.' physical_attributes=[PhysicalAttribute(attribute='glossy dark hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('glossy dark hair'), explicitly suggesting the person's gender as female."")]",glossy dark hair,glossy dark hair
6,4.0,"Winnie had also other charms: her youth; her full, rounded form; her clear complexion; the provocation of her unfathomable reserve, which never went so far as to prevent conversation, carried on on the lodgers’ part with animation, and on hers with an equable amiability.",a full rounded form,female,female,"The text refers to 'her full, rounded form' using the pronoun 'her', which explicitly suggests the person's gender as female.",True,False,"original_sentence='Winnie had also other charms: her youth; her full, rounded form; her clear complexion; the provocation of her unfathomable reserve, which never went so far as to prevent conversation, carried on on the lodgers’ part with animation, and on hers with an equable amiability.' physical_attributes=[PhysicalAttribute(attribute='a full rounded form', gender='female', reasoning=""The text refers to 'her full, rounded form' using the pronoun 'her', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='a clear complexion', gender='female', reasoning=""The text refers to 'her clear complexion' using the pronoun 'her', which explicitly suggests the person's gender as female."")]",a full rounded form,a full rounded form
6,4.0,"Winnie had also other charms: her youth; her full, rounded form; her clear complexion; the provocation of her unfathomable reserve, which never went so far as to prevent conversation, carried on on the lodgers’ part with animation, and on hers with an equable amiability.",a clear complexion,female,female,"The text refers to 'her clear complexion' using the pronoun 'her', which explicitly suggests the person's gender as female.",True,True,"original_sentence='Winnie had also other charms: her youth; her full, rounded form; her clear complexion; the provocation of her unfathomable reserve, which never went so far as to prevent conversation, carried on on the lodgers’ part with animation, and on hers with an equable amiability.' physical_attributes=[PhysicalAttribute(attribute='a full rounded form', gender='female', reasoning=""The text refers to 'her full, rounded form' using the pronoun 'her', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='a clear complexion', gender='female', reasoning=""The text refers to 'her clear complexion' using the pronoun 'her', which explicitly suggests the person's gender as female."")]",a clear complexion,a clear complexion
7,5.0,"His prominent, heavy-lidded eyes rolled sideways amorously and languidly, the bedclothes were pulled up to his chin, and his dark smooth moustache covered his thick lips capable of much honeyed banter.",prominent heavy-lidded eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('prominent, heavy-lidded eyes'), explicitly suggesting the person's gender is male.",True,False,"original_sentence='His prominent, heavy-lidded eyes rolled sideways amorously and languidly, the bedclothes were pulled up to his chin, and his dark smooth moustache covered his thick lips capable of much honeyed banter.' physical_attributes=[PhysicalAttribute(attribute='prominent heavy-lidded eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('prominent, heavy-lidded eyes'), explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='dark smooth moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('dark smooth moustache'), explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='thick lips', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('thick lips'), explicitly suggesting the person's gender is male."")]",prominent heavy-lidded eyes,prominent heavy-lidded eyes
