text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves.",a rugged strong face,male,male,"The text addresses 'you' in the context of 'Basil,' which is a male name, and attributes like 'rugged' and 'strong' are typically associated with male appearances.",True,False,"original_sentence=""Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves."" physical_attributes=[PhysicalAttribute(attribute='a rugged strong face', gender='male', reasoning=""The text addresses 'you' in the context of 'Basil,' which is a male name, and attributes like 'rugged' and 'strong' are typically associated with male appearances.""), PhysicalAttribute(attribute='coal-black hair', gender='male', reasoning=""The text addresses 'you' in the context of 'Basil,' which is a male name, and hair descriptions related to 'you' also suggest a male identity.""), PhysicalAttribute(attribute='an ivory and rose-leaves appearance', gender='unknown', reasoning=""The phrase is used to describe 'this young Adonis,' a term that can refer to an attractive male but lacks explicit gender identification; thus, the subject's gender remains unknown."")]",a rugged strong face,a rugged strong face
0,0.0,"Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves.",coal-black hair,male,male,"The text addresses 'you' in the context of 'Basil,' which is a male name, and hair descriptions related to 'you' also suggest a male identity.",True,False,"original_sentence=""Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves."" physical_attributes=[PhysicalAttribute(attribute='a rugged strong face', gender='male', reasoning=""The text addresses 'you' in the context of 'Basil,' which is a male name, and attributes like 'rugged' and 'strong' are typically associated with male appearances.""), PhysicalAttribute(attribute='coal-black hair', gender='male', reasoning=""The text addresses 'you' in the context of 'Basil,' which is a male name, and hair descriptions related to 'you' also suggest a male identity.""), PhysicalAttribute(attribute='an ivory and rose-leaves appearance', gender='unknown', reasoning=""The phrase is used to describe 'this young Adonis,' a term that can refer to an attractive male but lacks explicit gender identification; thus, the subject's gender remains unknown."")]",coal-black hair,coal-black hair
0,0.0,"Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves.",an ivory and rose-leaves appearance,male,unknown,"The phrase is used to describe 'this young Adonis,' a term that can refer to an attractive male but lacks explicit gender identification; thus, the subject's gender remains unknown.",False,False,"original_sentence=""Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves."" physical_attributes=[PhysicalAttribute(attribute='a rugged strong face', gender='male', reasoning=""The text addresses 'you' in the context of 'Basil,' which is a male name, and attributes like 'rugged' and 'strong' are typically associated with male appearances.""), PhysicalAttribute(attribute='coal-black hair', gender='male', reasoning=""The text addresses 'you' in the context of 'Basil,' which is a male name, and hair descriptions related to 'you' also suggest a male identity.""), PhysicalAttribute(attribute='an ivory and rose-leaves appearance', gender='unknown', reasoning=""The phrase is used to describe 'this young Adonis,' a term that can refer to an attractive male but lacks explicit gender identification; thus, the subject's gender remains unknown."")]",an ivory and rose-leaves appearance,an ivory and rose-leaves appearance
1,1.0,"""Yes; she is a peacock in everything but beauty,"" said Lord Henry, pulling the daisy to bits with his long nervous fingers.",long nervous fingers,evidence for both,male,"The text uses 'his' to refer to Lord Henry, who is a male character, indicating that 'long nervous fingers' likely belong to him.",False,False,"original_sentence='""Yes; she is a peacock in everything but beauty,"" said Lord Henry, pulling the daisy to bits with his long nervous fingers.' physical_attributes=[PhysicalAttribute(attribute='long nervous fingers', gender='male', reasoning=""The text uses 'his' to refer to Lord Henry, who is a male character, indicating that 'long nervous fingers' likely belong to him."")]",long nervous fingers,long nervous fingers
2,,Lord Henry stroked his pointed brown beard and tapped the toe of his patent-leather boot with a tasselled ebony cane.,,male,,,False,False,original_sentence='Lord Henry stroked his pointed brown beard and tapped the toe of his patent-leather boot with a tasselled ebony cane.' physical_attributes=[],,
3,2.0,"I at once pictured to myself a creature with spectacles and lank hair, horribly freckled, and tramping about on huge feet.",lank hair,unknown,unknown,"The text provides no gender clues related to the person with 'lank hair', hence the gender is classified as unknown.",True,False,"original_sentence='I at once pictured to myself a creature with spectacles and lank hair, horribly freckled, and tramping about on huge feet.' physical_attributes=[PhysicalAttribute(attribute='lank hair', gender='unknown', reasoning=""The text provides no gender clues related to the person with 'lank hair', hence the gender is classified as unknown.""), PhysicalAttribute(attribute='horribly freckled skin', gender='unknown', reasoning=""The text provides no gender indications about the person described as 'horribly freckled', suggesting that the gender is unknown.""), PhysicalAttribute(attribute='huge feet', gender='unknown', reasoning=""The text describes 'huge feet' without any indication of gender, thus categorized as unknown.""), PhysicalAttribute(attribute='spectacles', gender='unknown', reasoning='While spectacles are described, there is no gender identification tied to their use, resulting in an unknown classification.')]",lank hair,lank hair
3,2.0,"I at once pictured to myself a creature with spectacles and lank hair, horribly freckled, and tramping about on huge feet.",horribly freckled skin,unknown,unknown,"The text provides no gender indications about the person described as 'horribly freckled', suggesting that the gender is unknown.",True,False,"original_sentence='I at once pictured to myself a creature with spectacles and lank hair, horribly freckled, and tramping about on huge feet.' physical_attributes=[PhysicalAttribute(attribute='lank hair', gender='unknown', reasoning=""The text provides no gender clues related to the person with 'lank hair', hence the gender is classified as unknown.""), PhysicalAttribute(attribute='horribly freckled skin', gender='unknown', reasoning=""The text provides no gender indications about the person described as 'horribly freckled', suggesting that the gender is unknown.""), PhysicalAttribute(attribute='huge feet', gender='unknown', reasoning=""The text describes 'huge feet' without any indication of gender, thus categorized as unknown.""), PhysicalAttribute(attribute='spectacles', gender='unknown', reasoning='While spectacles are described, there is no gender identification tied to their use, resulting in an unknown classification.')]",horribly freckled skin,horribly freckled skin
3,2.0,"I at once pictured to myself a creature with spectacles and lank hair, horribly freckled, and tramping about on huge feet.",huge feet,unknown,unknown,"The text describes 'huge feet' without any indication of gender, thus categorized as unknown.",True,True,"original_sentence='I at once pictured to myself a creature with spectacles and lank hair, horribly freckled, and tramping about on huge feet.' physical_attributes=[PhysicalAttribute(attribute='lank hair', gender='unknown', reasoning=""The text provides no gender clues related to the person with 'lank hair', hence the gender is classified as unknown.""), PhysicalAttribute(attribute='horribly freckled skin', gender='unknown', reasoning=""The text provides no gender indications about the person described as 'horribly freckled', suggesting that the gender is unknown.""), PhysicalAttribute(attribute='huge feet', gender='unknown', reasoning=""The text describes 'huge feet' without any indication of gender, thus categorized as unknown.""), PhysicalAttribute(attribute='spectacles', gender='unknown', reasoning='While spectacles are described, there is no gender identification tied to their use, resulting in an unknown classification.')]",huge feet,huge feet
4,3.0,"Yes, he was certainly wonderfully handsome, with his finely curved scarlet lips, his frank blue eyes, his crisp gold hair.",finely curved scarlet lips,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('finely curved scarlet lips'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='Yes, he was certainly wonderfully handsome, with his finely curved scarlet lips, his frank blue eyes, his crisp gold hair.' physical_attributes=[PhysicalAttribute(attribute='finely curved scarlet lips', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('finely curved scarlet lips'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='frank blue eyes', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('frank blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='crisp gold hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('crisp gold hair'), explicitly suggesting the person's gender as male."")]",finely curved scarlet lips,finely curved scarlet lips
4,3.0,"Yes, he was certainly wonderfully handsome, with his finely curved scarlet lips, his frank blue eyes, his crisp gold hair.",frank blue eyes,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('frank blue eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='Yes, he was certainly wonderfully handsome, with his finely curved scarlet lips, his frank blue eyes, his crisp gold hair.' physical_attributes=[PhysicalAttribute(attribute='finely curved scarlet lips', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('finely curved scarlet lips'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='frank blue eyes', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('frank blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='crisp gold hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('crisp gold hair'), explicitly suggesting the person's gender as male."")]",frank blue eyes,frank blue eyes
