text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"A river, amber-tinted in the shadow of its banks, purled at the army's feet; and at night, when the stream had become of a sorrowful blackness, one could see across it the red, eyelike gleam of hostile camp-fires set in the low brows of distant hills.",,unknown,,,False,False,"original_sentence=""A river, amber-tinted in the shadow of its banks, purled at the army's feet; and at night, when the stream had become of a sorrowful blackness, one could see across it the red, eyelike gleam of hostile camp-fires set in the low brows of distant hills."" physical_attributes=[]",,
1,0.0,"His smooth face was flushed, and his hands were thrust sulkily into his trouser's pockets.",a smooth face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a smooth face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence=""His smooth face was flushed, and his hands were thrust sulkily into his trouser's pockets."" physical_attributes=[PhysicalAttribute(attribute='a smooth face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a smooth face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a flushed face', gender='male', reasoning=""The attribute pertains to the same subject as the smooth face in the sentence, which is referred to with the masculine pronoun 'his', indicating the person is male."")]",a smooth face,a smooth face
1,0.0,"His smooth face was flushed, and his hands were thrust sulkily into his trouser's pockets.",a flushed face,male,male,"The attribute pertains to the same subject as the smooth face in the sentence, which is referred to with the masculine pronoun 'his', indicating the person is male.",True,True,"original_sentence=""His smooth face was flushed, and his hands were thrust sulkily into his trouser's pockets."" physical_attributes=[PhysicalAttribute(attribute='a smooth face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a smooth face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a flushed face', gender='male', reasoning=""The attribute pertains to the same subject as the smooth face in the sentence, which is referred to with the masculine pronoun 'his', indicating the person is male."")]",a flushed face,a flushed face
2,,There was a youthful private who listened with eager ears to the words of the tall soldier and to the varied comments of his comrades.,,male,,,False,False,original_sentence='There was a youthful private who listened with eager ears to the words of the tall soldier and to the varied comments of his comrades.' physical_attributes=[],,
3,,He had put them as things of the bygone with his thought-images of heavy crowns and high castles.,,male,,,False,False,original_sentence='He had put them as things of the bygone with his thought-images of heavy crowns and high castles.' physical_attributes=[],,
4,1.0,From his home his youthful eyes had looked upon the war in his own country with distrust.,youthful eyes,male,male,"The text uses the pronoun 'his' to describe the person's eyes, explicitly suggesting the person's gender as male.",True,True,"original_sentence='From his home his youthful eyes had looked upon the war in his own country with distrust.' physical_attributes=[PhysicalAttribute(attribute='youthful eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person's eyes, explicitly suggesting the person's gender as male."")]",youthful eyes,youthful eyes
5,2.0,"When he had stood in the doorway with his soldier's clothes on his back, and with the light of excitement and expectancy in his eyes almost defeating the glow of regret for the home bonds, he had seen two tears leaving their trails on his mother's scarred cheeks.",scarred cheeks,male,female,"The attribute describes 'his mother', which explicitly suggests the person's gender as female.",False,False,"original_sentence=""When he had stood in the doorway with his soldier's clothes on his back, and with the light of excitement and expectancy in his eyes almost defeating the glow of regret for the home bonds, he had seen two tears leaving their trails on his mother's scarred cheeks."" physical_attributes=[PhysicalAttribute(attribute='scarred cheeks', gender='female', reasoning=""The attribute describes 'his mother', which explicitly suggests the person's gender as female."")]",scarred cheeks,scarred cheeks
6,3.0,"Her brown face, upraised, was stained with tears, and her spare form was quivering.",a brown face,female,female,"The text uses the pronoun 'her' to refer to the person with the attribute 'a brown face', explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her brown face, upraised, was stained with tears, and her spare form was quivering.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a brown face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a spare form', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a spare form', explicitly suggesting the person's gender as female."")]",a brown face,a brown face
6,3.0,"Her brown face, upraised, was stained with tears, and her spare form was quivering.",a spare form,female,female,"The text uses the pronoun 'her' to refer to the person with the attribute 'a spare form', explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her brown face, upraised, was stained with tears, and her spare form was quivering.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a brown face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a spare form', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a spare form', explicitly suggesting the person's gender as female."")]",a spare form,a spare form
7,,"""They'll charge through hell's fire an' brimstone t' git a holt on a haversack, an' sech stomachs ain't a'lastin' long,"" he was told.",,male,,,False,False,"original_sentence='""They\'ll charge through hell\'s fire an\' brimstone t\' git a holt on a haversack, an\' sech stomachs ain\'t a\'lastin\' long,"" he was told.' physical_attributes=[]",,
