text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"I expected every wave would have swallowed us up, and that every time the ship fell down, as I thought it did, in the trough or hollow of the sea, we should never rise more; in this agony of mind, I made many vows and resolutions that if it would please God to spare my life in this one voyage, if ever I got once my foot upon dry land again, I would go directly home to my father, and never set it into a ship again while I lived; that I would take his advice, and never run myself into such miseries as these any more.",,male,,,False,False,"original_sentence='I expected every wave would have swallowed us up, and that every time the ship fell down, as I thought it did, in the trough or hollow of the sea, we should never rise more; in this agony of mind, I made many vows and resolutions that if it would please God to spare my life in this one voyage, if ever I got once my foot upon dry land again, I would go directly home to my father, and never set it into a ship again while I lived; that I would take his advice, and never run myself into such miseries as these any more.' physical_attributes=[]",,
1,,"After we had fished some time and caught nothing—for when I had fish on my hook I would not pull them up, that he might not see them—I said to the Moor, “This will not do; our master will not be thus served; we must stand farther off.”  He, thinking no harm, agreed, and being in the head of the boat, set the sails; and, as I had the helm, I ran the boat out near a league farther, and then brought her to, as if I would fish; when, giving the boy the helm, I stepped forward to where the Moor was, and making as if I stooped for something behind him, I took him by surprise with my arm under his waist, and tossed him clear overboard into the sea.",,evidence for both,,,False,False,"original_sentence='After we had fished some time and caught nothing—for when I had fish on my hook I would not pull them up, that he might not see them—I said to the Moor, “This will not do; our master will not be thus served; we must stand farther off.”  He, thinking no harm, agreed, and being in the head of the boat, set the sails; and, as I had the helm, I ran the boat out near a league farther, and then brought her to, as if I would fish; when, giving the boy the helm, I stepped forward to where the Moor was, and making as if I stooped for something behind him, I took him by surprise with my arm under his waist, and tossed him clear overboard into the sea.' physical_attributes=[]",,
2,,"I had the biggest magazine of all kinds now that ever was laid up, I believe, for one man: but I was not satisfied still, for while the ship sat upright in that posture, I thought I ought to get everything out of her that I could; so every day at low water I went on board, and brought away something or other; but particularly the third time I went I brought away as much of the rigging as I could, as also all the small ropes and rope-twine I could get, with a piece of spare canvas, which was to mend the sails upon occasion, and the barrel of wet gunpowder.",,female,,,False,False,"original_sentence='I had the biggest magazine of all kinds now that ever was laid up, I believe, for one man: but I was not satisfied still, for while the ship sat upright in that posture, I thought I ought to get everything out of her that I could; so every day at low water I went on board, and brought away something or other; but particularly the third time I went I brought away as much of the rigging as I could, as also all the small ropes and rope-twine I could get, with a piece of spare canvas, which was to mend the sails upon occasion, and the barrel of wet gunpowder.' physical_attributes=[]",,
3,,"The next day I made another voyage, and now, having plundered the ship of what was portable and fit to hand out, I began with the cables.",,unknown,,,False,False,"original_sentence='The next day I made another voyage, and now, having plundered the ship of what was portable and fit to hand out, I began with the cables.' physical_attributes=[]",,
4,,"Then I took the pieces of cable which I had cut in the ship, and laid them in rows, one upon another, within the circle, between these two rows of stakes, up to the top, placing other stakes in the inside, leaning against them, about two feet and a half high, like a spur to a post; and this fence was so strong, that neither man nor beast could get into it or over it.",,unknown,,,False,False,"original_sentence='Then I took the pieces of cable which I had cut in the ship, and laid them in rows, one upon another, within the circle, between these two rows of stakes, up to the top, placing other stakes in the inside, leaning against them, about two feet and a half high, like a spur to a post; and this fence was so strong, that neither man nor beast could get into it or over it.' physical_attributes=[]",,
5,,"_Nov._ 5.—This day went abroad with my gun and my dog, and killed a wild cat; her skin pretty soft, but her flesh good for nothing; every creature that I killed I took of the skins and preserved them.",,female,,,False,False,"original_sentence='_Nov._ 5.—This day went abroad with my gun and my dog, and killed a wild cat; her skin pretty soft, but her flesh good for nothing; every creature that I killed I took of the skins and preserved them.' physical_attributes=[]",,
6,,"_Nov._ 14, 15, 16.—These three days I spent in making little square chests, or boxes, which might hold about a pound, or two pounds at most, of powder; and so, putting the powder in, I stowed it in places as secure and remote from one another as possible.",,unknown,,,False,False,"original_sentence='_Nov._ 14, 15, 16.—These three days I spent in making little square chests, or boxes, which might hold about a pound, or two pounds at most, of powder; and so, putting the powder in, I stowed it in places as secure and remote from one another as possible.' physical_attributes=[]",,
7,,"As for my lodging, I kept to the tent; except that sometimes, in the wet season of the year, it rained so hard that I could not keep myself dry, which caused me afterwards to cover all my place within my pale with long poles, in the form of rafters, leaning against the rock, and load them with flags and large leaves of trees, like a thatch.",,unknown,,,False,False,"original_sentence='As for my lodging, I kept to the tent; except that sometimes, in the wet season of the year, it rained so hard that I could not keep myself dry, which caused me afterwards to cover all my place within my pale with long poles, in the form of rafters, leaning against the rock, and load them with flags and large leaves of trees, like a thatch.' physical_attributes=[]",,
8,,"_N.B._—I took such care of it that it lived, and the leg grew well and as strong as ever; but, by my nursing it so long, it grew tame, and fed upon the little green at my door, and would not go away.",,unknown,,,False,False,"original_sentence='_N.B._—I took such care of it that it lived, and the leg grew well and as strong as ever; but, by my nursing it so long, it grew tame, and fed upon the little green at my door, and would not go away.' physical_attributes=[]",,
9,,"I had made me a long line of some rope-yarn, but I had no hooks; yet I frequently caught fish enough, as much as I cared to eat; all which I dried in the sun, and ate them dry.",,unknown,,,False,False,"original_sentence='I had made me a long line of some rope-yarn, but I had no hooks; yet I frequently caught fish enough, as much as I cared to eat; all which I dried in the sun, and ate them dry.' physical_attributes=[]",,
10,,"_May_ 17.—I saw some pieces of the wreck blown on shore, at a great distance, near two miles off me, but resolved to see what they were, and found it was a piece of the head, but too heavy for me to bring away.",,unknown,,,False,False,"original_sentence='_May_ 17.—I saw some pieces of the wreck blown on shore, at a great distance, near two miles off me, but resolved to see what they were, and found it was a piece of the head, but too heavy for me to bring away.' physical_attributes=[]",,
