text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"She could see that he was nervous; one would expect a bony young man with his face slightly reddened by the wind, and his hair not altogether smooth, to be nervous in such a party.",a slightly reddened face,evidence for both,male,"The attribute describes 'a bony young man', which explicitly suggests the person's gender as male.",False,False,"original_sentence='She could see that he was nervous; one would expect a bony young man with his face slightly reddened by the wind, and his hair not altogether smooth, to be nervous in such a party.' physical_attributes=[PhysicalAttribute(attribute='a bony young man', gender='male', reasoning=""The text refers to 'a bony young man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a slightly reddened face', gender='male', reasoning=""The attribute describes 'a bony young man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='not altogether smooth hair', gender='male', reasoning=""The attribute describes 'a bony young man', which explicitly suggests the person's gender as male."")]",a slightly reddened face,a slightly reddened face
0,0.0,"She could see that he was nervous; one would expect a bony young man with his face slightly reddened by the wind, and his hair not altogether smooth, to be nervous in such a party.",not altogether smooth hair,evidence for both,male,"The attribute describes 'a bony young man', which explicitly suggests the person's gender as male.",False,False,"original_sentence='She could see that he was nervous; one would expect a bony young man with his face slightly reddened by the wind, and his hair not altogether smooth, to be nervous in such a party.' physical_attributes=[PhysicalAttribute(attribute='a bony young man', gender='male', reasoning=""The text refers to 'a bony young man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a slightly reddened face', gender='male', reasoning=""The attribute describes 'a bony young man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='not altogether smooth hair', gender='male', reasoning=""The attribute describes 'a bony young man', which explicitly suggests the person's gender as male."")]",not altogether smooth hair,not altogether smooth hair
1,1.0,"He played constantly with a little green stone attached to his watch-chain, thus displaying long and very sensitive fingers, and had a habit of moving his head hither and thither very quickly without altering the position of his large and rather corpulent body, so that he seemed to be providing himself incessantly with food for amusement and reflection with the least possible expenditure of energy.",long and very sensitive fingers,male,male,"The text uses the pronoun 'his' to describe the person with the current attribute ('long and very sensitive fingers'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He played constantly with a little green stone attached to his watch-chain, thus displaying long and very sensitive fingers, and had a habit of moving his head hither and thither very quickly without altering the position of his large and rather corpulent body, so that he seemed to be providing himself incessantly with food for amusement and reflection with the least possible expenditure of energy.' physical_attributes=[PhysicalAttribute(attribute='long and very sensitive fingers', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('long and very sensitive fingers'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a large and rather corpulent body', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('a large and rather corpulent body'), explicitly suggesting the person's gender as male."")]",long and very sensitive fingers,long and very sensitive fingers
1,1.0,"He played constantly with a little green stone attached to his watch-chain, thus displaying long and very sensitive fingers, and had a habit of moving his head hither and thither very quickly without altering the position of his large and rather corpulent body, so that he seemed to be providing himself incessantly with food for amusement and reflection with the least possible expenditure of energy.",a large and rather corpulent body,male,male,"The text uses the pronoun 'his' to describe the person with the current attribute ('a large and rather corpulent body'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He played constantly with a little green stone attached to his watch-chain, thus displaying long and very sensitive fingers, and had a habit of moving his head hither and thither very quickly without altering the position of his large and rather corpulent body, so that he seemed to be providing himself incessantly with food for amusement and reflection with the least possible expenditure of energy.' physical_attributes=[PhysicalAttribute(attribute='long and very sensitive fingers', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('long and very sensitive fingers'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a large and rather corpulent body', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('a large and rather corpulent body'), explicitly suggesting the person's gender as male."")]",a large and rather corpulent body,a large and rather corpulent body
2,2.0,"She had the quick, impulsive movements of her mother, the lips parting often to speak, and closing again; and the dark oval eyes of her father brimming with light upon a basis of sadness, or, since she was too young to have acquired a sorrowful point of view, one might say that the basis was not sadness so much as a spirit given to contemplation and self-control.",dark oval eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('dark oval eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She had the quick, impulsive movements of her mother, the lips parting often to speak, and closing again; and the dark oval eyes of her father brimming with light upon a basis of sadness, or, since she was too young to have acquired a sorrowful point of view, one might say that the basis was not sadness so much as a spirit given to contemplation and self-control.' physical_attributes=[PhysicalAttribute(attribute='dark oval eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('dark oval eyes'), explicitly suggesting the person's gender as female."")]",dark oval eyes,dark oval eyes
3,3.0,"The paint had so faded that very little but the beautiful large eyes were left, dark in the surrounding dimness.",beautiful large eyes,unknown,unknown,"The description of 'beautiful large eyes' does not provide any explicit clues regarding the gender of the person being described, making it impossible to assign a gender.",True,False,"original_sentence='The paint had so faded that very little but the beautiful large eyes were left, dark in the surrounding dimness.' physical_attributes=[PhysicalAttribute(attribute='beautiful large eyes', gender='unknown', reasoning=""The description of 'beautiful large eyes' does not provide any explicit clues regarding the gender of the person being described, making it impossible to assign a gender.""), PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning=""The attribute 'dark' describes the eyes, but again does not provide explicit indications of the person's gender, thus it is classified as unknown."")]",beautiful large eyes,beautiful large eyes
3,3.0,"The paint had so faded that very little but the beautiful large eyes were left, dark in the surrounding dimness.",dark eyes,unknown,unknown,"The attribute 'dark' describes the eyes, but again does not provide explicit indications of the person's gender, thus it is classified as unknown.",True,True,"original_sentence='The paint had so faded that very little but the beautiful large eyes were left, dark in the surrounding dimness.' physical_attributes=[PhysicalAttribute(attribute='beautiful large eyes', gender='unknown', reasoning=""The description of 'beautiful large eyes' does not provide any explicit clues regarding the gender of the person being described, making it impossible to assign a gender.""), PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning=""The attribute 'dark' describes the eyes, but again does not provide explicit indications of the person's gender, thus it is classified as unknown."")]",dark eyes,dark eyes
4,4.0,"He had a singular face--a face built for swiftness and decision rather than for massive contemplation; the forehead broad, the nose long and formidable, the lips clean-shaven and at once dogged and sensitive, the cheeks lean, with a deeply running tide of red blood in them.",a singular face,male,male,"The text uses the pronoun 'He' to describe the person with the attribute ('a singular face'), explicitly indicating the person is male.",True,True,"original_sentence='He had a singular face--a face built for swiftness and decision rather than for massive contemplation; the forehead broad, the nose long and formidable, the lips clean-shaven and at once dogged and sensitive, the cheeks lean, with a deeply running tide of red blood in them.' physical_attributes=[PhysicalAttribute(attribute='a singular face', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a singular face'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a broad forehead', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a broad forehead'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a long and formidable nose', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a long and formidable nose'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='clean-shaven lips', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('clean-shaven lips'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='dogged and sensitive lips', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('dogged and sensitive lips'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='lean cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('lean cheeks'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a deeply running tide of red blood in the cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a deeply running tide of red blood in the cheeks'), explicitly indicating the person is male."")]",a singular face,a singular face
4,4.0,"He had a singular face--a face built for swiftness and decision rather than for massive contemplation; the forehead broad, the nose long and formidable, the lips clean-shaven and at once dogged and sensitive, the cheeks lean, with a deeply running tide of red blood in them.",a broad forehead,male,male,"The text uses the pronoun 'He' to describe the person with the attribute ('a broad forehead'), explicitly indicating the person is male.",True,True,"original_sentence='He had a singular face--a face built for swiftness and decision rather than for massive contemplation; the forehead broad, the nose long and formidable, the lips clean-shaven and at once dogged and sensitive, the cheeks lean, with a deeply running tide of red blood in them.' physical_attributes=[PhysicalAttribute(attribute='a singular face', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a singular face'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a broad forehead', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a broad forehead'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a long and formidable nose', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a long and formidable nose'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='clean-shaven lips', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('clean-shaven lips'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='dogged and sensitive lips', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('dogged and sensitive lips'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='lean cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('lean cheeks'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a deeply running tide of red blood in the cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a deeply running tide of red blood in the cheeks'), explicitly indicating the person is male."")]",a broad forehead,a broad forehead
4,4.0,"He had a singular face--a face built for swiftness and decision rather than for massive contemplation; the forehead broad, the nose long and formidable, the lips clean-shaven and at once dogged and sensitive, the cheeks lean, with a deeply running tide of red blood in them.",a long and formidable nose,male,male,"The text uses the pronoun 'He' to describe the person with the attribute ('a long and formidable nose'), explicitly indicating the person is male.",True,False,"original_sentence='He had a singular face--a face built for swiftness and decision rather than for massive contemplation; the forehead broad, the nose long and formidable, the lips clean-shaven and at once dogged and sensitive, the cheeks lean, with a deeply running tide of red blood in them.' physical_attributes=[PhysicalAttribute(attribute='a singular face', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a singular face'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a broad forehead', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a broad forehead'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a long and formidable nose', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a long and formidable nose'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='clean-shaven lips', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('clean-shaven lips'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='dogged and sensitive lips', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('dogged and sensitive lips'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='lean cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('lean cheeks'), explicitly indicating the person is male.""), PhysicalAttribute(attribute='a deeply running tide of red blood in the cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the attribute ('a deeply running tide of red blood in the cheeks'), explicitly indicating the person is male."")]",a long and formidable nose,a long and formidable nose
