text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"He wore a low-crowned felt hat, spread out at the base by tight jamming upon the head for security in high winds, and a coat like Dr. Johnson's; his lower extremities being encased in ordinary leather leggings and boots emphatically large, affording to each foot a roomy apartment so constructed that any wearer might stand in a river all day long and know nothing of damp -- their maker being a conscientious man who endeavoured to compensate for any weakness in his cut by unstinted dimension and solidity.",,male,,,False,False,"original_sentence=""He wore a low-crowned felt hat, spread out at the base by tight jamming upon the head for security in high winds, and a coat like Dr. Johnson's; his lower extremities being encased in ordinary leather leggings and boots emphatically large, affording to each foot a roomy apartment so constructed that any wearer might stand in a river all day long and know nothing of damp -- their maker being a conscientious man who endeavoured to compensate for any weakness in his cut by unstinted dimension and solidity."" physical_attributes=[]",,
1,,"There was also a cat in a willow basket, from the partly-opened lid of which she gazed with half-closed eyes, and affectionately-surveyed the small birds around.",,female,,,False,False,"original_sentence='There was also a cat in a willow basket, from the partly-opened lid of which she gazed with half-closed eyes, and affectionately-surveyed the small birds around.' physical_attributes=[]",,
2,0.0,"It was a fine morning, and the sun lighted up to a scarlet glow the crimson jacket she wore, and painted a soft lustre upon her bright face and dark hair.",a bright face,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a bright face'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='It was a fine morning, and the sun lighted up to a scarlet glow the crimson jacket she wore, and painted a soft lustre upon her bright face and dark hair.' physical_attributes=[PhysicalAttribute(attribute='a bright face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a bright face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('dark hair'), explicitly suggesting the person's gender as female."")]",a bright face,a bright face
2,0.0,"It was a fine morning, and the sun lighted up to a scarlet glow the crimson jacket she wore, and painted a soft lustre upon her bright face and dark hair.",dark hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('dark hair'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='It was a fine morning, and the sun lighted up to a scarlet glow the crimson jacket she wore, and painted a soft lustre upon her bright face and dark hair.' physical_attributes=[PhysicalAttribute(attribute='a bright face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a bright face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('dark hair'), explicitly suggesting the person's gender as female."")]",dark hair,dark hair
3,,"After such a nocturnal reconnoitre it is hard to get back to earth, and to believe that the consciousness of such majestic speeding is derived from a tiny human frame.",,unknown,,,False,False,"original_sentence='After such a nocturnal reconnoitre it is hard to get back to earth, and to believe that the consciousness of such majestic speeding is derived from a tiny human frame.' physical_attributes=[]",,
4,,"The image as a whole was that of a small Noah's Ark on a small Ararat, allowing the traditionary outlines and general form of the Ark which are followed by toy- makers -- and by these means are established in men's imaginations among their firmest, because earliest im- pressions -- to pass as an approximate pattern.",,unknown,,,False,False,"original_sentence=""The image as a whole was that of a small Noah's Ark on a small Ararat, allowing the traditionary outlines and general form of the Ark which are followed by toy- makers -- and by these means are established in men's imaginations among their firmest, because earliest im- pressions -- to pass as an approximate pattern."" physical_attributes=[]",,
5,,"He  --  returned to the hut, bringing in his arms a new-born lamb, consisting of four legs large enough for a full- grown sheep, united by a seemingly inconsiderable mem- brane about half the substance of the legs collectively, which constituted the animal's entire body just at present.",,male,,,False,False,"original_sentence=""He  --  returned to the hut, bringing in his arms a new-born lamb, consisting of four legs large enough for a full- grown sheep, united by a seemingly inconsiderable mem- brane about half the substance of the legs collectively, which constituted the animal's entire body just at present."" physical_attributes=[]",,
6,,"The cow standing erect was of the Devon breed, and was encased in a tight warm hide of rich Indian red, as absolutely uniform from eyes to tail as if the animal had been dipped in a dye of that colour, her long back being mathematically level.",,female,,,False,False,"original_sentence='The cow standing erect was of the Devon breed, and was encased in a tight warm hide of rich Indian red, as absolutely uniform from eyes to tail as if the animal had been dipped in a dye of that colour, her long back being mathematically level.' physical_attributes=[]",,
7,1.0,"By one of those whimsical coincidences in which Nature, like a busy mother, seems to spare a moment from her unremitting labours to turn and make her children smile, the girl now dropped the cloak, and forth tumbled ropes of black hair over a red jacket.",black hair,female,female,"The text uses the word 'girl' which explicitly suggests the person's gender as female. Furthermore, 'black hair' is described as the physical attribute.",True,True,"original_sentence='By one of those whimsical coincidences in which Nature, like a busy mother, seems to spare a moment from her unremitting labours to turn and make her children smile, the girl now dropped the cloak, and forth tumbled ropes of black hair over a red jacket.' physical_attributes=[PhysicalAttribute(attribute='black hair', gender='female', reasoning=""The text uses the word 'girl' which explicitly suggests the person's gender as female. Furthermore, 'black hair' is described as the physical attribute."")]",black hair,black hair
9,3.0,"It may have been observed by persons who go about the shires with eyes for beauty, that in Englishwoman a classically-formed face is seldom found to be united with a figure of the same pattern, the highly-finished features being generally too large for the remainder of the frame; that a graceful and proportionate figure of eight heads usually goes off into random facial curves.",a classically-formed face,unknown,female,"The text refers to 'Englishwoman', indicating that the person described is female.",False,True,"original_sentence='It may have been observed by persons who go about the shires with eyes for beauty, that in Englishwoman a classically-formed face is seldom found to be united with a figure of the same pattern, the highly-finished features being generally too large for the remainder of the frame; that a graceful and proportionate figure of eight heads usually goes off into random facial curves.' physical_attributes=[PhysicalAttribute(attribute='a classically-formed face', gender='female', reasoning=""The text refers to 'Englishwoman', indicating that the person described is female.""), PhysicalAttribute(attribute='highly-finished features', gender='female', reasoning=""The text describes 'features' in the context of 'Englishwoman', which implies the gender is female.""), PhysicalAttribute(attribute='a graceful and proportionate figure', gender='female', reasoning=""The context of 'Englishwoman' suggests that the figure being described is female."")]",a classically-formed face,a classically-formed face
