text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The Old Man pulled up at the bunk-house, the stranger sprang out over the wheel with the agility which bespoke youthful muscles, and the Old Man introduced him with a quirk of the lips:  “This is Mr. Mig-u-ell Rapponi, boys--a peeler straight from the Golden Gate.",,male,,,False,False,"original_sentence='The Old Man pulled up at the bunk-house, the stranger sprang out over the wheel with the agility which bespoke youthful muscles, and the Old Man introduced him with a quirk of the lips:  “This is Mr. Mig-u-ell Rapponi, boys--a peeler straight from the Golden Gate.' physical_attributes=[]",,
1,,"There was a ring upon that finger; a ring with a moonstone setting as large and round as the eye of a startled cat, and the Happy Family caught the pale gleam of it and drew a long breath.",,unknown,,,False,False,"original_sentence='There was a ring upon that finger; a ring with a moonstone setting as large and round as the eye of a startled cat, and the Happy Family caught the pale gleam of it and drew a long breath.' physical_attributes=[]",,
3,,"Ha-ha.” His voice was soft and absolutely expressionless, his face blank of any emotion whatever.",,male,,,False,False,"original_sentence='Ha-ha.” His voice was soft and absolutely expressionless, his face blank of any emotion whatever.' physical_attributes=[]",,
4,1.0,"Gee!” Cal looked around at them, with his wide, baby-blue eyes, and laughed.",wide baby-blue eyes,male,male,"The name 'Cal' is typically male, and the pronoun 'his' indicates the physical attribute belongs to a male.",True,False,"original_sentence='Gee!” Cal looked around at them, with his wide, baby-blue eyes, and laughed.' physical_attributes=[PhysicalAttribute(attribute='wide baby-blue eyes', gender='male', reasoning=""The name 'Cal' is typically male, and the pronoun 'his' indicates the physical attribute belongs to a male."")]",wide baby-blue eyes,wide baby-blue eyes
5,2.0,"“I wouldn't give a punched nickel for a four-horse load uh them idees, and that's the truth.” He passed Pink and went on ahead, disgust in every line of his square-shouldered figure.",a square-shouldered figure,male,male,"The pronoun 'He' suggests the person described is male, and 'square-shouldered' often describes a male physique.",True,True,"original_sentence=""“I wouldn't give a punched nickel for a four-horse load uh them idees, and that's the truth.” He passed Pink and went on ahead, disgust in every line of his square-shouldered figure."" physical_attributes=[PhysicalAttribute(attribute='a square-shouldered figure', gender='male', reasoning=""The pronoun 'He' suggests the person described is male, and 'square-shouldered' often describes a male physique."")]",a square-shouldered figure,a square-shouldered figure
6,3.0,"The Countess stopped, with her dishcloth dangling from one red, bony hand, while she looked.",a red hand,female,female,"The title 'Countess' implies a female character, and the pronoun 'her' indicates the hand belongs to her.",True,True,"original_sentence='The Countess stopped, with her dishcloth dangling from one red, bony hand, while she looked.' physical_attributes=[PhysicalAttribute(attribute='a red hand', gender='female', reasoning=""The title 'Countess' implies a female character, and the pronoun 'her' indicates the hand belongs to her.""), PhysicalAttribute(attribute='a bony hand', gender='female', reasoning=""The title 'Countess' implies a female character, and the pronoun 'her' indicates the hand belongs to her."")]",a red hand,a red hand
6,3.0,"The Countess stopped, with her dishcloth dangling from one red, bony hand, while she looked.",a bony hand,female,female,"The title 'Countess' implies a female character, and the pronoun 'her' indicates the hand belongs to her.",True,False,"original_sentence='The Countess stopped, with her dishcloth dangling from one red, bony hand, while she looked.' physical_attributes=[PhysicalAttribute(attribute='a red hand', gender='female', reasoning=""The title 'Countess' implies a female character, and the pronoun 'her' indicates the hand belongs to her.""), PhysicalAttribute(attribute='a bony hand', gender='female', reasoning=""The title 'Countess' implies a female character, and the pronoun 'her' indicates the hand belongs to her."")]",a bony hand,a bony hand
7,,"“Why don't you have a strip of ringlets down each leg, with tight little curls between?” suggested the Little Doctor, not to be outdone by any other woman.",,unknown,,,False,False,"original_sentence=""“Why don't you have a strip of ringlets down each leg, with tight little curls between?” suggested the Little Doctor, not to be outdone by any other woman."" physical_attributes=[]",,
8,4.0,"“But we'd rather be ashamed than good, any old time.”  The Little Doctor giggled behind the Kid's tousled curls, and reached out a slim hand once more to give Pink's tongs the expert twist he was trying awkwardly to learn.",tousled curls,male,"unknown},{","The text describes 'the Kid's tousled curls' but does not provide specific gender indicators or pronouns related to the Kid, indicating that the gender is unknown.",False,False,"original_sentence=""“But we'd rather be ashamed than good, any old time.”  The Little Doctor giggled behind the Kid's tousled curls, and reached out a slim hand once more to give Pink's tongs the expert twist he was trying awkwardly to learn."" physical_attributes=[PhysicalAttribute(attribute='tousled curls', gender='unknown},{', reasoning=""The text describes 'the Kid's tousled curls' but does not provide specific gender indicators or pronouns related to the Kid, indicating that the gender is unknown.""), PhysicalAttribute(attribute='a slim hand', gender='unknown', reasoning=""The text does not specify the gender of the person referred to by 'The Little Doctor', thus the gender of the person featuring 'a slim hand' remains unknown."")]",tousled curls,tousled curls
8,4.0,"“But we'd rather be ashamed than good, any old time.”  The Little Doctor giggled behind the Kid's tousled curls, and reached out a slim hand once more to give Pink's tongs the expert twist he was trying awkwardly to learn.",a slim hand,male,unknown,"The text does not specify the gender of the person referred to by 'The Little Doctor', thus the gender of the person featuring 'a slim hand' remains unknown.",False,True,"original_sentence=""“But we'd rather be ashamed than good, any old time.”  The Little Doctor giggled behind the Kid's tousled curls, and reached out a slim hand once more to give Pink's tongs the expert twist he was trying awkwardly to learn."" physical_attributes=[PhysicalAttribute(attribute='tousled curls', gender='unknown},{', reasoning=""The text describes 'the Kid's tousled curls' but does not provide specific gender indicators or pronouns related to the Kid, indicating that the gender is unknown.""), PhysicalAttribute(attribute='a slim hand', gender='unknown', reasoning=""The text does not specify the gender of the person referred to by 'The Little Doctor', thus the gender of the person featuring 'a slim hand' remains unknown."")]",a slim hand,a slim hand
