text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He now looked quite handsome, and might readily have been taken for a young gentleman, except that his hands were red and grimy.",a handsome appearance,male,male,"The text refers to 'He' and describes the person as 'quite handsome', which suggests a male gender.",True,True,"original_sentence='He now looked quite handsome, and might readily have been taken for a young gentleman, except that his hands were red and grimy.' physical_attributes=[PhysicalAttribute(attribute='a handsome appearance', gender='male', reasoning=""The text refers to 'He' and describes the person as 'quite handsome', which suggests a male gender.""), PhysicalAttribute(attribute='red hands', gender='male', reasoning=""The text refers to 'his hands', again indicating a male gender.""), PhysicalAttribute(attribute='grimy hands', gender='male', reasoning=""The text also describes 'his hands' as 'grimy', maintaining the indication of a male gender."")]",a handsome appearance,a handsome appearance
0,0.0,"He now looked quite handsome, and might readily have been taken for a young gentleman, except that his hands were red and grimy.",red hands,male,male,"The text refers to 'his hands', again indicating a male gender.",True,True,"original_sentence='He now looked quite handsome, and might readily have been taken for a young gentleman, except that his hands were red and grimy.' physical_attributes=[PhysicalAttribute(attribute='a handsome appearance', gender='male', reasoning=""The text refers to 'He' and describes the person as 'quite handsome', which suggests a male gender.""), PhysicalAttribute(attribute='red hands', gender='male', reasoning=""The text refers to 'his hands', again indicating a male gender.""), PhysicalAttribute(attribute='grimy hands', gender='male', reasoning=""The text also describes 'his hands' as 'grimy', maintaining the indication of a male gender."")]",red hands,red hands
0,0.0,"He now looked quite handsome, and might readily have been taken for a young gentleman, except that his hands were red and grimy.",grimy hands,male,male,"The text also describes 'his hands' as 'grimy', maintaining the indication of a male gender.",True,False,"original_sentence='He now looked quite handsome, and might readily have been taken for a young gentleman, except that his hands were red and grimy.' physical_attributes=[PhysicalAttribute(attribute='a handsome appearance', gender='male', reasoning=""The text refers to 'He' and describes the person as 'quite handsome', which suggests a male gender.""), PhysicalAttribute(attribute='red hands', gender='male', reasoning=""The text refers to 'his hands', again indicating a male gender.""), PhysicalAttribute(attribute='grimy hands', gender='male', reasoning=""The text also describes 'his hands' as 'grimy', maintaining the indication of a male gender."")]",grimy hands,grimy hands
1,,"A hat and cap store being close at hand, Dick and Frank went in.",,unknown,,,False,False,"original_sentence='A hat and cap store being close at hand, Dick and Frank went in.' physical_attributes=[]",,
2,,"Frank looked up at the statue, which is fourteen and a half feet high, and acknowledged the justice of Dick's remark.",,unknown,,,False,False,"original_sentence=""Frank looked up at the statue, which is fourteen and a half feet high, and acknowledged the justice of Dick's remark."" physical_attributes=[]",,
3,,"""Well, it might be rather loose,"" said Dick, ""I aint much more'n ten feet high with my boots off.""",,unknown,,,False,False,"original_sentence='""Well, it might be rather loose,"" said Dick, ""I aint much more\'n ten feet high with my boots off.""' physical_attributes=[]",,
4,,"It was in the form of a parallelogram, two hundred feet long by ninety wide, and about eighty feet in height, the ascent to the entrance being by eighteen granite steps.",,unknown,,,False,False,"original_sentence='It was in the form of a parallelogram, two hundred feet long by ninety wide, and about eighty feet in height, the ascent to the entrance being by eighteen granite steps.' physical_attributes=[]",,
5,1.0,"He was tall, and rather loosely put together, with small eyes and rather a prominent nose.",small eyes,male,male,"The attribute is used in the same context as 'He', supporting the inference that the person's gender is male.",True,True,"original_sentence='He was tall, and rather loosely put together, with small eyes and rather a prominent nose.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The attribute 'tall' is used in a sentence that begins with 'He', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The attribute is used in the same context as 'He', supporting the inference that the person's gender is male.""), PhysicalAttribute(attribute='a prominent nose', gender='male', reasoning=""The attribute is used in the same context as 'He', supporting the inference that the person's gender is male."")]",small eyes,small eyes
5,1.0,"He was tall, and rather loosely put together, with small eyes and rather a prominent nose.",a prominent nose,male,male,"The attribute is used in the same context as 'He', supporting the inference that the person's gender is male.",True,True,"original_sentence='He was tall, and rather loosely put together, with small eyes and rather a prominent nose.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The attribute 'tall' is used in a sentence that begins with 'He', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The attribute is used in the same context as 'He', supporting the inference that the person's gender is male.""), PhysicalAttribute(attribute='a prominent nose', gender='male', reasoning=""The attribute is used in the same context as 'He', supporting the inference that the person's gender is male."")]",a prominent nose,a prominent nose
6,,"Sometime when you are a prosperous man, you can repay it in the form of aid to some poor boy, who is struggling upward as you are now.""",,unknown,,,False,False,"original_sentence='Sometime when you are a prosperous man, you can repay it in the form of aid to some poor boy, who is struggling upward as you are now.' physical_attributes=[]",,
