text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The feet, though small, were set flatly.",,unknown,,,False,False,"original_sentence='The feet, though small, were set flatly.' physical_attributes=[]",,
1,,He reached down in his hip pocket and took out a fat purse.,,male,,,False,False,original_sentence='He reached down in his hip pocket and took out a fat purse.' physical_attributes=[],,
2,,She began to gather up her poor little grip and closed her hand firmly upon her purse.,,female,,,False,False,original_sentence='She began to gather up her poor little grip and closed her hand firmly upon her purse.' physical_attributes=[],,
3,,"There were regions open to the sweeping winds and rain, which were yet lighted throughout the night with long, blinking lines of gas-lamps, fluttering in the wind.",,unknown,,,False,False,"original_sentence='There were regions open to the sweeping winds and rain, which were yet lighted throughout the night with long, blinking lines of gas-lamps, fluttering in the wind.' physical_attributes=[]",,
4,,"Upon streetlamps at the various corners she read names such as Madison, Monroe, La Salle, Clark, Dearborn, State, and still she went, her feet beginning to tire upon the broad stone flagging.",,female,,,False,False,"original_sentence='Upon streetlamps at the various corners she read names such as Madison, Monroe, La Salle, Clark, Dearborn, State, and still she went, her feet beginning to tire upon the broad stone flagging.' physical_attributes=[]",,
5,,"Men and women hurried by in long, shifting lines.",,unknown,,,False,False,"original_sentence='Men and women hurried by in long, shifting lines.' physical_attributes=[]",,
6,0.0,With ready will and quick mental selection she scattered her meagre four-fifty per week with a swift and graceful hand.,a swift hand,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a swift hand'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='With ready will and quick mental selection she scattered her meagre four-fifty per week with a swift and graceful hand.' physical_attributes=[PhysicalAttribute(attribute='a swift hand', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a swift hand'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a graceful hand', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a graceful hand'), explicitly suggesting the person's gender as female."")]",a swift hand,a swift hand
6,0.0,With ready will and quick mental selection she scattered her meagre four-fifty per week with a swift and graceful hand.,a graceful hand,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a graceful hand'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='With ready will and quick mental selection she scattered her meagre four-fifty per week with a swift and graceful hand.' physical_attributes=[PhysicalAttribute(attribute='a swift hand', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a swift hand'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a graceful hand', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a graceful hand'), explicitly suggesting the person's gender as female."")]",a graceful hand,a graceful hand
7,1.0,It was with weak knees and a slight catch in her breathing that she came up to the great shoe company at Adams and Fifth Avenue and entered the elevator.,weak knees,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('weak knees'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='It was with weak knees and a slight catch in her breathing that she came up to the great shoe company at Adams and Fifth Avenue and entered the elevator.' physical_attributes=[PhysicalAttribute(attribute='weak knees', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('weak knees'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a slight catch in breathing', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a slight catch in breathing'), explicitly suggesting the person's gender as female."")]",weak knees,weak knees
7,1.0,It was with weak knees and a slight catch in her breathing that she came up to the great shoe company at Adams and Fifth Avenue and entered the elevator.,a slight catch in breathing,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a slight catch in breathing'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='It was with weak knees and a slight catch in her breathing that she came up to the great shoe company at Adams and Fifth Avenue and entered the elevator.' physical_attributes=[PhysicalAttribute(attribute='weak knees', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('weak knees'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a slight catch in breathing', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a slight catch in breathing'), explicitly suggesting the person's gender as female."")]",a slight catch in breathing,a slight catch in breathing
