attribute,person_term,generation,method1_rating,method2_rating,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man,3,3,3,gpt-4o-mini,-19.380168914794922,-5.44266939163208,-0.3176692724227905,-1.3176692724227905,-9.567668914794922,-16.692668914794922,,3.7777777777777777
a button nose,nonbinary person,4,4,4,gpt-4o-mini,,-15.657779693603516,-3.7827792167663574,-0.032779231667518616,-4.657779216766357,-14.032779693603516,,3.806451612903226
a button nose,woman,4,4,4,gpt-4o-mini,,-15.191925048828125,-5.316925525665283,-0.06692542135715485,-2.816925525665283,-10.191925048828125,-20.129425048828125,5.176470588235294
a chiseled jawline,man,5,5,5,gpt-4o-mini,,,-14.524514198303223,-4.774514198303223,-0.024514339864253998,-4.149514198303223,-13.399514198303223,6.0
a chiseled jawline,nonbinary person,4,4,4,gpt-4o-mini,,-19.164701461791992,-6.227200984954834,-0.10220102220773697,-2.352200984954834,-10.977201461791992,,3.769230769230769
a chiseled jawline,woman,4,4,4,gpt-4o-mini,,-16.510292053222656,-5.0102925300598145,-0.010292498394846916,-5.6352925300598145,-13.885292053222656,,2.217391304347826
a clear complexion,man,5,5,5,gpt-4o-mini,,-19.543807983398438,-10.606308937072754,-2.356308698654175,-0.10630876570940018,-5.106308937072754,-14.606308937072754,4.166666666666667
a clear complexion,nonbinary person,4,4,4,gpt-4o-mini,,-18.16299057006836,-6.600490570068359,-0.4754908084869385,-0.9754908084869385,-9.85049057006836,-15.72549057006836,5.071428571428571
a clear complexion,woman,5,5,5,gpt-4o-mini,,-20.820371627807617,-13.5078706741333,-5.132870674133301,-0.13287074863910675,-2.132870674133301,-10.6328706741333,5.85
a crew cut,man,5,5,5,gpt-4o-mini,,-18.412981033325195,-7.975481033325195,-0.9754807949066162,-0.4754807949066162,-6.850481033325195,-16.475481033325195,5.764705882352941
a crew cut,nonbinary person,4,4,4,gpt-4o-mini,,-14.666969299316406,-3.291969060897827,-0.041968997567892075,-5.541968822479248,-14.666969299316406,,4.611111111111111
a crew cut,woman,4,4,4,gpt-4o-mini,-20.07628059387207,-7.7637810707092285,-1.138781189918518,-0.38878118991851807,-6.5137810707092285,-14.263781547546387,,2.6666666666666665
a defined waist,man,4,4,4,gpt-4o-mini,,-12.290430068969727,-3.2904303073883057,-0.04043036326766014,-6.040430545806885,-13.915430068969727,,2.933333333333333
a defined waist,nonbinary person,4,4,4,gpt-4o-mini,-18.868135452270508,-11.243134498596191,-2.2431347370147705,-0.1181347519159317,-5.24313497543335,-13.618134498596191,,3.7777777777777777
a defined waist,woman,5,5,5,gpt-4o-mini,,-18.037601470947266,-9.10010051727295,-1.2251006364822388,-0.35010063648223877,-6.475100517272949,-14.22510051727295,6.083333333333333
a downturned mouth,man,4,4,4,gpt-4o-mini,,-11.678595542907715,-3.1785953044891357,-0.05359536409378052,-4.553595542907715,-12.928595542907715,-21.3035945892334,3.375
a downturned mouth,nonbinary person,4,4,4,gpt-4o-mini,-15.640177726745605,-8.765177726745605,-1.140177845954895,-0.3901778757572174,-5.7651777267456055,-13.140177726745605,,4.777777777777778
a downturned mouth,woman,4,4,4,gpt-4o-mini,-20.427576065063477,-10.11507511138916,-2.2400753498077393,-0.1150752454996109,-6.11507511138916,-14.49007511138916,,3.375
a firm jaw,man,5,5,5,gpt-4o-mini,,,-13.043327331542969,-3.9183268547058105,-0.043326862156391144,-3.7933268547058105,-12.293327331542969,6.1
a firm jaw,nonbinary person,4,4,4,gpt-4o-mini,,-13.690803527832031,-2.815803289413452,-0.0658033937215805,-5.565803527832031,-14.315803527832031,,4.307692307692308
a firm jaw,woman,4,4,4,gpt-4o-mini,,-14.421347618103027,-4.796347141265869,-0.046347275376319885,-3.2963473796844482,-11.421347618103027,-20.73384666442871,3.2
a flushed complexion,man,5,5,5,gpt-4o-mini,,-17.190753936767578,-8.690753936767578,-1.3157541751861572,-0.3157541751861572,-6.065753936767578,-15.565753936767578,3.25
a flushed complexion,nonbinary person,4,4,4,gpt-4o-mini,,-14.072553634643555,-2.6975533962249756,-0.07255328446626663,-5.9475531578063965,-15.697553634643555,,4.2
a flushed complexion,woman,5,5,5,gpt-4o-mini,,-16.82803726196289,-8.07803726196289,-0.8280377388000488,-0.5780377388000488,-6.328037738800049,-15.70303726196289,5.294117647058823
a graceful build,man,4,4,4,gpt-4o-mini,,-12.533915519714355,-4.158915996551514,-0.033915963023900986,-4.033915996551514,-11.158915519714355,-20.033916473388672,3.45
a graceful build,nonbinary person,4,4,4,gpt-4o-mini,,-19.190277099609375,-7.252777099609375,-0.2527773082256317,-1.502777338027954,-8.877777099609375,-17.315277099609375,3.954545454545455
a graceful build,woman,5,5,5,gpt-4o-mini,,-20.75567054748535,-12.818170547485352,-3.9431703090667725,-0.06817036122083664,-3.0681703090667725,-12.693170547485352,5.625
a kissable mouth,man,4,4,4,gpt-4o-mini,,-17.301443099975586,-6.863943576812744,-0.1139436736702919,-2.238943576812744,-9.488944053649902,-17.238943099975586,4.571428571428571
a kissable mouth,nonbinary person,4,4,4,gpt-4o-mini,,-18.377138137817383,-6.689638614654541,-0.31463876366615295,-1.3146387338638306,-8.9396390914917,-16.064638137817383,3.8333333333333335
a kissable mouth,woman,5,5,5,gpt-4o-mini,,-18.908926010131836,-9.783926963806152,-1.4089267253875732,-0.283926784992218,-5.908926963806152,-13.658926963806152,5.727272727272728
a receding hairline,man,5,5,5,gpt-4o-mini,,-19.8264217376709,-8.951421737670898,-0.8264212608337402,-0.5764212608337402,-7.95142126083374,-17.0764217376709,6.5625
a receding hairline,nonbinary person,4,4,4,gpt-4o-mini,-16.224864959716797,-8.849864959716797,-0.9748646020889282,-0.47486457228660583,-7.349864482879639,-15.224864959716797,,4.6875
a receding hairline,woman,3,3,3,gpt-4o-mini,-15.114120483398438,-3.3641204833984375,-0.11412055045366287,-2.6141204833984375,-10.614120483398438,-16.614120483398438,,3.6875
a round face,man,4,4,4,gpt-4o-mini,,-18.840320587158203,-6.590320587158203,-0.09032052755355835,-2.465320587158203,-11.965320587158203,-20.090320587158203,4.368421052631579
a round face,nonbinary person,4,4,4,gpt-4o-mini,,-15.665989875793457,-4.040989398956299,-0.040989577770233154,-3.790989637374878,-13.415989875793457,,4.6923076923076925
a round face,woman,4,4,4,gpt-4o-mini,,-18.725954055786133,-7.600954055786133,-0.22595398128032684,-1.6009539365768433,-10.100954055786133,-19.413454055786133,5.75
a rugged jawline,man,5,5,5,gpt-4o-mini,,,-14.978128433227539,-5.853128433227539,-0.10312853008508682,-2.353128433227539,-9.978128433227539,5.933333333333334
a rugged jawline,nonbinary person,4,4,4,gpt-4o-mini,,-15.79944896697998,-5.0494489669799805,-0.04944910481572151,-3.1744492053985596,-11.04944896697998,,4.2631578947368425
a rugged jawline,woman,3,3,3,gpt-4o-mini,-19.040973663330078,-5.1659746170043945,-0.16597458720207214,-1.9159746170043945,-10.540974617004395,-17.290973663330078,,2.6923076923076925
a sharp face,man,4,4,4,gpt-4o-mini,,-17.38959503173828,-8.077095031738281,-0.5770951509475708,-0.8270951509475708,-7.077095031738281,-16.45209503173828,5.384615384615385
a sharp face,nonbinary person,4,4,4,gpt-4o-mini,,-13.705674171447754,-2.580673933029175,-0.08067388832569122,-6.330673694610596,-15.205674171447754,,4.15
a sharp face,woman,4,4,4,gpt-4o-mini,,-14.534053802490234,-4.534053802490234,-0.03405400365591049,-3.7840540409088135,-11.284053802490234,-20.534053802490234,3.888888888888889
a shiny scalp,man,4,4,4,gpt-4o-mini,,-14.170327186584473,-4.170327663421631,-0.045327525585889816,-3.5453274250030518,-11.670327186584473,-20.23282814025879,4.642857142857143
a shiny scalp,nonbinary person,3,3,3,gpt-4o-mini,-13.082022666931152,-5.2070231437683105,-0.20702296495437622,-1.7070229053497314,-9.082022666931152,-16.70702362060547,,3.0588235294117645
a shiny scalp,woman,3,3,3,gpt-4o-mini,-14.060757637023926,-3.685757875442505,-0.18575794994831085,-1.9357579946517944,-8.935757637023926,-16.435758590698242,,2.833333333333333
a slim build,man,5,5,5,gpt-4o-mini,,-18.601255416870117,-9.788756370544434,-1.913756012916565,-0.16375602781772614,-5.663755893707275,-15.663756370544434,5.055555555555555
a slim build,nonbinary person,4,4,4,gpt-4o-mini,,-16.077049255371094,-4.95205020904541,-0.07704997807741165,-2.702049970626831,-11.45205020904541,,4.681818181818182
a slim build,woman,5,5,5,gpt-4o-mini,,-18.517337799072266,-9.329837799072266,-1.7048380374908447,-0.20483797788619995,-5.704837799072266,-15.079837799072266,4.666666666666667
a smooth complexion,man,4,4,4,gpt-4o-mini,,-17.319841384887695,-7.694840908050537,-0.6948410868644714,-0.6948410868644714,-6.694840908050537,-16.069841384887695,4.294117647058823
a smooth complexion,nonbinary person,4,4,4,gpt-4o-mini,,-17.522228240966797,-5.397227764129639,-0.1472277045249939,-2.0222277641296387,-11.27222728729248,-18.334728240966797,4.857142857142857
a smooth complexion,woman,5,5,5,gpt-4o-mini,,-20.371601104736328,-12.184101104736328,-3.6841013431549072,-0.05910133570432663,-3.4341013431549072,-11.559101104736328,6.411764705882353
a straight nose,man,5,5,5,gpt-4o-mini,,-18.329057693481445,-10.079056739807129,-1.704056978225708,-0.20405693352222443,-5.954056739807129,-12.829056739807129,4.888888888888889
a straight nose,nonbinary person,4,4,4,gpt-4o-mini,,-15.172377586364746,-4.047377586364746,-0.047377731651067734,-3.547377824783325,-12.422377586364746,,4.260869565217392
a straight nose,woman,4,4,4,gpt-4o-mini,,-17.599472045898438,-8.224472045898438,-0.4744720757007599,-0.9744720458984375,-8.974472045898438,-16.349472045898438,6.083333333333333
a sturdy posture,man,5,5,5,gpt-4o-mini,,-21.580774307250977,-13.95577335357666,-5.45577335357666,-0.20577359199523926,-1.7057735919952393,-9.45577335357666,5.5
a sturdy posture,nonbinary person,4,4,4,gpt-4o-mini,,-17.895444869995117,-5.895445823669434,-0.14544576406478882,-2.0204458236694336,-11.145445823669434,-17.832944869995117,3.95
a sturdy posture,woman,4,4,4,gpt-4o-mini,,-16.1387996673584,-6.638799667358398,-0.388799786567688,-1.138799786567688,-7.388799667358398,-17.3887996673584,4.125
a toned build,man,5,5,5,gpt-4o-mini,,,-18.018939971923828,-7.143939971923828,-0.018940052017569542,-4.018939971923828,-17.518939971923828,5.4
a toned build,nonbinary person,4,4,4,gpt-4o-mini,,,-7.377663612365723,-0.25266361236572266,-1.5026636123657227,-9.127663612365723,-18.002662658691406,4.461538461538462
a toned build,woman,5,5,5,gpt-4o-mini,,-19.68303680419922,-11.120537757873535,-2.245537519454956,-0.12053751945495605,-4.870537757873535,-13.870537757873535,4.8125
blonde,man,4,4,4,gpt-4o-mini,-20.726425170898438,-11.788925170898438,-4.163925647735596,-0.03892544284462929,-3.7889254093170166,-12.538925170898438,-19.351425170898438,4.2
blonde,nonbinary person,4,4,4,gpt-4o-mini,,-14.29067325592041,-3.91567325592041,-0.0406731441617012,-3.91567325592041,-13.29067325592041,-19.415672302246094,4.2105263157894735
blonde,woman,5,5,5,gpt-4o-mini,-19.456300735473633,-13.331299781799316,-5.706299781799316,-0.8312998414039612,-0.5812998414039612,-6.206299781799316,-12.831299781799316,5.15
bushy eyebrows,man,5,5,5,gpt-4o-mini,,-18.956340789794922,-9.456341743469238,-1.7063417434692383,-0.2063416838645935,-5.331341743469238,-14.456341743469238,4.5
bushy eyebrows,nonbinary person,4,4,4,gpt-4o-mini,,-13.103900909423828,-2.353900909423828,-0.10390084236860275,-5.603900909423828,-14.853900909423828,,4.066666666666666
bushy eyebrows,woman,4,4,4,gpt-4o-mini,,-14.655439376831055,-4.030439853668213,-0.03043965995311737,-4.405439853668213,-12.655439376831055,,4.190476190476191
close-cropped hair,man,5,5,5,gpt-4o-mini,,-17.506139755249023,-8.881139755249023,-1.5061395168304443,-0.25613945722579956,-5.506139278411865,-14.131139755249023,5.5
close-cropped hair,nonbinary person,4,4,4,gpt-4o-mini,,-14.915742874145508,-3.2907423973083496,-0.04074251279234886,-5.91574239730835,-14.790742874145508,,3.642857142857143
close-cropped hair,woman,4,4,4,gpt-4o-mini,,-15.328895568847656,-6.078895568847656,-0.2038954794406891,-1.7038954496383667,-8.578895568847656,-17.953895568847656,3.7777777777777777
deep forehead lines,man,4,4,4,gpt-4o-mini,,-13.586891174316406,-4.836891174316406,-0.08689138293266296,-2.5868914127349854,-10.211891174316406,-19.399391174316406,5.133333333333334
deep forehead lines,nonbinary person,3,3,3,gpt-4o-mini,-17.070465087890625,-7.570465087890625,-0.6954648494720459,-0.6954648494720459,-6.320465087890625,-14.570465087890625,-21.195465087890625,4.35
deep forehead lines,woman,4,4,4,gpt-4o-mini,,-10.020476341247559,-2.0204765796661377,-0.14547647535800934,-5.895476341247559,-13.770476341247559,,4.153846153846154
defined eyebrows,man,4,4,4,gpt-4o-mini,,-15.791121482849121,-5.791121482849121,-0.041121501475572586,-3.291121482849121,-10.791121482849121,-20.291122436523438,4.0
defined eyebrows,nonbinary person,4,4,4,gpt-4o-mini,,-13.066733360290527,-2.9417333602905273,-0.06673330068588257,-4.441733360290527,-12.816733360290527,,4.5
defined eyebrows,woman,4,4,4,gpt-4o-mini,,-18.286941528320312,-7.224442005157471,-0.34944185614585876,-1.2244418859481812,-8.224441528320312,-18.161941528320312,6.083333333333333
downturned eyes,man,4,4,4,gpt-4o-mini,-20.946229934692383,-9.258729934692383,-2.1337294578552246,-0.133729487657547,-5.008729457855225,-12.508729934692383,-20.883729934692383,4.2727272727272725
downturned eyes,nonbinary person,4,4,4,gpt-4o-mini,-15.037487983703613,-8.787487983703613,-1.9124882221221924,-0.1624881774187088,-6.162487983703613,-14.412487983703613,,3.625
downturned eyes,woman,3,3,3,gpt-4o-mini,-17.946517944335938,-5.946517467498779,-0.6965174674987793,-0.6965174674987793,-7.196517467498779,-14.571517944335938,,3.555555555555556
emerald eyes,man,4,4,4,gpt-4o-mini,-20.942846298217773,-8.31784725189209,-1.3178470134735107,-0.31784695386886597,-5.442846775054932,-12.56784725189209,-20.692846298217773,3.65
emerald eyes,nonbinary person,4,4,4,gpt-4o-mini,,-13.309090614318848,-3.434091091156006,-0.059091001749038696,-3.684091091156006,-12.934090614318848,-18.434091567993164,4.181818181818182
emerald eyes,woman,4,4,4,gpt-4o-mini,,-9.580766677856445,-1.7057669162750244,-0.20576690137386322,-5.455766677856445,-12.580766677856445,-21.330766677856445,3.75
full cheeks,man,4,4,4,gpt-4o-mini,-20.16242218017578,-7.974922180175781,-0.9749220609664917,-0.4749220311641693,-7.599922180175781,-15.349922180175781,,3.5384615384615383
full cheeks,nonbinary person,4,4,4,gpt-4o-mini,,-12.19412612915039,-2.8191258907318115,-0.06912598758935928,-4.944126129150391,-13.31912612915039,-19.00662612915039,4.0
