text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",a large physique,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,True,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",a large physique,a large physique
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",a stout physique,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,False,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",a stout physique,a stout physique
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",a dingy skin,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,False,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",a dingy skin,a dingy skin
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",thick lineaments,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,False,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",thick lineaments,thick lineaments
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",a spacious visage,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,True,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",a spacious visage,a spacious visage
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",heavy limbs,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,True,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",heavy limbs,heavy limbs
0,0.0,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.",large extremities,male,male,"The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.",True,True,"original_sentence='John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities.' physical_attributes=[PhysicalAttribute(attribute='a large physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a stout physique', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a dingy skin', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='thick lineaments', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='a spacious visage', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='heavy limbs', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics.""), PhysicalAttribute(attribute='large extremities', gender='male', reasoning=""The text explicitly mentions 'John Reed', which is a common male name, and describes physical attributes that align with male characteristics."")]",large extremities,large extremities
1,1.0,"He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.",a dim eye,male,male,"The attribute is used to describe 'him', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.' physical_attributes=[PhysicalAttribute(attribute='a dim eye', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a bleared eye', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='flabby cheeks', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male."")]",a dim eye,a dim eye
1,1.0,"He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.",a bleared eye,male,male,"The attribute is used to describe 'him', explicitly suggesting the person's gender as male.",True,True,"original_sentence='He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.' physical_attributes=[PhysicalAttribute(attribute='a dim eye', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a bleared eye', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='flabby cheeks', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male."")]",a bleared eye,a bleared eye
1,1.0,"He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.",flabby cheeks,male,male,"The attribute is used to describe 'him', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.' physical_attributes=[PhysicalAttribute(attribute='a dim eye', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a bleared eye', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='flabby cheeks', gender='male', reasoning=""The attribute is used to describe 'him', explicitly suggesting the person's gender as male."")]",flabby cheeks,flabby cheeks
