text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Although her hair was the most obviously striking feature of her appearance, her mouth was really the most individual thing about her.",striking hair,female,female,"The text uses the pronoun 'her' to refer to the person's hair, explicitly suggesting the person's gender as female.",True,False,"original_sentence='Although her hair was the most obviously striking feature of her appearance, her mouth was really the most individual thing about her.' physical_attributes=[PhysicalAttribute(attribute='striking hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's hair, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='individual mouth', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's mouth, explicitly suggesting the person's gender as female."")]",striking hair,striking hair
0,0.0,"Although her hair was the most obviously striking feature of her appearance, her mouth was really the most individual thing about her.",individual mouth,female,female,"The text uses the pronoun 'her' to refer to the person's mouth, explicitly suggesting the person's gender as female.",True,True,"original_sentence='Although her hair was the most obviously striking feature of her appearance, her mouth was really the most individual thing about her.' physical_attributes=[PhysicalAttribute(attribute='striking hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's hair, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='individual mouth', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's mouth, explicitly suggesting the person's gender as female."")]",individual mouth,individual mouth
1,,"In its corners and in the firm line of the chin beneath it there lurked, too, more than a hint of imperiousness.",,unknown,,,False,False,"original_sentence='In its corners and in the firm line of the chin beneath it there lurked, too, more than a hint of imperiousness.' physical_attributes=[]",,
2,1.0,"She was a large woman, with a fine figure and bold and compelling eyes, and her personality crashed disturbingly into the quiet atmosphere of the room.",a fine figure,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine figure'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='She was a large woman, with a fine figure and bold and compelling eyes, and her personality crashed disturbingly into the quiet atmosphere of the room.' physical_attributes=[PhysicalAttribute(attribute='a fine figure', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine figure'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='bold and compelling eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described as ('bold and compelling eyes'), explicitly suggesting the person's gender as female."")]",a fine figure,a fine figure
2,1.0,"She was a large woman, with a fine figure and bold and compelling eyes, and her personality crashed disturbingly into the quiet atmosphere of the room.",bold and compelling eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described as ('bold and compelling eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She was a large woman, with a fine figure and bold and compelling eyes, and her personality crashed disturbingly into the quiet atmosphere of the room.' physical_attributes=[PhysicalAttribute(attribute='a fine figure', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine figure'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='bold and compelling eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described as ('bold and compelling eyes'), explicitly suggesting the person's gender as female."")]",bold and compelling eyes,bold and compelling eyes
3,2.0,Ann had red hair and the nature which generally goes with red hair.,red hair,unknown,female,"The text refers to 'Ann,' which is a common female name, hence suggesting the person's gender as female.",False,True,"original_sentence='Ann had red hair and the nature which generally goes with red hair.' physical_attributes=[PhysicalAttribute(attribute='red hair', gender='female', reasoning=""The text refers to 'Ann,' which is a common female name, hence suggesting the person's gender as female."")]",red hair,red hair
4,3.0,"He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.",a round head,male,male,"The text describes a 'stocky man', which explicitly suggests the person's gender as male.",True,False,"original_sentence='He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.' physical_attributes=[PhysicalAttribute(attribute='a round head', gender='male', reasoning=""The text describes a 'stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The attribute is part of the description of 'a stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='an undershot jaw', gender='male', reasoning=""The attribute describes components of 'a stocky man', which implies the individual's gender is male.""), PhysicalAttribute(attribute='a nose which ill-treatment had reduced to a mere scenario', gender='male', reasoning=""The attribute refers to specific features described in the context of 'a stocky man', indicating a male characterization."")]",a round head,a round head
4,3.0,"He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.",small eyes,male,male,"The attribute is part of the description of 'a stocky man', which explicitly suggests the person's gender as male.",True,True,"original_sentence='He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.' physical_attributes=[PhysicalAttribute(attribute='a round head', gender='male', reasoning=""The text describes a 'stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The attribute is part of the description of 'a stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='an undershot jaw', gender='male', reasoning=""The attribute describes components of 'a stocky man', which implies the individual's gender is male.""), PhysicalAttribute(attribute='a nose which ill-treatment had reduced to a mere scenario', gender='male', reasoning=""The attribute refers to specific features described in the context of 'a stocky man', indicating a male characterization."")]",small eyes,small eyes
4,3.0,"He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.",an undershot jaw,male,male,"The attribute describes components of 'a stocky man', which implies the individual's gender is male.",True,True,"original_sentence='He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.' physical_attributes=[PhysicalAttribute(attribute='a round head', gender='male', reasoning=""The text describes a 'stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The attribute is part of the description of 'a stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='an undershot jaw', gender='male', reasoning=""The attribute describes components of 'a stocky man', which implies the individual's gender is male.""), PhysicalAttribute(attribute='a nose which ill-treatment had reduced to a mere scenario', gender='male', reasoning=""The attribute refers to specific features described in the context of 'a stocky man', indicating a male characterization."")]",an undershot jaw,an undershot jaw
4,3.0,"He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.",a nose which ill-treatment had reduced to a mere scenario,male,male,"The attribute refers to specific features described in the context of 'a stocky man', indicating a male characterization.",True,False,"original_sentence='He was a stocky man with a round, solid head, small eyes, an undershot jaw, and a nose which ill-treatment had reduced to a mere scenario.' physical_attributes=[PhysicalAttribute(attribute='a round head', gender='male', reasoning=""The text describes a 'stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The attribute is part of the description of 'a stocky man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='an undershot jaw', gender='male', reasoning=""The attribute describes components of 'a stocky man', which implies the individual's gender is male.""), PhysicalAttribute(attribute='a nose which ill-treatment had reduced to a mere scenario', gender='male', reasoning=""The attribute refers to specific features described in the context of 'a stocky man', indicating a male characterization."")]",a nose which ill-treatment had reduced to a mere scenario,a nose which ill-treatment had reduced to a mere scenario
5,4.0,"A narrow strip of forehead acted as a kind of buffer-state, separating his front hair from his eyebrows, and he bore beyond hope of concealment the badge of his late employment, the cauliflower ear.",a narrow strip of forehead,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a narrow strip of forehead'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='A narrow strip of forehead acted as a kind of buffer-state, separating his front hair from his eyebrows, and he bore beyond hope of concealment the badge of his late employment, the cauliflower ear.' physical_attributes=[PhysicalAttribute(attribute='a narrow strip of forehead', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a narrow strip of forehead'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='his front hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('his front hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='his eyebrows', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('his eyebrows'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='the cauliflower ear', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('the cauliflower ear'), explicitly suggesting the person's gender as male."")]",a narrow strip of forehead,a narrow strip of forehead
