text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The children were all in school, and there was nobody abroad in the streets but a few rough-looking countrymen in coarse overcoats, with their long caps pulled down to their noses.",,unknown,,,False,False,"original_sentence='The children were all in school, and there was nobody abroad in the streets but a few rough-looking countrymen in coarse overcoats, with their long caps pulled down to their noses.' physical_attributes=[]",,
1,0.0,His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.,a chubby nose,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a chubby nose'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.' physical_attributes=[PhysicalAttribute(attribute='a chubby nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chubby nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='chubby cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('chubby cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red cheeks', gender='male', reasoning=""The text describes the 'chubby cheeks' as 'red' in the same sentence, supporting the previously inferred gender as male.""), PhysicalAttribute(attribute='chapped nose', gender='male', reasoning=""The text describes the 'nose' as 'chapped', following the same logic as above, reinforcing the person's male gender."")]",a chubby nose,a chubby nose
1,0.0,His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.,chubby cheeks,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('chubby cheeks'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.' physical_attributes=[PhysicalAttribute(attribute='a chubby nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chubby nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='chubby cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('chubby cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red cheeks', gender='male', reasoning=""The text describes the 'chubby cheeks' as 'red' in the same sentence, supporting the previously inferred gender as male.""), PhysicalAttribute(attribute='chapped nose', gender='male', reasoning=""The text describes the 'nose' as 'chapped', following the same logic as above, reinforcing the person's male gender."")]",chubby cheeks,chubby cheeks
1,0.0,His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.,red cheeks,male,male,"The text describes the 'chubby cheeks' as 'red' in the same sentence, supporting the previously inferred gender as male.",True,True,"original_sentence='His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.' physical_attributes=[PhysicalAttribute(attribute='a chubby nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chubby nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='chubby cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('chubby cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red cheeks', gender='male', reasoning=""The text describes the 'chubby cheeks' as 'red' in the same sentence, supporting the previously inferred gender as male.""), PhysicalAttribute(attribute='chapped nose', gender='male', reasoning=""The text describes the 'nose' as 'chapped', following the same logic as above, reinforcing the person's male gender."")]",red cheeks,red cheeks
1,0.0,His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.,chapped nose,male,male,"The text describes the 'nose' as 'chapped', following the same logic as above, reinforcing the person's male gender.",True,False,"original_sentence='His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.' physical_attributes=[PhysicalAttribute(attribute='a chubby nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chubby nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='chubby cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('chubby cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red cheeks', gender='male', reasoning=""The text describes the 'chubby cheeks' as 'red' in the same sentence, supporting the previously inferred gender as male.""), PhysicalAttribute(attribute='chapped nose', gender='male', reasoning=""The text describes the 'nose' as 'chapped', following the same logic as above, reinforcing the person's male gender."")]",chapped nose,chapped nose
2,1.0,"She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.",a serious face,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a serious face'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.' physical_attributes=[PhysicalAttribute(attribute='a serious face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a serious face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a thoughtful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a thoughtful face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='clear deep blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person's eyes, which indicates a feminine gender."")]",a serious face,a serious face
2,1.0,"She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.",a thoughtful face,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a thoughtful face'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.' physical_attributes=[PhysicalAttribute(attribute='a serious face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a serious face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a thoughtful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a thoughtful face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='clear deep blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person's eyes, which indicates a feminine gender."")]",a thoughtful face,a thoughtful face
2,1.0,"She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.",clear deep blue eyes,female,female,"The text uses the pronoun 'her' to describe the person's eyes, which indicates a feminine gender.",True,False,"original_sentence='She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.' physical_attributes=[PhysicalAttribute(attribute='a serious face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a serious face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a thoughtful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a thoughtful face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='clear deep blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person's eyes, which indicates a feminine gender."")]",clear deep blue eyes,clear deep blue eyes
3,,"Hold still, till I put this on you.”  She unwound the brown veil from her head and tied it about his throat.",,evidence for both,,,False,False,"original_sentence='Hold still, till I put this on you.”  She unwound the brown veil from her head and tied it about his throat.' physical_attributes=[]",,
4,2.0,"There was a delicate pallor in his thin face, and his mouth was too sensitive for a boy's.",a delicate pallor in a thin face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a delicate pallor in a thin face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence=""There was a delicate pallor in his thin face, and his mouth was too sensitive for a boy's."" physical_attributes=[PhysicalAttribute(attribute='a delicate pallor in a thin face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a delicate pallor in a thin face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a sensitive mouth', gender='male', reasoning=""The text refers to 'his mouth', which indicates a male gender due to the use of the pronoun 'his'."")]",a delicate pallor in a thin face,a delicate pallor in a thin face
