text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"When my convivial host discovered that he had told me so much, and that I was prone to doubtfulness, his foolish pride assumed the task the old vintage had commenced, and so he unearthed written evidence in the form of musty manuscript, and dry official records of the British Colonial Office to support many of the salient features of his remarkable narrative.",,male,,,False,False,"original_sentence='When my convivial host discovered that he had told me so much, and that I was prone to doubtfulness, his foolish pride assumed the task the old vintage had commenced, and so he unearthed written evidence in the form of musty manuscript, and dry official records of the British Colonial Office to support many of the salient features of his remarkable narrative.' physical_attributes=[]",,
1,0.0,"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",above average height,male,male,"The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.",True,False,"original_sentence='In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.' physical_attributes=[PhysicalAttribute(attribute='above average height', gender='male', reasoning=""The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='regular features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='strong features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='perfect health', gender='male', reasoning=""The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.""), PhysicalAttribute(attribute='robust health', gender='male', reasoning=""The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'."")]",above average height,above average height
1,0.0,"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",gray eyes,male,male,"The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.",True,True,"original_sentence='In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.' physical_attributes=[PhysicalAttribute(attribute='above average height', gender='male', reasoning=""The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='regular features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='strong features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='perfect health', gender='male', reasoning=""The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.""), PhysicalAttribute(attribute='robust health', gender='male', reasoning=""The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'."")]",gray eyes,gray eyes
1,0.0,"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",regular features,male,male,"The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.",True,True,"original_sentence='In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.' physical_attributes=[PhysicalAttribute(attribute='above average height', gender='male', reasoning=""The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='regular features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='strong features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='perfect health', gender='male', reasoning=""The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.""), PhysicalAttribute(attribute='robust health', gender='male', reasoning=""The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'."")]",regular features,regular features
1,0.0,"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",strong features,male,male,"The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.",True,True,"original_sentence='In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.' physical_attributes=[PhysicalAttribute(attribute='above average height', gender='male', reasoning=""The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='regular features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='strong features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='perfect health', gender='male', reasoning=""The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.""), PhysicalAttribute(attribute='robust health', gender='male', reasoning=""The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'."")]",strong features,strong features
1,0.0,"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",perfect health,male,male,"The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.",True,True,"original_sentence='In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.' physical_attributes=[PhysicalAttribute(attribute='above average height', gender='male', reasoning=""The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='regular features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='strong features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='perfect health', gender='male', reasoning=""The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.""), PhysicalAttribute(attribute='robust health', gender='male', reasoning=""The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'."")]",perfect health,perfect health
1,0.0,"In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.",robust health,male,male,"The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'.",True,True,"original_sentence='In stature he was above the average height; his eyes were gray, his features regular and strong; his carriage that of perfect, robust health influenced by his years of army training.' physical_attributes=[PhysicalAttribute(attribute='above average height', gender='male', reasoning=""The text uses 'he' to refer to the person with the attribute 'above average height', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses 'his' to refer to the person with the attribute 'gray eyes', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='regular features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='strong features', gender='male', reasoning=""The text refers to the person with 'his features', indicating that the male pronoun 'his' suggests the person is male.""), PhysicalAttribute(attribute='perfect health', gender='male', reasoning=""The text uses 'his carriage' referring to the person's state, again using the male pronoun 'his'.""), PhysicalAttribute(attribute='robust health', gender='male', reasoning=""The text uses 'his carriage' as referring to the person's state, again using the male pronoun 'his'."")]",robust health,robust health
2,,"On the second day after the wounding of Black Michael, Clayton came on deck just in time to see the limp body of one of the crew being carried below by four of his fellows while the first mate, a heavy belaying pin in his hand, stood glowering at the little party of sullen sailors.",,male,,,False,False,"original_sentence='On the second day after the wounding of Black Michael, Clayton came on deck just in time to see the limp body of one of the crew being carried below by four of his fellows while the first mate, a heavy belaying pin in his hand, stood glowering at the little party of sullen sailors.' physical_attributes=[]",,
3,1.0,"The captain had worked himself up to such a frenzy of rage that he was fairly purple of face, and he shrieked the last words at the top of his voice, emphasizing his remarks by a loud thumping of the table with one huge fist, and shaking the other in Clayton's face.",a purple face,male,male,"The text refers to 'the captain' which is typically a male role, suggesting that the individual being described with the attribute 'purple face' is male.",True,True,"original_sentence=""The captain had worked himself up to such a frenzy of rage that he was fairly purple of face, and he shrieked the last words at the top of his voice, emphasizing his remarks by a loud thumping of the table with one huge fist, and shaking the other in Clayton's face."" physical_attributes=[PhysicalAttribute(attribute='a purple face', gender='male', reasoning=""The text refers to 'the captain' which is typically a male role, suggesting that the individual being described with the attribute 'purple face' is male.""), PhysicalAttribute(attribute='a huge fist', gender='male', reasoning=""The reference to 'the captain' implies maleness, and 'huge fist' supports the idea of a masculine physical attribute."")]",a purple face,a purple face
3,1.0,"The captain had worked himself up to such a frenzy of rage that he was fairly purple of face, and he shrieked the last words at the top of his voice, emphasizing his remarks by a loud thumping of the table with one huge fist, and shaking the other in Clayton's face.",a huge fist,male,male,"The reference to 'the captain' implies maleness, and 'huge fist' supports the idea of a masculine physical attribute.",True,True,"original_sentence=""The captain had worked himself up to such a frenzy of rage that he was fairly purple of face, and he shrieked the last words at the top of his voice, emphasizing his remarks by a loud thumping of the table with one huge fist, and shaking the other in Clayton's face."" physical_attributes=[PhysicalAttribute(attribute='a purple face', gender='male', reasoning=""The text refers to 'the captain' which is typically a male role, suggesting that the individual being described with the attribute 'purple face' is male.""), PhysicalAttribute(attribute='a huge fist', gender='male', reasoning=""The reference to 'the captain' implies maleness, and 'huge fist' supports the idea of a masculine physical attribute."")]",a huge fist,a huge fist
