text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"It was part of what I already liked Mrs. Grose herself for, the pleasure I could see her feel in my admiration and wonder as I sat at supper with four tall candles and with my pupil, in a high chair and a bib, brightly facing me, between them, over bread and milk.",,female,,,False,False,"original_sentence='It was part of what I already liked Mrs. Grose herself for, the pleasure I could see her feel in my admiration and wonder as I sat at supper with four tall candles and with my pupil, in a high chair and a bib, brightly facing me, between them, over bread and milk.' physical_attributes=[]",,
1,0.0,I was carried away in London!”  I can still see Mrs. Grose’s broad face as she took this in.,a broad face,female,female,"The text uses the name 'Mrs. Grose', a common female title, alongside the description of 'broad face,' clearly indicating the gender as female.",True,True,"original_sentence='I was carried away in London!”  I can still see Mrs. Grose’s broad face as she took this in.' physical_attributes=[PhysicalAttribute(attribute='a broad face', gender='female', reasoning=""The text uses the name 'Mrs. Grose', a common female title, alongside the description of 'broad face,' clearly indicating the gender as female."")]",a broad face,a broad face
2,1.0,"I didn’t ask more than that--I only asked that he should KNOW; and the only way to be sure he knew would be to see it, and the kind light of it, in his handsome face.",a handsome face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a handsome face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='I didn’t ask more than that--I only asked that he should KNOW; and the only way to be sure he knew would be to see it, and the kind light of it, in his handsome face.' physical_attributes=[PhysicalAttribute(attribute='a handsome face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a handsome face'), explicitly suggesting the person's gender as male."")]",a handsome face,a handsome face
3,,"It produced in me, this figure, in the clear twilight, I remember, two distinct gasps of emotion, which were, sharply, the shock of my first and that of my second surprise.",,unknown,,,False,False,"original_sentence='It produced in me, this figure, in the clear twilight, I remember, two distinct gasps of emotion, which were, sharply, the shock of my first and that of my second surprise.' physical_attributes=[]",,
4,,"On the spot, accordingly, in the pleasant hall and with her eyes on me, I, for a reason that I couldn’t then have phrased, achieved an inward resolution--offered a vague pretext for my lateness and, with the plea of the beauty of the night and of the heavy dew and wet feet, went as soon as possible to my room.",,female,,,False,False,"original_sentence='On the spot, accordingly, in the pleasant hall and with her eyes on me, I, for a reason that I couldn’t then have phrased, achieved an inward resolution--offered a vague pretext for my lateness and, with the plea of the beauty of the night and of the heavy dew and wet feet, went as soon as possible to my room.' physical_attributes=[]",,
5,,"His face was close to the glass, yet the effect of this better view was, strangely, only to show me how intense the former had been.",,male,,,False,False,"original_sentence='His face was close to the glass, yet the effect of this better view was, strangely, only to show me how intense the former had been.' physical_attributes=[]",,
6,2.0,"“I’m afraid of HIM.”  Mrs. Grose’s large face showed me, at this, for the first time, the faraway faint glimmer of a consciousness more acute: I somehow made out in it the delayed dawn of an idea I myself had not given her and that was as yet quite obscure to me.",a large face,evidence for both,female,"The text refers to 'Mrs. Grose', where 'Mrs.' indicates a female individual, thus making it clear that the large face belongs to a woman.",False,True,"original_sentence='“I’m afraid of HIM.”  Mrs. Grose’s large face showed me, at this, for the first time, the faraway faint glimmer of a consciousness more acute: I somehow made out in it the delayed dawn of an idea I myself had not given her and that was as yet quite obscure to me.' physical_attributes=[PhysicalAttribute(attribute='a large face', gender='female', reasoning=""The text refers to 'Mrs. Grose', where 'Mrs.' indicates a female individual, thus making it clear that the large face belongs to a woman."")]",a large face,a large face
7,3.0,"“He has red hair, very red, close-curling, and a pale face, long in shape, with straight, good features and little, rather queer whiskers that are as red as his hair.",red hair,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('red hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='“He has red hair, very red, close-curling, and a pale face, long in shape, with straight, good features and little, rather queer whiskers that are as red as his hair.' physical_attributes=[PhysicalAttribute(attribute='red hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('red hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pale face', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='good features', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('good features'), suggesting the person's gender as male.""), PhysicalAttribute(attribute='little queer whiskers', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('little queer whiskers'), explicitly suggesting the person's gender as male."")]",red hair,red hair
7,3.0,"“He has red hair, very red, close-curling, and a pale face, long in shape, with straight, good features and little, rather queer whiskers that are as red as his hair.",a pale face,male,male,"The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='“He has red hair, very red, close-curling, and a pale face, long in shape, with straight, good features and little, rather queer whiskers that are as red as his hair.' physical_attributes=[PhysicalAttribute(attribute='red hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('red hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pale face', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='good features', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('good features'), suggesting the person's gender as male.""), PhysicalAttribute(attribute='little queer whiskers', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('little queer whiskers'), explicitly suggesting the person's gender as male."")]",a pale face,a pale face
7,3.0,"“He has red hair, very red, close-curling, and a pale face, long in shape, with straight, good features and little, rather queer whiskers that are as red as his hair.",good features,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('good features'), suggesting the person's gender as male.",True,True,"original_sentence='“He has red hair, very red, close-curling, and a pale face, long in shape, with straight, good features and little, rather queer whiskers that are as red as his hair.' physical_attributes=[PhysicalAttribute(attribute='red hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('red hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pale face', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='good features', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('good features'), suggesting the person's gender as male.""), PhysicalAttribute(attribute='little queer whiskers', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('little queer whiskers'), explicitly suggesting the person's gender as male."")]",good features,good features
