text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.",broad shoulders,unknown,unknown,The attribute does not provide specific gender indicators; broad shoulders can be associated with both males and females.,True,True,"original_sentence='The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='unknown', reasoning='The attribute does not provide specific gender indicators; broad shoulders can be associated with both males and females.'), PhysicalAttribute(attribute='well-developed busts', gender='female', reasoning=""The attribute 'well-developed busts' typically describes a physical characteristic associated with females.""), PhysicalAttribute(attribute='round cheeks', gender='unknown', reasoning='Round cheeks are a neutral descriptor and do not provide sufficient gender-specific information.'), PhysicalAttribute(attribute='ruddy cheeks', gender='unknown', reasoning='Ruddy cheeks are a neutral descriptor and do not provide sufficient gender-specific information.')]",broad shoulders,broad shoulders
0,0.0,"The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.",well-developed busts,unknown,female,The attribute 'well-developed busts' typically describes a physical characteristic associated with females.,False,True,"original_sentence='The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='unknown', reasoning='The attribute does not provide specific gender indicators; broad shoulders can be associated with both males and females.'), PhysicalAttribute(attribute='well-developed busts', gender='female', reasoning=""The attribute 'well-developed busts' typically describes a physical characteristic associated with females.""), PhysicalAttribute(attribute='round cheeks', gender='unknown', reasoning='Round cheeks are a neutral descriptor and do not provide sufficient gender-specific information.'), PhysicalAttribute(attribute='ruddy cheeks', gender='unknown', reasoning='Ruddy cheeks are a neutral descriptor and do not provide sufficient gender-specific information.')]",well-developed busts,well-developed busts
0,0.0,"The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.",round cheeks,unknown,unknown,Round cheeks are a neutral descriptor and do not provide sufficient gender-specific information.,True,False,"original_sentence='The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='unknown', reasoning='The attribute does not provide specific gender indicators; broad shoulders can be associated with both males and females.'), PhysicalAttribute(attribute='well-developed busts', gender='female', reasoning=""The attribute 'well-developed busts' typically describes a physical characteristic associated with females.""), PhysicalAttribute(attribute='round cheeks', gender='unknown', reasoning='Round cheeks are a neutral descriptor and do not provide sufficient gender-specific information.'), PhysicalAttribute(attribute='ruddy cheeks', gender='unknown', reasoning='Ruddy cheeks are a neutral descriptor and do not provide sufficient gender-specific information.')]",round cheeks,round cheeks
0,0.0,"The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.",ruddy cheeks,unknown,unknown,Ruddy cheeks are a neutral descriptor and do not provide sufficient gender-specific information.,True,False,"original_sentence='The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='unknown', reasoning='The attribute does not provide specific gender indicators; broad shoulders can be associated with both males and females.'), PhysicalAttribute(attribute='well-developed busts', gender='female', reasoning=""The attribute 'well-developed busts' typically describes a physical characteristic associated with females.""), PhysicalAttribute(attribute='round cheeks', gender='unknown', reasoning='Round cheeks are a neutral descriptor and do not provide sufficient gender-specific information.'), PhysicalAttribute(attribute='ruddy cheeks', gender='unknown', reasoning='Ruddy cheeks are a neutral descriptor and do not provide sufficient gender-specific information.')]",ruddy cheeks,ruddy cheeks
1,1.0,"The young woman was tall, with a figure of perfect elegance on a large scale.",a tall figure,unknown,female,"The text describes 'the young woman', which explicitly identifies the person's gender as female.",False,True,"original_sentence='The young woman was tall, with a figure of perfect elegance on a large scale.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='female', reasoning=""The text describes 'the young woman', which explicitly identifies the person's gender as female.""), PhysicalAttribute(attribute='a figure of perfect elegance', gender='female', reasoning=""The text describes 'the young woman', which explicitly identifies the person's gender as female."")]",a tall figure,a tall figure
1,1.0,"The young woman was tall, with a figure of perfect elegance on a large scale.",a figure of perfect elegance,unknown,female,"The text describes 'the young woman', which explicitly identifies the person's gender as female.",False,False,"original_sentence='The young woman was tall, with a figure of perfect elegance on a large scale.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='female', reasoning=""The text describes 'the young woman', which explicitly identifies the person's gender as female.""), PhysicalAttribute(attribute='a figure of perfect elegance', gender='female', reasoning=""The text describes 'the young woman', which explicitly identifies the person's gender as female."")]",a figure of perfect elegance,a figure of perfect elegance
2,2.0,"She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.",dark and abundant hair,female,female,"The text uses the pronoun 'she' to refer to the person with the attribute 'dark and abundant hair', explicitly indicating the person's gender as female.",True,False,"original_sentence='She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.' physical_attributes=[PhysicalAttribute(attribute='dark and abundant hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'dark and abundant hair', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a beautiful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'beautiful face' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='regularity of feature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'regularity of feature' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='richness of complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'richness of complexion', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a marked brow', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'marked brow' is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='deep black eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'deep black eyes' are being described, explicitly indicating the person's gender as female."")]",dark and abundant hair,dark and abundant hair
2,2.0,"She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.",a beautiful face,female,female,"The text uses the pronoun 'she' to refer to the person whose 'beautiful face' is being described, explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.' physical_attributes=[PhysicalAttribute(attribute='dark and abundant hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'dark and abundant hair', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a beautiful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'beautiful face' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='regularity of feature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'regularity of feature' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='richness of complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'richness of complexion', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a marked brow', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'marked brow' is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='deep black eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'deep black eyes' are being described, explicitly indicating the person's gender as female."")]",a beautiful face,a beautiful face
2,2.0,"She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.",regularity of feature,female,female,"The text uses the pronoun 'she' to refer to the person whose 'regularity of feature' is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.' physical_attributes=[PhysicalAttribute(attribute='dark and abundant hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'dark and abundant hair', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a beautiful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'beautiful face' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='regularity of feature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'regularity of feature' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='richness of complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'richness of complexion', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a marked brow', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'marked brow' is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='deep black eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'deep black eyes' are being described, explicitly indicating the person's gender as female."")]",regularity of feature,regularity of feature
2,2.0,"She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.",richness of complexion,female,female,"The text uses the pronoun 'she' to refer to the person with the attribute 'richness of complexion', explicitly indicating the person's gender as female.",True,False,"original_sentence='She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.' physical_attributes=[PhysicalAttribute(attribute='dark and abundant hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'dark and abundant hair', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a beautiful face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'beautiful face' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='regularity of feature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'regularity of feature' is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='richness of complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'richness of complexion', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a marked brow', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'marked brow' is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='deep black eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose 'deep black eyes' are being described, explicitly indicating the person's gender as female."")]",richness of complexion,richness of complexion
