text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"This seemed as natural to Newland Archer as all the other conventions on which his life was moulded: such as the duty of using two silver-backed brushes with his monogram in blue enamel to part his hair, and of never appearing in society without a flower (preferably a gardenia) in his buttonhole.",,male,,,False,False,"original_sentence='This seemed as natural to Newland Archer as all the other conventions on which his life was moulded: such as the duty of using two silver-backed brushes with his monogram in blue enamel to part his hair, and of never appearing in society without a flower (preferably a gardenia) in his buttonhole.' physical_attributes=[]",,
1,0.0,""", with a final burst of love triumphant, as she pressed the dishevelled daisy to her lips and lifted her large eyes to the sophisticated countenance of the little brown Faust-Capoul, who was vainly trying, in a tight purple velvet doublet and plumed cap, to look as pure and true as his artless victim.",large eyes,evidence for both,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('large eyes'), explicitly suggesting the person's gender as female.",False,True,"original_sentence='"", with a final burst of love triumphant, as she pressed the dishevelled daisy to her lips and lifted her large eyes to the sophisticated countenance of the little brown Faust-Capoul, who was vainly trying, in a tight purple velvet doublet and plumed cap, to look as pure and true as his artless victim.' physical_attributes=[PhysicalAttribute(attribute='large eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('large eyes'), explicitly suggesting the person's gender as female."")]",large eyes,large eyes
2,1.0,"One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.",a bald forehead,male,male,"The attribute is used to describe 'him', indicating a male subject.",True,False,"original_sentence='One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.' physical_attributes=[PhysicalAttribute(attribute='a bald forehead', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='a beautiful fair moustache', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='long patent-leather feet', gender='unknown', reasoning='The description does not provide any gender-specific pronouns or references, making it ambiguous.'), PhysicalAttribute(attribute='a lean and elegant person', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject."")]",a bald forehead,a bald forehead
2,1.0,"One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.",a beautiful fair moustache,male,male,"The attribute is used to describe 'him', indicating a male subject.",True,False,"original_sentence='One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.' physical_attributes=[PhysicalAttribute(attribute='a bald forehead', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='a beautiful fair moustache', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='long patent-leather feet', gender='unknown', reasoning='The description does not provide any gender-specific pronouns or references, making it ambiguous.'), PhysicalAttribute(attribute='a lean and elegant person', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject."")]",a beautiful fair moustache,a beautiful fair moustache
2,1.0,"One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.",long patent-leather feet,male,unknown,"The description does not provide any gender-specific pronouns or references, making it ambiguous.",False,False,"original_sentence='One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.' physical_attributes=[PhysicalAttribute(attribute='a bald forehead', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='a beautiful fair moustache', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='long patent-leather feet', gender='unknown', reasoning='The description does not provide any gender-specific pronouns or references, making it ambiguous.'), PhysicalAttribute(attribute='a lean and elegant person', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject."")]",long patent-leather feet,long patent-leather feet
2,1.0,"One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.",a lean and elegant person,male,male,"The attribute is used to describe 'him', indicating a male subject.",True,False,"original_sentence='One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.' physical_attributes=[PhysicalAttribute(attribute='a bald forehead', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='a beautiful fair moustache', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject.""), PhysicalAttribute(attribute='long patent-leather feet', gender='unknown', reasoning='The description does not provide any gender-specific pronouns or references, making it ambiguous.'), PhysicalAttribute(attribute='a lean and elegant person', gender='male', reasoning=""The attribute is used to describe 'him', indicating a male subject."")]",a lean and elegant person,a lean and elegant person
3,2.0,"It was that of a slim young woman, a little less tall than May Welland, with brown hair growing in close curls about her temples and held in place by a narrow band of diamonds.",a slim figure,female,female,The phrase describes a 'slim young woman' which explicitly suggests a female gender.,True,True,"original_sentence='It was that of a slim young woman, a little less tall than May Welland, with brown hair growing in close curls about her temples and held in place by a narrow band of diamonds.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='female', reasoning=""The phrase describes a 'slim young woman' which explicitly suggests a female gender.""), PhysicalAttribute(attribute='brown hair', gender='female', reasoning=""The hair is described in the context of 'a slim young woman', reinforcing the gender as female.""), PhysicalAttribute(attribute='close curls about her temples', gender='female', reasoning=""The curls are described in relation to 'a slim young woman', making it clear that the subject is female."")]",a slim figure,a slim figure
3,2.0,"It was that of a slim young woman, a little less tall than May Welland, with brown hair growing in close curls about her temples and held in place by a narrow band of diamonds.",brown hair,female,female,"The hair is described in the context of 'a slim young woman', reinforcing the gender as female.",True,True,"original_sentence='It was that of a slim young woman, a little less tall than May Welland, with brown hair growing in close curls about her temples and held in place by a narrow band of diamonds.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='female', reasoning=""The phrase describes a 'slim young woman' which explicitly suggests a female gender.""), PhysicalAttribute(attribute='brown hair', gender='female', reasoning=""The hair is described in the context of 'a slim young woman', reinforcing the gender as female.""), PhysicalAttribute(attribute='close curls about her temples', gender='female', reasoning=""The curls are described in relation to 'a slim young woman', making it clear that the subject is female."")]",brown hair,brown hair
3,2.0,"It was that of a slim young woman, a little less tall than May Welland, with brown hair growing in close curls about her temples and held in place by a narrow band of diamonds.",close curls about temples,female,female,"The curls are described in relation to 'a slim young woman', making it clear that the subject is female.",True,False,"original_sentence='It was that of a slim young woman, a little less tall than May Welland, with brown hair growing in close curls about her temples and held in place by a narrow band of diamonds.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='female', reasoning=""The phrase describes a 'slim young woman' which explicitly suggests a female gender.""), PhysicalAttribute(attribute='brown hair', gender='female', reasoning=""The hair is described in the context of 'a slim young woman', reinforcing the gender as female.""), PhysicalAttribute(attribute='close curls about her temples', gender='female', reasoning=""The curls are described in relation to 'a slim young woman', making it clear that the subject is female."")]",close curls about her temples,close curls about temples
4,3.0,"In addition to this forest of family trees, Mr. Sillerton Jackson carried between his narrow hollow temples, and under his soft thatch of silver hair, a register of most of the scandals and mysteries that had smouldered under the unruffled surface of New York society within the last fifty years.",narrow hollow temples,male,male,The use of 'Mr.' before the name 'Sillerton Jackson' and the pronoun 'his' explicitly indicate that the person is male.,True,False,"original_sentence='In addition to this forest of family trees, Mr. Sillerton Jackson carried between his narrow hollow temples, and under his soft thatch of silver hair, a register of most of the scandals and mysteries that had smouldered under the unruffled surface of New York society within the last fifty years.' physical_attributes=[PhysicalAttribute(attribute='narrow hollow temples', gender='male', reasoning=""The use of 'Mr.' before the name 'Sillerton Jackson' and the pronoun 'his' explicitly indicate that the person is male.""), PhysicalAttribute(attribute='soft thatch of silver hair', gender='male', reasoning=""The use of 'Mr.' before the name 'Sillerton Jackson' and the pronoun 'his' explicitly indicate that the person is male."")]",narrow hollow temples,narrow hollow temples
