text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Here, inside, is a little broken figure of an angel pointing upward from the mantel-shelf; but even its wings are covered with smoke, clotted and black.",,unknown,,,False,False,"original_sentence='Here, inside, is a little broken figure of an angel pointing upward from the mantel-shelf; but even its wings are covered with smoke, clotted and black.' physical_attributes=[]",,
1,,"You may think it a tiresome story enough, as foggy as the day, sharpened by no sudden flashes of pain or pleasure.--I know: only the outline of a dull life, that long since, with thousands of dull lives like its own, was vainly lived and lost: thousands of them, massed, vile, slimy lives, like those of the torpid lizards in yonder stagnant water-butt.--Lost?",,unknown,,,False,False,"original_sentence='You may think it a tiresome story enough, as foggy as the day, sharpened by no sudden flashes of pain or pleasure.--I know: only the outline of a dull life, that long since, with thousands of dull lives like its own, was vainly lived and lost: thousands of them, massed, vile, slimy lives, like those of the torpid lizards in yonder stagnant water-butt.--Lost?' physical_attributes=[]",,
2,,"You, Egoist, or Pantheist, or Arminian, busy in making straight paths for your feet on the hills, do not see it clearly,--this terrible question which men here have gone mad and died trying to answer.",,unknown,,,False,False,"original_sentence='You, Egoist, or Pantheist, or Arminian, busy in making straight paths for your feet on the hills, do not see it clearly,--this terrible question which men here have gone mad and died trying to answer.' physical_attributes=[]",,
3,0.0,"A pure, unmixed blood, I fancy: shows itself in the slight angular bodies and sharply-cut facial lines.",slight angular bodies,unknown,unknown,"The description of 'slight angular bodies' does not provide any indication of gender, as it is a general physical description and could apply to any gender.",True,False,"original_sentence='A pure, unmixed blood, I fancy: shows itself in the slight angular bodies and sharply-cut facial lines.' physical_attributes=[PhysicalAttribute(attribute='slight angular bodies', gender='unknown', reasoning=""The description of 'slight angular bodies' does not provide any indication of gender, as it is a general physical description and could apply to any gender.""), PhysicalAttribute(attribute='sharply-cut facial lines', gender='unknown', reasoning=""The description of 'sharply-cut facial lines' does not indicate gender; it is a neutral description that could apply to any gender."")]",slight angular bodies,slight angular bodies
3,0.0,"A pure, unmixed blood, I fancy: shows itself in the slight angular bodies and sharply-cut facial lines.",sharply-cut facial lines,unknown,unknown,The description of 'sharply-cut facial lines' does not indicate gender; it is a neutral description that could apply to any gender.,True,False,"original_sentence='A pure, unmixed blood, I fancy: shows itself in the slight angular bodies and sharply-cut facial lines.' physical_attributes=[PhysicalAttribute(attribute='slight angular bodies', gender='unknown', reasoning=""The description of 'slight angular bodies' does not provide any indication of gender, as it is a general physical description and could apply to any gender.""), PhysicalAttribute(attribute='sharply-cut facial lines', gender='unknown', reasoning=""The description of 'sharply-cut facial lines' does not indicate gender; it is a neutral description that could apply to any gender."")]",sharply-cut facial lines,sharply-cut facial lines
4,1.0,"He was a pale, meek little man, with a white face and red rabbit-eyes.",a pale face,male,male,"The attribute is used to describe 'a little man', and the text uses 'He' which explicitly suggests the person's gender as male.",True,True,"original_sentence='He was a pale, meek little man, with a white face and red rabbit-eyes.' physical_attributes=[PhysicalAttribute(attribute='a pale face', gender='male', reasoning=""The attribute is used to describe 'a little man', and the text uses 'He' which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='red rabbit-eyes', gender='male', reasoning=""The attribute is used to describe 'a little man', and the text uses 'He' which explicitly suggests the person's gender as male."")]",a pale face,a pale face
4,1.0,"He was a pale, meek little man, with a white face and red rabbit-eyes.",red rabbit-eyes,male,male,"The attribute is used to describe 'a little man', and the text uses 'He' which explicitly suggests the person's gender as male.",True,True,"original_sentence='He was a pale, meek little man, with a white face and red rabbit-eyes.' physical_attributes=[PhysicalAttribute(attribute='a pale face', gender='male', reasoning=""The attribute is used to describe 'a little man', and the text uses 'He' which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='red rabbit-eyes', gender='male', reasoning=""The attribute is used to describe 'a little man', and the text uses 'He' which explicitly suggests the person's gender as male."")]",red rabbit-eyes,red rabbit-eyes
5,2.0,"The girl's face was haggard and sickly; her eyes were heavy with sleep and hunger: real Milesian eyes they were, dark, delicate blue, glooming out from black shadows with a pitiful fright.",a haggard face,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a haggard face'), explicitly suggesting the person's gender as female.",True,False,"original_sentence=""The girl's face was haggard and sickly; her eyes were heavy with sleep and hunger: real Milesian eyes they were, dark, delicate blue, glooming out from black shadows with a pitiful fright."" physical_attributes=[PhysicalAttribute(attribute='a haggard face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a haggard face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a sickly face', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark delicate blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",a haggard face,a haggard face
5,2.0,"The girl's face was haggard and sickly; her eyes were heavy with sleep and hunger: real Milesian eyes they were, dark, delicate blue, glooming out from black shadows with a pitiful fright.",a sickly face,female,female,"The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female.",True,True,"original_sentence=""The girl's face was haggard and sickly; her eyes were heavy with sleep and hunger: real Milesian eyes they were, dark, delicate blue, glooming out from black shadows with a pitiful fright."" physical_attributes=[PhysicalAttribute(attribute='a haggard face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a haggard face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a sickly face', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark delicate blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",a sickly face,a sickly face
5,2.0,"The girl's face was haggard and sickly; her eyes were heavy with sleep and hunger: real Milesian eyes they were, dark, delicate blue, glooming out from black shadows with a pitiful fright.",heavy eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,True,"original_sentence=""The girl's face was haggard and sickly; her eyes were heavy with sleep and hunger: real Milesian eyes they were, dark, delicate blue, glooming out from black shadows with a pitiful fright."" physical_attributes=[PhysicalAttribute(attribute='a haggard face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a haggard face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a sickly face', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark delicate blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",heavy eyes,heavy eyes
