text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Down the Rabbit-Hole  Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ‘and what is the use of a book,’ thought Alice ‘without pictures or conversations?’  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",,female,,,False,False,"original_sentence='Down the Rabbit-Hole  Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ‘and what is the use of a book,’ thought Alice ‘without pictures or conversations?’  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.' physical_attributes=[]",,
1,0.0,"*    *    *    *    *    *    *      *    *    *    *    *    *    *    *    *    *    *    *    *  ‘What a curious feeling!’ said Alice; ‘I must be shutting up like a telescope.’  And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.",a brightened face,female,female,"The text describes 'Alice' using the pronoun 'she', which explicitly suggests the person's gender as female.",True,True,"original_sentence='‘What a curious feeling!’ said Alice; ‘I must be shutting up like a telescope.’  And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.' physical_attributes=[PhysicalAttribute(attribute='a brightened face', gender='female', reasoning=""The text describes 'Alice' using the pronoun 'she', which explicitly suggests the person's gender as female."")]",a brightened face,a brightened face
2,,"‘Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?",,unknown,,,False,False,"original_sentence='‘Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?' physical_attributes=[]",,
3,,"Oh dear, what nonsense I’m talking!’  Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",,female,,,False,False,"original_sentence='Oh dear, what nonsense I’m talking!’  Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.' physical_attributes=[]",,
4,,"It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, ‘Oh!",,male,,,False,False,"original_sentence='It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, ‘Oh!' physical_attributes=[]",,
5,1.0,"‘I’m sure I’m not Ada,’ she said, ‘for her hair goes in such long ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t be Mabel, for I know all sorts of things, and she, oh!",long ringlets,female,female,"The pronoun 'she' refers to the person with the attribute 'long ringlets', which implies female gender.",True,True,"original_sentence='‘I’m sure I’m not Ada,’ she said, ‘for her hair goes in such long ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t be Mabel, for I know all sorts of things, and she, oh!' physical_attributes=[PhysicalAttribute(attribute='long ringlets', gender='female', reasoning=""The pronoun 'she' refers to the person with the attribute 'long ringlets', which implies female gender.""), PhysicalAttribute(attribute='ringlets', gender='female', reasoning=""The pronoun 'her' refers to the person whose hair is described as having 'ringlets', indicating female gender."")]",long ringlets,long ringlets
6,,"‘How cheerfully he seems to grin,       How neatly spread his claws,      And welcome little fishes in       With gently smiling jaws!’  ‘I’m sure those are not the right words,’ said poor Alice, and her eyes filled with tears again as she went on, ‘I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh!",,evidence for both,,,False,False,"original_sentence='‘How cheerfully he seems to grin,       How neatly spread his claws,      And welcome little fishes in       With gently smiling jaws!’  ‘I’m sure those are not the right words,’ said poor Alice, and her eyes filled with tears again as she went on, ‘I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh!' physical_attributes=[]",,
7,,"‘I must be growing small again.’ She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.",,female,,,False,False,"original_sentence='‘I must be growing small again.’ She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.' physical_attributes=[]",,
8,,"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.",,female,,,False,False,"original_sentence='However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.' physical_attributes=[]",,
9,,"A little bright-eyed terrier, you know, with oh, such long curly brown hair!",,unknown,,,False,False,"original_sentence='A little bright-eyed terrier, you know, with oh, such long curly brown hair!' physical_attributes=[]",,
