text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"I could picture him writing this - scrawling the angry letters in his rough handwriting, slashing through line after line when the words came out wrong, maybe even snapping the pen in his too-big hand; that would explain the ink splatters.",a too-big hand,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a too-big hand'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='I could picture him writing this - scrawling the angry letters in his rough handwriting, slashing through line after line when the words came out wrong, maybe even snapping the pen in his too-big hand; that would explain the ink splatters.' physical_attributes=[PhysicalAttribute(attribute='a too-big hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a too-big hand'), explicitly suggesting the person's gender as male."")]",a too-big hand,a too-big hand
1,,"I shoved the wrinkled paper into my back pocket and ran, making it downstairs in the nick of time.",,unknown,,,False,False,"original_sentence='I shoved the wrinkled paper into my back pocket and ran, making it downstairs in the nick of time.' physical_attributes=[]",,
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",pale white features,male,male,"The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.",True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",pale white features,pale white features
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",a hard square jaw,male,male,The text uses the pronoun 'his' which indicates the person's gender as male.,True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",a hard square jaw,a hard square jaw
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",a softer curve of full lips,male,male,The text uses the pronoun 'his' indicating the person's gender as male.,True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",a softer curve of full lips,a softer curve of full lips
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",a straight line of nose,male,male,The text uses the pronoun 'his' indicating the person's gender as male.,True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",a straight line of nose,a straight line of nose
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",a sharp angle of cheekbones,male,male,The text uses the pronoun 'his' indicating the person's gender as male.,True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",a sharp angle of cheekbones,a sharp angle of cheekbones
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",a smooth marble span of forehead,male,male,The text uses the pronoun 'his' indicating the person's gender as male.,True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",a smooth marble span of forehead,a smooth marble span of forehead
2,1.0,"My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.",rain-darkened bronze hair,male,male,The text uses the pronoun 'his' indicating the person's gender as male.,True,False,"original_sentence='My eyes traced over his pale white features: the hard square of his jaw, the softer curve of his full lips twisted up into a smile now, the straight line of his nose, the sharp angle of his cheekbones, the smooth marble span of his forehead - partially obscured by a tangle of rain-darkened bronze hair.' physical_attributes=[PhysicalAttribute(attribute='pale white features', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes, explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a hard square jaw', gender='male', reasoning=""The text uses the pronoun 'his' which indicates the person's gender as male.""), PhysicalAttribute(attribute='a softer curve of full lips', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a straight line of nose', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a sharp angle of cheekbones', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='a smooth marble span of forehead', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male.""), PhysicalAttribute(attribute='rain-darkened bronze hair', gender='male', reasoning=""The text uses the pronoun 'his' indicating the person's gender as male."")]",rain-darkened bronze hair,rain-darkened bronze hair
3,,A sharp jolt of unease pierced my stomach as I realized how short the time really was.,,unknown,,,False,False,original_sentence='A sharp jolt of unease pierced my stomach as I realized how short the time really was.' physical_attributes=[],,
