text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Therefore she did as she was told, and did it with such nervous hands that her hair (which was luxuriant and beautiful) fell all about her face.",luxuriant hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('luxuriant hair'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Therefore she did as she was told, and did it with such nervous hands that her hair (which was luxuriant and beautiful) fell all about her face.' physical_attributes=[PhysicalAttribute(attribute='luxuriant hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('luxuriant hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='beautiful hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('beautiful hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='nervous hands', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose hands are described, explicitly suggesting the person's gender as female."")]",luxuriant hair,luxuriant hair
0,0.0,"Therefore she did as she was told, and did it with such nervous hands that her hair (which was luxuriant and beautiful) fell all about her face.",beautiful hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('beautiful hair'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Therefore she did as she was told, and did it with such nervous hands that her hair (which was luxuriant and beautiful) fell all about her face.' physical_attributes=[PhysicalAttribute(attribute='luxuriant hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('luxuriant hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='beautiful hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('beautiful hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='nervous hands', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose hands are described, explicitly suggesting the person's gender as female."")]",beautiful hair,beautiful hair
0,0.0,"Therefore she did as she was told, and did it with such nervous hands that her hair (which was luxuriant and beautiful) fell all about her face.",nervous hands,female,female,"The text uses the pronoun 'her' to refer to the person whose hands are described, explicitly suggesting the person's gender as female.",True,True,"original_sentence='Therefore she did as she was told, and did it with such nervous hands that her hair (which was luxuriant and beautiful) fell all about her face.' physical_attributes=[PhysicalAttribute(attribute='luxuriant hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('luxuriant hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='beautiful hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('beautiful hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='nervous hands', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose hands are described, explicitly suggesting the person's gender as female."")]",nervous hands,nervous hands
1,1.0,"I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.",pretty hair,female,female,"The text references 'my mother', which explicitly indicates the person's gender as female.",True,False,"original_sentence='I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.' physical_attributes=[PhysicalAttribute(attribute='pretty hair', gender='female', reasoning=""The text references 'my mother', which explicitly indicates the person's gender as female.""), PhysicalAttribute(attribute='a youthful shape', gender='female', reasoning=""The attribute is describing 'my mother', reinforcing the gender identification as female.""), PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The attribute comes from the description of 'her face', related to 'my mother', thus suggesting the person's gender as female.""), PhysicalAttribute(attribute='hard and red cheeks', gender='female', reasoning=""The description is tied to 'my mother', indicating the attributes belong to a female.""), PhysicalAttribute(attribute='hard and red arms', gender='female', reasoning=""The description is also connected to 'my mother', indicating the attributes are for a female."")]",pretty hair,pretty hair
1,1.0,"I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.",a youthful shape,female,female,"The attribute is describing 'my mother', reinforcing the gender identification as female.",True,True,"original_sentence='I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.' physical_attributes=[PhysicalAttribute(attribute='pretty hair', gender='female', reasoning=""The text references 'my mother', which explicitly indicates the person's gender as female.""), PhysicalAttribute(attribute='a youthful shape', gender='female', reasoning=""The attribute is describing 'my mother', reinforcing the gender identification as female.""), PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The attribute comes from the description of 'her face', related to 'my mother', thus suggesting the person's gender as female.""), PhysicalAttribute(attribute='hard and red cheeks', gender='female', reasoning=""The description is tied to 'my mother', indicating the attributes belong to a female.""), PhysicalAttribute(attribute='hard and red arms', gender='female', reasoning=""The description is also connected to 'my mother', indicating the attributes are for a female."")]",a youthful shape,a youthful shape
1,1.0,"I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.",dark eyes,female,female,"The attribute comes from the description of 'her face', related to 'my mother', thus suggesting the person's gender as female.",True,True,"original_sentence='I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.' physical_attributes=[PhysicalAttribute(attribute='pretty hair', gender='female', reasoning=""The text references 'my mother', which explicitly indicates the person's gender as female.""), PhysicalAttribute(attribute='a youthful shape', gender='female', reasoning=""The attribute is describing 'my mother', reinforcing the gender identification as female.""), PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The attribute comes from the description of 'her face', related to 'my mother', thus suggesting the person's gender as female.""), PhysicalAttribute(attribute='hard and red cheeks', gender='female', reasoning=""The description is tied to 'my mother', indicating the attributes belong to a female.""), PhysicalAttribute(attribute='hard and red arms', gender='female', reasoning=""The description is also connected to 'my mother', indicating the attributes are for a female."")]",dark eyes,dark eyes
1,1.0,"I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.",hard and red cheeks,female,female,"The description is tied to 'my mother', indicating the attributes belong to a female.",True,False,"original_sentence='I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.' physical_attributes=[PhysicalAttribute(attribute='pretty hair', gender='female', reasoning=""The text references 'my mother', which explicitly indicates the person's gender as female.""), PhysicalAttribute(attribute='a youthful shape', gender='female', reasoning=""The attribute is describing 'my mother', reinforcing the gender identification as female.""), PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The attribute comes from the description of 'her face', related to 'my mother', thus suggesting the person's gender as female.""), PhysicalAttribute(attribute='hard and red cheeks', gender='female', reasoning=""The description is tied to 'my mother', indicating the attributes belong to a female.""), PhysicalAttribute(attribute='hard and red arms', gender='female', reasoning=""The description is also connected to 'my mother', indicating the attributes are for a female."")]",hard and red cheeks,hard and red cheeks
1,1.0,"I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.",hard and red arms,female,female,"The description is also connected to 'my mother', indicating the attributes are for a female.",True,False,"original_sentence='I OBSERVE   The first objects that assume a distinct presence before me, as I look far back, into the blank of my infancy, are my mother with her pretty hair and youthful shape, and Peggotty with no shape at all, and eyes so dark that they seemed to darken their whole neighbourhood in her face, and cheeks and arms so hard and red that I wondered the birds didn’t peck her in preference to apples.' physical_attributes=[PhysicalAttribute(attribute='pretty hair', gender='female', reasoning=""The text references 'my mother', which explicitly indicates the person's gender as female.""), PhysicalAttribute(attribute='a youthful shape', gender='female', reasoning=""The attribute is describing 'my mother', reinforcing the gender identification as female.""), PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The attribute comes from the description of 'her face', related to 'my mother', thus suggesting the person's gender as female.""), PhysicalAttribute(attribute='hard and red cheeks', gender='female', reasoning=""The description is tied to 'my mother', indicating the attributes belong to a female.""), PhysicalAttribute(attribute='hard and red arms', gender='female', reasoning=""The description is also connected to 'my mother', indicating the attributes are for a female."")]",hard and red arms,hard and red arms
2,,"Of the geese outside the side-gate who come waddling after me with their long necks stretched out when I go that way, I dream at night: as a man environed by wild beasts might dream of lions.",,unknown,,,False,False,"original_sentence='Of the geese outside the side-gate who come waddling after me with their long necks stretched out when I go that way, I dream at night: as a man environed by wild beasts might dream of lions.' physical_attributes=[]",,
3,2.0,"When my mother is out of breath and rests herself in an elbow-chair, I watch her winding her bright curls round her fingers, and straitening her waist, and nobody knows better than I do that she likes to look so well, and is proud of being so pretty.",bright curls,female,female,"The text refers to 'my mother', which explicitly identifies the gender as female. The attribute 'bright curls' describes her hair.",True,True,"original_sentence='When my mother is out of breath and rests herself in an elbow-chair, I watch her winding her bright curls round her fingers, and straitening her waist, and nobody knows better than I do that she likes to look so well, and is proud of being so pretty.' physical_attributes=[PhysicalAttribute(attribute='bright curls', gender='female', reasoning=""The text refers to 'my mother', which explicitly identifies the gender as female. The attribute 'bright curls' describes her hair.""), PhysicalAttribute(attribute='a pretty waist', gender='female', reasoning=""The reference to 'my mother' indicates the person's gender as female. The phrase 'proud of being so pretty' further reinforces this interpretation."")]",bright curls,bright curls
