text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind.",a tall figure,male,male,"The attribute describes 'his tall figure', which is directly linked to the pronoun 'his', suggesting the person's gender as male.",True,True,"original_sentence='His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='male', reasoning=""The attribute describes 'his tall figure', which is directly linked to the pronoun 'his', suggesting the person's gender as male.""), PhysicalAttribute(attribute='a spare figure', gender='male', reasoning=""The attribute describes 'his spare figure', which is directly linked to the pronoun 'his', suggesting the person's gender as male."")]",a tall figure,a tall figure
0,0.0,"His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind.",a spare figure,male,male,"The attribute describes 'his spare figure', which is directly linked to the pronoun 'his', suggesting the person's gender as male.",True,True,"original_sentence='His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='male', reasoning=""The attribute describes 'his tall figure', which is directly linked to the pronoun 'his', suggesting the person's gender as male.""), PhysicalAttribute(attribute='a spare figure', gender='male', reasoning=""The attribute describes 'his spare figure', which is directly linked to the pronoun 'his', suggesting the person's gender as male."")]",a spare figure,a spare figure
1,1.0,"He chuckled to himself and rubbed his long, nervous hands together.",long hands,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('long hands'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He chuckled to himself and rubbed his long, nervous hands together.' physical_attributes=[PhysicalAttribute(attribute='long hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('long hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='nervous hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('nervous hands'), explicitly suggesting the person's gender as male."")]",long hands,long hands
1,1.0,"He chuckled to himself and rubbed his long, nervous hands together.",nervous hands,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('nervous hands'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He chuckled to himself and rubbed his long, nervous hands together.' physical_attributes=[PhysicalAttribute(attribute='long hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('long hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='nervous hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('nervous hands'), explicitly suggesting the person's gender as male."")]",nervous hands,nervous hands
2,2.0,The Count shrugged his broad shoulders.,broad shoulders,male,male,"The text uses the pronoun 'his' to refer to the shoulders being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='The Count shrugged his broad shoulders.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the shoulders being described, explicitly suggesting the person's gender as male."")]",broad shoulders,broad shoulders
3,,"""But you can understand,"" said our strange visitor, sitting down once more and passing his hand over his high white forehead, ""you can understand that I am not accustomed to doing such business in my own person.",,male,,,False,False,"original_sentence='""But you can understand,"" said our strange visitor, sitting down once more and passing his hand over his high white forehead, ""you can understand that I am not accustomed to doing such business in my own person.' physical_attributes=[]",,
4,3.0,"She has the face of the most beautiful of women, and the mind of the most resolute of men.",the face of the most beautiful of women,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('the face of the most beautiful of women'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She has the face of the most beautiful of women, and the mind of the most resolute of men.' physical_attributes=[PhysicalAttribute(attribute='the face of the most beautiful of women', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('the face of the most beautiful of women'), explicitly suggesting the person's gender as female."")]",the face of the most beautiful of women,the face of the most beautiful of women
5,,"""Then, when the row broke out, I had a little moist red paint in the palm of my hand.",,unknown,,,False,False,"original_sentence='Then, when the row broke out, I had a little moist red paint in the palm of my hand.' physical_attributes=[]",,
6,4.0,"THE RED-HEADED LEAGUE  I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair.",a stout face,male,male,"The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.",True,False,"original_sentence='I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair.' physical_attributes=[PhysicalAttribute(attribute='a stout face', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='a florid face', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='fiery red hair', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male."")]",a stout face,a stout face
6,4.0,"THE RED-HEADED LEAGUE  I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair.",a florid face,male,male,"The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.",True,True,"original_sentence='I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair.' physical_attributes=[PhysicalAttribute(attribute='a stout face', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='a florid face', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='fiery red hair', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male."")]",a florid face,a florid face
6,4.0,"THE RED-HEADED LEAGUE  I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair.",fiery red hair,male,male,"The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.",True,False,"original_sentence='I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair.' physical_attributes=[PhysicalAttribute(attribute='a stout face', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='a florid face', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='fiery red hair', gender='male', reasoning=""The attribute is used to describe an 'elderly gentleman', which explicitly suggests the person's gender as male."")]",fiery red hair,fiery red hair
7,5.0,"The stout gentleman half rose from his chair and gave a bob of greeting, with a quick little questioning glance from his small fat-encircled eyes.",small fat-encircled eyes,male,male,"The attribute describes the eyes of 'the stout gentleman', substantively linking this physical characteristic to the male gender.",True,False,"original_sentence='The stout gentleman half rose from his chair and gave a bob of greeting, with a quick little questioning glance from his small fat-encircled eyes.' physical_attributes=[PhysicalAttribute(attribute='a stout gentleman', gender='male', reasoning=""The term 'gentleman' explicitly refers to a male, thereby providing clear evidence for the person's gender.""), PhysicalAttribute(attribute='small fat-encircled eyes', gender='male', reasoning=""The attribute describes the eyes of 'the stout gentleman', substantively linking this physical characteristic to the male gender."")]",small fat-encircled eyes,small fat-encircled eyes
