text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"At first I had supposed ""the dead man's chest"" to be that identical big box of his upstairs in the front room, and the thought had been mingled in my nightmares with that of the one-legged seafaring man.",,male,,,False,False,"original_sentence='At first I had supposed ""the dead man\'s chest"" to be that identical big box of his upstairs in the front room, and the thought had been mingled in my nightmares with that of the one-legged seafaring man.' physical_attributes=[]",,
1,0.0,"The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.",a brown face,male,male,"The attribute describes 'his face', with the pronoun 'his' indicating the person is male.",True,True,"original_sentence='The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='male', reasoning=""The attribute describes 'his face', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='a blue nose', gender='male', reasoning=""The attribute describes 'his nose', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='an old look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male.""), PhysicalAttribute(attribute='a sick look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male."")]",a brown face,a brown face
1,0.0,"The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.",a blue nose,male,male,"The attribute describes 'his nose', with the pronoun 'his' indicating the person is male.",True,False,"original_sentence='The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='male', reasoning=""The attribute describes 'his face', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='a blue nose', gender='male', reasoning=""The attribute describes 'his nose', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='an old look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male.""), PhysicalAttribute(attribute='a sick look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male."")]",a blue nose,a blue nose
1,0.0,"The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.",an old look,male,male,"The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male.",True,True,"original_sentence='The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='male', reasoning=""The attribute describes 'his face', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='a blue nose', gender='male', reasoning=""The attribute describes 'his nose', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='an old look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male.""), PhysicalAttribute(attribute='a sick look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male."")]",an old look,an old look
1,0.0,"The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.",a sick look,male,male,"The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male.",True,True,"original_sentence='The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the evil one, or something worse, if anything can be; and upon my word, I felt sorry to see him all in a moment turn so old and sick.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='male', reasoning=""The attribute describes 'his face', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='a blue nose', gender='male', reasoning=""The attribute describes 'his nose', with the pronoun 'his' indicating the person is male.""), PhysicalAttribute(attribute='an old look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male.""), PhysicalAttribute(attribute='a sick look', gender='male', reasoning=""The attribute is used to describe 'a man' (the captain), and the pronoun 'he' further confirms the gender as male."")]",a sick look,a sick look
2,1.0,"I got the rum, to be sure, and tried to put it down his throat, but his teeth were tightly shut and his jaws as strong as iron.",strong jaws,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('strong jaws'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='I got the rum, to be sure, and tried to put it down his throat, but his teeth were tightly shut and his jaws as strong as iron.' physical_attributes=[PhysicalAttribute(attribute='strong jaws', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('strong jaws'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tight teeth', gender='male', reasoning=""The text uses the pronoun 'his' in the context of describing 'teeth', indicating that it refers to a male."")]",strong jaws,strong jaws
2,1.0,"I got the rum, to be sure, and tried to put it down his throat, but his teeth were tightly shut and his jaws as strong as iron.",tight teeth,male,male,"The text uses the pronoun 'his' in the context of describing 'teeth', indicating that it refers to a male.",True,True,"original_sentence='I got the rum, to be sure, and tried to put it down his throat, but his teeth were tightly shut and his jaws as strong as iron.' physical_attributes=[PhysicalAttribute(attribute='strong jaws', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('strong jaws'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tight teeth', gender='male', reasoning=""The text uses the pronoun 'his' in the context of describing 'teeth', indicating that it refers to a male."")]",tight teeth,tight teeth
3,2.0,"When I got back with the basin, the doctor had already ripped up the captain's sleeve and exposed his great sinewy arm.",a great sinewy arm,male,male,"The text refers to 'the captain' when describing 'his great sinewy arm', indicating the person described is male.",True,False,"original_sentence=""When I got back with the basin, the doctor had already ripped up the captain's sleeve and exposed his great sinewy arm."" physical_attributes=[PhysicalAttribute(attribute='a great sinewy arm', gender='male', reasoning=""The text refers to 'the captain' when describing 'his great sinewy arm', indicating the person described is male."")]",a great sinewy arm,a great sinewy arm
4,3.0,"He was plainly blind, for he tapped before him with a stick and wore a great green shade over his eyes and nose; and he was hunched, as if with age or weakness, and wore a huge old tattered sea-cloak with a hood that made him appear positively deformed.",great green shade over eyes and nose,male,"male},{","The text uses the pronoun 'he' to refer to the person with the current attribute ('great green shade over eyes and nose'), explicitly suggesting the person's gender as male.",False,False,"original_sentence='He was plainly blind, for he tapped before him with a stick and wore a great green shade over his eyes and nose; and he was hunched, as if with age or weakness, and wore a huge old tattered sea-cloak with a hood that made him appear positively deformed.' physical_attributes=[PhysicalAttribute(attribute='great green shade over eyes and nose', gender='male},{', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('great green shade over eyes and nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hunched frame', gender='male', reasoning=""The text uses the pronoun 'he' which indicates the gender as male.""), PhysicalAttribute(attribute='old deformed appearance', gender='male', reasoning=""The text uses the pronoun 'he' which indicates the gender as male."")]",great green shade over eyes and nose,great green shade over eyes and nose
4,3.0,"He was plainly blind, for he tapped before him with a stick and wore a great green shade over his eyes and nose; and he was hunched, as if with age or weakness, and wore a huge old tattered sea-cloak with a hood that made him appear positively deformed.",hunched frame,male,male,The text uses the pronoun 'he' which indicates the gender as male.,True,False,"original_sentence='He was plainly blind, for he tapped before him with a stick and wore a great green shade over his eyes and nose; and he was hunched, as if with age or weakness, and wore a huge old tattered sea-cloak with a hood that made him appear positively deformed.' physical_attributes=[PhysicalAttribute(attribute='great green shade over eyes and nose', gender='male},{', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('great green shade over eyes and nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='hunched frame', gender='male', reasoning=""The text uses the pronoun 'he' which indicates the gender as male.""), PhysicalAttribute(attribute='old deformed appearance', gender='male', reasoning=""The text uses the pronoun 'he' which indicates the gender as male."")]",hunched frame,hunched frame
