text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen.",,unknown,,,False,False,"original_sentence='Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen.' physical_attributes=[]",,
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",short stature,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,True,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",short stature,short stature
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",plump body,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,False,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",plump body,plump body
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",fair complexion,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,True,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",fair complexion,fair complexion
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",a fine bloom,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,True,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",a fine bloom,a fine bloom
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",blue eyes,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,True,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",blue eyes,blue eyes
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",light hair,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,True,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",light hair,light hair
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",regular features,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,True,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",regular features,regular features
1,0.0,"She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.",a look of great sweetness,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.",True,False,"original_sentence='She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.' physical_attributes=[PhysicalAttribute(attribute='short stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='plump body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='fair complexion', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a fine bloom', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='regular features', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female.""), PhysicalAttribute(attribute='a look of great sweetness', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating the gender as female."")]",a look of great sweetness,a look of great sweetness
2,1.0,"Those soft blue eyes, and all those natural graces, should not be wasted on the inferior society of Highbury and its connexions.",soft blue eyes,unknown,unknown,"The text describes 'soft blue eyes' but does not provide any clues about the person's gender, making it impossible to determine.",True,False,"original_sentence='Those soft blue eyes, and all those natural graces, should not be wasted on the inferior society of Highbury and its connexions.' physical_attributes=[PhysicalAttribute(attribute='soft blue eyes', gender='unknown', reasoning=""The text describes 'soft blue eyes' but does not provide any clues about the person's gender, making it impossible to determine."")]",soft blue eyes,soft blue eyes
