text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"A miracle of close shaving his face was, and a marvel of immaculateness his linen.",a close shaved face,male,male,"The description implies that the face is well-groomed, indicated by 'close shaving'. The use of the pronoun 'his' suggests the person is male.",True,False,"original_sentence='A miracle of close shaving his face was, and a marvel of immaculateness his linen.' physical_attributes=[PhysicalAttribute(attribute='a close shaved face', gender='male', reasoning=""The description implies that the face is well-groomed, indicated by 'close shaving'. The use of the pronoun 'his' suggests the person is male."")]",a close shaved face,a close shaved face
1,1.0,"One of those bulky garments swathed his slim figure, while over his left arm hung a gray tweed Norfolk coat.",a slim figure,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a slim figure'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='One of those bulky garments swathed his slim figure, while over his left arm hung a gray tweed Norfolk coat.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a slim figure'), explicitly suggesting the person's gender as male."")]",a slim figure,a slim figure
2,2.0,Jock regarded the gray garment on his arm with moody eyes.,moody eyes,male,male,"The person's name 'Jock' is commonly associated with males, and the description of 'moody eyes' is connected to this male character.",True,False,"original_sentence='Jock regarded the gray garment on his arm with moody eyes.' physical_attributes=[PhysicalAttribute(attribute='moody eyes', gender='male', reasoning=""The person's name 'Jock' is commonly associated with males, and the description of 'moody eyes' is connected to this male character."")]",moody eyes,moody eyes
3,3.0,"Ten minutes later the slim young figure, in its English-fitting black and white, sat opposite Emma McChesney at the breakfast table and between excited gulps of coffee outlined a meteoric career in his chosen field.",a slim figure,male,male,"The term 'his' refers to the figure described, indicating that the person is male.",True,True,"original_sentence='Ten minutes later the slim young figure, in its English-fitting black and white, sat opposite Emma McChesney at the breakfast table and between excited gulps of coffee outlined a meteoric career in his chosen field.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='male', reasoning=""The term 'his' refers to the figure described, indicating that the person is male.""), PhysicalAttribute(attribute='a young figure', gender='male', reasoning=""The term 'his' refers to the figure described, indicating that the person is male."")]",a slim figure,a slim figure
3,3.0,"Ten minutes later the slim young figure, in its English-fitting black and white, sat opposite Emma McChesney at the breakfast table and between excited gulps of coffee outlined a meteoric career in his chosen field.",a young figure,male,male,"The term 'his' refers to the figure described, indicating that the person is male.",True,True,"original_sentence='Ten minutes later the slim young figure, in its English-fitting black and white, sat opposite Emma McChesney at the breakfast table and between excited gulps of coffee outlined a meteoric career in his chosen field.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='male', reasoning=""The term 'his' refers to the figure described, indicating that the person is male.""), PhysicalAttribute(attribute='a young figure', gender='male', reasoning=""The term 'his' refers to the figure described, indicating that the person is male."")]",a young figure,a young figure
4,4.0,"""I'm not afraid,"" she drawled, a wicked little glint in her blue eyes.",blue eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='""I\'m not afraid,"" she drawled, a wicked little glint in her blue eyes.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a wicked little glint', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a wicked little glint'), explicitly suggesting the person's gender as female."")]",blue eyes,blue eyes
4,4.0,"""I'm not afraid,"" she drawled, a wicked little glint in her blue eyes.",a wicked little glint,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a wicked little glint'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='""I\'m not afraid,"" she drawled, a wicked little glint in her blue eyes.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a wicked little glint', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a wicked little glint'), explicitly suggesting the person's gender as female."")]",a wicked little glint,a wicked little glint
5,,"On his way to the last door at the right Jock glanced into each tiny office, glimpsing busy men bent absorbedly over papers, girls busy with dictation, here and there a door revealing two men, or three, deep in discussion of a problem, heads close together, voices low, faces earnest.",,male,,,False,False,"original_sentence='On his way to the last door at the right Jock glanced into each tiny office, glimpsing busy men bent absorbedly over papers, girls busy with dictation, here and there a door revealing two men, or three, deep in discussion of a problem, heads close together, voices low, faces earnest.' physical_attributes=[]",,
6,5.0,"Why--anything--""  Sam Hupp's quick eye swept over the slim, attractive, radiant, correctly-garbed young figure before him.",a slim figure,male,unknown,"The text refers to 'a slim figure' without providing explicit gender indicators, leaving the gender ambiguous.",False,True,"original_sentence='Why--anything--""  Sam Hupp\'s quick eye swept over the slim, attractive, radiant, correctly-garbed young figure before him.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='unknown', reasoning=""The text refers to 'a slim figure' without providing explicit gender indicators, leaving the gender ambiguous.""), PhysicalAttribute(attribute='an attractive figure', gender='unknown', reasoning=""The text refers to 'an attractive figure' without providing explicit gender indicators, leaving the gender ambiguous.""), PhysicalAttribute(attribute='a radiant figure', gender='unknown', reasoning=""The text refers to 'a radiant figure' without providing explicit gender indicators, leaving the gender ambiguous.""), PhysicalAttribute(attribute='a correctly-garbed figure', gender='unknown', reasoning=""The text refers to 'a correctly-garbed figure' without providing explicit gender indicators, leaving the gender ambiguous."")]",a slim figure,a slim figure
6,5.0,"Why--anything--""  Sam Hupp's quick eye swept over the slim, attractive, radiant, correctly-garbed young figure before him.",an attractive figure,male,unknown,"The text refers to 'an attractive figure' without providing explicit gender indicators, leaving the gender ambiguous.",False,True,"original_sentence='Why--anything--""  Sam Hupp\'s quick eye swept over the slim, attractive, radiant, correctly-garbed young figure before him.' physical_attributes=[PhysicalAttribute(attribute='a slim figure', gender='unknown', reasoning=""The text refers to 'a slim figure' without providing explicit gender indicators, leaving the gender ambiguous.""), PhysicalAttribute(attribute='an attractive figure', gender='unknown', reasoning=""The text refers to 'an attractive figure' without providing explicit gender indicators, leaving the gender ambiguous.""), PhysicalAttribute(attribute='a radiant figure', gender='unknown', reasoning=""The text refers to 'a radiant figure' without providing explicit gender indicators, leaving the gender ambiguous.""), PhysicalAttribute(attribute='a correctly-garbed figure', gender='unknown', reasoning=""The text refers to 'a correctly-garbed figure' without providing explicit gender indicators, leaving the gender ambiguous."")]",an attractive figure,an attractive figure
