model,dataset,slice,n,pearson_r,pearson_r_lo,pearson_r_hi
Meta-Llama-3-8B,combined_llm,overall,126,0.5527093529690875,,
Meta-Llama-3-8B,combined_llm,woman,42,0.5986577563339173,,
Meta-Llama-3-8B,combined_llm,man,42,0.49984568973246774,,
Meta-Llama-3-8B,combined_llm,nonbinary,42,0.1610135348908244,,
Meta-Llama-3-8B,eval_novel,overall,288,0.5078009459491925,,
Meta-Llama-3-8B,eval_novel,woman,96,0.5635699422127355,,
Meta-Llama-3-8B,eval_novel,man,96,0.4861005418945185,,
Meta-Llama-3-8B,eval_novel,nonbinary,96,0.19254735276243543,,
Meta-Llama-3-8B,eval_human,overall,150,0.4772324603832291,,
Meta-Llama-3-8B,eval_human,woman,50,0.5858635028299948,,
Meta-Llama-3-8B,eval_human,man,50,0.39339971828628684,,
Meta-Llama-3-8B,eval_human,nonbinary,50,0.23362357794597935,,
Meta-Llama-3-8B,all,overall,564,0.5057893194263441,,
Meta-Llama-3-8B,all,woman,188,0.5774207323333325,,
Meta-Llama-3-8B,all,man,188,0.45258079727889755,,
Meta-Llama-3-8B,all,nonbinary,188,0.18536279404307532,,
Meta-Llama-3-8B-Instruct,combined_llm,overall,126,0.4099362516346295,,
Meta-Llama-3-8B-Instruct,combined_llm,woman,42,0.36050526672390043,,
Meta-Llama-3-8B-Instruct,combined_llm,man,42,0.47156199791544307,,
Meta-Llama-3-8B-Instruct,combined_llm,nonbinary,42,0.04548776028228943,,
Meta-Llama-3-8B-Instruct,eval_novel,overall,288,0.469026762592143,,
Meta-Llama-3-8B-Instruct,eval_novel,woman,96,0.48016339844196426,,
Meta-Llama-3-8B-Instruct,eval_novel,man,96,0.47529336744921846,,
Meta-Llama-3-8B-Instruct,eval_novel,nonbinary,96,0.31843892601822876,,
Meta-Llama-3-8B-Instruct,eval_human,overall,150,0.467841017995567,,
Meta-Llama-3-8B-Instruct,eval_human,woman,50,0.5936386993616453,,
Meta-Llama-3-8B-Instruct,eval_human,man,50,0.37632712535742624,,
Meta-Llama-3-8B-Instruct,eval_human,nonbinary,50,0.48750717661646314,,
Meta-Llama-3-8B-Instruct,all,overall,564,0.4588417409653721,,
Meta-Llama-3-8B-Instruct,all,woman,188,0.49094258867215823,,
Meta-Llama-3-8B-Instruct,all,man,188,0.4437043800381174,,
Meta-Llama-3-8B-Instruct,all,nonbinary,188,0.3335151614485071,,
Mistral-7B-v0.3,combined_llm,overall,126,0.39139330436854836,,
Mistral-7B-v0.3,combined_llm,woman,42,0.41931066140674195,,
