text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Into the Primitive            “Old longings nomadic leap,           Chafing at custom's chain;           Again from its brumal sleep           Wakens the ferine strain.”  Buck did not read the newspapers, or he would have known that trouble was brewing, not alone for himself, but for every tide-water dog, strong of muscle and with warm, long hair, from Puget Sound to San Diego.",strong muscle,male,unknown,"The term 'strong muscle' is used to describe a general characteristic of dogs, which does not imply gender.",False,True,"original_sentence=""Into the Primitive            “Old longings nomadic leap,           Chafing at custom's chain;           Again from its brumal sleep           Wakens the ferine strain.”  Buck did not read the newspapers, or he would have known that trouble was brewing, not alone for himself, but for every tide-water dog, strong of muscle and with warm, long hair, from Puget Sound to San Diego."" physical_attributes=[PhysicalAttribute(attribute='strong muscle', gender='unknown', reasoning=""The term 'strong muscle' is used to describe a general characteristic of dogs, which does not imply gender.""), PhysicalAttribute(attribute='warm long hair', gender='unknown', reasoning=""The term 'warm long hair' is also a general description of a characteristic of dogs, again without indicating gender."")]",strong muscle,strong muscle
0,0.0,"Into the Primitive            “Old longings nomadic leap,           Chafing at custom's chain;           Again from its brumal sleep           Wakens the ferine strain.”  Buck did not read the newspapers, or he would have known that trouble was brewing, not alone for himself, but for every tide-water dog, strong of muscle and with warm, long hair, from Puget Sound to San Diego.",warm long hair,male,unknown,"The term 'warm long hair' is also a general description of a characteristic of dogs, again without indicating gender.",False,False,"original_sentence=""Into the Primitive            “Old longings nomadic leap,           Chafing at custom's chain;           Again from its brumal sleep           Wakens the ferine strain.”  Buck did not read the newspapers, or he would have known that trouble was brewing, not alone for himself, but for every tide-water dog, strong of muscle and with warm, long hair, from Puget Sound to San Diego."" physical_attributes=[PhysicalAttribute(attribute='strong muscle', gender='unknown', reasoning=""The term 'strong muscle' is used to describe a general characteristic of dogs, which does not imply gender.""), PhysicalAttribute(attribute='warm long hair', gender='unknown', reasoning=""The term 'warm long hair' is also a general description of a characteristic of dogs, again without indicating gender."")]",warm long hair,warm long hair
1,,"These men wanted dogs, and the dogs they wanted were heavy dogs, with strong muscles by which to toil, and furry coats to protect them from the frost.",,unknown,,,False,False,"original_sentence='These men wanted dogs, and the dogs they wanted were heavy dogs, with strong muscles by which to toil, and furry coats to protect them from the frost.' physical_attributes=[]",,
2,,"But he was thrown down and choked repeatedly, till they succeeded in filing the heavy brass collar from off his neck.",,male,,,False,False,"original_sentence='But he was thrown down and choked repeatedly, till they succeeded in filing the heavy brass collar from off his neck.' physical_attributes=[]",,
3,1.0,"He staggered limply about, the blood flowing from nose and mouth and ears, his beautiful coat sprayed and flecked with bloody slaver.",a beautiful coat,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('a beautiful coat'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He staggered limply about, the blood flowing from nose and mouth and ears, his beautiful coat sprayed and flecked with bloody slaver.' physical_attributes=[PhysicalAttribute(attribute='a beautiful coat', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a beautiful coat'), explicitly suggesting the person's gender as male."")]",a beautiful coat,a beautiful coat
4,,"Billee wagged his tail appeasingly, turned to run when he saw that appeasement was of no avail, and cried (still appeasingly) when Spitz's sharp teeth scored his flank.",,male,,,False,False,"original_sentence=""Billee wagged his tail appeasingly, turned to run when he saw that appeasement was of no avail, and cried (still appeasingly) when Spitz's sharp teeth scored his flank."" physical_attributes=[]",,
5,,"Apt scholar that he was, they were equally apt teachers, never allowing him to linger long in error, and enforcing their teaching with their sharp teeth.",,male,,,False,False,"original_sentence='Apt scholar that he was, they were equally apt teachers, never allowing him to linger long in error, and enforcing their teaching with their sharp teeth.' physical_attributes=[]",,
6,,"They made good time down the chain of lakes which fills the craters of extinct volcanoes, and late that night pulled into the huge camp at the head of Lake Bennett, where thousands of goldseekers were building boats against the break-up of the ice in the spring.",,unknown,,,False,False,"original_sentence='They made good time down the chain of lakes which fills the craters of extinct volcanoes, and late that night pulled into the huge camp at the head of Lake Bennett, where thousands of goldseekers were building boats against the break-up of the ice in the spring.' physical_attributes=[]",,
7,,"He learned to bite the ice out with his teeth when it collected between his toes; and when he was thirsty and there was a thick scum of ice over the water hole, he would break it by rearing and striking it with stiff fore legs.",,male,,,False,False,"original_sentence='He learned to bite the ice out with his teeth when it collected between his toes; and when he was thirsty and there was a thick scum of ice over the water hole, he would break it by rearing and striking it with stiff fore legs.' physical_attributes=[]",,
8,,"A dozen times, Perrault, nosing the way broke through the ice bridges, being saved by the long pole he carried, which he so held that it fell each time across the hole made by his body.",,male,,,False,False,"original_sentence='A dozen times, Perrault, nosing the way broke through the ice bridges, being saved by the long pole he carried, which he so held that it fell each time across the hole made by his body.' physical_attributes=[]",,
9,,Buck's feet were not so compact and hard as the feet of the huskies.,,unknown,,,False,False,"original_sentence=""Buck's feet were not so compact and hard as the feet of the huskies."" physical_attributes=[]",,
10,,"But Spitz, cold and calculating even in his supreme moods, left the pack and cut across a narrow neck of land where the creek made a long bend around.",,male,,,False,False,"original_sentence='But Spitz, cold and calculating even in his supreme moods, left the pack and cut across a narrow neck of land where the creek made a long bend around.' physical_attributes=[]",,
11,,"Spitz gained his feet almost as though he had not been overthrown, slashing Buck down the shoulder and leaping clear.",,male,,,False,False,"original_sentence='Spitz gained his feet almost as though he had not been overthrown, slashing Buck down the shoulder and leaping clear.' physical_attributes=[]",,
12,,In vain Buck strove to sink his teeth in the neck of the big white dog.,,male,,,False,False,original_sentence='In vain Buck strove to sink his teeth in the neck of the big white dog.' physical_attributes=[],,
13,,"“Now, by Gar, I feex you!” he cried, coming back with a heavy club in his hand.",,male,,,False,False,"original_sentence='“Now, by Gar, I feex you!” he cried, coming back with a heavy club in his hand.' physical_attributes=[]",,
14,2.0,"The hair of this man was long and matted, and his head slanted back under it from the eyes.",long matted hair,male,male,"The text uses the phrase 'this man' and 'his' to refer to the person's hair, explicitly suggesting the person's gender as male.",True,False,"original_sentence='The hair of this man was long and matted, and his head slanted back under it from the eyes.' physical_attributes=[PhysicalAttribute(attribute='long matted hair', gender='male', reasoning=""The text uses the phrase 'this man' and 'his' to refer to the person's hair, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a head slanted back', gender='male', reasoning=""The use of 'his' refers to the man, indicating that this attribute belongs to a male."")]",long matted hair,long matted hair
14,2.0,"The hair of this man was long and matted, and his head slanted back under it from the eyes.",a head slanted back,male,male,"The use of 'his' refers to the man, indicating that this attribute belongs to a male.",True,False,"original_sentence='The hair of this man was long and matted, and his head slanted back under it from the eyes.' physical_attributes=[PhysicalAttribute(attribute='long matted hair', gender='male', reasoning=""The text uses the phrase 'this man' and 'his' to refer to the person's hair, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a head slanted back', gender='male', reasoning=""The use of 'his' refers to the man, indicating that this attribute belongs to a male."")]",a head slanted back,a head slanted back
16,4.0,"And dreaming there by the Yukon bank, with lazy eyes blinking at the fire, these sounds and sights of another world would make the hair to rise along his back and stand on end across his shoulders and up his neck, till he whimpered low and suppressedly, or growled softly, and the half-breed cook shouted at him, “Hey, you Buck, wake up!” Whereupon the other world would vanish and the real world come into his eyes, and he would get up and yawn and stretch as though he had been asleep.",lazy eyes,male,unknown,"The text describes 'lazy eyes' but does not provide gendered pronouns or names to indicate the person's gender, therefore the gender is unknown.",False,True,"original_sentence='And dreaming there by the Yukon bank, with lazy eyes blinking at the fire, these sounds and sights of another world would make the hair to rise along his back and stand on end across his shoulders and up his neck, till he whimpered low and suppressedly, or growled softly, and the half-breed cook shouted at him, “Hey, you Buck, wake up!” Whereupon the other world would vanish and the real world come into his eyes, and he would get up and yawn and stretch as though he had been asleep.' physical_attributes=[PhysicalAttribute(attribute='lazy eyes', gender='unknown', reasoning=""The text describes 'lazy eyes' but does not provide gendered pronouns or names to indicate the person's gender, therefore the gender is unknown.""), PhysicalAttribute(attribute='a rising hair along the back', gender='unknown', reasoning=""The text refers to hair rising without any associated gender pronouns or specific indications of a person's gender, thus it is marked as unknown.""), PhysicalAttribute(attribute='a standing hair across the shoulders', gender='unknown', reasoning='The mention of hair standing up is non-specific in terms of gender as there are no pronouns or descriptive clues indicating a definite gender.'), PhysicalAttribute(attribute='hair up the neck', gender='unknown', reasoning='The text describes hair rising up the neck without any gender cues or references.')]",lazy eyes,lazy eyes
16,4.0,"And dreaming there by the Yukon bank, with lazy eyes blinking at the fire, these sounds and sights of another world would make the hair to rise along his back and stand on end across his shoulders and up his neck, till he whimpered low and suppressedly, or growled softly, and the half-breed cook shouted at him, “Hey, you Buck, wake up!” Whereupon the other world would vanish and the real world come into his eyes, and he would get up and yawn and stretch as though he had been asleep.",a rising hair along the back,male,unknown,"The text refers to hair rising without any associated gender pronouns or specific indications of a person's gender, thus it is marked as unknown.",False,False,"original_sentence='And dreaming there by the Yukon bank, with lazy eyes blinking at the fire, these sounds and sights of another world would make the hair to rise along his back and stand on end across his shoulders and up his neck, till he whimpered low and suppressedly, or growled softly, and the half-breed cook shouted at him, “Hey, you Buck, wake up!” Whereupon the other world would vanish and the real world come into his eyes, and he would get up and yawn and stretch as though he had been asleep.' physical_attributes=[PhysicalAttribute(attribute='lazy eyes', gender='unknown', reasoning=""The text describes 'lazy eyes' but does not provide gendered pronouns or names to indicate the person's gender, therefore the gender is unknown.""), PhysicalAttribute(attribute='a rising hair along the back', gender='unknown', reasoning=""The text refers to hair rising without any associated gender pronouns or specific indications of a person's gender, thus it is marked as unknown.""), PhysicalAttribute(attribute='a standing hair across the shoulders', gender='unknown', reasoning='The mention of hair standing up is non-specific in terms of gender as there are no pronouns or descriptive clues indicating a definite gender.'), PhysicalAttribute(attribute='hair up the neck', gender='unknown', reasoning='The text describes hair rising up the neck without any gender cues or references.')]",a rising hair along the back,a rising hair along the back
