text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Your interest, Sir Walter, is in pretty safe hands.",,unknown,,,False,False,"original_sentence='Your interest, Sir Walter, is in pretty safe hands.' physical_attributes=[]",,
1,0.0,"One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.",a mahogany face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a mahogany face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.' physical_attributes=[PhysicalAttribute(attribute='a mahogany face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a mahogany face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rough face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rough face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rugged face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rugged face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='nine grey hairs', gender='male', reasoning=""The text uses the pronoun 'his' to reference the individual with this attribute ('nine grey hairs'), directly indicating the person's gender as male."")]",a mahogany face,a mahogany face
1,0.0,"One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.",a rough face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a rough face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.' physical_attributes=[PhysicalAttribute(attribute='a mahogany face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a mahogany face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rough face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rough face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rugged face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rugged face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='nine grey hairs', gender='male', reasoning=""The text uses the pronoun 'his' to reference the individual with this attribute ('nine grey hairs'), directly indicating the person's gender as male."")]",a rough face,a rough face
1,0.0,"One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.",a rugged face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a rugged face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.' physical_attributes=[PhysicalAttribute(attribute='a mahogany face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a mahogany face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rough face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rough face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rugged face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rugged face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='nine grey hairs', gender='male', reasoning=""The text uses the pronoun 'his' to reference the individual with this attribute ('nine grey hairs'), directly indicating the person's gender as male."")]",a rugged face,a rugged face
1,0.0,"One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.",nine grey hairs,male,male,"The text uses the pronoun 'his' to reference the individual with this attribute ('nine grey hairs'), directly indicating the person's gender as male.",True,False,"original_sentence='One day last spring, in town, I was in company with two men, striking instances of what I am talking of; Lord St Ives, whose father we all know to have been a country curate, without bread to eat; I was to give place to Lord St Ives, and a certain Admiral Baldwin, the most deplorable-looking personage you can imagine; his face the colour of mahogany, rough and rugged to the last degree; all lines and wrinkles, nine grey hairs of a side, and nothing but a dab of powder at top.' physical_attributes=[PhysicalAttribute(attribute='a mahogany face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a mahogany face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rough face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rough face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a rugged face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a rugged face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='nine grey hairs', gender='male', reasoning=""The text uses the pronoun 'his' to reference the individual with this attribute ('nine grey hairs'), directly indicating the person's gender as male."")]",nine grey hairs,nine grey hairs
2,1.0,"She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.",bright dark eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the attribute 'bright dark eyes', explicitly suggesting the person's gender as female.",True,False,"original_sentence='She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.' physical_attributes=[PhysicalAttribute(attribute='bright dark eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'bright dark eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='good teeth', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'good teeth', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='an agreeable face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'an agreeable face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a reddened complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a reddened complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a weather-beaten complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a weather-beaten complexion', explicitly suggesting the person's gender as female."")]",bright dark eyes,bright dark eyes
2,1.0,"She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.",good teeth,female,female,"The text uses the pronoun 'she' to refer to the person with the attribute 'good teeth', explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.' physical_attributes=[PhysicalAttribute(attribute='bright dark eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'bright dark eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='good teeth', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'good teeth', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='an agreeable face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'an agreeable face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a reddened complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a reddened complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a weather-beaten complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a weather-beaten complexion', explicitly suggesting the person's gender as female."")]",good teeth,good teeth
2,1.0,"She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.",an agreeable face,female,female,"The text uses the pronoun 'she' to refer to the person with the attribute 'an agreeable face', explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.' physical_attributes=[PhysicalAttribute(attribute='bright dark eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'bright dark eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='good teeth', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'good teeth', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='an agreeable face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'an agreeable face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a reddened complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a reddened complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a weather-beaten complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a weather-beaten complexion', explicitly suggesting the person's gender as female."")]",an agreeable face,an agreeable face
2,1.0,"She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.",a reddened complexion,female,female,"The text uses the pronoun 'her' to refer to the person with the attribute 'a reddened complexion', explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.' physical_attributes=[PhysicalAttribute(attribute='bright dark eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'bright dark eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='good teeth', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'good teeth', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='an agreeable face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'an agreeable face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a reddened complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a reddened complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a weather-beaten complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a weather-beaten complexion', explicitly suggesting the person's gender as female."")]",a reddened complexion,a reddened complexion
2,1.0,"She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.",a weather-beaten complexion,female,female,"The text uses the pronoun 'her' to refer to the person with the attribute 'a weather-beaten complexion', explicitly suggesting the person's gender as female.",True,True,"original_sentence='She had bright dark eyes, good teeth, and altogether an agreeable face; though her reddened and weather-beaten complexion, the consequence of her having been almost as much at sea as her husband, made her seem to have lived some years longer in the world than her real eight-and-thirty.' physical_attributes=[PhysicalAttribute(attribute='bright dark eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'bright dark eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='good teeth', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'good teeth', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='an agreeable face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the attribute 'an agreeable face', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a reddened complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a reddened complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a weather-beaten complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute 'a weather-beaten complexion', explicitly suggesting the person's gender as female."")]",a weather-beaten complexion,a weather-beaten complexion
