text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Now she had fastened a row of curly locks to the whip handle, all colours, from gold to silver, fair to dark, and she stroked them with her huge, bony fingers as she laughed at Bibot.",curly locks,female,"female},{","The text uses the pronoun 'she' to refer to the person with the current attribute ('curly locks'), explicitly suggesting the person's gender as female.",False,False,"original_sentence='Now she had fastened a row of curly locks to the whip handle, all colours, from gold to silver, fair to dark, and she stroked them with her huge, bony fingers as she laughed at Bibot.' physical_attributes=[PhysicalAttribute(attribute='curly locks', gender='female},{', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('curly locks'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='huge bony fingers', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('huge bony fingers'), explicitly suggesting the person's gender as female."")]",curly locks,curly locks
0,0.0,"Now she had fastened a row of curly locks to the whip handle, all colours, from gold to silver, fair to dark, and she stroked them with her huge, bony fingers as she laughed at Bibot.",huge bony fingers,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('huge bony fingers'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Now she had fastened a row of curly locks to the whip handle, all colours, from gold to silver, fair to dark, and she stroked them with her huge, bony fingers as she laughed at Bibot.' physical_attributes=[PhysicalAttribute(attribute='curly locks', gender='female},{', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('curly locks'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='huge bony fingers', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('huge bony fingers'), explicitly suggesting the person's gender as female."")]",huge bony fingers,huge bony fingers
1,1.0,".”  “You have not let them go?”  “MORBLEU!” said Bibot, whose purple cheeks had suddenly become white with fear.",purple cheeks,unknown,unknown,The text describes 'purple cheeks' but provides no clues about the person's gender.,True,False,"original_sentence='“You have not let them go?”  “MORBLEU!” said Bibot, whose purple cheeks had suddenly become white with fear.' physical_attributes=[PhysicalAttribute(attribute='purple cheeks', gender='unknown', reasoning=""The text describes 'purple cheeks' but provides no clues about the person's gender.""), PhysicalAttribute(attribute='white cheeks', gender='unknown', reasoning=""The text describes 'white cheeks' but provides no clues about the person's gender."")]",purple cheeks,purple cheeks
1,1.0,".”  “You have not let them go?”  “MORBLEU!” said Bibot, whose purple cheeks had suddenly become white with fear.",white cheeks,unknown,unknown,The text describes 'white cheeks' but provides no clues about the person's gender.,True,True,"original_sentence='“You have not let them go?”  “MORBLEU!” said Bibot, whose purple cheeks had suddenly become white with fear.' physical_attributes=[PhysicalAttribute(attribute='purple cheeks', gender='unknown', reasoning=""The text describes 'purple cheeks' but provides no clues about the person's gender.""), PhysicalAttribute(attribute='white cheeks', gender='unknown', reasoning=""The text describes 'white cheeks' but provides no clues about the person's gender."")]",white cheeks,white cheeks
2,2.0,"Sally had gone to the small mirror which hung in a corner of the kitchen, and was hastily smoothing her hair and setting her frilled cap at its most becoming angle over her dark curls; then she took up the tankards by their handles, three in each strong, brown hand, and laughing, grumbling, blushing, carried them through into the coffee room.",dark curls,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('dark curls'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Sally had gone to the small mirror which hung in a corner of the kitchen, and was hastily smoothing her hair and setting her frilled cap at its most becoming angle over her dark curls; then she took up the tankards by their handles, three in each strong, brown hand, and laughing, grumbling, blushing, carried them through into the coffee room.' physical_attributes=[PhysicalAttribute(attribute='dark curls', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('dark curls'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='strong brown hands', gender='female', reasoning=""The text uses the pronoun 'her' in conjunction with 'strong brown hands', indicating that this attribute belongs to a female."")]",dark curls,dark curls
2,2.0,"Sally had gone to the small mirror which hung in a corner of the kitchen, and was hastily smoothing her hair and setting her frilled cap at its most becoming angle over her dark curls; then she took up the tankards by their handles, three in each strong, brown hand, and laughing, grumbling, blushing, carried them through into the coffee room.",strong brown hands,female,female,"The text uses the pronoun 'her' in conjunction with 'strong brown hands', indicating that this attribute belongs to a female.",True,False,"original_sentence='Sally had gone to the small mirror which hung in a corner of the kitchen, and was hastily smoothing her hair and setting her frilled cap at its most becoming angle over her dark curls; then she took up the tankards by their handles, three in each strong, brown hand, and laughing, grumbling, blushing, carried them through into the coffee room.' physical_attributes=[PhysicalAttribute(attribute='dark curls', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('dark curls'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='strong brown hands', gender='female', reasoning=""The text uses the pronoun 'her' in conjunction with 'strong brown hands', indicating that this attribute belongs to a female."")]",strong brown hands,strong brown hands
3,,"Yet it was an old place, even then, for the oak rafters and beams were already black with age--as were the panelled seats, with their tall backs, and the long polished tables between, on which innumerable pewter tankards had left fantastic patterns of many-sized rings.",,unknown,,,False,False,"original_sentence='Yet it was an old place, even then, for the oak rafters and beams were already black with age--as were the panelled seats, with their tall backs, and the long polished tables between, on which innumerable pewter tankards had left fantastic patterns of many-sized rings.' physical_attributes=[]",,
4,3.0,"Hurrah for pretty Sally!”  “I thought you'd grown deaf in that kitchen of yours,” muttered Jimmy Pitkin, as he passed the back of his hand across his very dry lips.",pretty lips,male,female,"The text uses the name 'Sally', which is typically associated with females, and refers to 'pretty', which is an attribute often used for female beauty.",False,False,"original_sentence=""Hurrah for pretty Sally!”  “I thought you'd grown deaf in that kitchen of yours,” muttered Jimmy Pitkin, as he passed the back of his hand across his very dry lips."" physical_attributes=[PhysicalAttribute(attribute='pretty lips', gender='female', reasoning=""The text uses the name 'Sally', which is typically associated with females, and refers to 'pretty', which is an attribute often used for female beauty.""), PhysicalAttribute(attribute='dry lips', gender='male', reasoning=""The text describes the individual's actions of passing the back of his hand across his lips, with 'his' indicating that the person is male."")]",pretty lips,pretty lips
4,3.0,"Hurrah for pretty Sally!”  “I thought you'd grown deaf in that kitchen of yours,” muttered Jimmy Pitkin, as he passed the back of his hand across his very dry lips.",dry lips,male,male,"The text describes the individual's actions of passing the back of his hand across his lips, with 'his' indicating that the person is male.",True,True,"original_sentence=""Hurrah for pretty Sally!”  “I thought you'd grown deaf in that kitchen of yours,” muttered Jimmy Pitkin, as he passed the back of his hand across his very dry lips."" physical_attributes=[PhysicalAttribute(attribute='pretty lips', gender='female', reasoning=""The text uses the name 'Sally', which is typically associated with females, and refers to 'pretty', which is an attribute often used for female beauty.""), PhysicalAttribute(attribute='dry lips', gender='male', reasoning=""The text describes the individual's actions of passing the back of his hand across his lips, with 'his' indicating that the person is male."")]",dry lips,dry lips
5,4.0,"A young man with fair curly hair, and eager, bright blue eyes, was engaging most of her attention and the whole of her time, whilst broad witticisms anent Jimmy Pitkin's fictitious grandmother flew from mouth to mouth, mixed with heavy puffs of pungent tobacco smoke.",fair curly hair,female,male,The text describes 'a young man' explicitly indicating the person's gender as male.,False,False,"original_sentence=""A young man with fair curly hair, and eager, bright blue eyes, was engaging most of her attention and the whole of her time, whilst broad witticisms anent Jimmy Pitkin's fictitious grandmother flew from mouth to mouth, mixed with heavy puffs of pungent tobacco smoke."" physical_attributes=[PhysicalAttribute(attribute='fair curly hair', gender='male', reasoning=""The text describes 'a young man' explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='bright blue eyes', gender='male', reasoning=""The text describes 'a young man' explicitly indicating the person's gender as male."")]",fair curly hair,fair curly hair
