text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.",a tidy dumpy figure,unknown,female,"The text refers to a 'pretty girl', explicitly indicating the person's gender as female.",False,False,"original_sentence='In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.' physical_attributes=[PhysicalAttribute(attribute='a tidy dumpy figure', gender='female', reasoning=""The text refers to a 'pretty girl', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a round face', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='bright blooming cheeks', gender='female', reasoning=""The text refers to the subject as a 'girl', indicating gender.""), PhysicalAttribute(attribute='glossy clustering curls', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='little merry brown eyes', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female."")]",a tidy dumpy figure,a tidy dumpy figure
0,0.0,"In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.",a round face,unknown,female,"The text refers to a 'pretty girl', indicating the person's gender as female.",False,False,"original_sentence='In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.' physical_attributes=[PhysicalAttribute(attribute='a tidy dumpy figure', gender='female', reasoning=""The text refers to a 'pretty girl', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a round face', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='bright blooming cheeks', gender='female', reasoning=""The text refers to the subject as a 'girl', indicating gender.""), PhysicalAttribute(attribute='glossy clustering curls', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='little merry brown eyes', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female."")]",a round face,a round face
0,0.0,"In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.",bright blooming cheeks,unknown,female,"The text refers to the subject as a 'girl', indicating gender.",False,False,"original_sentence='In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.' physical_attributes=[PhysicalAttribute(attribute='a tidy dumpy figure', gender='female', reasoning=""The text refers to a 'pretty girl', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a round face', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='bright blooming cheeks', gender='female', reasoning=""The text refers to the subject as a 'girl', indicating gender.""), PhysicalAttribute(attribute='glossy clustering curls', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='little merry brown eyes', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female."")]",bright blooming cheeks,bright blooming cheeks
0,0.0,"In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.",glossy clustering curls,unknown,female,"The text refers to a 'pretty girl', indicating the person's gender as female.",False,False,"original_sentence='In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.' physical_attributes=[PhysicalAttribute(attribute='a tidy dumpy figure', gender='female', reasoning=""The text refers to a 'pretty girl', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a round face', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='bright blooming cheeks', gender='female', reasoning=""The text refers to the subject as a 'girl', indicating gender.""), PhysicalAttribute(attribute='glossy clustering curls', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='little merry brown eyes', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female."")]",glossy clustering curls,glossy clustering curls
0,0.0,"In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.",little merry brown eyes,unknown,female,"The text refers to a 'pretty girl', indicating the person's gender as female.",False,False,"original_sentence='In ascending to my room I was met upon the stairs by a smart, pretty girl of nineteen, with a tidy, dumpy figure, a round face, bright, blooming cheeks, glossy, clustering curls, and little merry brown eyes.' physical_attributes=[PhysicalAttribute(attribute='a tidy dumpy figure', gender='female', reasoning=""The text refers to a 'pretty girl', explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a round face', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='bright blooming cheeks', gender='female', reasoning=""The text refers to the subject as a 'girl', indicating gender.""), PhysicalAttribute(attribute='glossy clustering curls', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female.""), PhysicalAttribute(attribute='little merry brown eyes', gender='female', reasoning=""The text refers to a 'pretty girl', indicating the person's gender as female."")]",little merry brown eyes,little merry brown eyes
1,,"here they both are,’ cried my mother, looking round upon us without retarding the motion of her nimble fingers and glittering needles.",,female,,,False,False,"original_sentence='here they both are,’ cried my mother, looking round upon us without retarding the motion of her nimble fingers and glittering needles.' physical_attributes=[]",,
2,1.0,"And there I beheld a tall, lady-like figure, clad in black.",a tall figure,unknown,unknown,"The description is neutral and does not provide specific gender indicators, even though 'lady-like' suggests femininity, it's still too ambiguous to definitively conclude gender.",True,True,"original_sentence='And there I beheld a tall, lady-like figure, clad in black.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='unknown', reasoning=""The description is neutral and does not provide specific gender indicators, even though 'lady-like' suggests femininity, it's still too ambiguous to definitively conclude gender.""), PhysicalAttribute(attribute='a lady-like figure', gender='female', reasoning=""The term 'lady-like' implies characteristics traditionally associated with females, which leans towards labeling the gender as female."")]",a tall figure,a tall figure
3,2.0,"Her hair was raven black, and disposed in long glossy ringlets, a style of coiffure rather unusual in those days, but always graceful and becoming; her complexion was clear and pale; her eyes I could not see, for, being bent upon her prayer-book, they were concealed by their drooping lids and long black lashes, but the brows above were expressive and well defined; the forehead was lofty and intellectual, the nose, a perfect aquiline and the features, in general, unexceptionable—only there was a slight hollowness about the cheeks and eyes, and the lips, though finely formed, were a little too thin, a little too firmly compressed, and had something about them that betokened, I thought, no very soft or amiable temper; and I said in my heart—‘I would rather admire you from this distance, fair lady, than be the partner of your home.’  Just then she happened to raise her eyes, and they met mine; I did not choose to withdraw my gaze, and she turned again to her book, but with a momentary, indefinable expression of quiet scorn, that was inexpressibly provoking to me.",raven black hair,female,female,"The text uses the pronoun 'her' to refer to the person with 'raven black hair', explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her hair was raven black, and disposed in long glossy ringlets, a style of coiffure rather unusual in those days, but always graceful and becoming; her complexion was clear and pale; her eyes I could not see, for, being bent upon her prayer-book, they were concealed by their drooping lids and long black lashes, but the brows above were expressive and well defined; the forehead was lofty and intellectual, the nose, a perfect aquiline and the features, in general, unexceptionable—only there was a slight hollowness about the cheeks and eyes, and the lips, though finely formed, were a little too thin, a little too firmly compressed, and had something about them that betokened, I thought, no very soft or amiable temper; and I said in my heart—‘I would rather admire you from this distance, fair lady, than be the partner of your home.’  Just then she happened to raise her eyes, and they met mine; I did not choose to withdraw my gaze, and she turned again to her book, but with a momentary, indefinable expression of quiet scorn, that was inexpressibly provoking to me.' physical_attributes=[PhysicalAttribute(attribute='raven black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'raven black hair', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='long glossy ringlets', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'long glossy ringlets', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='clear complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'clear complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='pale complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'pale complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='expressive brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'expressive brows', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='lofty forehead', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'lofty forehead', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='perfect aquiline nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'perfect aquiline nose', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='slight hollowness about the cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'slight hollowness about the cheeks', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='slight hollowness about the eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'slight hollowness about the eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='thin lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'thin lips', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='finely formed lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'finely formed lips', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='compressed lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'compressed lips', explicitly suggesting the person's gender as female."")]",raven black hair,raven black hair
3,2.0,"Her hair was raven black, and disposed in long glossy ringlets, a style of coiffure rather unusual in those days, but always graceful and becoming; her complexion was clear and pale; her eyes I could not see, for, being bent upon her prayer-book, they were concealed by their drooping lids and long black lashes, but the brows above were expressive and well defined; the forehead was lofty and intellectual, the nose, a perfect aquiline and the features, in general, unexceptionable—only there was a slight hollowness about the cheeks and eyes, and the lips, though finely formed, were a little too thin, a little too firmly compressed, and had something about them that betokened, I thought, no very soft or amiable temper; and I said in my heart—‘I would rather admire you from this distance, fair lady, than be the partner of your home.’  Just then she happened to raise her eyes, and they met mine; I did not choose to withdraw my gaze, and she turned again to her book, but with a momentary, indefinable expression of quiet scorn, that was inexpressibly provoking to me.",long glossy ringlets,female,female,"The text uses the pronoun 'her' to refer to the person with 'long glossy ringlets', explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her hair was raven black, and disposed in long glossy ringlets, a style of coiffure rather unusual in those days, but always graceful and becoming; her complexion was clear and pale; her eyes I could not see, for, being bent upon her prayer-book, they were concealed by their drooping lids and long black lashes, but the brows above were expressive and well defined; the forehead was lofty and intellectual, the nose, a perfect aquiline and the features, in general, unexceptionable—only there was a slight hollowness about the cheeks and eyes, and the lips, though finely formed, were a little too thin, a little too firmly compressed, and had something about them that betokened, I thought, no very soft or amiable temper; and I said in my heart—‘I would rather admire you from this distance, fair lady, than be the partner of your home.’  Just then she happened to raise her eyes, and they met mine; I did not choose to withdraw my gaze, and she turned again to her book, but with a momentary, indefinable expression of quiet scorn, that was inexpressibly provoking to me.' physical_attributes=[PhysicalAttribute(attribute='raven black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'raven black hair', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='long glossy ringlets', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'long glossy ringlets', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='clear complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'clear complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='pale complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'pale complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='expressive brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'expressive brows', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='lofty forehead', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'lofty forehead', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='perfect aquiline nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'perfect aquiline nose', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='slight hollowness about the cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'slight hollowness about the cheeks', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='slight hollowness about the eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'slight hollowness about the eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='thin lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'thin lips', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='finely formed lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'finely formed lips', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='compressed lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'compressed lips', explicitly suggesting the person's gender as female."")]",long glossy ringlets,long glossy ringlets
3,2.0,"Her hair was raven black, and disposed in long glossy ringlets, a style of coiffure rather unusual in those days, but always graceful and becoming; her complexion was clear and pale; her eyes I could not see, for, being bent upon her prayer-book, they were concealed by their drooping lids and long black lashes, but the brows above were expressive and well defined; the forehead was lofty and intellectual, the nose, a perfect aquiline and the features, in general, unexceptionable—only there was a slight hollowness about the cheeks and eyes, and the lips, though finely formed, were a little too thin, a little too firmly compressed, and had something about them that betokened, I thought, no very soft or amiable temper; and I said in my heart—‘I would rather admire you from this distance, fair lady, than be the partner of your home.’  Just then she happened to raise her eyes, and they met mine; I did not choose to withdraw my gaze, and she turned again to her book, but with a momentary, indefinable expression of quiet scorn, that was inexpressibly provoking to me.",clear complexion,female,female,"The text uses the pronoun 'her' to refer to the person with a 'clear complexion', explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her hair was raven black, and disposed in long glossy ringlets, a style of coiffure rather unusual in those days, but always graceful and becoming; her complexion was clear and pale; her eyes I could not see, for, being bent upon her prayer-book, they were concealed by their drooping lids and long black lashes, but the brows above were expressive and well defined; the forehead was lofty and intellectual, the nose, a perfect aquiline and the features, in general, unexceptionable—only there was a slight hollowness about the cheeks and eyes, and the lips, though finely formed, were a little too thin, a little too firmly compressed, and had something about them that betokened, I thought, no very soft or amiable temper; and I said in my heart—‘I would rather admire you from this distance, fair lady, than be the partner of your home.’  Just then she happened to raise her eyes, and they met mine; I did not choose to withdraw my gaze, and she turned again to her book, but with a momentary, indefinable expression of quiet scorn, that was inexpressibly provoking to me.' physical_attributes=[PhysicalAttribute(attribute='raven black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'raven black hair', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='long glossy ringlets', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'long glossy ringlets', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='clear complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'clear complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='pale complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'pale complexion', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='expressive brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'expressive brows', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='lofty forehead', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'lofty forehead', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='perfect aquiline nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'perfect aquiline nose', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='slight hollowness about the cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with a 'slight hollowness about the cheeks', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='slight hollowness about the eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'slight hollowness about the eyes', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='thin lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'thin lips', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='finely formed lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'finely formed lips', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='compressed lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'compressed lips', explicitly suggesting the person's gender as female."")]",clear complexion,clear complexion
