text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Liddy had a stiff neck the next morning, from looking back over her shoulder, and she refused to go to bed.",,female,,,False,False,"original_sentence='Liddy had a stiff neck the next morning, from looking back over her shoulder, and she refused to go to bed.' physical_attributes=[]",,
1,,"Then after a breakfast which did more credit to Thomas' heart than his head, I went on a short tour of investigation.",,male,,,False,False,"original_sentence=""Then after a breakfast which did more credit to Thomas' heart than his head, I went on a short tour of investigation."" physical_attributes=[]",,
2,0.0,"She looked as though she might be equal to a dozen of Liddy, with her snapping black eyes and heavy jaw.",snapping black eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('snapping black eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She looked as though she might be equal to a dozen of Liddy, with her snapping black eyes and heavy jaw.' physical_attributes=[PhysicalAttribute(attribute='snapping black eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('snapping black eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy jaw', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('heavy jaw'), explicitly suggesting the person's gender as female."")]",snapping black eyes,snapping black eyes
2,0.0,"She looked as though she might be equal to a dozen of Liddy, with her snapping black eyes and heavy jaw.",heavy jaw,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('heavy jaw'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='She looked as though she might be equal to a dozen of Liddy, with her snapping black eyes and heavy jaw.' physical_attributes=[PhysicalAttribute(attribute='snapping black eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('snapping black eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='heavy jaw', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('heavy jaw'), explicitly suggesting the person's gender as female."")]",heavy jaw,heavy jaw
3,,"In spite of myself I had a chilly sensation in the small of my back, and I left him mumbling over his dishes.",,male,,,False,False,"original_sentence='In spite of myself I had a chilly sensation in the small of my back, and I left him mumbling over his dishes.' physical_attributes=[]",,
4,1.0,"We shook hands, and I got a chance to look at Mr. Bailey; he was a tall fellow, perhaps thirty, and he wore a small mustache.",a tall fellow,male,male,"The text uses the pronoun 'he' and refers to 'Mr. Bailey', indicating the person described is male.",True,True,"original_sentence='We shook hands, and I got a chance to look at Mr. Bailey; he was a tall fellow, perhaps thirty, and he wore a small mustache.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The text uses the pronoun 'he' and refers to 'Mr. Bailey', indicating the person described is male.""), PhysicalAttribute(attribute='a small mustache', gender='male', reasoning=""The text uses the pronoun 'he' and refers to 'Mr. Bailey', indicating the person described is male."")]",a tall fellow,a tall fellow
4,1.0,"We shook hands, and I got a chance to look at Mr. Bailey; he was a tall fellow, perhaps thirty, and he wore a small mustache.",a small mustache,male,male,"The text uses the pronoun 'he' and refers to 'Mr. Bailey', indicating the person described is male.",True,True,"original_sentence='We shook hands, and I got a chance to look at Mr. Bailey; he was a tall fellow, perhaps thirty, and he wore a small mustache.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The text uses the pronoun 'he' and refers to 'Mr. Bailey', indicating the person described is male.""), PhysicalAttribute(attribute='a small mustache', gender='male', reasoning=""The text uses the pronoun 'he' and refers to 'Mr. Bailey', indicating the person described is male."")]",a small mustache,a small mustache
5,,"I am particular about Mr. Bailey, because he was a prominent figure in what happened later.",,male,,,False,False,"original_sentence='I am particular about Mr. Bailey, because he was a prominent figure in what happened later.' physical_attributes=[]",,
6,,"The bullet was fired at close range, entered below the shoulder and came out, after passing through the heart, well down the back.",,unknown,,,False,False,"original_sentence='The bullet was fired at close range, entered below the shoulder and came out, after passing through the heart, well down the back.' physical_attributes=[]",,
7,,"Some heavy body dropped, and, half crazed with terror and shock, I ran through the drawing-room and got up-stairs--I scarcely remember how.""",,unknown,,,False,False,"original_sentence='Some heavy body dropped, and, half crazed with terror and shock, I ran through the drawing-room and got up-stairs--I scarcely remember how.' physical_attributes=[]",,
8,,"I have fastened somebody in the small room at the head of the card-room stairs.""",,unknown,,,False,False,original_sentence='I have fastened somebody in the small room at the head of the card-room stairs.' physical_attributes=[],,
9,,"At the foot of the drive the road described a long, sloping, horseshoe-shaped curve around the lodge.",,unknown,,,False,False,"original_sentence='At the foot of the drive the road described a long, sloping, horseshoe-shaped curve around the lodge.' physical_attributes=[]",,
10,2.0,"He was completely but somewhat incongruously dressed, and his open, boyish face looked abashed.",an open face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('an open face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He was completely but somewhat incongruously dressed, and his open, boyish face looked abashed.' physical_attributes=[PhysicalAttribute(attribute='an open face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('an open face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a boyish face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a boyish face'), explicitly suggesting the person's gender as male."")]",an open face,an open face
10,2.0,"He was completely but somewhat incongruously dressed, and his open, boyish face looked abashed.",a boyish face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a boyish face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He was completely but somewhat incongruously dressed, and his open, boyish face looked abashed.' physical_attributes=[PhysicalAttribute(attribute='an open face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('an open face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a boyish face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a boyish face'), explicitly suggesting the person's gender as male."")]",a boyish face,a boyish face
