text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"I attempted to rise, but was not able to stir: for, as I happened to lie on my back, I found my arms and legs were strongly fastened on each side to the ground; and my hair, which was long and thick, tied down in the same manner.",long hair,unknown,unknown,The text describes a characteristic of hair but does not provide any gender-specific markers or pronouns that could help determine the gender of the person.,True,False,"original_sentence='I attempted to rise, but was not able to stir: for, as I happened to lie on my back, I found my arms and legs were strongly fastened on each side to the ground; and my hair, which was long and thick, tied down in the same manner.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='unknown', reasoning='The text describes a characteristic of hair but does not provide any gender-specific markers or pronouns that could help determine the gender of the person.'), PhysicalAttribute(attribute='thick hair', gender='unknown', reasoning='The text describes a characteristic of hair but does not provide any gender-specific markers or pronouns that could help determine the gender of the person.')]",long hair,long hair
0,0.0,"I attempted to rise, but was not able to stir: for, as I happened to lie on my back, I found my arms and legs were strongly fastened on each side to the ground; and my hair, which was long and thick, tied down in the same manner.",thick hair,unknown,unknown,The text describes a characteristic of hair but does not provide any gender-specific markers or pronouns that could help determine the gender of the person.,True,True,"original_sentence='I attempted to rise, but was not able to stir: for, as I happened to lie on my back, I found my arms and legs were strongly fastened on each side to the ground; and my hair, which was long and thick, tied down in the same manner.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='unknown', reasoning='The text describes a characteristic of hair but does not provide any gender-specific markers or pronouns that could help determine the gender of the person.'), PhysicalAttribute(attribute='thick hair', gender='unknown', reasoning='The text describes a characteristic of hair but does not provide any gender-specific markers or pronouns that could help determine the gender of the person.')]",thick hair,thick hair
1,,"His excellency, having mounted on the small of my right leg, advanced forwards up to my face, with about a dozen of his retinue; and producing his credentials under the signet royal, which he applied close to my eyes, spoke about ten minutes without any signs of anger, but with a kind of determinate resolution, often pointing forwards, which, as I afterwards found, was towards the capital city, about half a mile distant; whither it was agreed by his majesty in council that I must be conveyed.",,male,,,False,False,"original_sentence='His excellency, having mounted on the small of my right leg, advanced forwards up to my face, with about a dozen of his retinue; and producing his credentials under the signet royal, which he applied close to my eyes, spoke about ten minutes without any signs of anger, but with a kind of determinate resolution, often pointing forwards, which, as I afterwards found, was towards the capital city, about half a mile distant; whither it was agreed by his majesty in council that I must be conveyed.' physical_attributes=[]",,
2,,"It was a frame of wood raised three inches from the ground, about seven feet long, and four wide, moving upon twenty-two wheels.",,unknown,,,False,False,"original_sentence='It was a frame of wood raised three inches from the ground, about seven feet long, and four wide, moving upon twenty-two wheels.' physical_attributes=[]",,
3,,"Eighty poles, each of one foot high, were erected for this purpose, and very strong cords, of the bigness of packthread, were fastened by hooks to many bandages, which the workmen had girt round my neck, my hands, my body, and my legs.",,unknown,,,False,False,"original_sentence='Eighty poles, each of one foot high, were erected for this purpose, and very strong cords, of the bigness of packthread, were fastened by hooks to many bandages, which the workmen had girt round my neck, my hands, my body, and my legs.' physical_attributes=[]",,
4,,"The great gate fronting to the north was about four feet high, and almost two feet wide, through which I could easily creep.",,unknown,,,False,False,"original_sentence='The great gate fronting to the north was about four feet high, and almost two feet wide, through which I could easily creep.' physical_attributes=[]",,
5,,"Over against this temple, on the other side of the great highway, at twenty feet distance, there was a turret at least five feet high.",,unknown,,,False,False,"original_sentence='Over against this temple, on the other side of the great highway, at twenty feet distance, there was a turret at least five feet high.' physical_attributes=[]",,
6,,"The chains that held my left leg were about two yards long, and gave me not only the liberty of walking backwards and forwards in a semicircle, but, being fixed within four inches of the gate, allowed me to creep in, and lie at my full length in the temple.",,unknown,,,False,False,"original_sentence='The chains that held my left leg were about two yards long, and gave me not only the liberty of walking backwards and forwards in a semicircle, but, being fixed within four inches of the gate, allowed me to creep in, and lie at my full length in the temple.' physical_attributes=[]",,
7,,"The country around appeared like a continued garden, and the enclosed fields, which were generally forty feet square, resembled so many beds of flowers.",,unknown,,,False,False,"original_sentence='The country around appeared like a continued garden, and the enclosed fields, which were generally forty feet square, resembled so many beds of flowers.' physical_attributes=[]",,
8,,"These fields were intermingled with woods of half a stang, {301} and the tallest trees, as I could judge, appeared to be seven feet high.",,unknown,,,False,False,"original_sentence='These fields were intermingled with woods of half a stang, {301} and the tallest trees, as I could judge, appeared to be seven feet high.' physical_attributes=[]",,
9,,"In the     left pocket we saw a huge silver chest, with a cover of the same     metal, which we, the searchers, were not able to lift.",,unknown,,,False,False,"original_sentence='In the     left pocket we saw a huge silver chest, with a cover of the same     metal, which we, the searchers, were not able to lift.' physical_attributes=[]",,
10,,"In his     right waistcoat-pocket we found a prodigious bundle of white thin     substances, folded one over another, about the bigness of three men,     tied with a strong cable, and marked with black figures; which we     humbly conceive to be writings, every letter almost half as large as     the palm of our hands.",,male,,,False,False,"original_sentence='In his right waistcoat-pocket we found a prodigious bundle of white thin substances, folded one over another, about the bigness of three men, tied with a strong cable, and marked with black figures; which we humbly conceive to be writings, every letter almost half as large as the palm of our hands.' physical_attributes=[]",,
11,,"In the left there was a sort of engine, from     the back of which were extended twenty long poles, resembling the     pallisados before your majesty’s court: wherewith we conjecture the     man-mountain combs his head; for we did not always trouble him with     questions, because we found it a great difficulty to make him     understand us.",,male,,,False,False,"original_sentence='In the left there was a sort of engine, from the back of which were extended twenty long poles, resembling the pallisados before your majesty’s court: wherewith we conjecture the man-mountain combs his head; for we did not always trouble him with questions, because we found it a great difficulty to make him understand us.' physical_attributes=[]",,
12,,"In one of these cells were several globes,     or balls, of a most ponderous metal, about the bigness of our heads,     and requiring a strong hand to lift them: the other cell contained a     heap of certain black grains, but of no great bulk or weight, for we     could hold above fifty of them in the palms of our hands.",,unknown,,,False,False,"original_sentence='In one of these cells were several globes, or balls, of a most ponderous metal, about the bigness of our heads, and requiring a strong hand to lift them: the other cell contained a heap of certain black grains, but of no great bulk or weight, for we could hold above fifty of them in the palms of our hands.' physical_attributes=[]",,
13,,"The riders would leap them over my hand, as I held it on the ground; and one of the emperor’s huntsmen, upon a large courser, took my foot, shoe and all; which was indeed a prodigious leap.",,unknown,,,False,False,"original_sentence='The riders would leap them over my hand, as I held it on the ground; and one of the emperor’s huntsmen, upon a large courser, took my foot, shoe and all; which was indeed a prodigious leap.' physical_attributes=[]",,
14,,"I desired he would order several sticks of two feet high, and the thickness of an ordinary cane, to be brought me; whereupon his majesty commanded the master of his woods to give directions accordingly; and the next morning six woodmen arrived with as many carriages, drawn by eight horses to each.",,male,,,False,False,"original_sentence='I desired he would order several sticks of two feet high, and the thickness of an ordinary cane, to be brought me; whereupon his majesty commanded the master of his woods to give directions accordingly; and the next morning six woodmen arrived with as many carriages, drawn by eight horses to each.' physical_attributes=[]",,
15,,"The wall which encompassed it is two feet and a half high, and at least eleven inches broad, so that a coach and horses may be driven very safely round it; and it is flanked with strong towers at ten feet distance.",,unknown,,,False,False,"original_sentence='The wall which encompassed it is two feet and a half high, and at least eleven inches broad, so that a coach and horses may be driven very safely round it; and it is flanked with strong towers at ten feet distance.' physical_attributes=[]",,
16,,"The two great streets, which run across and divide it into four quarters, are five feet wide.",,unknown,,,False,False,"original_sentence='The two great streets, which run across and divide it into four quarters, are five feet wide.' physical_attributes=[]",,
17,,"It is enclosed by a wall of two feet high, and twenty feet distance from the buildings.",,unknown,,,False,False,"original_sentence='It is enclosed by a wall of two feet high, and twenty feet distance from the buildings.' physical_attributes=[]",,
18,,"Now the buildings of the outer court were at least five feet high, and it was impossible for me to stride over them without infinite damage to the pile, though the walls were strongly built of hewn stone, and four inches thick.",,unknown,,,False,False,"original_sentence='Now the buildings of the outer court were at least five feet high, and it was impossible for me to stride over them without infinite damage to the pile, though the walls were strongly built of hewn stone, and four inches thick.' physical_attributes=[]",,
19,,"Of these trees I made two stools, each about three feet high, and strong enough to bear my weight.",,unknown,,,False,False,"original_sentence='Of these trees I made two stools, each about three feet high, and strong enough to bear my weight.' physical_attributes=[]",,
20,,"When I came to the side of the outer court, I stood upon one stool, and took the other in my hand; this I lifted over the roof, and gently set it down on the space between the first and second court, which was eight feet wide.",,unknown,,,False,False,"original_sentence='When I came to the side of the outer court, I stood upon one stool, and took the other in my hand; this I lifted over the roof, and gently set it down on the space between the first and second court, which was eight feet wide.' physical_attributes=[]",,
21,,"As to the first, you are to understand, that for about seventy moons past there have been two struggling parties in this empire, under the names of _Tramecksan_ and _Slamecksan_, from the high and low heels of their shoes, by which they distinguish themselves.",,unknown,,,False,False,"original_sentence='As to the first, you are to understand, that for about seventy moons past there have been two struggling parties in this empire, under the names of _Tramecksan_ and _Slamecksan_, from the high and low heels of their shoes, by which they distinguish themselves.' physical_attributes=[]",,
22,,"It is alleged, indeed, that the high heels are most agreeable to our ancient constitution; but, however this be, his majesty has determined to make use only of low heels in the administration of the government, and all offices in the gift of the crown, as you cannot but observe; and particularly that his majesty’s imperial heels are lower at least by a _drurr_ than any of his court (_drurr_ is a measure about the fourteenth part of an inch).",,male,,,False,False,"original_sentence='It is alleged, indeed, that the high heels are most agreeable to our ancient constitution; but, however this be, his majesty has determined to make use only of low heels in the administration of the government, and all offices in the gift of the crown, as you cannot but observe; and particularly that his majesty’s imperial heels are lower at least by a _drurr_ than any of his court (_drurr_ is a measure about the fourteenth part of an inch).' physical_attributes=[]",,
