text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"For many years he hovered in the background of his family's life, an unassertive figure with a face half-obliterated by lifeless, silky hair, continually occupied in “taking care” of his wife, continually harassed by the idea that he didn't and couldn't understand her.",a face half-obliterated by lifeless hair,evidence for both,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a face half-obliterated by lifeless hair'), explicitly suggesting the person's gender as male.",False,False,"original_sentence=""For many years he hovered in the background of his family's life, an unassertive figure with a face half-obliterated by lifeless, silky hair, continually occupied in “taking care” of his wife, continually harassed by the idea that he didn't and couldn't understand her."" physical_attributes=[PhysicalAttribute(attribute='a face half-obliterated by lifeless hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a face half-obliterated by lifeless hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='silky hair', gender='male', reasoning=""The attribute is used to describe a figure referred to with the pronoun 'he', explicitly suggesting the person's gender as male."")]",a face half-obliterated by lifeless hair,a face half-obliterated by lifeless hair
0,0.0,"For many years he hovered in the background of his family's life, an unassertive figure with a face half-obliterated by lifeless, silky hair, continually occupied in “taking care” of his wife, continually harassed by the idea that he didn't and couldn't understand her.",silky hair,evidence for both,male,"The attribute is used to describe a figure referred to with the pronoun 'he', explicitly suggesting the person's gender as male.",False,True,"original_sentence=""For many years he hovered in the background of his family's life, an unassertive figure with a face half-obliterated by lifeless, silky hair, continually occupied in “taking care” of his wife, continually harassed by the idea that he didn't and couldn't understand her."" physical_attributes=[PhysicalAttribute(attribute='a face half-obliterated by lifeless hair', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a face half-obliterated by lifeless hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='silky hair', gender='male', reasoning=""The attribute is used to describe a figure referred to with the pronoun 'he', explicitly suggesting the person's gender as male."")]",silky hair,silky hair
1,1.0,"He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress.",great handsome eyes,male,male,The use of 'he' and the context referring to the boy indicates that this describes a male.,True,False,"original_sentence='He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress.' physical_attributes=[PhysicalAttribute(attribute='auburn-haired boy', gender='male', reasoning=""The use of 'he' and 'boy' clearly indicates that this attribute describes a male.""), PhysicalAttribute(attribute='great handsome eyes', gender='male', reasoning=""The use of 'he' and the context referring to the boy indicates that this describes a male."")]",great handsome eyes,great handsome eyes
2,2.0,We must leave this terrifying place to-morrow and go searching for sunshine.”  Amory's penetrating green eyes would look out through tangled hair at his mother.,penetrating green eyes,male,unknown,"The text describes 'penetrating green eyes' but does not provide explicit gender indicators; 'Amory' is a name that could be male or female, making the gender unknown.",False,False,"original_sentence=""We must leave this terrifying place to-morrow and go searching for sunshine.”  Amory's penetrating green eyes would look out through tangled hair at his mother."" physical_attributes=[PhysicalAttribute(attribute='penetrating green eyes', gender='unknown', reasoning=""The text describes 'penetrating green eyes' but does not provide explicit gender indicators; 'Amory' is a name that could be male or female, making the gender unknown.""), PhysicalAttribute(attribute='tangled hair', gender='unknown', reasoning=""The text describes 'tangled hair' without indicating gender; the name 'Amory' does not clarify if it refers to a male or female, leading to an unknown gender."")]",penetrating green eyes,penetrating green eyes
2,2.0,We must leave this terrifying place to-morrow and go searching for sunshine.”  Amory's penetrating green eyes would look out through tangled hair at his mother.,tangled hair,male,unknown,"The text describes 'tangled hair' without indicating gender; the name 'Amory' does not clarify if it refers to a male or female, leading to an unknown gender.",False,False,"original_sentence=""We must leave this terrifying place to-morrow and go searching for sunshine.”  Amory's penetrating green eyes would look out through tangled hair at his mother."" physical_attributes=[PhysicalAttribute(attribute='penetrating green eyes', gender='unknown', reasoning=""The text describes 'penetrating green eyes' but does not provide explicit gender indicators; 'Amory' is a name that could be male or female, making the gender unknown.""), PhysicalAttribute(attribute='tangled hair', gender='unknown', reasoning=""The text describes 'tangled hair' without indicating gender; the name 'Amory' does not clarify if it refers to a male or female, leading to an unknown gender."")]",tangled hair,tangled hair
3,3.0,"Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”  “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming--but delicate--we're all delicate; _here_, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.",a beautiful bosom,evidence for both,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a beautiful bosom'), explicitly suggesting the person's gender as female.",False,True,"original_sentence=""Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”  “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming--but delicate--we're all delicate; _here_, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial."" physical_attributes=[PhysicalAttribute(attribute='a beautiful bosom', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a beautiful bosom'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='radiantly outlined hand', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose hand is being described, explicitly suggesting the person's gender as female."")]",a beautiful bosom,a beautiful bosom
3,3.0,"Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”  “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming--but delicate--we're all delicate; _here_, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.",radiantly outlined hand,evidence for both,female,"The text uses the pronoun 'her' to describe the person whose hand is being described, explicitly suggesting the person's gender as female.",False,False,"original_sentence=""Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”  “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming--but delicate--we're all delicate; _here_, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial."" physical_attributes=[PhysicalAttribute(attribute='a beautiful bosom', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a beautiful bosom'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='radiantly outlined hand', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose hand is being described, explicitly suggesting the person's gender as female."")]",radiantly outlined hand,radiantly outlined hand
4,,"He would cross the floor, not too hastily, to Mrs. St. Claire, and say with exactly the correct modulation:  “My _dear_ Mrs. St. Claire, I'm _frightfully_ sorry to be late, but my maid”--he paused there and realized he would be quoting--“but my uncle and I had to see a fella--Yes, I've met your enchanting daughter at dancing-school.”  Then he would shake hands, using that slight, half-foreign bow, with all the starchy little females, and nod to the fellas who would be standing 'round, paralyzed into rigid groups for mutual protection.",,male,,,False,False,"original_sentence=""He would cross the floor, not too hastily, to Mrs. St. Claire, and say with exactly the correct modulation:  “My _dear_ Mrs. St. Claire, I'm _frightfully_ sorry to be late, but my maid”--he paused there and realized he would be quoting--“but my uncle and I had to see a fella--Yes, I've met your enchanting daughter at dancing-school.”  Then he would shake hands, using that slight, half-foreign bow, with all the starchy little females, and nod to the fellas who would be standing 'round, paralyzed into rigid groups for mutual protection."" physical_attributes=[]",,
5,4.0,Myra's eyes opened wide.,wide eyes,unknown,female,"The text uses the name 'Myra', which is typically a female name, to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female.",False,True,"original_sentence=""Myra's eyes opened wide."" physical_attributes=[PhysicalAttribute(attribute='wide eyes', gender='female', reasoning=""The text uses the name 'Myra', which is typically a female name, to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female."")]",wide eyes,wide eyes
6,5.0,"Can you ever forgive me?” She regarded him gravely, his intent green eyes, his mouth, that to her thirteen-year-old, arrow-collar taste was the quintessence of romance.",intent green eyes,evidence for both,male,"The attribute is described in conjunction with the pronoun 'his', indicating that the eyes belong to a male character.",False,False,"original_sentence='Can you ever forgive me?” She regarded him gravely, his intent green eyes, his mouth, that to her thirteen-year-old, arrow-collar taste was the quintessence of romance.' physical_attributes=[PhysicalAttribute(attribute='intent green eyes', gender='male', reasoning=""The attribute is described in conjunction with the pronoun 'his', indicating that the eyes belong to a male character.""), PhysicalAttribute(attribute='his mouth', gender='male', reasoning=""The attribute is connected to the pronoun 'his', explicitly suggesting that this body part belongs to a male character."")]",intent green eyes,intent green eyes
