text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"An’ I’ve always had ways of hearin’ about him.”  She stood in the centre of a braided rug, and its rings of black and gray seemed to circle about her feet in the dim light.",,evidence for both,,,False,False,"original_sentence='An’ I’ve always had ways of hearin’ about him.”  She stood in the centre of a braided rug, and its rings of black and gray seemed to circle about her feet in the dim light.' physical_attributes=[]",,
1,0.0,"They had been girls together, and, to use her own phrase, had “both seen trouble till they knew the best and worst on ‘t.” I could see the sorrowful, large figure of Mrs. Todd as I stood at the window.",a sorrowful large figure,female,female,"The mention of 'Mrs. Todd' suggests a female identity, and the context of the description associates it with her.",True,False,"original_sentence='They had been girls together, and, to use her own phrase, had “both seen trouble till they knew the best and worst on ‘t.” I could see the sorrowful, large figure of Mrs. Todd as I stood at the window.' physical_attributes=[PhysicalAttribute(attribute='a sorrowful large figure', gender='female', reasoning=""The mention of 'Mrs. Todd' suggests a female identity, and the context of the description associates it with her."")]",a sorrowful large figure,a sorrowful large figure
2,1.0,"I could see his thin, bending figure.",a thin figure,male,male,"The text uses the pronoun 'his', which explicitly suggests the person's gender as male.",True,True,"original_sentence='I could see his thin, bending figure.' physical_attributes=[PhysicalAttribute(attribute='a thin figure', gender='male', reasoning=""The text uses the pronoun 'his', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='a bending figure', gender='male', reasoning=""The text uses the pronoun 'his', which explicitly suggests the person's gender as male."")]",a thin figure,a thin figure
2,1.0,"I could see his thin, bending figure.",a bending figure,male,male,"The text uses the pronoun 'his', which explicitly suggests the person's gender as male.",True,False,"original_sentence='I could see his thin, bending figure.' physical_attributes=[PhysicalAttribute(attribute='a thin figure', gender='male', reasoning=""The text uses the pronoun 'his', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='a bending figure', gender='male', reasoning=""The text uses the pronoun 'his', which explicitly suggests the person's gender as male."")]",a bending figure,a bending figure
3,2.0,"There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.",a thin face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.' physical_attributes=[PhysicalAttribute(attribute='a thin face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a delicate face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='appealing lines', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('appealing lines'), explicitly suggesting the person's gender as male."")]",a thin face,a thin face
3,2.0,"There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.",a delicate face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.' physical_attributes=[PhysicalAttribute(attribute='a thin face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a delicate face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='appealing lines', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('appealing lines'), explicitly suggesting the person's gender as male."")]",a delicate face,a delicate face
3,2.0,"There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.",appealing lines,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('appealing lines'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.' physical_attributes=[PhysicalAttribute(attribute='a thin face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a delicate face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='appealing lines', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('appealing lines'), explicitly suggesting the person's gender as male."")]",appealing lines,appealing lines
4,3.0,"“We shall know it while yet below,” insisted the captain, with a flush of impatience on his thin cheeks.",thin cheeks,male,male,"The text refers to 'the captain' using the pronoun 'his', which clearly indicates that the person being described is male.",True,True,"original_sentence='“We shall know it while yet below,” insisted the captain, with a flush of impatience on his thin cheeks.' physical_attributes=[PhysicalAttribute(attribute='thin cheeks', gender='male', reasoning=""The text refers to 'the captain' using the pronoun 'his', which clearly indicates that the person being described is male."")]",thin cheeks,thin cheeks
5,,"“We were delayed in lading, and baffled by head winds and a heavy tumbling sea all the way north-about and across.",,unknown,,,False,False,"original_sentence='“We were delayed in lading, and baffled by head winds and a heavy tumbling sea all the way north-about and across.' physical_attributes=[]",,
6,,"They could see the place when they were approaching it by sea pretty near like any town, and thick with habitations; but all at once they lost sight of it altogether, and when they got close inshore they could see the shapes of folks, but they never could get near them,--all blowing gray figures that would pass along alone, or sometimes gathered in companies as if they were watching.",,unknown,,,False,False,"original_sentence='They could see the place when they were approaching it by sea pretty near like any town, and thick with habitations; but all at once they lost sight of it altogether, and when they got close inshore they could see the shapes of folks, but they never could get near them,--all blowing gray figures that would pass along alone, or sometimes gathered in companies as if they were watching.' physical_attributes=[]",,
