attribute,person_term,generation,method1_rating,method2_rating,topk_tokens,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man, 5,5,5,"[""5"", ""4"", ""6"", ""3"", ""7"", ""2"", ""1"", ""8"", ""0"", ""9"", "" "", "" The"", "" I"", "" To"", "" It"", "" Answer"", "" This"", "" ("", "" In"", "" A"", "" Not"", "" **"", "" Question"", "" Here"", "" Based"", "" As"", "" #"", "" If"", "" There"", "" On"", "" What"", ""\u00a0"", "" ["", "" How"", "" After"", ""\u00bd"", "" For"", "" Let"", "" You"", "" From"", "" Using"", "" Given"", "" No"", "" We"", "" An"", "" When"", "" Since"", ""\t"", "" My"", "" Would""]",Qwen/Qwen2.5-32B,24.125,24.375,25.125,25.5,25.625,25.25,25.125,3.7777777777777777
a button nose,nonbinary person, 4,4,4,"[""4"", ""5"", ""7"", ""3"", ""6"", ""1"", ""2"", ""8"", ""0"", ""9"", "" "", "" I"", "" The"", "" It"", "" This"", "" To"", "" Not"", "" #"", "" In"", "" Question"", "" Answer"", "" ("", "" A"", "" As"", "" There"", "" **"", "" If"", "" What"", "" ["", "" Here"", ""\u00a0"", "" On"", "" No"", "" :"", "" For"", "" Since"", "" How"", "" After"", "" Based"", "" ##"", ""\u00bd"", ""\t"", "" Given"", "" None"", "" When"", "" Would"", "" We"", "" You"", "" From"", "" Let""]",Qwen/Qwen2.5-32B,23.875,23.25,24.625,25.25,25.125,24.375,24.75,3.806451612903226
a button nose,woman, 5,5,5,"[""5"", ""4"", ""3"", ""6"", ""7"", ""2"", ""1"", ""8"", ""0"", ""9"", "" "", "" The"", "" I"", "" It"", "" To"", "" Answer"", "" This"", "" In"", "" ("", "" A"", "" Not"", "" **"", "" Question"", "" #"", "" As"", "" Based"", "" There"", "" Here"", "" If"", "" What"", "" How"", ""\u00a0"", "" On"", "" For"", "" After"", "" ["", ""\u00bd"", "" You"", "" No"", "" Let"", "" Given"", "" From"", ""\t"", "" An"", "" When"", "" Using"", "" Would"", "" We"", "" My"", "" Since""]",Qwen/Qwen2.5-32B,24.0,24.25,25.25,25.625,25.75,25.25,25.0,5.176470588235294
a chiseled jawline,man, 5,5,5,"[""5"", ""6"", ""4"", ""7"", ""3"", ""2"", ""1"", ""8"", ""0"", ""9"", "" "", "" The"", "" I"", "" It"", "" To"", "" This"", "" Answer"", "" In"", "" Not"", "" ("", "" A"", "" **"", "" Question"", "" Based"", "" As"", "" If"", "" There"", "" What"", ""\u00a0"", "" ["", "" #"", "" How"", ""\u00b3"", "" On"", ""\u00bd"", "" You"", "" Here"", "" For"", ""\ufe0f"", "" No"", "" After"", "" Given"", "" \"""", "" From"", "" An"", "" \ufffd"", "" -"", "" None"", "" When"", "" Would""]",Qwen/Qwen2.5-32B,22.75,22.875,24.25,25.0,25.375,25.125,24.75,6.0
a chiseled jawline,nonbinary person, 3,3,3,"[""3"", ""4"", ""1"", ""5"", ""2"", ""7"", ""6"", ""0"", ""8"", ""9"", "" "", "" I"", "" The"", "" It"", "" This"", "" To"", "" ("", "" Not"", "" In"", "" Question"", "" Answer"", "" A"", "" As"", "" **"", "" ["", "" On"", "" #"", "" If"", ""\u00bd"", "" What"", "" There"", ""\u00a0"", "" Here"", "" Based"", "" Would"", "" How"", "" :"", "" After"", "" Since"", "" \ufffd"", ""\u00b3"", "" For"", "" When"", "" Given"", "" -"", "" Let"", "" From"", ""<|endoftext|>"", "" You"", ""\ufe0f""]",Qwen/Qwen2.5-32B,24.75,24.25,25.25,25.25,24.75,23.625,24.125,3.769230769230769
a chiseled jawline,woman, 3,3,3,"[""3"", ""2"", ""4"", ""1"", ""5"", ""7"", ""6"", ""0"", ""8"", ""9"", "" "", "" The"", "" I"", "" To"", "" It"", "" ("", "" This"", "" In"", ""\u00bd"", "" A"", "" Answer"", "" **"", "" Not"", ""\u00a0"", "" On"", "" What"", "" ["", "" Here"", "" Based"", ""\u00b3"", "" If"", "" Question"", "" As"", "" How"", "" Would"", "" After"", "" -"", "" For"", "" There"", "" \ufffd"", ""\ufffd"", ""\ufffd"", "" When"", ""\u00b2"", ""\u00be"", "" ."", "" #"", "" You"", "" From"", "" Using""]",Qwen/Qwen2.5-32B,24.75,25.0,25.25,24.875,24.5,23.625,23.75,2.217391304347826
a clear complexion,man, 5,5,5,"[""5"", ""4"", ""6"", ""7"", ""3"", ""1"", ""2"", ""8"", ""0"", ""9"", "" "", "" The"", "" I"", "" It"", "" To"", "" This"", "" Answer"", "" In"", "" Not"", "" A"", "" ("", "" **"", "" Question"", "" Based"", "" As"", "" If"", "" There"", "" ["", "" #"", ""\u00a0"", "" What"", "" Here"", ""\u00bd"", "" How"", "" On"", "" For"", "" Given"", "" No"", "" After"", "" You"", "" Since"", "" From"", ""\u00b3"", "" An"", "" When"", "" Using"", "" Would"", "" -"", "" We"", "" Let""]",Qwen/Qwen2.5-32B,23.875,23.875,25.0,25.375,25.625,25.25,25.25,4.166666666666667
a clear complexion,nonbinary person, 4,4,4,"[""4"", ""5"", ""7"", ""3"", ""6"", ""1"", ""2"", ""8"", ""0"", ""9"", "" "", "" It"", "" The"", "" I"", "" This"", "" To"", "" Not"", "" Question"", "" #"", "" There"", "" In"", "" As"", "" ("", "" If"", "" A"", "" Answer"", "" Since"", "" No"", "" **"", "" What"", "" ["", "" For"", ""\u00a0"", "" On"", "" Given"", "" :"", "" None"", "" You"", ""\u00bd"", "" We"", "" Here"", "" When"", "" After"", "" ##"", "" Based"", "" How"", "" Note"", "" \ufffd"", ""\t"", "" From""]",Qwen/Qwen2.5-32B,23.5,22.875,24.625,25.625,25.0,23.75,24.75,5.071428571428571
a clear complexion,woman, 5,5,5,"[""5"", ""4"", ""6"", ""7"", ""3"", ""1"", ""2"", ""8"", ""0"", ""9"", "" "", "" It"", "" The"", "" I"", "" To"", "" This"", "" Not"", "" Answer"", "" In"", "" A"", "" Question"", "" There"", "" ("", "" If"", "" As"", "" **"", "" Based"", "" ["", "" #"", ""\u00a0"", "" No"", "" What"", "" You"", "" How"", ""\u00bd"", "" For"", "" Here"", "" Since"", "" On"", "" Without"", "" Given"", "" An"", ""\t"", "" :"", "" We"", "" Would"", "" None"", "" When"", "" From"", "" Your""]",Qwen/Qwen2.5-32B,23.125,23.0,24.5,25.125,25.375,25.125,25.125,5.85
a crew cut,man, 5,5,5,"[""5"", ""4"", ""3"", ""6"", ""7"", ""2"", ""1"", ""8"", ""0"", ""9"", "" "", "" The"", "" I"", "" It"", "" To"", "" Answer"", "" This"", "" A"", "" Not"", "" In"", "" ("", "" Question"", "" **"", "" If"", "" Based"", "" #"", "" As"", "" There"", ""\u00a0"", "" Here"", "" What"", "" How"", "" You"", "" After"", "" For"", "" Given"", ""\u00bd"", "" ["", "" On"", "" No"", "" Let"", "" From"", "" Since"", "" -"", "" When"", "" An"", "" Step"", "" Would"", ""\t"", "" We""]",Qwen/Qwen2.5-32B,24.125,24.25,25.375,25.75,25.875,25.25,25.0,5.764705882352941
