text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"This double row of dwellings sat at the foot of the rather sharp slope from Bestwood, and looked out, from the attic windows at least, on the slow climb of the valley towards Selby.",,unknown,,,False,False,"original_sentence='This double row of dwellings sat at the foot of the rather sharp slope from Bestwood, and looked out, from the attic windows at least, on the slow climb of the valley towards Selby.' physical_attributes=[]",,
1,,"And between the rows, between the long lines of ash-pits, went the alley, where the children played and the women gossiped and the men smoked.",,unknown,,,False,False,"original_sentence='And between the rows, between the long lines of ash-pits, went the alley, where the children played and the women gossiped and the men smoked.' physical_attributes=[]",,
2,0.0,"“Isn't it done?” he cried, his blue eyes staring at her in indignation.",blue eyes,evidence for both,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as male.",False,True,"original_sentence=""“Isn't it done?” he cried, his blue eyes staring at her in indignation."" physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as male."")]",blue eyes,blue eyes
3,,"Women were coming home from the wakes, the children hugging a white lamb with green legs, or a wooden horse.",,unknown,,,False,False,"original_sentence='Women were coming home from the wakes, the children hugging a white lamb with green legs, or a wooden horse.' physical_attributes=[]",,
4,1.0,His cheeks were very red and very shiny above his black moustache.,very red cheeks,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('very red cheeks'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His cheeks were very red and very shiny above his black moustache.' physical_attributes=[PhysicalAttribute(attribute='very red cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('very red cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very shiny cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('very shiny cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='black moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('black moustache'), explicitly suggesting the person's gender as male."")]",very red cheeks,very red cheeks
4,1.0,His cheeks were very red and very shiny above his black moustache.,very shiny cheeks,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('very shiny cheeks'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His cheeks were very red and very shiny above his black moustache.' physical_attributes=[PhysicalAttribute(attribute='very red cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('very red cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very shiny cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('very shiny cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='black moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('black moustache'), explicitly suggesting the person's gender as male."")]",very shiny cheeks,very shiny cheeks
4,1.0,His cheeks were very red and very shiny above his black moustache.,black moustache,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('black moustache'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His cheeks were very red and very shiny above his black moustache.' physical_attributes=[PhysicalAttribute(attribute='very red cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('very red cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very shiny cheeks', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('very shiny cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='black moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('black moustache'), explicitly suggesting the person's gender as male."")]",black moustache,black moustache
5,2.0,"Her father, George Coppard, was an engineer--a large, handsome, haughty man, proud of his fair skin and blue eyes, but more proud still of his integrity.",fair skin,evidence for both,male,"The text describes the father, George, indicating that he is male, and the attribute refers directly to him.",False,True,"original_sentence='Her father, George Coppard, was an engineer--a large, handsome, haughty man, proud of his fair skin and blue eyes, but more proud still of his integrity.' physical_attributes=[PhysicalAttribute(attribute='a large man', gender='male', reasoning=""The text refers to 'Her father' and describes him as 'a man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a handsome man', gender='male', reasoning=""The text refers to 'Her father' and describes him as 'a man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a haughty man', gender='male', reasoning=""The text refers to 'Her father' and describes him as 'a man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='fair skin', gender='male', reasoning='The text describes the father, George, indicating that he is male, and the attribute refers directly to him.'), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning='The text describes the father, George, indicating that he is male, and the attribute refers directly to him.')]",fair skin,fair skin
5,2.0,"Her father, George Coppard, was an engineer--a large, handsome, haughty man, proud of his fair skin and blue eyes, but more proud still of his integrity.",blue eyes,evidence for both,male,"The text describes the father, George, indicating that he is male, and the attribute refers directly to him.",False,True,"original_sentence='Her father, George Coppard, was an engineer--a large, handsome, haughty man, proud of his fair skin and blue eyes, but more proud still of his integrity.' physical_attributes=[PhysicalAttribute(attribute='a large man', gender='male', reasoning=""The text refers to 'Her father' and describes him as 'a man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a handsome man', gender='male', reasoning=""The text refers to 'Her father' and describes him as 'a man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a haughty man', gender='male', reasoning=""The text refers to 'Her father' and describes him as 'a man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='fair skin', gender='male', reasoning='The text describes the father, George, indicating that he is male, and the attribute refers directly to him.'), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning='The text describes the father, George, indicating that he is male, and the attribute refers directly to him.')]",blue eyes,blue eyes
6,3.0,Gertrude resembled her mother in her small build.,a small build,female,female,The text includes the pronoun 'her' which implies the subject is female; 'Gertrude' is also a common female name.,True,True,"original_sentence='Gertrude resembled her mother in her small build.' physical_attributes=[PhysicalAttribute(attribute='a small build', gender='female', reasoning=""The text includes the pronoun 'her' which implies the subject is female; 'Gertrude' is also a common female name."")]",a small build,a small build
