text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"I  stared  without  breathing  across  the  long  room,  into  the  dark  eyes  of  the  hunter,  and  he  looked  pleasantly  back  at  me.",dark eyes,male,unknown,"The text refers to 'the dark eyes of the hunter' without providing explicit gender indicators. Although 'hunter' is often associated with male, it is not definitive here.",False,True,"original_sentence='I stared without breathing across the long room, into the dark eyes of the hunter, and he looked pleasantly back at me.' physical_attributes=[PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning=""The text refers to 'the dark eyes of the hunter' without providing explicit gender indicators. Although 'hunter' is often associated with male, it is not definitive here."")]",dark eyes,dark eyes
1,1.0,"My  mom  looks  like  me,  except  with  short  hair  and  laugh  lines.",short hair,unknown,female,"The text refers to 'mom', which indicates a female figure, thus supporting the gender inference.",False,True,"original_sentence='My  mom  looks  like  me,  except  with  short  hair  and  laugh  lines.' physical_attributes=[PhysicalAttribute(attribute='short hair', gender='female', reasoning=""The text refers to 'mom', which indicates a female figure, thus supporting the gender inference.""), PhysicalAttribute(attribute='laugh lines', gender='female', reasoning=""The text refers to 'mom', which indicates a female figure, thus supporting the gender inference."")]",short hair,short hair
1,1.0,"My  mom  looks  like  me,  except  with  short  hair  and  laugh  lines.",laugh lines,unknown,female,"The text refers to 'mom', which indicates a female figure, thus supporting the gender inference.",False,False,"original_sentence='My  mom  looks  like  me,  except  with  short  hair  and  laugh  lines.' physical_attributes=[PhysicalAttribute(attribute='short hair', gender='female', reasoning=""The text refers to 'mom', which indicates a female figure, thus supporting the gender inference.""), PhysicalAttribute(attribute='laugh lines', gender='female', reasoning=""The text refers to 'mom', which indicates a female figure, thus supporting the gender inference."")]",laugh lines,laugh lines
2,2.0,"I  felt  a  spasm  of  panic  as  I  stared  at  her  wide,  childlike  eyes.",wide childlike eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('wide childlike eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='I felt a spasm of panic as I stared at her wide, childlike eyes.' physical_attributes=[PhysicalAttribute(attribute='wide childlike eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wide childlike eyes'), explicitly suggesting the person's gender as female."")]",wide childlike eyes,wide childlike eyes
3,3.0,"Instead,  I  was  ivory-skinned,  without  even  the  excuse  of  blue  eyes  or  red  hair,  despite  the  constant  sunshine.",blue eyes,unknown,unknown,The attribute 'blue eyes' does not provide any clues about the person's gender.,True,True,"original_sentence='Instead, I was ivory-skinned, without even the excuse of blue eyes or red hair, despite the constant sunshine.' physical_attributes=[PhysicalAttribute(attribute='ivory-skinned', gender='unknown', reasoning=""The attribute 'ivory-skinned' does not provide any clues about the person's gender.""), PhysicalAttribute(attribute='blue eyes', gender='unknown', reasoning=""The attribute 'blue eyes' does not provide any clues about the person's gender.""), PhysicalAttribute(attribute='red hair', gender='unknown', reasoning=""The attribute 'red hair' does not provide any clues about the person's gender."")]",blue eyes,blue eyes
3,3.0,"Instead,  I  was  ivory-skinned,  without  even  the  excuse  of  blue  eyes  or  red  hair,  despite  the  constant  sunshine.",red hair,unknown,unknown,The attribute 'red hair' does not provide any clues about the person's gender.,True,True,"original_sentence='Instead, I was ivory-skinned, without even the excuse of blue eyes or red hair, despite the constant sunshine.' physical_attributes=[PhysicalAttribute(attribute='ivory-skinned', gender='unknown', reasoning=""The attribute 'ivory-skinned' does not provide any clues about the person's gender.""), PhysicalAttribute(attribute='blue eyes', gender='unknown', reasoning=""The attribute 'blue eyes' does not provide any clues about the person's gender.""), PhysicalAttribute(attribute='red hair', gender='unknown', reasoning=""The attribute 'red hair' does not provide any clues about the person's gender."")]",red hair,red hair
4,,"I  stuffed  everything  in  my  bag,  slung  the  strap  over  my  shoulder,  and  sucked  in  a  huge  breath.",,unknown,,,False,False,"original_sentence='I stuffed everything in my bag, slung the strap over my shoulder, and sucked in a huge breath.' physical_attributes=[]",,
5,4.0,"They  were  two  girls,  one  a  porcelain-colored  blonde,  the  other  also  pale,  with  light  brown  hair.",a porcelain-colored blonde,unknown,female,"The text describes 'two girls', explicitly indicating the gender as female for the attribute 'a porcelain-colored blonde'.",False,True,"original_sentence='They were two girls, one a porcelain-colored blonde, the other also pale, with light brown hair.' physical_attributes=[PhysicalAttribute(attribute='a porcelain-colored blonde', gender='female', reasoning=""The text describes 'two girls', explicitly indicating the gender as female for the attribute 'a porcelain-colored blonde'.""), PhysicalAttribute(attribute='light brown hair', gender='female', reasoning=""The text describes 'two girls', explicitly indicating the gender as female for the attribute 'light brown hair'."")]",a porcelain-colored blonde,a porcelain-colored blonde
5,4.0,"They  were  two  girls,  one  a  porcelain-colored  blonde,  the  other  also  pale,  with  light  brown  hair.",light brown hair,unknown,female,"The text describes 'two girls', explicitly indicating the gender as female for the attribute 'light brown hair'.",False,False,"original_sentence='They were two girls, one a porcelain-colored blonde, the other also pale, with light brown hair.' physical_attributes=[PhysicalAttribute(attribute='a porcelain-colored blonde', gender='female', reasoning=""The text describes 'two girls', explicitly indicating the gender as female for the attribute 'a porcelain-colored blonde'.""), PhysicalAttribute(attribute='light brown hair', gender='female', reasoning=""The text describes 'two girls', explicitly indicating the gender as female for the attribute 'light brown hair'."")]",light brown hair,light brown hair
6,5.0,"She  was  tiny,  several  inches  shorter  than  my  five  feet  four  inches,  but  her  wildly  curly  dark  hair  made  up  a  lot    of  the  difference  between  our  heights.",wildly curly dark hair,female,female,"The text uses the pronoun 'her' to refer to the person with 'wildly curly dark hair', explicitly suggesting the person's gender as female.",True,False,"original_sentence='She  was  tiny,  several  inches  shorter  than  my  five  feet  four  inches,  but  her  wildly  curly  dark  hair  made  up  a  lot    of  the  difference  between  our  heights.' physical_attributes=[PhysicalAttribute(attribute='wildly curly dark hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with 'wildly curly dark hair', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a tiny stature', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, explicitly suggesting the person's gender as female."")]",wildly curly dark hair,wildly curly dark hair
