text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"That young man with the long, auburn hair and the impudent face--that young man was not really a poet; but surely he was a poem.",long auburn hair,male,male,"The text refers to 'that young man', explicitly indicating the person's gender as male.",True,False,"original_sentence='That young man with the long, auburn hair and the impudent face--that young man was not really a poet; but surely he was a poem.' physical_attributes=[PhysicalAttribute(attribute='long auburn hair', gender='male', reasoning=""The text refers to 'that young man', explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='impudent face', gender='male', reasoning=""The text refers to 'that young man', explicitly indicating the person's gender as male."")]",long auburn hair,long auburn hair
0,0.0,"That young man with the long, auburn hair and the impudent face--that young man was not really a poet; but surely he was a poem.",impudent face,male,male,"The text refers to 'that young man', explicitly indicating the person's gender as male.",True,True,"original_sentence='That young man with the long, auburn hair and the impudent face--that young man was not really a poet; but surely he was a poem.' physical_attributes=[PhysicalAttribute(attribute='long auburn hair', gender='male', reasoning=""The text refers to 'that young man', explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='impudent face', gender='male', reasoning=""The text refers to 'that young man', explicitly indicating the person's gender as male."")]",impudent face,impudent face
1,1.0,"His dark red hair parted in the middle was literally like a woman’s, and curved into the slow curls of a virgin in a pre-Raphaelite picture.",dark red hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute, suggesting that the person's gender is male.",True,False,"original_sentence='His dark red hair parted in the middle was literally like a woman’s, and curved into the slow curls of a virgin in a pre-Raphaelite picture.' physical_attributes=[PhysicalAttribute(attribute='dark red hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute, suggesting that the person's gender is male.""), PhysicalAttribute(attribute='curled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('curled hair'), suggesting the person's gender is male."")]",dark red hair,dark red hair
1,1.0,"His dark red hair parted in the middle was literally like a woman’s, and curved into the slow curls of a virgin in a pre-Raphaelite picture.",curled hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('curled hair'), suggesting the person's gender is male.",True,False,"original_sentence='His dark red hair parted in the middle was literally like a woman’s, and curved into the slow curls of a virgin in a pre-Raphaelite picture.' physical_attributes=[PhysicalAttribute(attribute='dark red hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute, suggesting that the person's gender is male.""), PhysicalAttribute(attribute='curled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('curled hair'), suggesting the person's gender is male."")]",curled hair,curled hair
2,2.0,"From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.",a broad face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a broad face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.' physical_attributes=[PhysicalAttribute(attribute='a broad face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a broad face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a brutal face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a brutal face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a chin carried forward', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chin carried forward'), explicitly suggesting the person's gender as male."")]",a broad face,a broad face
2,2.0,"From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.",a brutal face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a brutal face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.' physical_attributes=[PhysicalAttribute(attribute='a broad face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a broad face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a brutal face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a brutal face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a chin carried forward', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chin carried forward'), explicitly suggesting the person's gender as male."")]",a brutal face,a brutal face
2,2.0,"From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.",a chin carried forward,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a chin carried forward'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.' physical_attributes=[PhysicalAttribute(attribute='a broad face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a broad face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a brutal face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a brutal face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a chin carried forward', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a chin carried forward'), explicitly suggesting the person's gender as male."")]",a chin carried forward,a chin carried forward
3,3.0,"The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.",a fair pointed beard,unknown,male,"The name 'Gabriel' is typically male, and the text refers to the poet as 'himself', indicating a male gender.",False,False,"original_sentence='The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.' physical_attributes=[PhysicalAttribute(attribute='a fair pointed beard', gender='male', reasoning=""The name 'Gabriel' is typically male, and the text refers to the poet as 'himself', indicating a male gender.""), PhysicalAttribute(attribute='faint yellow hair', gender='male', reasoning=""The name 'Gabriel' is typically male, and the text refers to the poet as 'himself', indicating a male gender."")]",a fair pointed beard,a fair pointed beard
3,3.0,"The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.",faint yellow hair,unknown,male,"The name 'Gabriel' is typically male, and the text refers to the poet as 'himself', indicating a male gender.",False,False,"original_sentence='The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.' physical_attributes=[PhysicalAttribute(attribute='a fair pointed beard', gender='male', reasoning=""The name 'Gabriel' is typically male, and the text refers to the poet as 'himself', indicating a male gender.""), PhysicalAttribute(attribute='faint yellow hair', gender='male', reasoning=""The name 'Gabriel' is typically male, and the text refers to the poet as 'himself', indicating a male gender."")]",faint yellow hair,faint yellow hair
4,4.0,"I only wonder there were not comets and earthquakes on the night you appeared in this garden.”  The man with the meek blue eyes and the pale, pointed beard endured these thunders with a certain submissive solemnity.",meek blue eyes,unknown,male,"The text describes 'the man' who has 'meek blue eyes', which is used in conjunction with a clear masculine identifier ('the man'), indicating male gender.",False,False,"original_sentence='I only wonder there were not comets and earthquakes on the night you appeared in this garden.”  The man with the meek blue eyes and the pale, pointed beard endured these thunders with a certain submissive solemnity.' physical_attributes=[PhysicalAttribute(attribute='meek blue eyes', gender='male', reasoning=""The text describes 'the man' who has 'meek blue eyes', which is used in conjunction with a clear masculine identifier ('the man'), indicating male gender.""), PhysicalAttribute(attribute='a pale pointed beard', gender='male', reasoning=""The text describes 'the man' and introduces his beard as 'a pale pointed beard'; again, 'the man' reinforces the gender as male."")]",meek blue eyes,meek blue eyes
