text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud; to be above his company, and above being pleased; and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.",much handsomer than Mr. Bingley,male,male,The use of 'he' when discussing handsomeness and the comparison to another man (Mr. Bingley) indicates this is a male attribute.,True,False,"original_sentence='The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud; to be above his company, and above being pleased; and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.' physical_attributes=[PhysicalAttribute(attribute='a fine figure of a man', gender='male', reasoning=""The text includes 'gentlemen' and 'he', which indicates the subject is male. The phrase 'a fine figure of a man' also reinforces this gender identification.""), PhysicalAttribute(attribute='much handsomer than Mr. Bingley', gender='male', reasoning=""The use of 'he' when discussing handsomeness and the comparison to another man (Mr. Bingley) indicates this is a male attribute.""), PhysicalAttribute(attribute='a most forbidding, disagreeable countenance', gender='male', reasoning=""The text uses 'he' earlier in the passage, indicating the gender is male. The countenance described belongs to the same subject."")]",much handsomer than Mr. Bingley,much handsomer than Mr. Bingley
0,0.0,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud; to be above his company, and above being pleased; and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.","a most forbidding , disagreeable countenance",male,male,"The text uses 'he' earlier in the passage, indicating the gender is male. The countenance described belongs to the same subject.",True,False,"original_sentence='The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud; to be above his company, and above being pleased; and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.' physical_attributes=[PhysicalAttribute(attribute='a fine figure of a man', gender='male', reasoning=""The text includes 'gentlemen' and 'he', which indicates the subject is male. The phrase 'a fine figure of a man' also reinforces this gender identification.""), PhysicalAttribute(attribute='much handsomer than Mr. Bingley', gender='male', reasoning=""The use of 'he' when discussing handsomeness and the comparison to another man (Mr. Bingley) indicates this is a male attribute.""), PhysicalAttribute(attribute='a most forbidding, disagreeable countenance', gender='male', reasoning=""The text uses 'he' earlier in the passage, indicating the gender is male. The countenance described belongs to the same subject."")]","a most forbidding, disagreeable countenance","a most forbidding , disagreeable countenance"
1,1.0,"But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes.",dark eyes,evidence for both,female,"The pronoun 'her' clearly refers to the person with 'dark eyes', indicating that this person is female.",False,True,"original_sentence='But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes.' physical_attributes=[PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The pronoun 'her' clearly refers to the person with 'dark eyes', indicating that this person is female.""), PhysicalAttribute(attribute='a beautiful expression', gender='female', reasoning=""The pronoun 'her' refers to the person exhibiting 'a beautiful expression', indicating that this person is female."")]",dark eyes,dark eyes
1,1.0,"But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes.",a beautiful expression,evidence for both,female,"The pronoun 'her' refers to the person exhibiting 'a beautiful expression', indicating that this person is female.",False,True,"original_sentence='But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes.' physical_attributes=[PhysicalAttribute(attribute='dark eyes', gender='female', reasoning=""The pronoun 'her' clearly refers to the person with 'dark eyes', indicating that this person is female.""), PhysicalAttribute(attribute='a beautiful expression', gender='female', reasoning=""The pronoun 'her' refers to the person exhibiting 'a beautiful expression', indicating that this person is female."")]",a beautiful expression,a beautiful expression
2,2.0,"I have been meditating on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow.”  Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections.",a pair of fine eyes,evidence for both,female,"The text references 'a pretty woman', indicating the gender as female.",False,False,"original_sentence='I have been meditating on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow.”  Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections.' physical_attributes=[PhysicalAttribute(attribute='a pair of fine eyes', gender='female', reasoning=""The text references 'a pretty woman', indicating the gender as female.""), PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The text specifically describes a 'pretty woman', explicitly suggesting the gender as female.""), PhysicalAttribute(attribute='his face', gender='male', reasoning=""The pronoun 'his' indicates that the face being described belongs to a male character."")]",a pair of fine eyes,a pair of fine eyes
2,2.0,"I have been meditating on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow.”  Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections.",a pretty face,evidence for both,female,"The text specifically describes a 'pretty woman', explicitly suggesting the gender as female.",False,True,"original_sentence='I have been meditating on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow.”  Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections.' physical_attributes=[PhysicalAttribute(attribute='a pair of fine eyes', gender='female', reasoning=""The text references 'a pretty woman', indicating the gender as female.""), PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The text specifically describes a 'pretty woman', explicitly suggesting the gender as female.""), PhysicalAttribute(attribute='his face', gender='male', reasoning=""The pronoun 'his' indicates that the face being described belongs to a male character."")]",a pretty face,a pretty face
3,3.0,"Lydia was a stout, well-grown girl of fifteen, with a fine complexion and good-humoured countenance; a favourite with her mother, whose affection had brought her into public at an early age.",a fine complexion,female,female,"The attribute is used to describe 'Lydia', who is identified as a 'girl', suggesting the person's gender is female.",True,True,"original_sentence='Lydia was a stout, well-grown girl of fifteen, with a fine complexion and good-humoured countenance; a favourite with her mother, whose affection had brought her into public at an early age.' physical_attributes=[PhysicalAttribute(attribute='a stout girl', gender='female', reasoning=""The text explicitly refers to 'Lydia' as a 'girl', which indicates the gender is female.""), PhysicalAttribute(attribute='a fine complexion', gender='female', reasoning=""The attribute is used to describe 'Lydia', who is identified as a 'girl', suggesting the person's gender is female.""), PhysicalAttribute(attribute='a good-humoured countenance', gender='female', reasoning=""The attribute is related to 'Lydia', who is a 'girl', indicating the gender is female."")]",a fine complexion,a fine complexion
3,3.0,"Lydia was a stout, well-grown girl of fifteen, with a fine complexion and good-humoured countenance; a favourite with her mother, whose affection had brought her into public at an early age.",a good-humoured countenance,female,female,"The attribute is related to 'Lydia', who is a 'girl', indicating the gender is female.",True,True,"original_sentence='Lydia was a stout, well-grown girl of fifteen, with a fine complexion and good-humoured countenance; a favourite with her mother, whose affection had brought her into public at an early age.' physical_attributes=[PhysicalAttribute(attribute='a stout girl', gender='female', reasoning=""The text explicitly refers to 'Lydia' as a 'girl', which indicates the gender is female.""), PhysicalAttribute(attribute='a fine complexion', gender='female', reasoning=""The attribute is used to describe 'Lydia', who is identified as a 'girl', suggesting the person's gender is female.""), PhysicalAttribute(attribute='a good-humoured countenance', gender='female', reasoning=""The attribute is related to 'Lydia', who is a 'girl', indicating the gender is female."")]",a good-humoured countenance,a good-humoured countenance
4,4.0,"As for your Elizabeth's picture, you must not have it taken, for what painter could do justice to those beautiful eyes?”  “It would not be easy, indeed, to catch their expression, but their colour and shape, and the eyelashes, so remarkably fine, might be copied.”  At that moment they were met from another walk by Mrs. Hurst and Elizabeth herself.",beautiful eyes,unknown,female,"The text mentions 'Elizabeth's picture', indicating that 'Elizabeth' is female, which suggests the attributes being described ('beautiful eyes') are also related to a female.",False,True,"original_sentence=""As for your Elizabeth's picture, you must not have it taken, for what painter could do justice to those beautiful eyes?”  “It would not be easy, indeed, to catch their expression, but their colour and shape, and the eyelashes, so remarkably fine, might be copied.”  At that moment they were met from another walk by Mrs. Hurst and Elizabeth herself."" physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='female', reasoning=""The text mentions 'Elizabeth's picture', indicating that 'Elizabeth' is female, which suggests the attributes being described ('beautiful eyes') are also related to a female.""), PhysicalAttribute(attribute='remarkably fine eyelashes', gender='female', reasoning=""The text is focused on describing features of 'Elizabeth', who is indicated to be female; thus, the eyelashes being described belong to a female."")]",beautiful eyes,beautiful eyes
4,4.0,"As for your Elizabeth's picture, you must not have it taken, for what painter could do justice to those beautiful eyes?”  “It would not be easy, indeed, to catch their expression, but their colour and shape, and the eyelashes, so remarkably fine, might be copied.”  At that moment they were met from another walk by Mrs. Hurst and Elizabeth herself.",remarkably fine eyelashes,unknown,female,"The text is focused on describing features of 'Elizabeth', who is indicated to be female; thus, the eyelashes being described belong to a female.",False,False,"original_sentence=""As for your Elizabeth's picture, you must not have it taken, for what painter could do justice to those beautiful eyes?”  “It would not be easy, indeed, to catch their expression, but their colour and shape, and the eyelashes, so remarkably fine, might be copied.”  At that moment they were met from another walk by Mrs. Hurst and Elizabeth herself."" physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='female', reasoning=""The text mentions 'Elizabeth's picture', indicating that 'Elizabeth' is female, which suggests the attributes being described ('beautiful eyes') are also related to a female.""), PhysicalAttribute(attribute='remarkably fine eyelashes', gender='female', reasoning=""The text is focused on describing features of 'Elizabeth', who is indicated to be female; thus, the eyelashes being described belong to a female."")]",remarkably fine eyelashes,remarkably fine eyelashes
5,,"The subjection in which his father had brought him up had given him originally great humility of manner; but it was now a good deal counteracted by the self-conceit of a weak head, living in retirement, and the consequential feelings of early and unexpected prosperity.",,male,,,False,False,"original_sentence='The subjection in which his father had brought him up had given him originally great humility of manner; but it was now a good deal counteracted by the self-conceit of a weak head, living in retirement, and the consequential feelings of early and unexpected prosperity.' physical_attributes=[]",,
6,5.0,"His appearance was greatly in his favour; he had all the best part of beauty, a fine countenance, a good figure, and very pleasing address.",a fine countenance,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a fine countenance'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His appearance was greatly in his favour; he had all the best part of beauty, a fine countenance, a good figure, and very pleasing address.' physical_attributes=[PhysicalAttribute(attribute='a fine countenance', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a fine countenance'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a good figure', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a good figure'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pleasing address', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a pleasing address'), explicitly suggesting the person's gender as male."")]",a fine countenance,a fine countenance
