text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Her face and person answer my most refined ideas of complete beauty: and this, though a subject of praise less important to you, or, to me than any other, is yet so striking, it is not possible to pass it unnoticed.",complete beauty,female,female,"The text uses the pronoun 'her' to refer to the person being described as having 'complete beauty', suggesting the person's gender as female.",True,True,"original_sentence='Her face and person answer my most refined ideas of complete beauty: and this, though a subject of praise less important to you, or, to me than any other, is yet so striking, it is not possible to pass it unnoticed.' physical_attributes=[PhysicalAttribute(attribute='complete beauty', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person being described as having 'complete beauty', suggesting the person's gender as female."")]",complete beauty,complete beauty
1,,"Poor Miss Mirvan cannot wear one of the caps she made, because they dress her hair too large for them.",,female,,,False,False,"original_sentence='Poor Miss Mirvan cannot wear one of the caps she made, because they dress her hair too large for them.' physical_attributes=[]",,
2,1.0,"Almost the same moment that Maria was presented to him, he began some rude jests upon the bad shape of her nose, and called her a tall ill-formed thing.",a bad shape of a nose,evidence for both,"female},{","The text uses the pronoun 'her' to refer to the person with the current attribute ('a bad shape of a nose'), explicitly suggesting the person's gender as female. Additionally, 'Maria' is a common female name, further supporting this inference.",False,False,"original_sentence='Almost the same moment that Maria was presented to him, he began some rude jests upon the bad shape of her nose, and called her a tall ill-formed thing.' physical_attributes=[PhysicalAttribute(attribute='a bad shape of a nose', gender='female},{', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a bad shape of a nose'), explicitly suggesting the person's gender as female. Additionally, 'Maria' is a common female name, further supporting this inference."")]",a bad shape of a nose,a bad shape of a nose
3,,"We sat in the pit, where every body was dressed in so high a style, that if I had been less delighted with the performance, my eyes would have found me sufficient entertainment from looking at the ladies.",,unknown,,,False,False,"original_sentence='We sat in the pit, where every body was dressed in so high a style, that if I had been less delighted with the performance, my eyes would have found me sufficient entertainment from looking at the ladies.' physical_attributes=[]",,
4,,"As soon as he saw me, he made a most respectful bow, and hoped I had not suffered from the fatigue of the ridotto: I made no other answer than a slight inclination of the head, for I was very much ashamed of that whole affair.",,male,,,False,False,"original_sentence='As soon as he saw me, he made a most respectful bow, and hoped I had not suffered from the fatigue of the ridotto: I made no other answer than a slight inclination of the head, for I was very much ashamed of that whole affair.' physical_attributes=[]",,
5,2.0,"Madame Duval was in ecstasies; and the Captain flung himself into so many ridiculous distortions, by way of mimicking her, that he engaged the attention of all the company; and, in the midst of the performance of the Coronation Anthem, while Madame Duval was affecting to beat time, and uttering many expressions of delight, he called suddenly for salts, which a lady, apprehending some distress, politely handed to him, and which, instantly applying to the nostrils of poor Madame Duval, she involuntarily snuffed up such a quantity, that the pain and surprise made her scream aloud.",a quantity of pain and surprise,evidence for both,unknown,The attribute 'pain and surprise' is not a physical description of Madame Duval and does not fulfill the criteria for physical attributes.,False,False,"original_sentence='Madame Duval was in ecstasies; and the Captain flung himself into so many ridiculous distortions, by way of mimicking her, that he engaged the attention of all the company; and, in the midst of the performance of the Coronation Anthem, while Madame Duval was affecting to beat time, and uttering many expressions of delight, he called suddenly for salts, which a lady, apprehending some distress, politely handed to him, and which, instantly applying to the nostrils of poor Madame Duval, she involuntarily snuffed up such a quantity, that the pain and surprise made her scream aloud.' physical_attributes=[PhysicalAttribute(attribute='a quantity of pain and surprise', gender='unknown', reasoning=""The attribute 'pain and surprise' is not a physical description of Madame Duval and does not fulfill the criteria for physical attributes."")]",a quantity of pain and surprise,a quantity of pain and surprise
6,3.0,"He had a broad grin on his face, and panted for breath.",a broad grin,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a broad grin'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had a broad grin on his face, and panted for breath.' physical_attributes=[PhysicalAttribute(attribute='a broad grin', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a broad grin'), explicitly suggesting the person's gender as male."")]",a broad grin,a broad grin
7,,"I then saw that her feet were tied together with a strong rope, which was fastened to the upper branch of a tree, even with a hedge which ran along the ditch where she sat.",,female,,,False,False,"original_sentence='I then saw that her feet were tied together with a strong rope, which was fastened to the upper branch of a tree, even with a hedge which ran along the ditch where she sat.' physical_attributes=[]",,
8,,"A sullen gloominess instantly clouded his face, and, turning short from me, he said, I might do as I pleased, but that I should much sooner repent than repair my officiousness.",,male,,,False,False,"original_sentence='A sullen gloominess instantly clouded his face, and, turning short from me, he said, I might do as I pleased, but that I should much sooner repent than repair my officiousness.' physical_attributes=[]",,
9,4.0,"She then told me, that she had been thinking all night of a contrivance to hinder the Captain from finding out her loss of curls; which was having a large gauge handkerchief pinned over her head as a hood, and saying she had the tooth-ache.",loss of curls,female,female,"The text uses the pronoun 'her' which is a marker for the female gender, indicating the person experiencing the loss of curls is female.",True,False,"original_sentence='She then told me, that she had been thinking all night of a contrivance to hinder the Captain from finding out her loss of curls; which was having a large gauge handkerchief pinned over her head as a hood, and saying she had the tooth-ache.' physical_attributes=[PhysicalAttribute(attribute='loss of curls', gender='female', reasoning=""The text uses the pronoun 'her' which is a marker for the female gender, indicating the person experiencing the loss of curls is female."")]",loss of curls,loss of curls
10,,"Not heeding, as I suppose, how he went, in turning the corner of the stairs, which are narrow and winding, his foot slipped and he fell; but almost instantly rising, I plainly perceived the end of a pistol, which started from his pocket by hitting against the stairs.",,male,,,False,False,"original_sentence='Not heeding, as I suppose, how he went, in turning the corner of the stairs, which are narrow and winding, his foot slipped and he fell; but almost instantly rising, I plainly perceived the end of a pistol, which started from his pocket by hitting against the stairs.' physical_attributes=[]",,
11,5.0,"Young Branghton, too, who had been apparently awed by the presence of so fine a gentleman, was again himself, rude and familiar: while his mouth was wide distended into a broad grin, at hearing his aunt give the beau such a trimming.",a wide mouth,male,male,"The text refers to 'Young Branghton', who is identified as male, and his mouth is described as 'wide distended', suggesting the person's gender as male.",True,True,"original_sentence='Young Branghton, too, who had been apparently awed by the presence of so fine a gentleman, was again himself, rude and familiar: while his mouth was wide distended into a broad grin, at hearing his aunt give the beau such a trimming.' physical_attributes=[PhysicalAttribute(attribute='a wide mouth', gender='male', reasoning=""The text refers to 'Young Branghton', who is identified as male, and his mouth is described as 'wide distended', suggesting the person's gender as male.""), PhysicalAttribute(attribute='a broad grin', gender='male', reasoning=""The text refers to 'Young Branghton', who is identified as male, and his grin is described as 'broad', suggesting the person's gender as male."")]",a wide mouth,a wide mouth
11,5.0,"Young Branghton, too, who had been apparently awed by the presence of so fine a gentleman, was again himself, rude and familiar: while his mouth was wide distended into a broad grin, at hearing his aunt give the beau such a trimming.",a broad grin,male,male,"The text refers to 'Young Branghton', who is identified as male, and his grin is described as 'broad', suggesting the person's gender as male.",True,True,"original_sentence='Young Branghton, too, who had been apparently awed by the presence of so fine a gentleman, was again himself, rude and familiar: while his mouth was wide distended into a broad grin, at hearing his aunt give the beau such a trimming.' physical_attributes=[PhysicalAttribute(attribute='a wide mouth', gender='male', reasoning=""The text refers to 'Young Branghton', who is identified as male, and his mouth is described as 'wide distended', suggesting the person's gender as male.""), PhysicalAttribute(attribute='a broad grin', gender='male', reasoning=""The text refers to 'Young Branghton', who is identified as male, and his grin is described as 'broad', suggesting the person's gender as male."")]",a broad grin,a broad grin
12,,"Sometimes he approaches me, as if with intention to communicate intelligence of importance; and then, suddenly stopping short, laughs rudely in my face.",,male,,,False,False,"original_sentence='Sometimes he approaches me, as if with intention to communicate intelligence of importance; and then, suddenly stopping short, laughs rudely in my face.' physical_attributes=[]",,
13,,"""Miss,"" cried young Branghton, ""Bid only wishes it was she, for she has cast a sheep's eye at Mr. Smith this long while.""",,female,,,False,False,"original_sentence='""Miss,"" cried young Branghton, ""Bid only wishes it was she, for she has cast a sheep\'s eye at Mr. Smith this long while.""' physical_attributes=[]",,
14,,"I assure you, Ma'am, (with an affected shrug) I find quite business enough for my poor head in studying politics.""",,unknown,,,False,False,"original_sentence=""I assure you, Ma'am, (with an affected shrug) I find quite business enough for my poor head in studying politics."" physical_attributes=[]",,
15,,"Not long after, a foot of one of the poor women slipt, and with great force she came again to the ground.",,female,,,False,False,"original_sentence='Not long after, a foot of one of the poor women slipt, and with great force she came again to the ground.' physical_attributes=[]",,
16,,"yet, weak as are the lines for the purpose, I envy beyond expression the happy mortal who has dared make the effort.""",,unknown,,,False,False,"original_sentence='yet, weak as are the lines for the purpose, I envy beyond expression the happy mortal who has dared make the effort.' physical_attributes=[]",,
17,6.0,"He saw that my eyes were red, and would not let me rest till he made me confess the cause; and when, though most reluctantly, I had acknowledged my weakness, I could with difficulty refrain from weeping again at the gratitude he expressed.",red eyes,male,unknown,The text describes 'my eyes' as 'red' without any clues about the person's gender.,False,True,"original_sentence='He saw that my eyes were red, and would not let me rest till he made me confess the cause; and when, though most reluctantly, I had acknowledged my weakness, I could with difficulty refrain from weeping again at the gratitude he expressed.' physical_attributes=[PhysicalAttribute(attribute='red eyes', gender='unknown', reasoning=""The text describes 'my eyes' as 'red' without any clues about the person's gender."")]",red eyes,red eyes
18,,"Mrs. Selwyn said something, but I could not listen to her; and in a few minutes he added, ""Lift up thy head-if my sight has not blasted thee!-lift up thy head, thou image of my long lost Caroline!""",,evidence for both,,,False,False,"original_sentence='Mrs. Selwyn said something, but I could not listen to her; and in a few minutes he added, ""Lift up thy head-if my sight has not blasted thee!-lift up thy head, thou image of my long lost Caroline!""' physical_attributes=[]",,
19,,"Why, I'll lay you what you will, there is fat and grease enough on your crown to buoy you up, if you were to go in head downwards.""",,unknown,,,False,False,"original_sentence=""Why, I'll lay you what you will, there is fat and grease enough on your crown to buoy you up, if you were to go in head downwards."" physical_attributes=[]",,
20,,"Hasten then, my love, to bless me with thy presence, and to receive the blessings with which my fond heart overflows!-And oh, my Evelina, hear and assist in one only, humble, but ardent prayer, which yet animates my devotions: That the height of bliss to which thou art rising may not render thee giddy, but that the purity of thy mind may form the brightest splendour of thy prosperity!-and that the weak and aged frame of thy almost idolizing parent, nearly worn out by time, past afflictions, and infirmities, may yet be able to sustain a meeting with all its better part holds dear; and then, that all the wounds which the former severity of fortune inflicted, may be healed and purified by the ultimate consolation of pouring forth my dying words in blessings on my child!-closing these joy-streaming eyes in her presence, and breathing my last faint sighs in her loved arms!",,female,,,False,False,"original_sentence='Hasten then, my love, to bless me with thy presence, and to receive the blessings with which my fond heart overflows!-And oh, my Evelina, hear and assist in one only, humble, but ardent prayer, which yet animates my devotions: That the height of bliss to which thou art rising may not render thee giddy, but that the purity of thy mind may form the brightest splendour of thy prosperity!-and that the weak and aged frame of thy almost idolizing parent, nearly worn out by time, past afflictions, and infirmities, may yet be able to sustain a meeting with all its better part holds dear; and then, that all the wounds which the former severity of fortune inflicted, may be healed and purified by the ultimate consolation of pouring forth my dying words in blessings on my child!-closing these joy-streaming eyes in her presence, and breathing my last faint sighs in her loved arms!' physical_attributes=[]",,
