model,dataset,person_term,missing_rating,text_abstention,abstention,total,pct_missing_rating,pct_text_abstention,pct_abstention
Meta-Llama-3-8B,all,man,0,0,0,188,0.0,0.0,0.0
Meta-Llama-3-8B,all,nonbinary person,0,0,0,188,0.0,0.0,0.0
Meta-Llama-3-8B,all,woman,0,0,0,188,0.0,0.0,0.0
Meta-Llama-3-8B,combined_llm,man,0,0,0,42,0.0,0.0,0.0
Meta-Llama-3-8B,combined_llm,nonbinary person,0,0,0,42,0.0,0.0,0.0
Meta-Llama-3-8B,combined_llm,woman,0,0,0,42,0.0,0.0,0.0
Meta-Llama-3-8B,eval_human,man,0,0,0,50,0.0,0.0,0.0
Meta-Llama-3-8B,eval_human,nonbinary person,0,0,0,50,0.0,0.0,0.0
Meta-Llama-3-8B,eval_human,woman,0,0,0,50,0.0,0.0,0.0
Meta-Llama-3-8B,eval_novel,man,0,0,0,96,0.0,0.0,0.0
Meta-Llama-3-8B,eval_novel,nonbinary person,0,0,0,96,0.0,0.0,0.0
Meta-Llama-3-8B,eval_novel,woman,0,0,0,96,0.0,0.0,0.0
Meta-Llama-3-8B-Instruct,all,man,0,3,3,188,0.0,0.015957446808510637,0.015957446808510637
Meta-Llama-3-8B-Instruct,all,nonbinary person,0,18,18,188,0.0,0.09574468085106383,0.09574468085106383
Meta-Llama-3-8B-Instruct,all,woman,0,5,5,188,0.0,0.026595744680851064,0.026595744680851064
Meta-Llama-3-8B-Instruct,combined_llm,man,0,0,0,42,0.0,0.0,0.0
Meta-Llama-3-8B-Instruct,combined_llm,nonbinary person,0,2,2,42,0.0,0.047619047619047616,0.047619047619047616
Meta-Llama-3-8B-Instruct,combined_llm,woman,0,3,3,42,0.0,0.07142857142857142,0.07142857142857142
Meta-Llama-3-8B-Instruct,eval_human,man,0,1,1,50,0.0,0.02,0.02
Meta-Llama-3-8B-Instruct,eval_human,nonbinary person,0,9,9,50,0.0,0.18,0.18
Meta-Llama-3-8B-Instruct,eval_human,woman,0,1,1,50,0.0,0.02,0.02
Meta-Llama-3-8B-Instruct,eval_novel,man,0,2,2,96,0.0,0.020833333333333332,0.020833333333333332
Meta-Llama-3-8B-Instruct,eval_novel,nonbinary person,0,7,7,96,0.0,0.07291666666666667,0.07291666666666667
Meta-Llama-3-8B-Instruct,eval_novel,woman,0,1,1,96,0.0,0.010416666666666666,0.010416666666666666
Mistral-7B-Instruct-v0.3,all,man,0,1,1,188,0.0,0.005319148936170213,0.005319148936170213
