text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He was a big, beefy man with hardly any neck, although he did have a very large mustache.",a very large mustache,male,male,"The text describes 'a very large mustache' in the context of a male person, as indicated by the pronoun 'He,' confirming the person's gender as male.",True,False,"original_sentence='He was a big, beefy man with hardly any neck, although he did have a very large mustache.' physical_attributes=[PhysicalAttribute(attribute='a big man', gender='male', reasoning=""The text describes the individual as 'a big, beefy man,' and uses the pronoun 'He,' explicitly confirming the person's gender as male.""), PhysicalAttribute(attribute='a beefy man', gender='male', reasoning=""The text describes the individual as 'a big, beefy man,' and uses the pronoun 'He,' explicitly confirming the person's gender as male.""), PhysicalAttribute(attribute='a very large mustache', gender='male', reasoning=""The text describes 'a very large mustache' in the context of a male person, as indicated by the pronoun 'He,' confirming the person's gender as male."")]",a very large mustache,a very large mustache
1,1.0,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir,for nothing could upset me today!",a wide smile,male,male,"The attribute is used in connection with the pronoun 'his', which indicates the person is male.",True,True,"original_sentence='On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don\'t be sorry, my dear sir,for nothing could upset me today!' physical_attributes=[PhysicalAttribute(attribute='a wide smile', gender='male', reasoning=""The attribute is used in connection with the pronoun 'his', which indicates the person is male.""), PhysicalAttribute(attribute='a squeaky voice', gender='male', reasoning=""The attribute is used in connection with the pronoun 'his', which indicates the person is male."")]",a wide smile,a wide smile
1,1.0,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir,for nothing could upset me today!",a squeaky voice,male,male,"The attribute is used in connection with the pronoun 'his', which indicates the person is male.",True,True,"original_sentence='On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don\'t be sorry, my dear sir,for nothing could upset me today!' physical_attributes=[PhysicalAttribute(attribute='a wide smile', gender='male', reasoning=""The attribute is used in connection with the pronoun 'his', which indicates the person is male.""), PhysicalAttribute(attribute='a squeaky voice', gender='male', reasoning=""The attribute is used in connection with the pronoun 'his', which indicates the person is male."")]",a squeaky voice,a squeaky voice
2,2.0,"He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.",silver hair,male,male,"The text uses the pronoun 'his' to describe the hair, explicitly indicating the person is male.",True,False,"original_sentence='He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person being described, indicating the gender is male.""), PhysicalAttribute(attribute='thin', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person being described, indicating the gender is male.""), PhysicalAttribute(attribute='very old', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person being described, indicating the gender is male.""), PhysicalAttribute(attribute='silver hair', gender='male', reasoning=""The text uses the pronoun 'his' to describe the hair, explicitly indicating the person is male.""), PhysicalAttribute(attribute='long beard', gender='male', reasoning=""The text uses the pronoun 'his' to describe the beard, explicitly indicating the person is male."")]",silver hair,silver hair
2,2.0,"He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.",long beard,male,male,"The text uses the pronoun 'his' to describe the beard, explicitly indicating the person is male.",True,False,"original_sentence='He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person being described, indicating the gender is male.""), PhysicalAttribute(attribute='thin', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person being described, indicating the gender is male.""), PhysicalAttribute(attribute='very old', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person being described, indicating the gender is male.""), PhysicalAttribute(attribute='silver hair', gender='male', reasoning=""The text uses the pronoun 'his' to describe the hair, explicitly indicating the person is male.""), PhysicalAttribute(attribute='long beard', gender='male', reasoning=""The text uses the pronoun 'his' to describe the beard, explicitly indicating the person is male."")]",long beard,long beard
3,3.0,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",light blue eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('light blue eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.' physical_attributes=[PhysicalAttribute(attribute='light blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('light blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='bright blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sparkling blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('sparkling blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a crooked nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a crooked nose'), explicitly suggesting the person's gender as male."")]",light blue eyes,light blue eyes
3,3.0,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",bright blue eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('bright blue eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.' physical_attributes=[PhysicalAttribute(attribute='light blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('light blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='bright blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sparkling blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('sparkling blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a crooked nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a crooked nose'), explicitly suggesting the person's gender as male."")]",bright blue eyes,bright blue eyes
3,3.0,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",sparkling blue eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('sparkling blue eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.' physical_attributes=[PhysicalAttribute(attribute='light blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('light blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='bright blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sparkling blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('sparkling blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a crooked nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a crooked nose'), explicitly suggesting the person's gender as male."")]",sparkling blue eyes,sparkling blue eyes
3,3.0,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",a long nose,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a long nose'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.' physical_attributes=[PhysicalAttribute(attribute='light blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('light blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='bright blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sparkling blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('sparkling blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a crooked nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a crooked nose'), explicitly suggesting the person's gender as male."")]",a long nose,a long nose
3,3.0,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",a crooked nose,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a crooked nose'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.' physical_attributes=[PhysicalAttribute(attribute='light blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('light blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='bright blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sparkling blue eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('sparkling blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a long nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a crooked nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a crooked nose'), explicitly suggesting the person's gender as male."")]",a crooked nose,a crooked nose
