text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Physically, he had improved since his undergraduate days--he was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.",too thin physique,male,male,"The text uses the pronoun 'he' to refer to the person with the current attributes, explicitly suggesting the person's gender as male.",True,False,"original_sentence='Physically, he had improved since his undergraduate days--he was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.' physical_attributes=[PhysicalAttribute(attribute='too thin physique', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='wide shoulders', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose shoulders are being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='brunette face', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male."")]",too thin physique,too thin physique
0,0.0,"Physically, he had improved since his undergraduate days--he was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.",wide shoulders,male,male,"The text uses the pronoun 'he' to describe the person whose shoulders are being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='Physically, he had improved since his undergraduate days--he was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.' physical_attributes=[PhysicalAttribute(attribute='too thin physique', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='wide shoulders', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose shoulders are being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='brunette face', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male."")]",wide shoulders,wide shoulders
0,0.0,"Physically, he had improved since his undergraduate days--he was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.",brunette face,male,male,"The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male.",True,False,"original_sentence='Physically, he had improved since his undergraduate days--he was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.' physical_attributes=[PhysicalAttribute(attribute='too thin physique', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='wide shoulders', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose shoulders are being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='brunette face', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person whose face is being described, explicitly suggesting the person's gender as male."")]",brunette face,brunette face
1,1.0,"His nose was too sharp; his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.",a sharp nose,male,male,"The attributes use the pronoun 'his' to refer to the person with 'a sharp nose', explicitly suggesting the person's gender as male.",True,True,"original_sentence='His nose was too sharp; his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.' physical_attributes=[PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'a sharp nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a drooping mouth', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'a drooping mouth', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'blue eyes', explicitly suggesting the person's gender as male."")]",a sharp nose,a sharp nose
1,1.0,"His nose was too sharp; his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.",a drooping mouth,male,male,"The attributes use the pronoun 'his' to refer to the person with 'a drooping mouth', explicitly suggesting the person's gender as male.",True,False,"original_sentence='His nose was too sharp; his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.' physical_attributes=[PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'a sharp nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a drooping mouth', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'a drooping mouth', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'blue eyes', explicitly suggesting the person's gender as male."")]",a drooping mouth,a drooping mouth
1,1.0,"His nose was too sharp; his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.",blue eyes,male,male,"The attributes use the pronoun 'his' to refer to the person with 'blue eyes', explicitly suggesting the person's gender as male.",True,True,"original_sentence='His nose was too sharp; his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.' physical_attributes=[PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'a sharp nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a drooping mouth', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'a drooping mouth', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning=""The attributes use the pronoun 'his' to refer to the person with 'blue eyes', explicitly suggesting the person's gender as male."")]",blue eyes,blue eyes
2,,On the floor an exotic rug of crimson velvet was soft as fleece on his bare feet.,,male,,,False,False,original_sentence='On the floor an exotic rug of crimson velvet was soft as fleece on his bare feet.' physical_attributes=[],,
3,2.0,"It had tyrannously demanded his teeth, one by one, suspended his small eyes in dark-bluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in others--callously transposing his colors like a child trying over a paintbox.",small eyes,male,unknown,The attribute 'small eyes' is neutral and does not provide any clues about the person's gender; it is simply a description of the eyes.,False,True,"original_sentence='It had tyrannously demanded his teeth, one by one, suspended his small eyes in dark-bluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in others--callously transposing his colors like a child trying over a paintbox.' physical_attributes=[PhysicalAttribute(attribute='small eyes', gender='unknown', reasoning=""The attribute 'small eyes' is neutral and does not provide any clues about the person's gender; it is simply a description of the eyes.""), PhysicalAttribute(attribute='dark-bluish sacks', gender='unknown', reasoning='The attribute describes the condition of the eyes rather than providing any indication of gender.'), PhysicalAttribute(attribute='gray hairs', gender='unknown', reasoning=""The text mentions 'hairs' of a neutral color without any gendered context.""), PhysicalAttribute(attribute='white hairs', gender='unknown', reasoning=""The attribute describes 'hairs' without any indication of gender.""), PhysicalAttribute(attribute='pink colors', gender='unknown', reasoning='This is a color description without a clear body part or gender context.'), PhysicalAttribute(attribute='yellow colors', gender='unknown', reasoning=""Similar to 'pink colors', this is a general color description and provides no insight into gender."")]",small eyes,small eyes
3,2.0,"It had tyrannously demanded his teeth, one by one, suspended his small eyes in dark-bluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in others--callously transposing his colors like a child trying over a paintbox.",dark-bluish sacks,male,unknown,The attribute describes the condition of the eyes rather than providing any indication of gender.,False,True,"original_sentence='It had tyrannously demanded his teeth, one by one, suspended his small eyes in dark-bluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in others--callously transposing his colors like a child trying over a paintbox.' physical_attributes=[PhysicalAttribute(attribute='small eyes', gender='unknown', reasoning=""The attribute 'small eyes' is neutral and does not provide any clues about the person's gender; it is simply a description of the eyes.""), PhysicalAttribute(attribute='dark-bluish sacks', gender='unknown', reasoning='The attribute describes the condition of the eyes rather than providing any indication of gender.'), PhysicalAttribute(attribute='gray hairs', gender='unknown', reasoning=""The text mentions 'hairs' of a neutral color without any gendered context.""), PhysicalAttribute(attribute='white hairs', gender='unknown', reasoning=""The attribute describes 'hairs' without any indication of gender.""), PhysicalAttribute(attribute='pink colors', gender='unknown', reasoning='This is a color description without a clear body part or gender context.'), PhysicalAttribute(attribute='yellow colors', gender='unknown', reasoning=""Similar to 'pink colors', this is a general color description and provides no insight into gender."")]",dark-bluish sacks,dark-bluish sacks
3,2.0,"It had tyrannously demanded his teeth, one by one, suspended his small eyes in dark-bluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in others--callously transposing his colors like a child trying over a paintbox.",gray hairs,male,unknown,The text mentions 'hairs' of a neutral color without any gendered context.,False,True,"original_sentence='It had tyrannously demanded his teeth, one by one, suspended his small eyes in dark-bluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in others--callously transposing his colors like a child trying over a paintbox.' physical_attributes=[PhysicalAttribute(attribute='small eyes', gender='unknown', reasoning=""The attribute 'small eyes' is neutral and does not provide any clues about the person's gender; it is simply a description of the eyes.""), PhysicalAttribute(attribute='dark-bluish sacks', gender='unknown', reasoning='The attribute describes the condition of the eyes rather than providing any indication of gender.'), PhysicalAttribute(attribute='gray hairs', gender='unknown', reasoning=""The text mentions 'hairs' of a neutral color without any gendered context.""), PhysicalAttribute(attribute='white hairs', gender='unknown', reasoning=""The attribute describes 'hairs' without any indication of gender.""), PhysicalAttribute(attribute='pink colors', gender='unknown', reasoning='This is a color description without a clear body part or gender context.'), PhysicalAttribute(attribute='yellow colors', gender='unknown', reasoning=""Similar to 'pink colors', this is a general color description and provides no insight into gender."")]",gray hairs,gray hairs
