text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"“She objects to my doing nothing and having red hair,” said I, in an injured tone.",red hair,female,unknown,"The text uses the pronoun 'she' which is typically associated with female, yet without further context, it does not provide solid evidence to definitively label the gender as either male or female; thus the gender is marked as unknown.",False,True,"original_sentence='“She objects to my doing nothing and having red hair,” said I, in an injured tone.' physical_attributes=[PhysicalAttribute(attribute='red hair', gender='unknown', reasoning=""The text uses the pronoun 'she' which is typically associated with female, yet without further context, it does not provide solid evidence to definitively label the gender as either male or female; thus the gender is marked as unknown."")]",red hair,red hair
1,1.0,"The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.",a tall fellow,unknown,male,The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.,False,True,"original_sentence='The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.""), PhysicalAttribute(attribute='a handsome young fellow', gender='male', reasoning=""The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.""), PhysicalAttribute(attribute='an unusually long nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a mass of dark-red hair', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male."")]",a tall fellow,a tall fellow
1,1.0,"The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.",a handsome young fellow,unknown,male,"The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.",False,False,"original_sentence='The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.""), PhysicalAttribute(attribute='a handsome young fellow', gender='male', reasoning=""The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.""), PhysicalAttribute(attribute='an unusually long nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a mass of dark-red hair', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male."")]",a handsome young fellow,a handsome young fellow
1,1.0,"The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.",an unusually long nose,unknown,male,"The attributes are used to describe 'the prince,' who is identified as male.",False,False,"original_sentence='The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.""), PhysicalAttribute(attribute='a handsome young fellow', gender='male', reasoning=""The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.""), PhysicalAttribute(attribute='an unusually long nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a mass of dark-red hair', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male."")]",an unusually long nose,an unusually long nose
1,1.0,"The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.",a sharp nose,unknown,male,"The attributes are used to describe 'the prince,' who is identified as male.",False,True,"original_sentence='The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.""), PhysicalAttribute(attribute='a handsome young fellow', gender='male', reasoning=""The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.""), PhysicalAttribute(attribute='an unusually long nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a mass of dark-red hair', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male."")]",a sharp nose,a sharp nose
1,1.0,"The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.",a straight nose,unknown,male,"The attributes are used to describe 'the prince,' who is identified as male.",False,True,"original_sentence='The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.""), PhysicalAttribute(attribute='a handsome young fellow', gender='male', reasoning=""The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.""), PhysicalAttribute(attribute='an unusually long nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a mass of dark-red hair', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male."")]",a straight nose,a straight nose
1,1.0,"The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.",a mass of dark-red hair,unknown,male,"The attributes are used to describe 'the prince,' who is identified as male.",False,False,"original_sentence='The prince was a tall, handsome young fellow, marked (maybe marred, it is not for me to say) by a somewhat unusually long, sharp and straight nose, and a mass of dark-red hair--in fact, the nose and the hair which have stamped the Elphbergs time out of mind.' physical_attributes=[PhysicalAttribute(attribute='a tall fellow', gender='male', reasoning=""The term 'prince' typically refers to a male and the text uses 'fellow' which also suggests masculinity.""), PhysicalAttribute(attribute='a handsome young fellow', gender='male', reasoning=""The phrase explicitly describes the person as 'handsome' and 'fellow,' indicating male gender.""), PhysicalAttribute(attribute='an unusually long nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a sharp nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male.""), PhysicalAttribute(attribute='a mass of dark-red hair', gender='male', reasoning=""The attributes are used to describe 'the prince,' who is identified as male."")]",a mass of dark-red hair,a mass of dark-red hair
2,2.0,"And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.",long sharp straight noses,unknown,male,"The mention of 'the sixth earl' suggests nobility, which is typically male, and these attributes are presented in the context of male portraits.",False,False,"original_sentence='And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.' physical_attributes=[PhysicalAttribute(attribute='long sharp straight noses', gender='male', reasoning=""The mention of 'the sixth earl' suggests nobility, which is typically male, and these attributes are presented in the context of male portraits.""), PhysicalAttribute(attribute='dark-red hair', gender='male', reasoning=""Similar reasoning applies as the 'dark-red hair' is associated with the sixth earl, reinforcing the association with male nobility.""), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning='The blue eyes are also attributed to the portraits which include that of the sixth earl, suggesting the gender association as male.')]",long sharp straight noses,long sharp straight noses
2,2.0,"And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.",dark-red hair,unknown,male,"Similar reasoning applies as the 'dark-red hair' is associated with the sixth earl, reinforcing the association with male nobility.",False,True,"original_sentence='And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.' physical_attributes=[PhysicalAttribute(attribute='long sharp straight noses', gender='male', reasoning=""The mention of 'the sixth earl' suggests nobility, which is typically male, and these attributes are presented in the context of male portraits.""), PhysicalAttribute(attribute='dark-red hair', gender='male', reasoning=""Similar reasoning applies as the 'dark-red hair' is associated with the sixth earl, reinforcing the association with male nobility.""), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning='The blue eyes are also attributed to the portraits which include that of the sixth earl, suggesting the gender association as male.')]",dark-red hair,dark-red hair
2,2.0,"And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.",blue eyes,unknown,male,"The blue eyes are also attributed to the portraits which include that of the sixth earl, suggesting the gender association as male.",False,True,"original_sentence='And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.' physical_attributes=[PhysicalAttribute(attribute='long sharp straight noses', gender='male', reasoning=""The mention of 'the sixth earl' suggests nobility, which is typically male, and these attributes are presented in the context of male portraits.""), PhysicalAttribute(attribute='dark-red hair', gender='male', reasoning=""Similar reasoning applies as the 'dark-red hair' is associated with the sixth earl, reinforcing the association with male nobility.""), PhysicalAttribute(attribute='blue eyes', gender='male', reasoning='The blue eyes are also attributed to the portraits which include that of the sixth earl, suggesting the gender association as male.')]",blue eyes,blue eyes
