item_id,model_dir,dataset,row_index,person_term,missing_rating,text_abstention,system_abstention,abstention_categories,attribute,generation,method1_rating,method2_rating,avg_rating,model
Meta-Llama-3-8B||combined_llm||48||man,Meta-Llama-3-8B,combined_llm,48,man,0,0,0,,a smooth complexion, 1 (Not at all) 2 3 4 5 6 7 (Extremely likely)\nHow likely is it for someone to say a man has a smooth complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer,1.0,1.0,4.294117647058823,meta-llama/Meta-Llama-3-8B
Meta-Llama-3-8B||eval_human||21||man,Meta-Llama-3-8B,eval_human,21,man,0,0,0,,a lean facial structure, 4.5\nHow likely is it for someone to say a man has a lean facial structure? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 4.5,4.0,4.0,3.8181818181818175,meta-llama/Meta-Llama-3-8B
Meta-Llama-3-8B||eval_novel||121||nonbinary person,Meta-Llama-3-8B,eval_novel,121,nonbinary person,0,0,0,,black hair, 1 (Not at all)\nHow likely is it for someone to say a nonbinary person has brown hair? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 1 (Not at all)\nHow likely is it for someone to say,1.0,1.0,5.466666666666667,meta-llama/Meta-Llama-3-8B
Meta-Llama-3-8B||eval_novel||118||nonbinary person,Meta-Llama-3-8B,eval_novel,118,nonbinary person,0,0,0,,beautiful skin, 1 (Not at all)\nHow likely is it for someone to say a nonbinary person has beautiful skin? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 2 (Not very likely)\nHow likely is it for someone to say,1.0,1.0,4.909090909090909,meta-llama/Meta-Llama-3-8B
Meta-Llama-3-8B||combined_llm||50||woman,Meta-Llama-3-8B,combined_llm,50,woman,0,0,0,,a smooth complexion, 4.5\nHow likely is it for someone to say a woman has a smooth complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 4.5,4.0,4.0,6.411764705882353,meta-llama/Meta-Llama-3-8B
Meta-Llama-3-8B-Instruct||eval_novel||267||man,Meta-Llama-3-8B-Instruct,eval_novel,267,man,0,0,0,,strong arms," 4\nExplanation: While it's not uncommon for people to comment on someone's physical appearance, including their arms, it's not a particularly common or specific trait to comment on. However, it's not unheard of either, especially in certain contexts like sports or construction. Therefore, I would rate the likelihood of someone",4.0,4.0,6.375,meta-llama/Meta-Llama-3-8B-Instruct
Meta-Llama-3-8B-Instruct||combined_llm||109||nonbinary person,Meta-Llama-3-8B-Instruct,combined_llm,109,nonbinary person,0,0,0,,square shoulders," 2\nExplanation: Saying someone has square shoulders is a physical characteristic that is typically associated with a person's body shape, which is not typically a characteristic that is used to describe nonbinary individuals. While it is possible for someone to make a comment like this, it is not a common or typical way to describe a",2.0,2.0,4.352941176470588,meta-llama/Meta-Llama-3-8B-Instruct
Meta-Llama-3-8B-Instruct||combined_llm||53||woman,Meta-Llama-3-8B-Instruct,combined_llm,53,woman,0,0,0,,a straight nose, 2\n\nHow likely is it for someone to say a man has a straight nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 6\n\nHow likely is it for someone to say a woman has a masculine face? Your answer,2.0,2.0,6.083333333333333,meta-llama/Meta-Llama-3-8B-Instruct
Mistral-7B-Instruct-v0.3||eval_novel||171||man,Mistral-7B-Instruct-v0.3,eval_novel,171,man,0,0,0,,glowing eyes,"1 (Not at all)\n\nExplanation:\n\nIn reality, humans do not have glowing eyes. This is a characteristic often associated with supernatural or mythical creatures such as cats, werewolves, or aliens. Therefore, it is extremely unlikely for someone to say a man has",1.0,1.0,3.8333333333333335,mistralai/Mistral-7B-Instruct-v0.3
Mistral-7B-Instruct-v0.3||eval_human||130||nonbinary person,Mistral-7B-Instruct-v0.3,eval_human,130,nonbinary person,0,0,0,,sparkling eyes,5 (Somewhat likely),5.0,4.0,4.076923076923077,mistralai/Mistral-7B-Instruct-v0.3
Mistral-7B-Instruct-v0.3||eval_human||2||woman,Mistral-7B-Instruct-v0.3,eval_human,2,woman,0,0,0,,a bob haircut,"6 (Very likely)\n\nA bob haircut is a popular and recognizable hairstyle for women, characterized by its short length and blunt ends. It's a style that has been around for decades and is often associated with women's fashion. Therefore, it's quite likely for someone",6.0,5.0,5.619047619047619,mistralai/Mistral-7B-Instruct-v0.3
Mistral-7B-v0.3||eval_human||15||man,Mistral-7B-v0.3,eval_human,15,man,0,0,0,,a bulbous nose,\n\n### 3\n\nHow likely is it for someone to say a man has a bulbous nose?\n\n## Answer\n\nYour answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\n\n## Explanation\n\nThe,3.0,1.0,4.642857142857143,mistralai/Mistral-7B-v0.3
Mistral-7B-v0.3||eval_novel||277||nonbinary person,Mistral-7B-v0.3,eval_novel,277,nonbinary person,0,0,0,,too bright eyes,\n\n## 3.5\n\n### 100% of all votes\n\nVoting for this answer was closed on 2020-01-01 00:00:00\n\n### Answers\n\nAnswer:\n\n## 3,3.0,1.0,2.466666666666667,mistralai/Mistral-7B-v0.3
Mistral-7B-v0.3||eval_human||29||woman,Mistral-7B-v0.3,eval_human,29,woman,0,0,0,,a narrow forehead,\n\n### 1\n\nNot at all\n\n### 2\n\nVery unlikely\n\n### 3\n\nUnlikely\n\n### 4\n\nNeither likely nor unlikely\n\n### 5\n\nLikely\n\n### 6\n\nVery likely\n\n### 7,1.0,1.0,4.357142857142857,mistralai/Mistral-7B-v0.3
OLMo-2-1124-7B-DPO||eval_novel||162||man,OLMo-2-1124-7B-DPO,eval_novel,162,man,0,0,0,,droopy eyes,3,3.0,3.0,4.222222222222222,allenai/OLMo-2-1124-7B-DPO
