text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He is tall and thinnish, with sandy hair and cold gray eyes.",sandy hair,male,male,"The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.",True,True,"original_sentence='He is tall and thinnish, with sandy hair and cold gray eyes.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='thinnish', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sandy hair', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='cold gray eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male."")]",sandy hair,sandy hair
0,0.0,"He is tall and thinnish, with sandy hair and cold gray eyes.",cold gray eyes,male,male,"The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.",True,False,"original_sentence='He is tall and thinnish, with sandy hair and cold gray eyes.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='thinnish', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sandy hair', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='cold gray eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person, explicitly suggesting the person's gender as male."")]",cold gray eyes,cold gray eyes
1,1.0,During the hour he spent in my society (and I was very sprightly) no shadow of a smile so much as lightened the straight line of his mouth.,the straight line of a mouth,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('the straight line of a mouth'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='During the hour he spent in my society (and I was very sprightly) no shadow of a smile so much as lightened the straight line of his mouth.' physical_attributes=[PhysicalAttribute(attribute='the straight line of a mouth', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('the straight line of a mouth'), explicitly suggesting the person's gender as male."")]",the straight line of a mouth,the straight line of a mouth
2,,"And I will add, for your further comfort, that whereas there is no man in the neighborhood of this asylum who admires red hair, in Worcester there are several.",,unknown,,,False,False,"original_sentence='And I will add, for your further comfort, that whereas there is no man in the neighborhood of this asylum who admires red hair, in Worcester there are several.' physical_attributes=[]",,
3,2.0,"She has big, gentle, brown eyes, like a cow's, and motherly manners (she is just nineteen), and the babies love her.",big brown eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('big brown eyes'), indicating a female gender.",True,False,"original_sentence=""She has big, gentle, brown eyes, like a cow's, and motherly manners (she is just nineteen), and the babies love her."" physical_attributes=[PhysicalAttribute(attribute='big brown eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('big brown eyes'), indicating a female gender.""), PhysicalAttribute(attribute='gentle brown eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('gentle brown eyes'), indicating a female gender."")]",big brown eyes,big brown eyes
3,2.0,"She has big, gentle, brown eyes, like a cow's, and motherly manners (she is just nineteen), and the babies love her.",gentle brown eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('gentle brown eyes'), indicating a female gender.",True,False,"original_sentence=""She has big, gentle, brown eyes, like a cow's, and motherly manners (she is just nineteen), and the babies love her."" physical_attributes=[PhysicalAttribute(attribute='big brown eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('big brown eyes'), indicating a female gender.""), PhysicalAttribute(attribute='gentle brown eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('gentle brown eyes'), indicating a female gender."")]",gentle brown eyes,gentle brown eyes
4,,"Here and there I pick out a naughty, mischievous little one that awakens a flicker of interest; but for the most part they are just a composite blur of white face and blue check.",,unknown,,,False,False,"original_sentence='Here and there I pick out a naughty, mischievous little one that awakens a flicker of interest; but for the most part they are just a composite blur of white face and blue check.' physical_attributes=[]",,
5,3.0,"Our Sadie Kate, despite her name and blue Irish eyes, was made a Protestant.",blue Irish eyes,female,female,"The text refers to 'Sadie Kate' which is a common female name, thus suggesting the person's gender as female.",True,False,"original_sentence='Our Sadie Kate, despite her name and blue Irish eyes, was made a Protestant.' physical_attributes=[PhysicalAttribute(attribute='blue Irish eyes', gender='female', reasoning=""The text refers to 'Sadie Kate' which is a common female name, thus suggesting the person's gender as female."")]",blue Irish eyes,blue Irish eyes
6,4.0,"he bellowed, quite red in the face.",a red face,male,male,"The text uses the pronoun 'he' to refer to the person with the attribute ('a red face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='he bellowed, quite red in the face.' physical_attributes=[PhysicalAttribute(attribute='a red face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the attribute ('a red face'), explicitly suggesting the person's gender as male."")]",a red face,a red face
7,,"""The Lord has given you two hands and a brain and a big world to use them in.",,unknown,,,False,False,original_sentence='The Lord has given you two hands and a brain and a big world to use them in.' physical_attributes=[],,
