text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"They even had time to dance “square dances,” quadrilles, and “lancers”; they also danced the “racquette,” and schottisches and polkas, and such whims as the “Portland Fancy.” They pushed back the sliding doors between the “parlour” and the “sitting room,” tacked down crash over the carpets, hired a few palms in green tubs, stationed three or four Italian musicians under the stairway in the “front hall”--and had great nights!",,unknown,,,False,False,"original_sentence='They even had time to dance “square dances,” quadrilles, and “lancers”; they also danced the “racquette,” and schottisches and polkas, and such whims as the “Portland Fancy.” They pushed back the sliding doors between the “parlour” and the “sitting room,” tacked down crash over the carpets, hired a few palms in green tubs, stationed three or four Italian musicians under the stairway in the “front hall”--and had great nights!' physical_attributes=[]",,
1,0.0,I couldn't look at anything except her wavy brown hair and the wonderful back of her neck.”  The ineligible young men of the town (they were all ineligible) were unable to content themselves with the view that had so charmed Mrs. Henry Franklin Foster: they spent their time struggling to keep Miss Amberson's face turned toward them.,wavy brown hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('wavy brown hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence=""I couldn't look at anything except her wavy brown hair and the wonderful back of her neck.”  The ineligible young men of the town (they were all ineligible) were unable to content themselves with the view that had so charmed Mrs. Henry Franklin Foster: they spent their time struggling to keep Miss Amberson's face turned toward them."" physical_attributes=[PhysicalAttribute(attribute='wavy brown hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wavy brown hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the wonderful back of her neck', gender='female', reasoning=""The text uses the pronoun 'her' which refers to the person described ('the wonderful back of her neck'), indicating the person's gender is female."")]",wavy brown hair,wavy brown hair
1,0.0,I couldn't look at anything except her wavy brown hair and the wonderful back of her neck.”  The ineligible young men of the town (they were all ineligible) were unable to content themselves with the view that had so charmed Mrs. Henry Franklin Foster: they spent their time struggling to keep Miss Amberson's face turned toward them.,the wonderful back of a neck,female,female,"The text uses the pronoun 'her' which refers to the person described ('the wonderful back of her neck'), indicating the person's gender is female.",True,False,"original_sentence=""I couldn't look at anything except her wavy brown hair and the wonderful back of her neck.”  The ineligible young men of the town (they were all ineligible) were unable to content themselves with the view that had so charmed Mrs. Henry Franklin Foster: they spent their time struggling to keep Miss Amberson's face turned toward them."" physical_attributes=[PhysicalAttribute(attribute='wavy brown hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wavy brown hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the wonderful back of her neck', gender='female', reasoning=""The text uses the pronoun 'her' which refers to the person described ('the wonderful back of her neck'), indicating the person's gender is female."")]",the wonderful back of her neck,the wonderful back of a neck
2,,"He had no vest to pull down; the incongruous fact was that a fringed sash girdled the juncture of his velvet blouse and breeches, for the Fauntleroy period had set in, and Georgie's mother had so poor an eye for appropriate things, where Georgie was concerned, that she dressed him according to the doctrine of that school in boy decoration.",,evidence for both,,,False,False,"original_sentence=""He had no vest to pull down; the incongruous fact was that a fringed sash girdled the juncture of his velvet blouse and breeches, for the Fauntleroy period had set in, and Georgie's mother had so poor an eye for appropriate things, where Georgie was concerned, that she dressed him according to the doctrine of that school in boy decoration."" physical_attributes=[]",,
3,1.0,Georgie's symmetrical face--altogether an Amberson face--had looked never more beautiful to her.,a symmetrical face,female,unknown,"The text describes 'Georgie's symmetrical face' but does not provide any gender indicators about Georgie. The name 'Georgie' can be used for all genders, so the gender remains unknown.",False,True,"original_sentence=""Georgie's symmetrical face--altogether an Amberson face--had looked never more beautiful to her."" physical_attributes=[PhysicalAttribute(attribute='a symmetrical face', gender='unknown', reasoning=""The text describes 'Georgie's symmetrical face' but does not provide any gender indicators about Georgie. The name 'Georgie' can be used for all genders, so the gender remains unknown.""), PhysicalAttribute(attribute='an Amberson face', gender='unknown', reasoning=""The attribute 'an Amberson face' is a further descriptor of the face, but it also does not include any gender indicators, leaving the gender as unknown."")]",a symmetrical face,a symmetrical face
3,1.0,Georgie's symmetrical face--altogether an Amberson face--had looked never more beautiful to her.,an Amberson face,female,unknown,"The attribute 'an Amberson face' is a further descriptor of the face, but it also does not include any gender indicators, leaving the gender as unknown.",False,False,"original_sentence=""Georgie's symmetrical face--altogether an Amberson face--had looked never more beautiful to her."" physical_attributes=[PhysicalAttribute(attribute='a symmetrical face', gender='unknown', reasoning=""The text describes 'Georgie's symmetrical face' but does not provide any gender indicators about Georgie. The name 'Georgie' can be used for all genders, so the gender remains unknown.""), PhysicalAttribute(attribute='an Amberson face', gender='unknown', reasoning=""The attribute 'an Amberson face' is a further descriptor of the face, but it also does not include any gender indicators, leaving the gender as unknown."")]",an Amberson face,an Amberson face
4,2.0,"The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension.",tall stature,male,unknown,"The text describes 'a type' which includes multiple generations (the Major, his daughter, and his grandson), making it difficult to assign gender to 'tall' without more specific individual context.",False,True,"original_sentence=""The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension."" physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='unknown', reasoning=""The text describes 'a type' which includes multiple generations (the Major, his daughter, and his grandson), making it difficult to assign gender to 'tall' without more specific individual context.""), PhysicalAttribute(attribute='straight stature', gender='unknown', reasoning=""The description 'straight' applies to the overall type and does not refer to a specific individual, so gender cannot be determined.""), PhysicalAttribute(attribute='regular features', gender='unknown', reasoning=""The term 'regular' is general and pertains to the group of Ambersons without specific gender indication.""), PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning='This attribute does not specify which individual it belongs to (Major, daughter, grandson), making gender determination impossible.'), PhysicalAttribute(attribute='short noses', gender='unknown', reasoning='Similar to the other attributes, this does not apply to a specific person, leading to an unknown gender assignment.'), PhysicalAttribute(attribute='good chins', gender='unknown', reasoning='This attribute applies to the family type and does not indicate gender for any specific individual.')]",tall stature,tall stature
4,2.0,"The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension.",straight stature,male,unknown,"The description 'straight' applies to the overall type and does not refer to a specific individual, so gender cannot be determined.",False,True,"original_sentence=""The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension."" physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='unknown', reasoning=""The text describes 'a type' which includes multiple generations (the Major, his daughter, and his grandson), making it difficult to assign gender to 'tall' without more specific individual context.""), PhysicalAttribute(attribute='straight stature', gender='unknown', reasoning=""The description 'straight' applies to the overall type and does not refer to a specific individual, so gender cannot be determined.""), PhysicalAttribute(attribute='regular features', gender='unknown', reasoning=""The term 'regular' is general and pertains to the group of Ambersons without specific gender indication.""), PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning='This attribute does not specify which individual it belongs to (Major, daughter, grandson), making gender determination impossible.'), PhysicalAttribute(attribute='short noses', gender='unknown', reasoning='Similar to the other attributes, this does not apply to a specific person, leading to an unknown gender assignment.'), PhysicalAttribute(attribute='good chins', gender='unknown', reasoning='This attribute applies to the family type and does not indicate gender for any specific individual.')]",straight stature,straight stature
4,2.0,"The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension.",regular features,male,unknown,The term 'regular' is general and pertains to the group of Ambersons without specific gender indication.,False,True,"original_sentence=""The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension."" physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='unknown', reasoning=""The text describes 'a type' which includes multiple generations (the Major, his daughter, and his grandson), making it difficult to assign gender to 'tall' without more specific individual context.""), PhysicalAttribute(attribute='straight stature', gender='unknown', reasoning=""The description 'straight' applies to the overall type and does not refer to a specific individual, so gender cannot be determined.""), PhysicalAttribute(attribute='regular features', gender='unknown', reasoning=""The term 'regular' is general and pertains to the group of Ambersons without specific gender indication.""), PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning='This attribute does not specify which individual it belongs to (Major, daughter, grandson), making gender determination impossible.'), PhysicalAttribute(attribute='short noses', gender='unknown', reasoning='Similar to the other attributes, this does not apply to a specific person, leading to an unknown gender assignment.'), PhysicalAttribute(attribute='good chins', gender='unknown', reasoning='This attribute applies to the family type and does not indicate gender for any specific individual.')]",regular features,regular features
4,2.0,"The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension.",dark eyes,male,unknown,"This attribute does not specify which individual it belongs to (Major, daughter, grandson), making gender determination impossible.",False,True,"original_sentence=""The Major, his daughter, and his grandson were of a type all Amberson: tall, straight, and regular, with dark eyes, short noses, good chins; and the grandfather's expression, no less than the grandson's, was one of faintly amused condescension."" physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='unknown', reasoning=""The text describes 'a type' which includes multiple generations (the Major, his daughter, and his grandson), making it difficult to assign gender to 'tall' without more specific individual context.""), PhysicalAttribute(attribute='straight stature', gender='unknown', reasoning=""The description 'straight' applies to the overall type and does not refer to a specific individual, so gender cannot be determined.""), PhysicalAttribute(attribute='regular features', gender='unknown', reasoning=""The term 'regular' is general and pertains to the group of Ambersons without specific gender indication.""), PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning='This attribute does not specify which individual it belongs to (Major, daughter, grandson), making gender determination impossible.'), PhysicalAttribute(attribute='short noses', gender='unknown', reasoning='Similar to the other attributes, this does not apply to a specific person, leading to an unknown gender assignment.'), PhysicalAttribute(attribute='good chins', gender='unknown', reasoning='This attribute applies to the family type and does not indicate gender for any specific individual.')]",dark eyes,dark eyes
