text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"He leaned against the battlement, the sea crashing beneath him, the black stone rough beneath his fingers.",,male,,,False,False,"original_sentence='He leaned against the battlement, the sea crashing beneath him, the black stone rough beneath his fingers.' physical_attributes=[]",,
1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.",wrinkled flesh,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.' physical_attributes=[PhysicalAttribute(attribute='wrinkled flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='spotted flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('spotted flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='papery thin skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='web of veins', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shape of bones beneath', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male."")]",wrinkled flesh,wrinkled flesh
1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.",papery thin skin,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.' physical_attributes=[PhysicalAttribute(attribute='wrinkled flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='spotted flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('spotted flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='papery thin skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='web of veins', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shape of bones beneath', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male."")]",papery thin skin,papery thin skin
1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.",web of veins,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.' physical_attributes=[PhysicalAttribute(attribute='wrinkled flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='spotted flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('spotted flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='papery thin skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='web of veins', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shape of bones beneath', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male."")]",web of veins,web of veins
1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.",shape of bones beneath,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.' physical_attributes=[PhysicalAttribute(attribute='wrinkled flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='spotted flesh', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('spotted flesh'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='papery thin skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='web of veins', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shape of bones beneath', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male."")]",shape of bones beneath,shape of bones beneath
2,1.0,"“It’s me and Patches, Maester.” Guileless blue eyes blinked at him.",guileless blue eyes,male,unknown,The description 'guileless blue eyes' does not provide any clues about the person's gender; the context does not specify any gendered references.,False,False,"original_sentence='“It’s me and Patches, Maester.” Guileless blue eyes blinked at him.' physical_attributes=[PhysicalAttribute(attribute='guileless blue eyes', gender='unknown', reasoning=""The description 'guileless blue eyes' does not provide any clues about the person's gender; the context does not specify any gendered references."")]",guileless blue eyes,guileless blue eyes
3,2.0,"Hers was not a pretty face, alas.",a pretty face,unknown,female,"The text uses the pronoun 'hers' to refer to the person with the current attribute ('a pretty face'), explicitly suggesting the person's gender as female.",False,True,"original_sentence='Hers was not a pretty face, alas.' physical_attributes=[PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The text uses the pronoun 'hers' to refer to the person with the current attribute ('a pretty face'), explicitly suggesting the person's gender as female."")]",a pretty face,a pretty face
4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.",stiff flesh,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.' physical_attributes=[PhysicalAttribute(attribute='stiff flesh', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='cracked skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='flaking skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='mottled black skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='mottled grey skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled grey skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='stony skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('stony skin'), explicitly suggesting the person's gender as female."")]",stiff flesh,stiff flesh
4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.",cracked skin,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.' physical_attributes=[PhysicalAttribute(attribute='stiff flesh', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='cracked skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='flaking skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='mottled black skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='mottled grey skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled grey skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='stony skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('stony skin'), explicitly suggesting the person's gender as female."")]",cracked skin,cracked skin
4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.",flaking skin,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.' physical_attributes=[PhysicalAttribute(attribute='stiff flesh', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='cracked skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='flaking skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='mottled black skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='mottled grey skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled grey skin'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='stony skin', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('stony skin'), explicitly suggesting the person's gender as female."")]",flaking skin,flaking skin
