text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.",sunken cheeks,male,male,"The text uses the pronoun 'He' to describe the person with the current attribute ('sunken cheeks'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.' physical_attributes=[PhysicalAttribute(attribute='sunken cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('sunken cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow complexion', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a yellow complexion'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a straight back', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a straight back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an ascetic aspect', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('an ascetic aspect'), explicitly suggesting the person's gender as male."")]",sunken cheeks,sunken cheeks
0,0.0,"He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.",a yellow complexion,male,male,"The text uses the pronoun 'He' to describe the person with the current attribute ('a yellow complexion'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.' physical_attributes=[PhysicalAttribute(attribute='sunken cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('sunken cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow complexion', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a yellow complexion'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a straight back', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a straight back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an ascetic aspect', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('an ascetic aspect'), explicitly suggesting the person's gender as male."")]",a yellow complexion,a yellow complexion
0,0.0,"He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.",a straight back,male,male,"The text uses the pronoun 'He' to describe the person with the current attribute ('a straight back'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.' physical_attributes=[PhysicalAttribute(attribute='sunken cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('sunken cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow complexion', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a yellow complexion'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a straight back', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a straight back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an ascetic aspect', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('an ascetic aspect'), explicitly suggesting the person's gender as male."")]",a straight back,a straight back
0,0.0,"He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.",an ascetic aspect,male,male,"The text uses the pronoun 'He' to describe the person with the current attribute ('an ascetic aspect'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.' physical_attributes=[PhysicalAttribute(attribute='sunken cheeks', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('sunken cheeks'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow complexion', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a yellow complexion'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a straight back', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('a straight back'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an ascetic aspect', gender='male', reasoning=""The text uses the pronoun 'He' to describe the person with the current attribute ('an ascetic aspect'), explicitly suggesting the person's gender as male."")]",an ascetic aspect,an ascetic aspect
1,,"I couldn't let it rest, though; but when an opportunity offered at last to meet my predecessor, the grass growing through his ribs was tall enough to hide his bones.",,male,,,False,False,"original_sentence=""I couldn't let it rest, though; but when an opportunity offered at last to meet my predecessor, the grass growing through his ribs was tall enough to hide his bones."" physical_attributes=[]",,
2,1.0,"A door opened, a white-haired secretarial head, but wearing a compassionate expression, appeared, and a skinny forefinger beckoned me into the sanctuary.",a white-haired head,unknown,unknown,The text describes a 'white-haired head' but does not provide any clues or pronouns that indicate the person's gender.,True,True,"original_sentence='A door opened, a white-haired secretarial head, but wearing a compassionate expression, appeared, and a skinny forefinger beckoned me into the sanctuary.' physical_attributes=[PhysicalAttribute(attribute='a white-haired head', gender='unknown', reasoning=""The text describes a 'white-haired head' but does not provide any clues or pronouns that indicate the person's gender.""), PhysicalAttribute(attribute='a compassionate expression', gender='unknown', reasoning='The attribute describes an expression without any gender indicators; it could be associated with any gender.'), PhysicalAttribute(attribute='a skinny forefinger', gender='unknown', reasoning='The attribute describes a body part (forefinger), but does not provide any gender clues in the text.')]",a white-haired head,a white-haired head
2,1.0,"A door opened, a white-haired secretarial head, but wearing a compassionate expression, appeared, and a skinny forefinger beckoned me into the sanctuary.",a compassionate expression,unknown,unknown,The attribute describes an expression without any gender indicators; it could be associated with any gender.,True,False,"original_sentence='A door opened, a white-haired secretarial head, but wearing a compassionate expression, appeared, and a skinny forefinger beckoned me into the sanctuary.' physical_attributes=[PhysicalAttribute(attribute='a white-haired head', gender='unknown', reasoning=""The text describes a 'white-haired head' but does not provide any clues or pronouns that indicate the person's gender.""), PhysicalAttribute(attribute='a compassionate expression', gender='unknown', reasoning='The attribute describes an expression without any gender indicators; it could be associated with any gender.'), PhysicalAttribute(attribute='a skinny forefinger', gender='unknown', reasoning='The attribute describes a body part (forefinger), but does not provide any gender clues in the text.')]",a compassionate expression,a compassionate expression
2,1.0,"A door opened, a white-haired secretarial head, but wearing a compassionate expression, appeared, and a skinny forefinger beckoned me into the sanctuary.",a skinny forefinger,unknown,unknown,"The attribute describes a body part (forefinger), but does not provide any gender clues in the text.",True,True,"original_sentence='A door opened, a white-haired secretarial head, but wearing a compassionate expression, appeared, and a skinny forefinger beckoned me into the sanctuary.' physical_attributes=[PhysicalAttribute(attribute='a white-haired head', gender='unknown', reasoning=""The text describes a 'white-haired head' but does not provide any clues or pronouns that indicate the person's gender.""), PhysicalAttribute(attribute='a compassionate expression', gender='unknown', reasoning='The attribute describes an expression without any gender indicators; it could be associated with any gender.'), PhysicalAttribute(attribute='a skinny forefinger', gender='unknown', reasoning='The attribute describes a body part (forefinger), but does not provide any gender clues in the text.')]",a skinny forefinger,a skinny forefinger
3,2.0,"He was shabby and careless, with inkstains on the sleeves of his jacket, and his cravat was large and billowy, under a chin shaped like the toe of an old boot.",a chin shaped like the toe of an old boot,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute, explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was shabby and careless, with inkstains on the sleeves of his jacket, and his cravat was large and billowy, under a chin shaped like the toe of an old boot.' physical_attributes=[PhysicalAttribute(attribute='a chin shaped like the toe of an old boot', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute, explicitly suggesting the person's gender as male."")]",a chin shaped like the toe of an old boot,a chin shaped like the toe of an old boot
4,,“It was upward of thirty days before I saw the mouth of the big river.,,unknown,,,False,False,original_sentence='“It was upward of thirty days before I saw the mouth of the big river.' physical_attributes=[],,
