text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"A black servant, who reposed on the box beside the fat coachman, uncurled his bandy legs as soon as the equipage drew up opposite Miss Pinkerton's shining brass plate, and as he pulled the bell at least a score of young heads were seen peering out of the narrow windows of the stately old brick house.",,male,,,False,False,"original_sentence=""A black servant, who reposed on the box beside the fat coachman, uncurled his bandy legs as soon as the equipage drew up opposite Miss Pinkerton's shining brass plate, and as he pulled the bell at least a score of young heads were seen peering out of the narrow windows of the stately old brick house."" physical_attributes=[]",,
1,0.0,"Nay, the acute observer might have recognized the little red nose of good-natured Miss Jemima Pinkerton herself, rising over some geranium pots in the window of that lady's own drawing-room.",a little red nose,unknown,female,"The text refers to 'Miss Jemima Pinkerton', which contains the title 'Miss', indicating she is female. The physical attribute 'a little red nose' describes her without ambiguity.",False,False,"original_sentence=""Nay, the acute observer might have recognized the little red nose of good-natured Miss Jemima Pinkerton herself, rising over some geranium pots in the window of that lady's own drawing-room."" physical_attributes=[PhysicalAttribute(attribute='a little red nose', gender='female', reasoning=""The text refers to 'Miss Jemima Pinkerton', which contains the title 'Miss', indicating she is female. The physical attribute 'a little red nose' describes her without ambiguity."")]",a little red nose,a little red nose
2,1.0,"As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.",a short nose,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a short nose'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.' physical_attributes=[PhysicalAttribute(attribute='a short nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a short nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='too round and red cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose current attribute ('too round and red cheeks') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a face blushed with rosy health', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a face blushed with rosy health'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the freshest of smiles on lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('the freshest of smiles on lips') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pair of eyes which sparkled with good-humour', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('a pair of eyes which sparkled with good-humour') is being described, explicitly suggesting the person's gender as female."")]",a short nose,a short nose
2,1.0,"As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.",too round and red cheeks,female,female,"The text uses the pronoun 'her' to refer to the person whose current attribute ('too round and red cheeks') is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.' physical_attributes=[PhysicalAttribute(attribute='a short nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a short nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='too round and red cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose current attribute ('too round and red cheeks') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a face blushed with rosy health', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a face blushed with rosy health'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the freshest of smiles on lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('the freshest of smiles on lips') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pair of eyes which sparkled with good-humour', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('a pair of eyes which sparkled with good-humour') is being described, explicitly suggesting the person's gender as female."")]",too round and red cheeks,too round and red cheeks
2,1.0,"As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.",a face blushed with rosy health,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a face blushed with rosy health'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.' physical_attributes=[PhysicalAttribute(attribute='a short nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a short nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='too round and red cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose current attribute ('too round and red cheeks') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a face blushed with rosy health', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a face blushed with rosy health'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the freshest of smiles on lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('the freshest of smiles on lips') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pair of eyes which sparkled with good-humour', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('a pair of eyes which sparkled with good-humour') is being described, explicitly suggesting the person's gender as female."")]",a face blushed with rosy health,a face blushed with rosy health
2,1.0,"As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.",the freshest of smiles on lips,female,female,"The text uses the pronoun 'her' to describe the person whose current attribute ('the freshest of smiles on lips') is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.' physical_attributes=[PhysicalAttribute(attribute='a short nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a short nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='too round and red cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose current attribute ('too round and red cheeks') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a face blushed with rosy health', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a face blushed with rosy health'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the freshest of smiles on lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('the freshest of smiles on lips') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pair of eyes which sparkled with good-humour', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('a pair of eyes which sparkled with good-humour') is being described, explicitly suggesting the person's gender as female."")]",the freshest of smiles on lips,the freshest of smiles on lips
2,1.0,"As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.",a pair of eyes which sparkled with good-humour,female,female,"The text uses the pronoun 'her' to describe the person whose current attribute ('a pair of eyes which sparkled with good-humour') is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='As she is not a heroine, there is no need to describe her person; indeed I am afraid that her nose was rather short than otherwise, and her cheeks a great deal too round and red for a heroine; but her face blushed with rosy health, and her lips with the freshest of smiles, and she had a pair of eyes which sparkled with the brightest and honestest good-humour, except indeed when they filled with tears, and that was a great deal too often; for the silly thing would cry over a dead canary-bird; or over a mouse, that the cat haply had seized upon; or over the end of a novel, were it ever so stupid; and as for saying an unkind word to her, were any persons hard-hearted enough to do so--why, so much the worse for them.' physical_attributes=[PhysicalAttribute(attribute='a short nose', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a short nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='too round and red cheeks', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose current attribute ('too round and red cheeks') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a face blushed with rosy health', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a face blushed with rosy health'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the freshest of smiles on lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('the freshest of smiles on lips') is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pair of eyes which sparkled with good-humour', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose current attribute ('a pair of eyes which sparkled with good-humour') is being described, explicitly suggesting the person's gender as female."")]",a pair of eyes which sparkled with good-humour,a pair of eyes which sparkled with good-humour
3,2.0,"ebecca Is in Presence of the Enemy  A VERY stout, puffy man, in buckskins and Hessian boots, with several immense neckcloths that rose almost to his nose, with a red striped waistcoat and an apple green coat with steel buttons almost as large as crown pieces (it was the morning costume of a dandy or blood of those days) was reading the paper by the fire when the two girls entered, and bounced off his arm-chair, and blushed excessively, and hid his entire face almost in his neckcloths at this apparition.",immense neckcloths,male,male,"The attribute describes neckcloths worn by 'a man', indicating the subject's gender as male.",True,True,"original_sentence='ebecca Is in Presence of the Enemy  A VERY stout, puffy man, in buckskins and Hessian boots, with several immense neckcloths that rose almost to his nose, with a red striped waistcoat and an apple green coat with steel buttons almost as large as crown pieces (it was the morning costume of a dandy or blood of those days) was reading the paper by the fire when the two girls entered, and bounced off his arm-chair, and blushed excessively, and hid his entire face almost in his neckcloths at this apparition.' physical_attributes=[PhysicalAttribute(attribute='a stout man', gender='male', reasoning=""The text explicitly states 'stout, puffy man', which uses the term 'man' and gives gender indication as male.""), PhysicalAttribute(attribute='a puffy man', gender='male', reasoning=""The text describes 'a puffy man', using 'man' which indicates the gender is male.""), PhysicalAttribute(attribute='immense neckcloths', gender='male', reasoning=""The attribute describes neckcloths worn by 'a man', indicating the subject's gender as male.""), PhysicalAttribute(attribute='a red striped waistcoat', gender='male', reasoning=""The description of 'a red striped waistcoat' belongs to the man mentioned before, suggesting the gender is male.""), PhysicalAttribute(attribute='an apple green coat', gender='male', reasoning=""The description 'an apple green coat' is associated with the man, indicating he is male."")]",immense neckcloths,immense neckcloths
3,2.0,"ebecca Is in Presence of the Enemy  A VERY stout, puffy man, in buckskins and Hessian boots, with several immense neckcloths that rose almost to his nose, with a red striped waistcoat and an apple green coat with steel buttons almost as large as crown pieces (it was the morning costume of a dandy or blood of those days) was reading the paper by the fire when the two girls entered, and bounced off his arm-chair, and blushed excessively, and hid his entire face almost in his neckcloths at this apparition.",a red striped waistcoat,male,male,"The description of 'a red striped waistcoat' belongs to the man mentioned before, suggesting the gender is male.",True,False,"original_sentence='ebecca Is in Presence of the Enemy  A VERY stout, puffy man, in buckskins and Hessian boots, with several immense neckcloths that rose almost to his nose, with a red striped waistcoat and an apple green coat with steel buttons almost as large as crown pieces (it was the morning costume of a dandy or blood of those days) was reading the paper by the fire when the two girls entered, and bounced off his arm-chair, and blushed excessively, and hid his entire face almost in his neckcloths at this apparition.' physical_attributes=[PhysicalAttribute(attribute='a stout man', gender='male', reasoning=""The text explicitly states 'stout, puffy man', which uses the term 'man' and gives gender indication as male.""), PhysicalAttribute(attribute='a puffy man', gender='male', reasoning=""The text describes 'a puffy man', using 'man' which indicates the gender is male.""), PhysicalAttribute(attribute='immense neckcloths', gender='male', reasoning=""The attribute describes neckcloths worn by 'a man', indicating the subject's gender as male.""), PhysicalAttribute(attribute='a red striped waistcoat', gender='male', reasoning=""The description of 'a red striped waistcoat' belongs to the man mentioned before, suggesting the gender is male.""), PhysicalAttribute(attribute='an apple green coat', gender='male', reasoning=""The description 'an apple green coat' is associated with the man, indicating he is male."")]",a red striped waistcoat,a red striped waistcoat
3,2.0,"ebecca Is in Presence of the Enemy  A VERY stout, puffy man, in buckskins and Hessian boots, with several immense neckcloths that rose almost to his nose, with a red striped waistcoat and an apple green coat with steel buttons almost as large as crown pieces (it was the morning costume of a dandy or blood of those days) was reading the paper by the fire when the two girls entered, and bounced off his arm-chair, and blushed excessively, and hid his entire face almost in his neckcloths at this apparition.",an apple green coat,male,male,"The description 'an apple green coat' is associated with the man, indicating he is male.",True,False,"original_sentence='ebecca Is in Presence of the Enemy  A VERY stout, puffy man, in buckskins and Hessian boots, with several immense neckcloths that rose almost to his nose, with a red striped waistcoat and an apple green coat with steel buttons almost as large as crown pieces (it was the morning costume of a dandy or blood of those days) was reading the paper by the fire when the two girls entered, and bounced off his arm-chair, and blushed excessively, and hid his entire face almost in his neckcloths at this apparition.' physical_attributes=[PhysicalAttribute(attribute='a stout man', gender='male', reasoning=""The text explicitly states 'stout, puffy man', which uses the term 'man' and gives gender indication as male.""), PhysicalAttribute(attribute='a puffy man', gender='male', reasoning=""The text describes 'a puffy man', using 'man' which indicates the gender is male.""), PhysicalAttribute(attribute='immense neckcloths', gender='male', reasoning=""The attribute describes neckcloths worn by 'a man', indicating the subject's gender as male.""), PhysicalAttribute(attribute='a red striped waistcoat', gender='male', reasoning=""The description of 'a red striped waistcoat' belongs to the man mentioned before, suggesting the gender is male.""), PhysicalAttribute(attribute='an apple green coat', gender='male', reasoning=""The description 'an apple green coat' is associated with the man, indicating he is male."")]",an apple green coat,an apple green coat
