text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,Can he warm his blue hands by holding them up to the grand northern lights?,blue hands,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('blue hands'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='Can he warm his blue hands by holding them up to the grand northern lights?' physical_attributes=[PhysicalAttribute(attribute='blue hands', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('blue hands'), explicitly suggesting the person's gender as male."")]",blue hands,blue hands
1,,"Be that how it may, there stands the vast arched bone of the whale's jaw, so wide, a coach might almost drive beneath it.",,unknown,,,False,False,"original_sentence=""Be that how it may, there stands the vast arched bone of the whale's jaw, so wide, a coach might almost drive beneath it."" physical_attributes=[]",,
2,,"No wonder, then, that they made a straight wake for the whale's mouth-- the bar--when the wrinkled little old Jonah, there officiating, soon poured them out brimmers all round.",,unknown,,,False,False,"original_sentence=""No wonder, then, that they made a straight wake for the whale's mouth-- the bar--when the wrinkled little old Jonah, there officiating, soon poured them out brimmers all round."" physical_attributes=[]",,
3,1.0,"His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.",a deeply brown face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a deeply brown face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.' physical_attributes=[PhysicalAttribute(attribute='a deeply brown face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a deeply brown face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='burnt face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('burnt face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='white teeth', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('white teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='deep shadows of his eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('deep shadows of his eyes'), explicitly suggesting the person's gender as male."")]",a deeply brown face,a deeply brown face
3,1.0,"His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.",burnt face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('burnt face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.' physical_attributes=[PhysicalAttribute(attribute='a deeply brown face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a deeply brown face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='burnt face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('burnt face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='white teeth', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('white teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='deep shadows of his eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('deep shadows of his eyes'), explicitly suggesting the person's gender as male."")]",burnt face,burnt face
3,1.0,"His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.",white teeth,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('white teeth'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.' physical_attributes=[PhysicalAttribute(attribute='a deeply brown face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a deeply brown face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='burnt face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('burnt face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='white teeth', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('white teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='deep shadows of his eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('deep shadows of his eyes'), explicitly suggesting the person's gender as male."")]",white teeth,white teeth
3,1.0,"His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.",deep shadows of eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('deep shadows of his eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His face was deeply brown and burnt, making his white teeth dazzling by the contrast; while in the deep shadows of his eyes floated some reminiscences that did not seem to give him much joy.' physical_attributes=[PhysicalAttribute(attribute='a deeply brown face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a deeply brown face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='burnt face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('burnt face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='white teeth', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('white teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='deep shadows of his eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('deep shadows of his eyes'), explicitly suggesting the person's gender as male."")]",deep shadows of his eyes,deep shadows of eyes
4,,"I now took the measure of the bench, and found that it was a foot too short; but that could be mended with a chair.",,unknown,,,False,False,"original_sentence='I now took the measure of the bench, and found that it was a foot too short; but that could be mended with a chair.' physical_attributes=[]",,
5,,"But it was a foot too narrow, and the other bench in the room was about four inches higher than the planed one-- so there was no yoking them.",,unknown,,,False,False,"original_sentence='But it was a foot too narrow, and the other bench in the room was about four inches higher than the planed one-- so there was no yoking them.' physical_attributes=[]",,
6,,"Likewise, there was a parcel of outlandish bone fish hooks on the shelf over the fire-place, and a tall harpoon standing at the head of the bed.",,unknown,,,False,False,"original_sentence='Likewise, there was a parcel of outlandish bone fish hooks on the shelf over the fire-place, and a tall harpoon standing at the head of the bed.' physical_attributes=[]",,
7,,There was no hair on his head--none to speak of at least-- nothing but a small scalp-knot twisted up on his forehead.,,male,,,False,False,original_sentence='There was no hair on his head--none to speak of at least-- nothing but a small scalp-knot twisted up on his forehead.' physical_attributes=[],,
8,,the small of my back ached to think of it.,,unknown,,,False,False,original_sentence='the small of my back ached to think of it.' physical_attributes=[],,
10,,"Afterwards I wondered the less at this operation when I came to know of what fine steel the head of a harpoon is made, and how exceedingly sharp the long straight edges are always kept.",,unknown,,,False,False,"original_sentence='Afterwards I wondered the less at this operation when I came to know of what fine steel the head of a harpoon is made, and how exceedingly sharp the long straight edges are always kept.' physical_attributes=[]",,
11,,"But perhaps the mere crossing of Siberia in a sledge drawn by dogs as Ledyard did, or the taking a long solitary walk on an empty stomach, in the negro heart of Africa, which was the sum of poor Mungo's performances-- this kind of travel, I say, may not be the very best mode of attaining a high social polish.",,unknown,,,False,False,"original_sentence=""But perhaps the mere crossing of Siberia in a sledge drawn by dogs as Ledyard did, or the taking a long solitary walk on an empty stomach, in the negro heart of Africa, which was the sum of poor Mungo's performances-- this kind of travel, I say, may not be the very best mode of attaining a high social polish."" physical_attributes=[]",,
12,,But roses only bloom in summer; whereas the fine carnation of their cheeks is perennial as sunlight in the seventh heavens.,,unknown,,,False,False,original_sentence='But roses only bloom in summer; whereas the fine carnation of their cheeks is perennial as sunlight in the seventh heavens.' physical_attributes=[],,
13,,"Between the marble cenotaphs on either hand of the pulpit, the wall which formed its back was adorned with a large painting representing a gallant ship beating against a terrible storm off a lee coast of black rocks and snowy breakers.",,unknown,,,False,False,"original_sentence='Between the marble cenotaphs on either hand of the pulpit, the wall which formed its back was adorned with a large painting representing a gallant ship beating against a terrible storm off a lee coast of black rocks and snowy breakers.' physical_attributes=[]",,
14,3.0,"But high above the flying scud and dark-rolling clouds, there floated a little isle of sunlight, from which beamed forth an angel's face; and this bright face shed a distant spot of radiance upon the ship's tossed deck, something like that silver plate now inserted into the Victory's plank where Nelson fell.",an angel 's face,unknown,unknown,The text describes 'an angel's face' without any specific gender indicators. The term 'angel' is often considered gender-neutral and does not imply a specific gender.,True,False,"original_sentence=""But high above the flying scud and dark-rolling clouds, there floated a little isle of sunlight, from which beamed forth an angel's face; and this bright face shed a distant spot of radiance upon the ship's tossed deck, something like that silver plate now inserted into the Victory's plank where Nelson fell."" physical_attributes=[PhysicalAttribute(attribute=""an angel's face"", gender='unknown', reasoning=""The text describes 'an angel's face' without any specific gender indicators. The term 'angel' is often considered gender-neutral and does not imply a specific gender.""), PhysicalAttribute(attribute='a bright face', gender='unknown', reasoning=""The term 'bright face' is used in a metaphorical way without reference to physical characteristics that could imply gender."")]",an angel's face,an angel 's face
14,3.0,"But high above the flying scud and dark-rolling clouds, there floated a little isle of sunlight, from which beamed forth an angel's face; and this bright face shed a distant spot of radiance upon the ship's tossed deck, something like that silver plate now inserted into the Victory's plank where Nelson fell.",a bright face,unknown,unknown,The term 'bright face' is used in a metaphorical way without reference to physical characteristics that could imply gender.,True,True,"original_sentence=""But high above the flying scud and dark-rolling clouds, there floated a little isle of sunlight, from which beamed forth an angel's face; and this bright face shed a distant spot of radiance upon the ship's tossed deck, something like that silver plate now inserted into the Victory's plank where Nelson fell."" physical_attributes=[PhysicalAttribute(attribute=""an angel's face"", gender='unknown', reasoning=""The text describes 'an angel's face' without any specific gender indicators. The term 'angel' is often considered gender-neutral and does not imply a specific gender.""), PhysicalAttribute(attribute='a bright face', gender='unknown', reasoning=""The term 'bright face' is used in a metaphorical way without reference to physical characteristics that could imply gender."")]",a bright face,a bright face
15,4.0,"He paused a little; then kneeling in the pulpit's bows, folded his large brown hands across his chest, uplifted his closed eyes, and offered a prayer so deeply devout that he seemed kneeling and praying at the bottom of the sea.",large brown hands,male,male,"The text uses the pronoun 'his' to describe the person with the current attribute ('large brown hands'), which explicitly associates the attribute with a male gender.",True,False,"original_sentence=""He paused a little; then kneeling in the pulpit's bows, folded his large brown hands across his chest, uplifted his closed eyes, and offered a prayer so deeply devout that he seemed kneeling and praying at the bottom of the sea."" physical_attributes=[PhysicalAttribute(attribute='large brown hands', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('large brown hands'), which explicitly associates the attribute with a male gender.""), PhysicalAttribute(attribute='closed eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose eyes are described, explicitly suggesting the person's gender as male."")]",large brown hands,large brown hands
