text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,She imprinted her cold white lips passionately on its forehead; passed her hands over her face; gazed wildly round; shuddered; fell back--and died.,cold white lips,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('cold white lips'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She imprinted her cold white lips passionately on its forehead; passed her hands over her face; gazed wildly round; shuddered; fell back--and died.' physical_attributes=[PhysicalAttribute(attribute='cold white lips', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('cold white lips'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='her face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose current attribute ('her face') is being described, explicitly suggesting the person's gender as female."")]",cold white lips,cold white lips
1,,"Upon this, the parish authorities magnanimously and humanely resolved, that Oliver should be 'farmed,' or, in other words, that he should be dispatched to a branch-workhouse some three miles off, where twenty or thirty other juvenile offenders against the poor-laws, rolled about the floor all day, without the inconvenience of too much food or too much clothing, under the parental superintendence of an elderly female, who received the culprits at and for the consideration of sevenpence-halfpenny per small head per week.",,male,,,False,False,"original_sentence=""Upon this, the parish authorities magnanimously and humanely resolved, that Oliver should be 'farmed,' or, in other words, that he should be dispatched to a branch-workhouse some three miles off, where twenty or thirty other juvenile offenders against the poor-laws, rolled about the floor all day, without the inconvenience of too much food or too much clothing, under the parental superintendence of an elderly female, who received the culprits at and for the consideration of sevenpence-halfpenny per small head per week."" physical_attributes=[]",,
2,1.0,"At the top of the table, seated in an arm-chair rather higher than the rest, was a particularly fat gentleman with a very round, red face.",a very round red face,unknown,male,"The text describes a 'gentleman,' which is a term typically associated with males, thus indicating the gender of the described individual.",False,False,"original_sentence='At the top of the table, seated in an arm-chair rather higher than the rest, was a particularly fat gentleman with a very round, red face.' physical_attributes=[PhysicalAttribute(attribute='a very round red face', gender='male', reasoning=""The text describes a 'gentleman,' which is a term typically associated with males, thus indicating the gender of the described individual.""), PhysicalAttribute(attribute='a particularly fat body', gender='male', reasoning=""The term 'gentleman' again supports the inference that this description refers to a male individual."")]",a very round red face,a very round red face
2,1.0,"At the top of the table, seated in an arm-chair rather higher than the rest, was a particularly fat gentleman with a very round, red face.",a particularly fat body,unknown,male,The term 'gentleman' again supports the inference that this description refers to a male individual.,False,False,"original_sentence='At the top of the table, seated in an arm-chair rather higher than the rest, was a particularly fat gentleman with a very round, red face.' physical_attributes=[PhysicalAttribute(attribute='a very round red face', gender='male', reasoning=""The text describes a 'gentleman,' which is a term typically associated with males, thus indicating the gender of the described individual.""), PhysicalAttribute(attribute='a particularly fat body', gender='male', reasoning=""The term 'gentleman' again supports the inference that this description refers to a male individual."")]",a particularly fat body,a particularly fat body
3,2.0,"Then, catching hold of the bridle, he gave his jaw a sharp wrench, by way of gentle reminder that he was not his own master; and by these means turned him round.",a sharp jaw,male,male,"The pronoun 'he' is used to refer to the person with the current attribute ('a sharp jaw'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='Then, catching hold of the bridle, he gave his jaw a sharp wrench, by way of gentle reminder that he was not his own master; and by these means turned him round.' physical_attributes=[PhysicalAttribute(attribute='a sharp jaw', gender='male', reasoning=""The pronoun 'he' is used to refer to the person with the current attribute ('a sharp jaw'), explicitly suggesting the person's gender as male."")]",a sharp jaw,a sharp jaw
4,,"'Don't make your eyes red, Oliver, but eat your food and be thankful,' said Mr. Bumble, in a tone of impressive pomposity.",,unknown,,,False,False,"original_sentence=""'Don't make your eyes red, Oliver, but eat your food and be thankful,' said Mr. Bumble, in a tone of impressive pomposity."" physical_attributes=[]",,
5,,"As Mr. Bumble paused to take breath, after delivering this address in an awful voice, the tears rolled down the poor child's face, and he sobbed bitterly.",,male,,,False,False,"original_sentence=""As Mr. Bumble paused to take breath, after delivering this address in an awful voice, the tears rolled down the poor child's face, and he sobbed bitterly."" physical_attributes=[]",,
6,3.0,"'I despise 'em,' said the beadle, growing very red in the face.",very red face,unknown,unknown,The text uses the descriptor 'very red' to describe the beadle's face without providing any information about the beadle's gender.,True,False,"original_sentence=""'I despise 'em,' said the beadle, growing very red in the face."" physical_attributes=[PhysicalAttribute(attribute='very red face', gender='unknown', reasoning=""The text uses the descriptor 'very red' to describe the beadle's face without providing any information about the beadle's gender."")]",very red face,very red face
7,,"For some time, Mr. Bumble drew Oliver along, without notice or remark; for the beadle carried his head very erect, as a beadle always should: and, it being a windy day, little Oliver was completely enshrouded by the skirts of Mr. Bumble's coat as they blew open, and disclosed to great advantage his flapped waistcoat and drab plush knee-breeches.",,male,,,False,False,"original_sentence=""For some time, Mr. Bumble drew Oliver along, without notice or remark; for the beadle carried his head very erect, as a beadle always should: and, it being a windy day, little Oliver was completely enshrouded by the skirts of Mr. Bumble's coat as they blew open, and disclosed to great advantage his flapped waistcoat and drab plush knee-breeches."" physical_attributes=[]",,
8,4.0,"Mrs. Sowerberry emerged from a little room behind the shop, and presented the form of a short, then, squeezed-up woman, with a vixenish countenance.",a vixenish countenance,unknown,female,"The term 'woman' directly indicates the gender, and 'vixenish' describes her facial expression or features.",False,True,"original_sentence='Mrs. Sowerberry emerged from a little room behind the shop, and presented the form of a short, then, squeezed-up woman, with a vixenish countenance.' physical_attributes=[PhysicalAttribute(attribute='a short woman', gender='female', reasoning=""The term 'woman' directly indicates the gender, and the adjective 'short' describes her physical stature.""), PhysicalAttribute(attribute='a squeezed-up woman', gender='female', reasoning=""The term 'woman' directly indicates the gender, and the adjective 'squeezed-up' describes her physical appearance.""), PhysicalAttribute(attribute='a vixenish countenance', gender='female', reasoning=""The term 'woman' directly indicates the gender, and 'vixenish' describes her facial expression or features."")]",a vixenish countenance,a vixenish countenance
