text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a “Penang lawyer.” Just under the head was a broad silver band nearly an inch across.",,unknown,,,False,False,"original_sentence='It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a “Penang lawyer.” Just under the head was a broad silver band nearly an inch across.' physical_attributes=[]",,
1,0.0,"He was a very tall, thin man, with a long nose like a beak, which jutted out between two keen, gray eyes, set closely together and sparkling brightly from behind a pair of gold-rimmed glasses.",a long nose,male,male,"The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.",True,True,"original_sentence='He was a very tall, thin man, with a long nose like a beak, which jutted out between two keen, gray eyes, set closely together and sparkling brightly from behind a pair of gold-rimmed glasses.' physical_attributes=[PhysicalAttribute(attribute='a very tall man', gender='male', reasoning=""The text explicitly refers to the subject as 'a very tall, thin man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a thin man', gender='male', reasoning=""The text explicitly refers to the subject as 'a very tall, thin man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.""), PhysicalAttribute(attribute='keen gray eyes', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.""), PhysicalAttribute(attribute='sparkling bright eyes', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male."")]",a long nose,a long nose
1,0.0,"He was a very tall, thin man, with a long nose like a beak, which jutted out between two keen, gray eyes, set closely together and sparkling brightly from behind a pair of gold-rimmed glasses.",keen gray eyes,male,male,"The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.",True,False,"original_sentence='He was a very tall, thin man, with a long nose like a beak, which jutted out between two keen, gray eyes, set closely together and sparkling brightly from behind a pair of gold-rimmed glasses.' physical_attributes=[PhysicalAttribute(attribute='a very tall man', gender='male', reasoning=""The text explicitly refers to the subject as 'a very tall, thin man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a thin man', gender='male', reasoning=""The text explicitly refers to the subject as 'a very tall, thin man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.""), PhysicalAttribute(attribute='keen gray eyes', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.""), PhysicalAttribute(attribute='sparkling bright eyes', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male."")]",keen gray eyes,keen gray eyes
1,0.0,"He was a very tall, thin man, with a long nose like a beak, which jutted out between two keen, gray eyes, set closely together and sparkling brightly from behind a pair of gold-rimmed glasses.",sparkling bright eyes,male,male,"The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.",True,False,"original_sentence='He was a very tall, thin man, with a long nose like a beak, which jutted out between two keen, gray eyes, set closely together and sparkling brightly from behind a pair of gold-rimmed glasses.' physical_attributes=[PhysicalAttribute(attribute='a very tall man', gender='male', reasoning=""The text explicitly refers to the subject as 'a very tall, thin man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a thin man', gender='male', reasoning=""The text explicitly refers to the subject as 'a very tall, thin man', which clearly indicates the gender as male.""), PhysicalAttribute(attribute='a long nose', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.""), PhysicalAttribute(attribute='keen gray eyes', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male.""), PhysicalAttribute(attribute='sparkling bright eyes', gender='male', reasoning=""The description is part of the overall description of the subject identified as 'a very tall, thin man', clearly indicating the gender as male."")]",sparkling bright eyes,sparkling bright eyes
2,,"At the head was written: “Baskerville Hall,” and below in large, scrawling figures: “1742.”  “It appears to be a statement of some sort.”  “Yes, it is a statement of a certain legend which runs in the Baskerville family.”  “But I understand that it is something more modern and practical upon which you wish to consult me?”  “Most modern.",,unknown,,,False,False,"original_sentence='At the head was written: “Baskerville Hall,” and below in large, scrawling figures: “1742.”  “It appears to be a statement of some sort.”  “Yes, it is a statement of a certain legend which runs in the Baskerville family.”  “But I understand that it is something more modern and practical upon which you wish to consult me?”  “Most modern.' physical_attributes=[]",,
3,,"These, though known for their valour         and their breed, were whimpering in a cluster at the         head of a deep dip or goyal, as we call it, upon the         moor, some slinking away and some, with starting hackles         and staring eyes, gazing down the narrow valley before them.",,unknown,,,False,False,"original_sentence='These, though known for their valour and their breed, were whimpering in a cluster at the head of a deep dip or goyal, as we call it, upon the moor, some slinking away and some, with starting hackles and staring eyes, gazing down the narrow valley before them.' physical_attributes=[]",,
4,,I whisked round and had just time to catch a glimpse of something which I took to be a large black calf passing at the head of the drive.,,unknown,,,False,False,original_sentence='I whisked round and had just time to catch a glimpse of something which I took to be a large black calf passing at the head of the drive.' physical_attributes=[],,
5,1.0,"Holmes leaned forward in his excitement and his eyes had the hard, dry glitter which shot from them when he was keenly interested.",hard dry glitter eyes,male,male,"The text uses the pronoun 'his' to refer to the subject, explicitly suggesting the person's gender as male.",True,False,"original_sentence='Holmes leaned forward in his excitement and his eyes had the hard, dry glitter which shot from them when he was keenly interested.' physical_attributes=[PhysicalAttribute(attribute='hard dry glitter eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the subject, explicitly suggesting the person's gender as male."")]",hard dry glitter eyes,hard dry glitter eyes
6,,"I don’t suppose I should have done so had I not known this legend.”  “There are many sheep-dogs on the moor?”  “No doubt, but this was no sheep-dog.”  “You say it was large?”  “Enormous.”  “But it had not approached the body?”  “No.”  “What sort of night was it?’  “Damp and raw.”  “But not actually raining?”  “No.”  “What is the alley like?”  “There are two lines of old yew hedge, twelve feet high and impenetrable.",,unknown,,,False,False,"original_sentence='I don’t suppose I should have done so had I not known this legend.”  “There are many sheep-dogs on the moor?”  “No doubt, but this was no sheep-dog.”  “You say it was large?”  “Enormous.”  “But it had not approached the body?”  “No.”  “What sort of night was it?’  “Damp and raw.”  “But not actually raining?”  “No.”  “What is the alley like?”  “There are two lines of old yew hedge, twelve feet high and impenetrable.' physical_attributes=[]",,
7,,"The walk in the centre is about eight feet across.”  “Is there anything between the hedges and the walk?”  “Yes, there is a strip of grass about six feet broad on either side.”  “I understand that the yew hedge is penetrated at one point by a gate?”  “Yes, the wicket-gate which leads on to the moor.”  “Is there any other opening?”  “None.”  “So that to reach the yew alley one either has to come down it from the house or else to enter it by the moor-gate?”  “There is an exit through a summer-house at the far end.”  “Had Sir Charles reached this?”  “No; he lay about fifty yards from it.”  “Now, tell me, Dr. Mortimer--and this is important--the marks which you saw were on the path and not on the grass?”  “No marks could show on the grass.”  “Were they on the same side of the path as the moor-gate?”  “Yes; they were on the edge of the path on the same side as the moor-gate.”  “You interest me exceedingly.",,male,,,False,False,"original_sentence='The walk in the centre is about eight feet across.”  “Is there anything between the hedges and the walk?”  “Yes, there is a strip of grass about six feet broad on either side.”  “I understand that the yew hedge is penetrated at one point by a gate?”  “Yes, the wicket-gate which leads on to the moor.”  “Is there any other opening?”  “None.”  “So that to reach the yew alley one either has to come down it from the house or else to enter it by the moor-gate?”  “There is an exit through a summer-house at the far end.”  “Had Sir Charles reached this?”  “No; he lay about fifty yards from it.”  “Now, tell me, Dr. Mortimer--and this is important--the marks which you saw were on the path and not on the grass?”  “No marks could show on the grass.”  “Were they on the same side of the path as the moor-gate?”  “Yes; they were on the edge of the path on the same side as the moor-gate.”  “You interest me exceedingly.' physical_attributes=[]",,
