text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The veranda, quite twelve feet wide, ran--Australian fashion--along the front of the cottage, except for the two closed-in ends forming, one a bathroom and the other a kind of store closet.",,unknown,,,False,False,"original_sentence='The veranda, quite twelve feet wide, ran--Australian fashion--along the front of the cottage, except for the two closed-in ends forming, one a bathroom and the other a kind of store closet.' physical_attributes=[]",,
1,,"A large table with a green cloth, at her elbow, had at one end a tray with the remains of her breakfast of tea, scones and fruit.",,female,,,False,False,"original_sentence='A large table with a green cloth, at her elbow, had at one end a tray with the remains of her breakfast of tea, scones and fruit.' physical_attributes=[]",,
2,0.0,"His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.",a thin nose,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute 'thin nose', explicitly suggesting the person's gender as male.",True,True,"original_sentence='His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.' physical_attributes=[PhysicalAttribute(attribute='a thin nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute 'thin nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a broadening lower nose', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose nose is being discussed, explicitly indicating that the gender is male.""), PhysicalAttribute(attribute='a high-bridged nose', gender='male', reasoning=""The pronoun 'his' indicates that the person described is male, pointing to a high-bridged nose.""), PhysicalAttribute(attribute='high cut nostrils', gender='male', reasoning=""The pronoun 'his' makes it clear that the gender is male as it refers to the anatomical feature being described.""), PhysicalAttribute(attribute='sensitive red nose', gender='male', reasoning=""The use of 'his' indicates the attribute describes a male character."")]",a thin nose,a thin nose
2,0.0,"His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.",a broadening lower nose,male,male,"The text uses the pronoun 'his' to describe the person whose nose is being discussed, explicitly indicating that the gender is male.",True,False,"original_sentence='His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.' physical_attributes=[PhysicalAttribute(attribute='a thin nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute 'thin nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a broadening lower nose', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose nose is being discussed, explicitly indicating that the gender is male.""), PhysicalAttribute(attribute='a high-bridged nose', gender='male', reasoning=""The pronoun 'his' indicates that the person described is male, pointing to a high-bridged nose.""), PhysicalAttribute(attribute='high cut nostrils', gender='male', reasoning=""The pronoun 'his' makes it clear that the gender is male as it refers to the anatomical feature being described.""), PhysicalAttribute(attribute='sensitive red nose', gender='male', reasoning=""The use of 'his' indicates the attribute describes a male character."")]",a broadening lower nose,a broadening lower nose
2,0.0,"His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.",a high-bridged nose,male,male,"The pronoun 'his' indicates that the person described is male, pointing to a high-bridged nose.",True,True,"original_sentence='His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.' physical_attributes=[PhysicalAttribute(attribute='a thin nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute 'thin nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a broadening lower nose', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose nose is being discussed, explicitly indicating that the gender is male.""), PhysicalAttribute(attribute='a high-bridged nose', gender='male', reasoning=""The pronoun 'his' indicates that the person described is male, pointing to a high-bridged nose.""), PhysicalAttribute(attribute='high cut nostrils', gender='male', reasoning=""The pronoun 'his' makes it clear that the gender is male as it refers to the anatomical feature being described.""), PhysicalAttribute(attribute='sensitive red nose', gender='male', reasoning=""The use of 'his' indicates the attribute describes a male character."")]",a high-bridged nose,a high-bridged nose
2,0.0,"His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.",high cut nostrils,male,male,The pronoun 'his' makes it clear that the gender is male as it refers to the anatomical feature being described.,True,False,"original_sentence='His nose was thin between the eyes, broadening lower, high-bridged and with high cut nostrils, showing the sensitive red when he was enraged--as not infrequently happened.' physical_attributes=[PhysicalAttribute(attribute='a thin nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute 'thin nose', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a broadening lower nose', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose nose is being discussed, explicitly indicating that the gender is male.""), PhysicalAttribute(attribute='a high-bridged nose', gender='male', reasoning=""The pronoun 'his' indicates that the person described is male, pointing to a high-bridged nose.""), PhysicalAttribute(attribute='high cut nostrils', gender='male', reasoning=""The pronoun 'his' makes it clear that the gender is male as it refers to the anatomical feature being described.""), PhysicalAttribute(attribute='sensitive red nose', gender='male', reasoning=""The use of 'his' indicates the attribute describes a male character."")]",high cut nostrils,high cut nostrils
3,1.0,"He had large honest blue eyes, intensely blue, of the fiery description with a trick of dropping the lids when he was in doubt or consideration.",large honest blue eyes,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('large honest blue eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had large honest blue eyes, intensely blue, of the fiery description with a trick of dropping the lids when he was in doubt or consideration.' physical_attributes=[PhysicalAttribute(attribute='large honest blue eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('large honest blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='intensely blue eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('intensely blue eyes'), explicitly suggesting the person's gender as male."")]",large honest blue eyes,large honest blue eyes
3,1.0,"He had large honest blue eyes, intensely blue, of the fiery description with a trick of dropping the lids when he was in doubt or consideration.",intensely blue eyes,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('intensely blue eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had large honest blue eyes, intensely blue, of the fiery description with a trick of dropping the lids when he was in doubt or consideration.' physical_attributes=[PhysicalAttribute(attribute='large honest blue eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('large honest blue eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='intensely blue eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('intensely blue eyes'), explicitly suggesting the person's gender as male."")]",intensely blue eyes,intensely blue eyes
4,2.0,"He had thick reddish-yellow eyebrows at the base of a slightly receding forehead--wanting in benevolence, phrenologists would have said, and with the bump of self-esteem considerably developed.",thick reddish-yellow eyebrows,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('thick reddish-yellow eyebrows'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had thick reddish-yellow eyebrows at the base of a slightly receding forehead--wanting in benevolence, phrenologists would have said, and with the bump of self-esteem considerably developed.' physical_attributes=[PhysicalAttribute(attribute='thick reddish-yellow eyebrows', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('thick reddish-yellow eyebrows'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a slightly receding forehead', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a slightly receding forehead'), explicitly suggesting the person's gender as male."")]",thick reddish-yellow eyebrows,thick reddish-yellow eyebrows
4,2.0,"He had thick reddish-yellow eyebrows at the base of a slightly receding forehead--wanting in benevolence, phrenologists would have said, and with the bump of self-esteem considerably developed.",a slightly receding forehead,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('a slightly receding forehead'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had thick reddish-yellow eyebrows at the base of a slightly receding forehead--wanting in benevolence, phrenologists would have said, and with the bump of self-esteem considerably developed.' physical_attributes=[PhysicalAttribute(attribute='thick reddish-yellow eyebrows', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('thick reddish-yellow eyebrows'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a slightly receding forehead', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a slightly receding forehead'), explicitly suggesting the person's gender as male."")]",a slightly receding forehead,a slightly receding forehead
