text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He was tall, with massive shoulders which he held stiffly, and a large, well-shaped head.",tall stature,male,male,"The text uses the pronoun 'He' to refer to the person described as 'tall', explicitly suggesting the person's gender as male.",True,True,"original_sentence='He was tall, with massive shoulders which he held stiffly, and a large, well-shaped head.' physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as 'tall', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='massive shoulders', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as having 'massive shoulders', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a large well-shaped head', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as having 'a large, well-shaped head', explicitly suggesting the person's gender as male."")]",tall stature,tall stature
0,0.0,"He was tall, with massive shoulders which he held stiffly, and a large, well-shaped head.",massive shoulders,male,male,"The text uses the pronoun 'He' to refer to the person described as having 'massive shoulders', explicitly suggesting the person's gender as male.",True,True,"original_sentence='He was tall, with massive shoulders which he held stiffly, and a large, well-shaped head.' physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as 'tall', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='massive shoulders', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as having 'massive shoulders', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a large well-shaped head', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as having 'a large, well-shaped head', explicitly suggesting the person's gender as male."")]",massive shoulders,massive shoulders
0,0.0,"He was tall, with massive shoulders which he held stiffly, and a large, well-shaped head.",a large well-shaped head,male,male,"The text uses the pronoun 'He' to refer to the person described as having 'a large, well-shaped head', explicitly suggesting the person's gender as male.",True,False,"original_sentence='He was tall, with massive shoulders which he held stiffly, and a large, well-shaped head.' physical_attributes=[PhysicalAttribute(attribute='tall stature', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as 'tall', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='massive shoulders', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as having 'massive shoulders', explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a large well-shaped head', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described as having 'a large, well-shaped head', explicitly suggesting the person's gender as male."")]",a large well-shaped head,a large well-shaped head
1,1.0,"There was something individual in the way in which his reddish-brown hair, parted cleanly at the side, bushed over his high forehead.",reddish-brown hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('reddish-brown hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='There was something individual in the way in which his reddish-brown hair, parted cleanly at the side, bushed over his high forehead.' physical_attributes=[PhysicalAttribute(attribute='reddish-brown hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('reddish-brown hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a high forehead', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose forehead is being described, explicitly suggesting the person's gender as male."")]",reddish-brown hair,reddish-brown hair
1,1.0,"There was something individual in the way in which his reddish-brown hair, parted cleanly at the side, bushed over his high forehead.",a high forehead,male,male,"The text uses the pronoun 'his' to describe the person whose forehead is being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='There was something individual in the way in which his reddish-brown hair, parted cleanly at the side, bushed over his high forehead.' physical_attributes=[PhysicalAttribute(attribute='reddish-brown hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('reddish-brown hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a high forehead', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose forehead is being described, explicitly suggesting the person's gender as male."")]",a high forehead,a high forehead
2,2.0,"His nose was straight and thick, and his eyes were intelligent.",a straight nose,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a straight nose'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His nose was straight and thick, and his eyes were intelligent.' physical_attributes=[PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a straight nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thick nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='intelligent eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('intelligent eyes'), explicitly suggesting the person's gender as male."")]",a straight nose,a straight nose
2,2.0,"His nose was straight and thick, and his eyes were intelligent.",a thick nose,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a thick nose'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His nose was straight and thick, and his eyes were intelligent.' physical_attributes=[PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a straight nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thick nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='intelligent eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('intelligent eyes'), explicitly suggesting the person's gender as male."")]",a thick nose,a thick nose
2,2.0,"His nose was straight and thick, and his eyes were intelligent.",intelligent eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('intelligent eyes'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His nose was straight and thick, and his eyes were intelligent.' physical_attributes=[PhysicalAttribute(attribute='a straight nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a straight nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thick nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='intelligent eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('intelligent eyes'), explicitly suggesting the person's gender as male."")]",intelligent eyes,intelligent eyes
3,3.0,"His hands were large and well kept, but ruggedly formed, and the backs were shaded with crinkly reddish hair.",large hands,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('large hands'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hands were large and well kept, but ruggedly formed, and the backs were shaded with crinkly reddish hair.' physical_attributes=[PhysicalAttribute(attribute='large hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('large hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='well kept hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('well kept hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='ruggedly formed hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('ruggedly formed hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='reddish hair on the backs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('reddish hair on the backs'), explicitly suggesting the person's gender as male."")]",large hands,large hands
3,3.0,"His hands were large and well kept, but ruggedly formed, and the backs were shaded with crinkly reddish hair.",well kept hands,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('well kept hands'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His hands were large and well kept, but ruggedly formed, and the backs were shaded with crinkly reddish hair.' physical_attributes=[PhysicalAttribute(attribute='large hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('large hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='well kept hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('well kept hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='ruggedly formed hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('ruggedly formed hands'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='reddish hair on the backs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('reddish hair on the backs'), explicitly suggesting the person's gender as male."")]",well kept hands,well kept hands
