text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.",perfectly well shaped hands,female,female,"The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped hands' describes a female.",True,False,"original_sentence='Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.' physical_attributes=[PhysicalAttribute(attribute='perfectly well shaped hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped hands' describes a female.""), PhysicalAttribute(attribute='perfectly well shaped feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped feet' describes a female.""), PhysicalAttribute(attribute='plump hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump hands' describes a female.""), PhysicalAttribute(attribute='plump feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump feet' describes a female."")]",perfectly well shaped hands,perfectly well shaped hands
0,0.0,"Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.",perfectly well shaped feet,female,female,"The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped feet' describes a female.",True,False,"original_sentence='Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.' physical_attributes=[PhysicalAttribute(attribute='perfectly well shaped hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped hands' describes a female.""), PhysicalAttribute(attribute='perfectly well shaped feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped feet' describes a female.""), PhysicalAttribute(attribute='plump hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump hands' describes a female.""), PhysicalAttribute(attribute='plump feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump feet' describes a female."")]",perfectly well shaped feet,perfectly well shaped feet
0,0.0,"Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.",plump hands,female,female,"The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump hands' describes a female.",True,False,"original_sentence='Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.' physical_attributes=[PhysicalAttribute(attribute='perfectly well shaped hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped hands' describes a female.""), PhysicalAttribute(attribute='perfectly well shaped feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped feet' describes a female.""), PhysicalAttribute(attribute='plump hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump hands' describes a female.""), PhysicalAttribute(attribute='plump feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump feet' describes a female."")]",plump hands,plump hands
0,0.0,"Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.",plump feet,female,female,"The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump feet' describes a female.",True,False,"original_sentence='Miss Marjoribanks was not vain; but the word had taken possession of her imagination, as was natural, and solaced her much when she made the painful discovery that her gloves were half a number larger, and her shoes a hair-breadth broader, than those of any of her companions; but the hands and feet were both perfectly well shaped; and being at the same time well clothed and plump, were much more presentable and pleasant to look upon than the lean rudimentary schoolgirl hands with which they were surrounded.' physical_attributes=[PhysicalAttribute(attribute='perfectly well shaped hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped hands' describes a female.""), PhysicalAttribute(attribute='perfectly well shaped feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'perfectly well shaped feet' describes a female.""), PhysicalAttribute(attribute='plump hands', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump hands' describes a female.""), PhysicalAttribute(attribute='plump feet', gender='female', reasoning=""The text refers to 'Miss Marjoribanks', which is a female character, suggesting that 'plump feet' describes a female."")]",plump feet,plump feet
1,,"""You will never come back again, Lucilla,"" said one of her companions; ""you will marry some enchanting Italian with a beautiful black beard, and a voice like an angel; and he'll sing serenades to you, and do all sorts of things: oh, how I wish I was you!""",,evidence for both,,,False,False,"original_sentence='""You will never come back again, Lucilla,"" said one of her companions; ""you will marry some enchanting Italian with a beautiful black beard, and a voice like an angel; and he\'ll sing serenades to you, and do all sorts of things: oh, how I wish I was you!""' physical_attributes=[]",,
2,,"She shook her head and shrugged her shoulders as she paused in the centre of the large faded room, where there was no light but that of the fire, which burned brightly, and kept up a lively play of glimmer and shadow in the tall glass over the fireplace, and even twinkled dimly in the three long windows, where the curtains hung stiff and solemn in their daylight form.",,female,,,False,False,"original_sentence='She shook her head and shrugged her shoulders as she paused in the centre of the large faded room, where there was no light but that of the fire, which burned brightly, and kept up a lively play of glimmer and shadow in the tall glass over the fireplace, and even twinkled dimly in the three long windows, where the curtains hung stiff and solemn in their daylight form.' physical_attributes=[]",,
3,1.0,"And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.",a kind of beauty,female,female,"The text mentions 'Barbara', which is a common female name, indicating the person's gender as female.",True,False,"original_sentence='And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.' physical_attributes=[PhysicalAttribute(attribute='a kind of beauty', gender='female', reasoning=""The text mentions 'Barbara', which is a common female name, indicating the person's gender as female.""), PhysicalAttribute(attribute='a passionate brunette', gender='female', reasoning=""The text refers directly to 'Barbara' as a 'brunette', which implies female characteristics and suggests that the gender of the beauty described is female.""), PhysicalAttribute(attribute='straight black eyebrows', gender='female', reasoning='The eyebrows are described in relation to Barbara, a female character, indicating that this attribute belongs to a female.'), PhysicalAttribute(attribute='very dark and very straight hair', gender='female', reasoning='The hair description is directly connected to Barbara, a female character, confirming the gender as female.'), PhysicalAttribute(attribute='oblique vision', gender='female', reasoning='This description indirectly relates to Barbara, continuing to reinforce the female gender through the description of her attributes.'), PhysicalAttribute(attribute='eyes that looked straight', gender='female', reasoning='The eyes are described as belonging to Barbara, which confirms the gender as female.')]",a kind of beauty,a kind of beauty
3,1.0,"And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.",a passionate brunette,female,female,"The text refers directly to 'Barbara' as a 'brunette', which implies female characteristics and suggests that the gender of the beauty described is female.",True,False,"original_sentence='And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.' physical_attributes=[PhysicalAttribute(attribute='a kind of beauty', gender='female', reasoning=""The text mentions 'Barbara', which is a common female name, indicating the person's gender as female.""), PhysicalAttribute(attribute='a passionate brunette', gender='female', reasoning=""The text refers directly to 'Barbara' as a 'brunette', which implies female characteristics and suggests that the gender of the beauty described is female.""), PhysicalAttribute(attribute='straight black eyebrows', gender='female', reasoning='The eyebrows are described in relation to Barbara, a female character, indicating that this attribute belongs to a female.'), PhysicalAttribute(attribute='very dark and very straight hair', gender='female', reasoning='The hair description is directly connected to Barbara, a female character, confirming the gender as female.'), PhysicalAttribute(attribute='oblique vision', gender='female', reasoning='This description indirectly relates to Barbara, continuing to reinforce the female gender through the description of her attributes.'), PhysicalAttribute(attribute='eyes that looked straight', gender='female', reasoning='The eyes are described as belonging to Barbara, which confirms the gender as female.')]",a passionate brunette,a passionate brunette
3,1.0,"And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.",straight black eyebrows,female,female,"The eyebrows are described in relation to Barbara, a female character, indicating that this attribute belongs to a female.",True,False,"original_sentence='And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.' physical_attributes=[PhysicalAttribute(attribute='a kind of beauty', gender='female', reasoning=""The text mentions 'Barbara', which is a common female name, indicating the person's gender as female.""), PhysicalAttribute(attribute='a passionate brunette', gender='female', reasoning=""The text refers directly to 'Barbara' as a 'brunette', which implies female characteristics and suggests that the gender of the beauty described is female.""), PhysicalAttribute(attribute='straight black eyebrows', gender='female', reasoning='The eyebrows are described in relation to Barbara, a female character, indicating that this attribute belongs to a female.'), PhysicalAttribute(attribute='very dark and very straight hair', gender='female', reasoning='The hair description is directly connected to Barbara, a female character, confirming the gender as female.'), PhysicalAttribute(attribute='oblique vision', gender='female', reasoning='This description indirectly relates to Barbara, continuing to reinforce the female gender through the description of her attributes.'), PhysicalAttribute(attribute='eyes that looked straight', gender='female', reasoning='The eyes are described as belonging to Barbara, which confirms the gender as female.')]",straight black eyebrows,straight black eyebrows
3,1.0,"And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.",very dark and very straight hair,female,female,"The hair description is directly connected to Barbara, a female character, confirming the gender as female.",True,False,"original_sentence='And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.' physical_attributes=[PhysicalAttribute(attribute='a kind of beauty', gender='female', reasoning=""The text mentions 'Barbara', which is a common female name, indicating the person's gender as female.""), PhysicalAttribute(attribute='a passionate brunette', gender='female', reasoning=""The text refers directly to 'Barbara' as a 'brunette', which implies female characteristics and suggests that the gender of the beauty described is female.""), PhysicalAttribute(attribute='straight black eyebrows', gender='female', reasoning='The eyebrows are described in relation to Barbara, a female character, indicating that this attribute belongs to a female.'), PhysicalAttribute(attribute='very dark and very straight hair', gender='female', reasoning='The hair description is directly connected to Barbara, a female character, confirming the gender as female.'), PhysicalAttribute(attribute='oblique vision', gender='female', reasoning='This description indirectly relates to Barbara, continuing to reinforce the female gender through the description of her attributes.'), PhysicalAttribute(attribute='eyes that looked straight', gender='female', reasoning='The eyes are described as belonging to Barbara, which confirms the gender as female.')]",very dark and very straight hair,very dark and very straight hair
3,1.0,"And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.",oblique vision,female,female,"This description indirectly relates to Barbara, continuing to reinforce the female gender through the description of her attributes.",True,True,"original_sentence='And then Barbara possessed a kind of beauty, the beauty of a passionate and somewhat sullen brunette, dark and glowing, with straight black eyebrows, very dark and very straight, which gave, oddly enough, a suggestion of oblique vision to her eyes; but her eyes were not in the least oblique, and looked at you straight from under that black line of shadow with no doubtful expression.' physical_attributes=[PhysicalAttribute(attribute='a kind of beauty', gender='female', reasoning=""The text mentions 'Barbara', which is a common female name, indicating the person's gender as female.""), PhysicalAttribute(attribute='a passionate brunette', gender='female', reasoning=""The text refers directly to 'Barbara' as a 'brunette', which implies female characteristics and suggests that the gender of the beauty described is female.""), PhysicalAttribute(attribute='straight black eyebrows', gender='female', reasoning='The eyebrows are described in relation to Barbara, a female character, indicating that this attribute belongs to a female.'), PhysicalAttribute(attribute='very dark and very straight hair', gender='female', reasoning='The hair description is directly connected to Barbara, a female character, confirming the gender as female.'), PhysicalAttribute(attribute='oblique vision', gender='female', reasoning='This description indirectly relates to Barbara, continuing to reinforce the female gender through the description of her attributes.'), PhysicalAttribute(attribute='eyes that looked straight', gender='female', reasoning='The eyes are described as belonging to Barbara, which confirms the gender as female.')]",oblique vision,oblique vision
