text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He overtook them, and giving them the compliments of the evening, begged leave to see them into the more frequented parts of the town: but how was he delighted, when, waiting for an answer, he discovered, under the concealment of a large bonnet, the face of Charlotte Temple.",the face of Charlotte Temple,male,female,"The text explicitly mentions 'Charlotte Temple', which is a common female name, suggesting that the gender of the person in question is female.",False,False,"original_sentence='He overtook them, and giving them the compliments of the evening, begged leave to see them into the more frequented parts of the town: but how was he delighted, when, waiting for an answer, he discovered, under the concealment of a large bonnet, the face of Charlotte Temple.' physical_attributes=[PhysicalAttribute(attribute='the face of Charlotte Temple', gender='female', reasoning=""The text explicitly mentions 'Charlotte Temple', which is a common female name, suggesting that the gender of the person in question is female."")]",the face of Charlotte Temple,the face of Charlotte Temple
1,1.0,"Her eyes were blue; and her hair, which was light brown, was slightly confined under a plain muslin cap, tied round with a black ribbon; a white linen gown and plain lawn handkerchief composed the remainder of her dress; and in this simple attire, she was more irresistibly charming to such a heart as Temple’s, than she would have been, if adorned with all the splendor of a courtly belle.",blue eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her eyes were blue; and her hair, which was light brown, was slightly confined under a plain muslin cap, tied round with a black ribbon; a white linen gown and plain lawn handkerchief composed the remainder of her dress; and in this simple attire, she was more irresistibly charming to such a heart as Temple’s, than she would have been, if adorned with all the splendor of a courtly belle.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='light brown hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('light brown hair'), explicitly suggesting the person's gender as female."")]",blue eyes,blue eyes
1,1.0,"Her eyes were blue; and her hair, which was light brown, was slightly confined under a plain muslin cap, tied round with a black ribbon; a white linen gown and plain lawn handkerchief composed the remainder of her dress; and in this simple attire, she was more irresistibly charming to such a heart as Temple’s, than she would have been, if adorned with all the splendor of a courtly belle.",light brown hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('light brown hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her eyes were blue; and her hair, which was light brown, was slightly confined under a plain muslin cap, tied round with a black ribbon; a white linen gown and plain lawn handkerchief composed the remainder of her dress; and in this simple attire, she was more irresistibly charming to such a heart as Temple’s, than she would have been, if adorned with all the splendor of a courtly belle.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='light brown hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('light brown hair'), explicitly suggesting the person's gender as female."")]",light brown hair,light brown hair
2,,"She knelt by the bed side; and taking his cold hand, ‘my poor boy,’ said she, ‘I will not be parted from thee: husband!",,evidence for both,,,False,False,"original_sentence='She knelt by the bed side; and taking his cold hand, ‘my poor boy,’ said she, ‘I will not be parted from thee: husband!' physical_attributes=[]",,
3,2.0,"The lovely maid whose form and face      Nature has deck’d with ev’ry grace,      But in whose breast no virtues glow,      Whose heart ne’er felt another’s woe,      Whose hand ne’er smooth’d the bed of pain,      Or eas’d the captive’s galling chain;      But like the tulip caught the eye,      Born just to be admir’d and die;      When gone, no one regrets its loss,      Or scarce remembers that it was.",a lovely face,unknown,female,"The text uses the noun 'maid' which typically implies a female; therefore, the physical attributes associated with her, like 'a lovely face', suggest a female identity.",False,True,"original_sentence='The lovely maid whose form and face Nature has deck’d with ev’ry grace, But in whose breast no virtues glow, Whose heart ne’er felt another’s woe, Whose hand ne’er smooth’d the bed of pain, Or eas’d the captive’s galling chain; But like the tulip caught the eye, Born just to be admir’d and die; When gone, no one regrets its loss, Or scarce remembers that it was.' physical_attributes=[PhysicalAttribute(attribute='a lovely face', gender='female', reasoning=""The text uses the noun 'maid' which typically implies a female; therefore, the physical attributes associated with her, like 'a lovely face', suggest a female identity.""), PhysicalAttribute(attribute='a graceful form', gender='female', reasoning=""The description of the maid suggests an admiration for beauty, and the term 'form' is included in conjunction with 'maid', implying femininity.""), PhysicalAttribute(attribute='a smooth hand', gender='female', reasoning='The context refers to a maid and her characteristics, which imply feminine qualities, making this attribute likely associated with a female.')]",a lovely face,a lovely face
3,2.0,"The lovely maid whose form and face      Nature has deck’d with ev’ry grace,      But in whose breast no virtues glow,      Whose heart ne’er felt another’s woe,      Whose hand ne’er smooth’d the bed of pain,      Or eas’d the captive’s galling chain;      But like the tulip caught the eye,      Born just to be admir’d and die;      When gone, no one regrets its loss,      Or scarce remembers that it was.",a graceful form,unknown,female,"The description of the maid suggests an admiration for beauty, and the term 'form' is included in conjunction with 'maid', implying femininity.",False,True,"original_sentence='The lovely maid whose form and face Nature has deck’d with ev’ry grace, But in whose breast no virtues glow, Whose heart ne’er felt another’s woe, Whose hand ne’er smooth’d the bed of pain, Or eas’d the captive’s galling chain; But like the tulip caught the eye, Born just to be admir’d and die; When gone, no one regrets its loss, Or scarce remembers that it was.' physical_attributes=[PhysicalAttribute(attribute='a lovely face', gender='female', reasoning=""The text uses the noun 'maid' which typically implies a female; therefore, the physical attributes associated with her, like 'a lovely face', suggest a female identity.""), PhysicalAttribute(attribute='a graceful form', gender='female', reasoning=""The description of the maid suggests an admiration for beauty, and the term 'form' is included in conjunction with 'maid', implying femininity.""), PhysicalAttribute(attribute='a smooth hand', gender='female', reasoning='The context refers to a maid and her characteristics, which imply feminine qualities, making this attribute likely associated with a female.')]",a graceful form,a graceful form
3,2.0,"The lovely maid whose form and face      Nature has deck’d with ev’ry grace,      But in whose breast no virtues glow,      Whose heart ne’er felt another’s woe,      Whose hand ne’er smooth’d the bed of pain,      Or eas’d the captive’s galling chain;      But like the tulip caught the eye,      Born just to be admir’d and die;      When gone, no one regrets its loss,      Or scarce remembers that it was.",a smooth hand,unknown,female,"The context refers to a maid and her characteristics, which imply feminine qualities, making this attribute likely associated with a female.",False,True,"original_sentence='The lovely maid whose form and face Nature has deck’d with ev’ry grace, But in whose breast no virtues glow, Whose heart ne’er felt another’s woe, Whose hand ne’er smooth’d the bed of pain, Or eas’d the captive’s galling chain; But like the tulip caught the eye, Born just to be admir’d and die; When gone, no one regrets its loss, Or scarce remembers that it was.' physical_attributes=[PhysicalAttribute(attribute='a lovely face', gender='female', reasoning=""The text uses the noun 'maid' which typically implies a female; therefore, the physical attributes associated with her, like 'a lovely face', suggest a female identity.""), PhysicalAttribute(attribute='a graceful form', gender='female', reasoning=""The description of the maid suggests an admiration for beauty, and the term 'form' is included in conjunction with 'maid', implying femininity.""), PhysicalAttribute(attribute='a smooth hand', gender='female', reasoning='The context refers to a maid and her characteristics, which imply feminine qualities, making this attribute likely associated with a female.')]",a smooth hand,a smooth hand
4,3.0,"“He is a genteel young fellow,” said La Rue carelessly, folding up her apron at the same time; “but I think he is marked with the small pox.”  “Oh you are greatly mistaken,” said Charlotte eagerly; “he has a remarkable clear skin and fine complexion.”  “His eyes, if I could judge by what I saw,” said La Rue, “are grey and want expression.”  “By no means,” replied Charlotte; “they are the most expressive eyes I ever saw.” “Well, child, whether they are grey or black is of no consequence: you have determined not to read his letter; so it is likely you will never either see or hear from him again.”  Charlotte took up the letter, and Mademoiselle continued--  “He is most probably going to America; and if ever you should hear any account of him, it may possibly be that he is killed; and though he loved you ever so fervently, though his last breath should be spent in a prayer for your happiness, it can be nothing to you: you can feel nothing for the fate of the man, whose letters you will not open, and whose sufferings you will not alleviate, by permitting him to think you would remember him when absent, and pray for his safety.”  Charlotte still held the letter in her hand: her heart swelled at the conclusion of Mademoiselle’s speech, and a tear dropped upon the wafer that closed it.",a genteel young fellow,evidence for both,male,"The text explicitly refers to 'He is a genteel young fellow,' using 'He' which suggests male gender.",False,False,"original_sentence='“He is a genteel young fellow,” said La Rue carelessly, folding up her apron at the same time; “but I think he is marked with the small pox.”  “Oh you are greatly mistaken,” said Charlotte eagerly; “he has a remarkable clear skin and fine complexion.”  “His eyes, if I could judge by what I saw,” said La Rue, “are grey and want expression.”  “By no means,” replied Charlotte; “they are the most expressive eyes I ever saw.” “Well, child, whether they are grey or black is of no consequence: you have determined not to read his letter; so it is likely you will never either see or hear from him again.”  Charlotte took up the letter, and Mademoiselle continued--  “He is most probably going to America; and if ever you should hear any account of him, it may possibly be that he is killed; and though he loved you ever so fervently, though his last breath should be spent in a prayer for your happiness, it can be nothing to you: you can feel nothing for the fate of the man, whose letters you will not open, and whose sufferings you will not alleviate, by permitting him to think you would remember him when absent, and pray for his safety.”  Charlotte still held the letter in her hand: her heart swelled at the conclusion of Mademoiselle’s speech, and a tear dropped upon the wafer that closed it.' physical_attributes=[PhysicalAttribute(attribute='a genteel young fellow', gender='male', reasoning=""The text explicitly refers to 'He is a genteel young fellow,' using 'He' which suggests male gender.""), PhysicalAttribute(attribute='a remarkable clear skin', gender='male', reasoning=""The description is in reference to 'he' as in the previous attributes, indicating the subject is male.""), PhysicalAttribute(attribute='fine complexion', gender='male', reasoning=""Similar to the previous attributes, it references 'he', indicating male gender.""), PhysicalAttribute(attribute='grey eyes', gender='male', reasoning=""The reference to 'his eyes' indicates that the person being described is male.""), PhysicalAttribute(attribute='expressive eyes', gender='male', reasoning=""The expression 'they are the most expressive eyes' refers to the same subject, indicating the gender is male."")]",a genteel young fellow,a genteel young fellow
4,3.0,"“He is a genteel young fellow,” said La Rue carelessly, folding up her apron at the same time; “but I think he is marked with the small pox.”  “Oh you are greatly mistaken,” said Charlotte eagerly; “he has a remarkable clear skin and fine complexion.”  “His eyes, if I could judge by what I saw,” said La Rue, “are grey and want expression.”  “By no means,” replied Charlotte; “they are the most expressive eyes I ever saw.” “Well, child, whether they are grey or black is of no consequence: you have determined not to read his letter; so it is likely you will never either see or hear from him again.”  Charlotte took up the letter, and Mademoiselle continued--  “He is most probably going to America; and if ever you should hear any account of him, it may possibly be that he is killed; and though he loved you ever so fervently, though his last breath should be spent in a prayer for your happiness, it can be nothing to you: you can feel nothing for the fate of the man, whose letters you will not open, and whose sufferings you will not alleviate, by permitting him to think you would remember him when absent, and pray for his safety.”  Charlotte still held the letter in her hand: her heart swelled at the conclusion of Mademoiselle’s speech, and a tear dropped upon the wafer that closed it.",a remarkable clear skin,evidence for both,male,"The description is in reference to 'he' as in the previous attributes, indicating the subject is male.",False,False,"original_sentence='“He is a genteel young fellow,” said La Rue carelessly, folding up her apron at the same time; “but I think he is marked with the small pox.”  “Oh you are greatly mistaken,” said Charlotte eagerly; “he has a remarkable clear skin and fine complexion.”  “His eyes, if I could judge by what I saw,” said La Rue, “are grey and want expression.”  “By no means,” replied Charlotte; “they are the most expressive eyes I ever saw.” “Well, child, whether they are grey or black is of no consequence: you have determined not to read his letter; so it is likely you will never either see or hear from him again.”  Charlotte took up the letter, and Mademoiselle continued--  “He is most probably going to America; and if ever you should hear any account of him, it may possibly be that he is killed; and though he loved you ever so fervently, though his last breath should be spent in a prayer for your happiness, it can be nothing to you: you can feel nothing for the fate of the man, whose letters you will not open, and whose sufferings you will not alleviate, by permitting him to think you would remember him when absent, and pray for his safety.”  Charlotte still held the letter in her hand: her heart swelled at the conclusion of Mademoiselle’s speech, and a tear dropped upon the wafer that closed it.' physical_attributes=[PhysicalAttribute(attribute='a genteel young fellow', gender='male', reasoning=""The text explicitly refers to 'He is a genteel young fellow,' using 'He' which suggests male gender.""), PhysicalAttribute(attribute='a remarkable clear skin', gender='male', reasoning=""The description is in reference to 'he' as in the previous attributes, indicating the subject is male.""), PhysicalAttribute(attribute='fine complexion', gender='male', reasoning=""Similar to the previous attributes, it references 'he', indicating male gender.""), PhysicalAttribute(attribute='grey eyes', gender='male', reasoning=""The reference to 'his eyes' indicates that the person being described is male.""), PhysicalAttribute(attribute='expressive eyes', gender='male', reasoning=""The expression 'they are the most expressive eyes' refers to the same subject, indicating the gender is male."")]",a remarkable clear skin,a remarkable clear skin
4,3.0,"“He is a genteel young fellow,” said La Rue carelessly, folding up her apron at the same time; “but I think he is marked with the small pox.”  “Oh you are greatly mistaken,” said Charlotte eagerly; “he has a remarkable clear skin and fine complexion.”  “His eyes, if I could judge by what I saw,” said La Rue, “are grey and want expression.”  “By no means,” replied Charlotte; “they are the most expressive eyes I ever saw.” “Well, child, whether they are grey or black is of no consequence: you have determined not to read his letter; so it is likely you will never either see or hear from him again.”  Charlotte took up the letter, and Mademoiselle continued--  “He is most probably going to America; and if ever you should hear any account of him, it may possibly be that he is killed; and though he loved you ever so fervently, though his last breath should be spent in a prayer for your happiness, it can be nothing to you: you can feel nothing for the fate of the man, whose letters you will not open, and whose sufferings you will not alleviate, by permitting him to think you would remember him when absent, and pray for his safety.”  Charlotte still held the letter in her hand: her heart swelled at the conclusion of Mademoiselle’s speech, and a tear dropped upon the wafer that closed it.",fine complexion,evidence for both,male,"Similar to the previous attributes, it references 'he', indicating male gender.",False,True,"original_sentence='“He is a genteel young fellow,” said La Rue carelessly, folding up her apron at the same time; “but I think he is marked with the small pox.”  “Oh you are greatly mistaken,” said Charlotte eagerly; “he has a remarkable clear skin and fine complexion.”  “His eyes, if I could judge by what I saw,” said La Rue, “are grey and want expression.”  “By no means,” replied Charlotte; “they are the most expressive eyes I ever saw.” “Well, child, whether they are grey or black is of no consequence: you have determined not to read his letter; so it is likely you will never either see or hear from him again.”  Charlotte took up the letter, and Mademoiselle continued--  “He is most probably going to America; and if ever you should hear any account of him, it may possibly be that he is killed; and though he loved you ever so fervently, though his last breath should be spent in a prayer for your happiness, it can be nothing to you: you can feel nothing for the fate of the man, whose letters you will not open, and whose sufferings you will not alleviate, by permitting him to think you would remember him when absent, and pray for his safety.”  Charlotte still held the letter in her hand: her heart swelled at the conclusion of Mademoiselle’s speech, and a tear dropped upon the wafer that closed it.' physical_attributes=[PhysicalAttribute(attribute='a genteel young fellow', gender='male', reasoning=""The text explicitly refers to 'He is a genteel young fellow,' using 'He' which suggests male gender.""), PhysicalAttribute(attribute='a remarkable clear skin', gender='male', reasoning=""The description is in reference to 'he' as in the previous attributes, indicating the subject is male.""), PhysicalAttribute(attribute='fine complexion', gender='male', reasoning=""Similar to the previous attributes, it references 'he', indicating male gender.""), PhysicalAttribute(attribute='grey eyes', gender='male', reasoning=""The reference to 'his eyes' indicates that the person being described is male.""), PhysicalAttribute(attribute='expressive eyes', gender='male', reasoning=""The expression 'they are the most expressive eyes' refers to the same subject, indicating the gender is male."")]",fine complexion,fine complexion
