text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"In an arch under the dresser reposed a huge, liver-coloured bitch pointer, surrounded by a swarm of squealing puppies; and other dogs haunted other recesses.",,unknown,,,False,False,"original_sentence='In an arch under the dresser reposed a huge, liver-coloured bitch pointer, surrounded by a swarm of squealing puppies; and other dogs haunted other recesses.' physical_attributes=[]",,
1,0.0,"He is a dark-skinned gipsy in aspect, in dress and manners a gentleman: that is, as much a gentleman as many a country squire: rather slovenly, perhaps, yet not looking amiss with his negligence, because he has an erect and handsome figure; and rather morose.",a dark-skinned gipsy in aspect,male,male,"The text uses the pronoun 'He' to refer to the person described, explicitly suggesting the person's gender as male.",True,False,"original_sentence='He is a dark-skinned gipsy in aspect, in dress and manners a gentleman: that is, as much a gentleman as many a country squire: rather slovenly, perhaps, yet not looking amiss with his negligence, because he has an erect and handsome figure; and rather morose.' physical_attributes=[PhysicalAttribute(attribute='a dark-skinned gipsy in aspect', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an erect figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person whose attribute ('an erect figure') is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a handsome figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person whose attribute ('a handsome figure') is being described, explicitly suggesting the person's gender as male."")]",a dark-skinned gipsy in aspect,a dark-skinned gipsy in aspect
1,0.0,"He is a dark-skinned gipsy in aspect, in dress and manners a gentleman: that is, as much a gentleman as many a country squire: rather slovenly, perhaps, yet not looking amiss with his negligence, because he has an erect and handsome figure; and rather morose.",an erect figure,male,male,"The text uses the pronoun 'he' to refer to the person whose attribute ('an erect figure') is being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='He is a dark-skinned gipsy in aspect, in dress and manners a gentleman: that is, as much a gentleman as many a country squire: rather slovenly, perhaps, yet not looking amiss with his negligence, because he has an erect and handsome figure; and rather morose.' physical_attributes=[PhysicalAttribute(attribute='a dark-skinned gipsy in aspect', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an erect figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person whose attribute ('an erect figure') is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a handsome figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person whose attribute ('a handsome figure') is being described, explicitly suggesting the person's gender as male."")]",an erect figure,an erect figure
1,0.0,"He is a dark-skinned gipsy in aspect, in dress and manners a gentleman: that is, as much a gentleman as many a country squire: rather slovenly, perhaps, yet not looking amiss with his negligence, because he has an erect and handsome figure; and rather morose.",a handsome figure,male,male,"The text uses the pronoun 'he' to refer to the person whose attribute ('a handsome figure') is being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='He is a dark-skinned gipsy in aspect, in dress and manners a gentleman: that is, as much a gentleman as many a country squire: rather slovenly, perhaps, yet not looking amiss with his negligence, because he has an erect and handsome figure; and rather morose.' physical_attributes=[PhysicalAttribute(attribute='a dark-skinned gipsy in aspect', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='an erect figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person whose attribute ('an erect figure') is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a handsome figure', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person whose attribute ('a handsome figure') is being described, explicitly suggesting the person's gender as male."")]",a handsome figure,a handsome figure
2,1.0,"She flung the tea back, spoon and all, and resumed her chair in a pet; her forehead corrugated, and her red under-lip pushed out, like a child's ready to cry.",a corrugated forehead,female,female,"The text uses the pronoun 'her' to describe the person with the current attribute ('a corrugated forehead'), explicitly suggesting the person's gender as female.",True,False,"original_sentence=""She flung the tea back, spoon and all, and resumed her chair in a pet; her forehead corrugated, and her red under-lip pushed out, like a child's ready to cry."" physical_attributes=[PhysicalAttribute(attribute='a corrugated forehead', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person with the current attribute ('a corrugated forehead'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a red under-lip', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person with the current attribute ('a red under-lip'), explicitly suggesting the person's gender as female."")]",a corrugated forehead,a corrugated forehead
2,1.0,"She flung the tea back, spoon and all, and resumed her chair in a pet; her forehead corrugated, and her red under-lip pushed out, like a child's ready to cry.",a red under-lip,female,female,"The text uses the pronoun 'her' to describe the person with the current attribute ('a red under-lip'), explicitly suggesting the person's gender as female.",True,True,"original_sentence=""She flung the tea back, spoon and all, and resumed her chair in a pet; her forehead corrugated, and her red under-lip pushed out, like a child's ready to cry."" physical_attributes=[PhysicalAttribute(attribute='a corrugated forehead', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person with the current attribute ('a corrugated forehead'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a red under-lip', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person with the current attribute ('a red under-lip'), explicitly suggesting the person's gender as female."")]",a red under-lip,a red under-lip
3,2.0,"The little witch put a mock malignity into her beautiful eyes, and Joseph, trembling with sincere horror, hurried out, praying, and ejaculating 'wicked' as he went.",beautiful eyes,evidence for both,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('beautiful eyes'), explicitly suggesting the person's gender as female.",False,True,"original_sentence=""The little witch put a mock malignity into her beautiful eyes, and Joseph, trembling with sincere horror, hurried out, praying, and ejaculating 'wicked' as he went."" physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('beautiful eyes'), explicitly suggesting the person's gender as female."")]",beautiful eyes,beautiful eyes
4,,"Terror made me cruel; and, finding it useless to attempt shaking the creature off, I pulled its wrist on to the broken pane, and rubbed it to and fro till the blood ran down and soaked the bedclothes: still it wailed, 'Let me in!'",,unknown,,,False,False,"original_sentence=""Terror made me cruel; and, finding it useless to attempt shaking the creature off, I pulled its wrist on to the broken pane, and rubbed it to and fro till the blood ran down and soaked the bedclothes: still it wailed, 'Let me in!'"" physical_attributes=[]",,
5,,"I had remarked on one side of the road, at intervals of six or seven yards, a line of upright stones, continued through the whole length of the barren: these were erected and daubed with lime on purpose to serve as guides in the dark, and also when a fall, like the present, confounded the deep swamps on either hand with the firmer path: but, excepting a dirty dot pointing up here and there, all traces of their existence had vanished: and my companion found it necessary to warn me frequently to steer to the right or left, when I imagined I was following, correctly, the windings of the road.",,unknown,,,False,False,"original_sentence='I had remarked on one side of the road, at intervals of six or seven yards, a line of upright stones, continued through the whole length of the barren: these were erected and daubed with lime on purpose to serve as guides in the dark, and also when a fall, like the present, confounded the deep swamps on either hand with the firmer path: but, excepting a dirty dot pointing up here and there, all traces of their existence had vanished: and my companion found it necessary to warn me frequently to steer to the right or left, when I imagined I was following, correctly, the windings of the road.' physical_attributes=[]",,
6,,"She began singing very low, till his fingers dropped from hers, and his head sank on his breast.",,evidence for both,,,False,False,"original_sentence='She began singing very low, till his fingers dropped from hers, and his head sank on his breast.' physical_attributes=[]",,
