text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"In the morning, one might say, his face was of a fine florid hue, but after twelve o'clock, meridian--his dinner hour--it blazed like a grate full of Christmas coals; and continued blazing--but, as it were, with a gradual wane--till 6 o'clock, P.M. or thereabouts, after which I saw no more of the proprietor of the face, which gaining its meridian with the sun, seemed to set with it, to rise, culminate, and decline the following day, with the like regularity and undiminished glory.",a fine florid face,male,male,"The text uses the pronoun 'his' to refer to the person whose face is being described, explicitly suggesting the person's gender as male.",True,False,"original_sentence=""In the morning, one might say, his face was of a fine florid hue, but after twelve o'clock, meridian--his dinner hour--it blazed like a grate full of Christmas coals; and continued blazing--but, as it were, with a gradual wane--till 6 o'clock, P.M. or thereabouts, after which I saw no more of the proprietor of the face, which gaining its meridian with the sun, seemed to set with it, to rise, culminate, and decline the following day, with the like regularity and undiminished glory."" physical_attributes=[PhysicalAttribute(attribute='a fine florid face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose face is being described, explicitly suggesting the person's gender as male."")]",a fine florid face,a fine florid face
1,1.0,"Surely, sir, a blot or two of a warm afternoon is not to be severely urged against gray hairs.",gray hairs,unknown,male,"The text uses the term 'sir' which is typically used to address a male, suggesting that the person with 'gray hairs' is male.",False,True,"original_sentence='Surely, sir, a blot or two of a warm afternoon is not to be severely urged against gray hairs.' physical_attributes=[PhysicalAttribute(attribute='gray hairs', gender='male', reasoning=""The text uses the term 'sir' which is typically used to address a male, suggesting that the person with 'gray hairs' is male."")]",gray hairs,gray hairs
2,,"If, for the sake of easing his back, he brought the table lid at a sharp angle well up towards his chin, and wrote there like a man using the steep roof of a Dutch house for his desk:--then he declared that it stopped the circulation in his arms.",,male,,,False,False,"original_sentence='If, for the sake of easing his back, he brought the table lid at a sharp angle well up towards his chin, and wrote there like a man using the steep roof of a Dutch house for his desk:--then he declared that it stopped the circulation in his arms.' physical_attributes=[]",,
3,,"When I consider how, amid the stillness of my chambers, Nippers would sometimes impatiently rise from his seat, and stooping over his table, spread his arms wide apart, seize the whole desk, and move it, and jerk it, with a grim, grinding motion on the floor, as if the table were a perverse voluntary agent, intent on thwarting and vexing him; I plainly perceive that for Nippers, brandy and water were altogether superfluous.",,male,,,False,False,"original_sentence='When I consider how, amid the stillness of my chambers, Nippers would sometimes impatiently rise from his seat, and stooping over his table, spread his arms wide apart, seize the whole desk, and move it, and jerk it, with a grim, grinding motion on the floor, as if the table were a perverse voluntary agent, intent on thwarting and vexing him; I plainly perceive that for Nippers, brandy and water were altogether superfluous.' physical_attributes=[]",,
4,,"It was on the third day, I think, of his being with me, and before any necessity had arisen for having his own writing examined, that, being much hurried to complete a small affair I had in hand, I abruptly called to Bartleby.",,male,,,False,False,"original_sentence='It was on the third day, I think, of his being with me, and before any necessity had arisen for having his own writing examined, that, being much hurried to complete a small affair I had in hand, I abruptly called to Bartleby.' physical_attributes=[]",,
5,2.0,His face was leanly composed; his gray eye dimly calm.,a leanly composed face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a leanly composed face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His face was leanly composed; his gray eye dimly calm.' physical_attributes=[PhysicalAttribute(attribute='a leanly composed face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a leanly composed face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a gray eye', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a gray eye'), explicitly suggesting the person's gender as male."")]",a leanly composed face,a leanly composed face
5,2.0,His face was leanly composed; his gray eye dimly calm.,a gray eye,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a gray eye'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His face was leanly composed; his gray eye dimly calm.' physical_attributes=[PhysicalAttribute(attribute='a leanly composed face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a leanly composed face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a gray eye', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a gray eye'), explicitly suggesting the person's gender as male."")]",a gray eye,a gray eye
6,3.0,"Turkey sat glowing like a brass boiler, his bald head steaming, his hands reeling among his blotted papers.",a bald head,male,male,The use of the pronoun 'his' indicates that the person described has a male gender.,True,False,"original_sentence='Turkey sat glowing like a brass boiler, his bald head steaming, his hands reeling among his blotted papers.' physical_attributes=[PhysicalAttribute(attribute='a bald head', gender='male', reasoning=""The use of the pronoun 'his' indicates that the person described has a male gender."")]",a bald head,a bald head
7,,"The cushioned seat of a rickety old sofa in one corner bore the faint impress of a lean, reclining form.",,unknown,,,False,False,"original_sentence='The cushioned seat of a rickety old sofa in one corner bore the faint impress of a lean, reclining form.' physical_attributes=[]",,
8,4.0,"I looked steadfastly at him, and perceived that his eyes looked dull and glazed.",dull eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('dull eyes'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='I looked steadfastly at him, and perceived that his eyes looked dull and glazed.' physical_attributes=[PhysicalAttribute(attribute='dull eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('dull eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='glazed eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('glazed eyes'), explicitly suggesting the person's gender as male."")]",dull eyes,dull eyes
