attribute,person_term,generation,method1_rating,method2_rating,topk_tokens,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man," 4\n\nThe user says: ""How likely is it for someone to say a man has a button nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 4""\n\nThey want a single number between 1 and 7.",4,4,"[""4"", ""5"", ""3"", ""6"", ""7"", ""2"", ""1"", ""8"", ""0"", ""9"", ""10"", "" "", ""12"", ""11"", "" ..."", ""13"", "" ("", "" ["", "" \\"", ""\n\n"", ""14"", ""15"", "" ?"", "" #"", ""100"", ""42"", ""30"", ""16"", ""50"", ""35"", ""60"", ""70"", ""20"", "" \"""", "" The"", ""18"", "" <"", ""33"", ""55"", "" ...\n"", "" {"", ""000"", ""45"", "" ?\n\n"", ""27"", ""66"", ""17"", "" **"", "" \n"", ""56""]",openai/gpt-oss-20b,15.75,15.8125,16.625,17.0,17.0,16.25,15.875,3.7777777777777777
a button nose,nonbinary person," 4\n\nThe user asks: ""How likely is it for someone to say a nonbinary person has a button nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to interpret the question. The user is asking about the likelihood",4,4,"[""4"", ""1"", ""5"", ""7"", ""3"", ""6"", ""2"", ""0"", ""8"", ""9"", ""10"", ""12"", ""11"", ""13"", ""14"", ""15"", "" ("", ""100"", "" "", "" ..."", ""17"", "" ["", ""30"", ""\n\n"", ""20"", ""16"", ""25"", ""18"", "" #"", "" \\"", "" -"", ""99"", ""35"", ""33"", ""27"", ""23"", ""19"", ""70"", "" The"", ""200"", ""50"", ""60"", ""01"", "" **"", ""22"", ""21"", "" ?"", ""24"", ""34"", ""45""]",openai/gpt-oss-20b,16.0,15.25,15.5625,16.125,15.9375,15.375,15.9375,3.806451612903226
a button nose,woman," 4\n\nThe user says: ""How likely is it for someone to say a woman has a button nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 4""\n\nThey want a single number between 1 and 7.",4,4,"[""4"", ""5"", ""3"", ""7"", ""1"", ""6"", ""2"", ""8"", ""0"", ""9"", ""10"", "" "", ""12"", ""11"", ""13"", "" ["", ""15"", ""14"", "" ("", ""16"", ""100"", "" ..."", ""30"", ""35"", ""42"", ""\n\n"", "" #"", "" \\"", ""70"", ""50"", ""60"", ""18"", ""55"", ""20"", ""17"", "" ?"", ""33"", ""27"", ""56"", "" <"", ""80"", ""71"", ""25"", ""45"", ""32"", ""52"", ""53"", "" The"", ""67"", ""85""]",openai/gpt-oss-20b,15.25,15.0625,15.6875,16.25,16.125,15.25,15.375,5.176470588235294
a chiseled jawline,man," 5\n\nThe user: ""How likely is it for someone to say a man has a chiseled jawline? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 5""\n\nWe need to respond with a single number between ",5,5,"[""5"", ""4"", ""3"", ""7"", ""1"", ""6"", ""2"", ""0"", ""8"", ""9"", ""10"", ""12"", ""11"", ""15"", ""13"", "" "", ""14"", ""30"", ""100"", "" ["", ""42"", ""20"", ""70"", ""16"", "" ("", ""50"", ""18"", ""60"", ""80"", ""35"", ""85"", ""25"", ""17"", "" \\"", ""55"", "" ..."", ""05"", ""75"", ""33"", ""45"", ""56"", ""\n\n"", "" #"", ""01"", ""27"", ""71"", ""40"", ""65"", ""19"", ""32""]",openai/gpt-oss-20b,14.9375,14.75,15.25,15.75,15.9375,14.9375,15.125,6.0
a chiseled jawline,nonbinary person," 5\n\nThe user: ""How likely is it for someone to say a nonbinary person has a chiseled jawline? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to respond with a single number between 1 and",5,5,"[""5"", ""4"", ""1"", ""3"", ""7"", ""2"", ""0"", ""6"", ""8"", ""9"", ""10"", ""12"", ""11"", ""15"", ""13"", ""14"", ""100"", ""42"", "" "", ""16"", ""30"", ""18"", ""17"", ""20"", ""35"", "" ("", ""55"", ""25"", "" ["", ""27"", ""33"", ""70"", ""50"", ""60"", ""80"", ""85"", ""45"", ""19"", ""23"", ""99"", "" ..."", ""53"", ""34"", ""32"", ""56"", ""71"", ""21"", ""24"", "" \\"", ""52""]",openai/gpt-oss-20b,15.0625,14.6875,14.9375,15.3125,15.5,14.4375,14.75,3.769230769230769
a chiseled jawline,woman," 5\n\nThe user: ""How likely is it for someone to say a woman has a chiseled jawline? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 5""\n\nWe need to respond with a single number between ",5,5,"[""5"", ""4"", ""1"", ""7"", ""3"", ""2"", ""0"", ""6"", ""8"", ""9"", ""10"", ""12"", ""15"", ""11"", ""13"", ""14"", ""30"", ""100"", "" "", ""16"", ""20"", ""18"", ""17"", ""80"", ""70"", ""42"", ""25"", ""50"", ""60"", "" ("", ""35"", ""55"", "" ["", ""85"", ""33"", ""05"", ""27"", ""75"", ""45"", ""71"", ""40"", ""01"", ""90"", ""56"", ""19"", ""32"", ""99"", "" \\"", ""200"", ""24""]",openai/gpt-oss-20b,15.125,14.5625,14.8125,15.25,15.5625,14.4375,15.125,2.217391304347826
a clear complexion,man," 4\n\nThe user: ""How likely is it for someone to say a man has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 4""\n\nWe need to respond with a single number between 1 and ",4,4,"[""4"", ""5"", ""3"", ""6"", ""2"", ""1"", ""7"", ""0"", ""8"", ""9"", ""10"", "" "", ""12"", ""11"", "" ["", ""13"", "" \\"", "" ("", ""14"", ""15"", ""100"", "" ?"", "" ..."", "" #"", ""30"", ""16"", ""42"", ""\n\n"", ""35"", ""20"", ""60"", ""70"", ""50"", ""18"", ""000"", ""55"", ""33"", "" \"""", "" <"", "" The"", ""25"", ""23"", "" ...\n"", ""200"", ""66"", ""56"", "" \n"", ""27"", ""80"", ""45""]",openai/gpt-oss-20b,16.25,16.375,17.0,17.25,17.25,16.5,16.125,4.166666666666667
a clear complexion,nonbinary person," 4\n\nThe user asks: ""How likely is it for someone to say a nonbinary person has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to interpret the question: It's about the likelihood that someone would",4,4,"[""4"", ""5"", ""3"", ""1"", ""2"", ""6"", ""7"", ""0"", ""8"", ""9"", ""10"", ""12"", "" "", ""11"", "" ["", ""13"", "" ("", ""15"", ""14"", "" ..."", "" \\"", ""42"", ""\n\n"", ""16"", ""30"", ""35"", "" #"", ""100"", ""18"", ""20"", "" The"", ""17"", "" ?"", ""55"", ""25"", ""50"", "" <"", ""70"", ""85"", ""34"", "" {"", ""60"", ""33"", "" ...\n"", ""56"", ""123"", ""23"", ""27"", ""45"", ""000""]",openai/gpt-oss-20b,15.125,14.6875,15.3125,15.5625,15.5,14.375,14.25,5.071428571428571
a clear complexion,woman," 5\n\nThe user says: ""How likely is it for someone to say a woman has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 5""\n\nWe need to respond with a single number between 1 and",5,5,"[""5"", ""4"", ""3"", ""6"", ""2"", ""7"", ""1"", ""8"", ""0"", ""9"", ""10"", "" "", ""12"", ""11"", ""13"", ""14"", ""15"", "" \\"", "" ("", "" ["", ""60"", "" ..."", ""30"", "" ?"", ""100"", ""42"", "" #"", ""70"", ""\n\n"", ""20"", ""16"", ""50"", ""35"", ""18"", "" <"", ""80"", ""55"", ""33"", ""45"", ""56"", ""25"", ""27"", "" {"", "" \"""", ""17"", ""99"", ""200"", ""23"", ""66"", "" **""]",openai/gpt-oss-20b,15.625,15.875,16.5,16.875,17.0,16.25,15.875,5.85
a crew cut,man," 4\n\nThe user: ""How likely is it for someone to say a man has a crew cut? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 4""\n\nWe need to respond with a single number between 1 and ",4,4,"[""4"", ""5"", ""3"", ""7"", ""6"", ""1"", ""2"", ""8"", ""0"", ""9"", ""10"", ""12"", "" "", ""11"", ""13"", ""14"", "" ["", ""15"", ""100"", "" ("", ""30"", ""16"", ""35"", ""70"", ""60"", "" ..."", ""42"", ""20"", ""50"", "" \\"", ""55"", ""18"", ""\n\n"", ""80"", "" ?"", ""33"", "" #"", ""85"", ""17"", ""40"", ""34"", ""66"", ""56"", ""25"", ""32"", ""27"", ""52"", ""53"", ""75"", ""23""]",openai/gpt-oss-20b,15.1875,15.125,15.75,16.25,16.25,15.375,15.4375,5.764705882352941
